Region;District;Liczba budynków z przeznaczenia mieszkalnych na 1 km2;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Ogółem;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Wieś;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Miasta poniżej 20 000 mieszkańców;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Miasta powyżej 20 000 mieszkańców;Liczba ludności na 1 budynek/Ogółem;Liczba ludności na 1 budynek/Wieś;Liczba ludności na 1 budynek/Miasta poniżej 20 000 mieszkańców;Liczba ludności na 1 budynek/Miasta powyżej 20 000 mieszkańców;Liczba ludności na 1 nieruchomość zamieszkaną/Miasta poniżej 20 000 mieszkanców;Liczba ludności na 1 nieruchomość zamieszkaną/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Ogółem;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Ogółem;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Ogółem;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Wieś;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Wieś;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Wieś;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Ogółem;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Wieś;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Miasta powyżej 20 000 mieszkańców;Na 100 mieszkań było niezamieszkanych/Ogółem;Na 100 mieszkań było niezamieszkanych/Wieś;Na 100 mieszkań było niezamieszkanych/Miasta poniżej 20 000 mieszkańców;Na 100 mieszkań było niezamieszkanych/Miasta powyżej 20 000 mieszkańców
KRAKOWSKIE;WIELICKI;23,84;1,02;1,01;1,04;0;6,25;5,99;8,22;0;8,51;0;99,6;0,32;0,08;99,62;0,29;0,09;99,43;0,57;0;0;0;0;0,75;0,68;1,29;0;0,7;0,66;0,91;0
KRAKOWSKIE;ŻYWIECKI;16,81;1,01;1,01;1,02;0;5,74;5,6;7,58;0;7,72;0;99,67;0,29;0,04;99,75;0,22;0,03;98,55;1,3;0,15;0;0;0;1,63;1,66;1,23;0;1,51;1,59;0,82;0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);5,52;1,04;1,02;1,24;0;6,82;5,68;14,32;0;17,66;0;91,88;0,18;7,94;90,97;0,13;8,9;98,75;0,58;0,67;0;0;0;0,81;0,72;1,44;0;0,64;0,65;0,62;0
LUBELSKIE;BIŁGORAJSKI;9,39;1,01;1,01;1,1;0;5,75;5,6;9,74;0;10,71;0;99,2;0,03;0,77;99,18;0,03;0,79;99,83;0,17;0;0;0;0;2,09;2,15;0,35;0;1,98;2,11;0,34;0
LUBELSKIE;CHEŁMSKI;7,58;1,06;1,04;0;1,33;7,49;6,62;0;17,05;0;22,74;94,57;0,25;5,18;94,16;0,19;5,65;0;0;0;99,05;0,88;0,07;0,36;0,36;0;0,3;0,28;0,33;0;0,11
LUBELSKIE;GARWOLIŃSKI;10,36;1,04;1,03;1,14;0;7,28;7;12,42;0;14,08;0;99,48;0,06;0,46;99,5;0,05;0,45;99,19;0,2;0,61;0;0;0;0,28;0,27;0,31;0;0,26;0,27;0,16;0
LUBELSKIE;HRUBIESZOWSKI;9,06;1,06;1,05;1,1;0;6,99;6,68;10,48;0;11,53;0;94,67;0,16;5,17;94,32;0,14;5,54;98,66;0,42;0,92;0;0;0;0,7;0,69;0,76;0;0,71;0,57;1,5;0
LUBELSKIE;JANOWSKI;9,65;1,04;1,04;1,08;0;6,76;6,48;10,38;0;11,13;0;96,96;0,05;2,99;96,78;0,05;3,17;99,15;0,14;0,71;0;0;0;0,52;0,5;0,78;0;0,64;0,59;1;0
LUBELSKIE;KONSTANTYNOWSKI;5,97;1,06;1,05;1,08;0;7,39;7,14;10,25;0;10,98;0;96,89;0,1;3,01;96,7;0,06;3,24;99,01;0,57;0,42;0;0;0;0,58;0,57;0,71;0;0,77;0,42;3,26;0
LUBELSKIE;KRASNOSTAWSKI;10,69;1,05;1,05;1,06;0;7,09;6,94;9,66;0;10,25;0;97,63;0,06;2,31;97,55;0,03;2,42;98,92;0,65;0,43;0;0;0;0,3;0,29;0,43;0;0,29;0,25;0,77;0
LUBELSKIE;LUBARTOWSKI;9,49;1,03;1,03;1,03;0;7,14;6,81;13,23;0;13,66;0;96,12;0,12;3,76;95,97;0,08;3,95;98,87;0,85;0,28;0;0;0;0,38;0,4;0;0;0,29;0,32;0;0
LUBELSKIE;LUBELSKI;9,12;1,06;1,06;0;0;7,7;7,7;0;0;0;0;95,54;0,12;4,34;95,54;0,12;4,34;0;0;0;0;0;0;0,36;0,36;0;0;0,41;0,41;0;0
LUBELSKIE;LUBLIN (MIASTO);395,67;1,43;0;0;1,43;26,05;0;0;26,05;0;37,13;97,71;1,71;0,58;0;0;0;0;0;0;97,71;1,71;0,58;0,53;0;0;0,53;0,75;0;0;0,75
LUBELSKIE;PUŁAWSKI;11,35;1,05;1,04;1,21;0;7,44;7,34;10,46;0;12,68;0;96,08;0,1;3,82;96,09;0,05;3,86;95,94;1,6;2,46;0;0;0;0,22;0,23;0,15;0;0,22;0,21;0,41;0
LUBELSKIE;RADZYŃSKI;7,27;1,05;1,03;1,2;0;7,17;6,58;11,31;0;13,5;0;94,41;0,19;5,4;93,76;0,1;6,14;98,96;0,78;0,26;0;0;0;0,46;0,35;1,23;0;0,38;0,34;0,53;0
LUBELSKIE;SIEDLECKI;9,07;1,07;1,03;1,1;1,4;8,4;6,66;10,34;17,86;11,39;25,1;99,34;0,16;0,5;99,57;0,02;0,41;97,78;0,95;1,27;98,31;0,82;0,87;0,22;0,25;0;0,12;0,37;0,27;0,15;0,59
LUBELSKIE;SOKOŁOWSKI;7,33;1,05;1,05;1,06;0;7,93;7,52;14,67;0;15,55;0;98,37;0,05;1,58;98,36;0;1,64;98,54;0,91;0,55;0;0;0;0,22;0,21;0,37;0;0,14;0,15;0,12;0
LUBELSKIE;TOMASZOWSKI;10,91;1,05;1,05;1,1;0;6,58;6,4;9,84;0;10,76;0;98,12;0,1;1,78;98,07;0,08;1,85;99,03;0,55;0,42;0;0;0;1,33;1,31;1,78;0;1,18;1,2;1;0
LUBELSKIE;WĘGROWSKI;7,97;1,05;1,04;1,2;0;7,84;7,5;12,79;0;15,27;0;99,64;0,01;0,35;99,65;0;0,35;99,55;0,15;0,3;0;0;0;0,38;0,37;0,45;0;0,38;0,3;0,95;0
LUBELSKIE;WŁODAWSKI;4,91;1,03;1,03;1,04;0;6,49;5,89;9,7;0;10,07;0;88,59;0,14;11,27;87,18;0,08;12,74;96,17;0,49;3,34;0;0;0;1,97;2,27;0,45;0;1,63;2,05;0,39;0
LUBELSKIE;ZAMOJSKI;10,9;1,06;1,05;1,17;0;7,3;6,64;13,42;0;15,65;0;99,23;0,1;0,67;99,26;0,04;0,7;98,94;0,58;0,48;0;0;0;0,32;0,29;0,64;0;0,32;0,26;0,59;0
LUBELSKIE;ŁUKOWSKI;8,88;1,04;1,03;1,15;0;7,31;6,9;10,66;0;12,26;0;99,06;0,14;0,8;99,09;0,05;0,86;98,79;0,88;0,33;0;0;0;0,17;0,11;0,66;0;0,18;0,12;0,44;0
LWOWSKIE;BRZOZOWSKI;21,54;1,02;1,02;1,01;0;5,43;5,37;6,92;0;7,02;0;99,9;0,03;0,07;99,92;0,02;0,06;99,34;0,33;0,33;0;0;0;1,27;1,29;0,67;0;1,25;1,29;6,48;0
LWOWSKIE;BÓBRECKI;15,23;1,03;1,03;1,03;0;6,14;6,01;7,52;0;7,72;0;99,57;0,21;0,22;99,61;0,19;0,2;99,13;0,44;0,43;0;0;0;0,3;0,27;0,53;0;0,26;0,25;0,35;0
LWOWSKIE;CIESZANOWSKI;12,35;1,02;1,02;1,01;0;5,76;5,76;5,75;0;5,79;0;99,19;0,09;0,72;99,21;0,07;0,72;98,93;0,31;0,76;0;0;0;0,1;0,11;0;0;0,11;0,12;0;0
LWOWSKIE;DOBROMILSKI;13,61;1,03;1,03;1,05;0;5,96;5,87;8,55;0;8,96;0;99,86;0,03;0,11;99,85;0,04;0,11;100;0;0;0;0;0;0,5;0,51;0,25;0;0,47;0,48;0,15;0
LWOWSKIE;DROHOBYCKI;17,19;1,04;1,02;1,04;1,24;6,51;5,49;11,29;9,08;11,73;11,24;99,32;0,17;0,51;99,42;0,02;0,56;98,81;0,61;0,58;99,15;0,71;0,14;0,45;0,51;0,16;0,31;0,45;0,49;0,3;0,49
LWOWSKIE;GRÓDECKI;14,04;1,02;1,02;1,03;0;5,78;5,69;6,21;0;6,39;0;99,13;0,19;0,68;99,03;0,17;0,8;99,65;0,3;0,05;0;0;0;0,43;0,45;0,35;0;0,49;0,44;0,72;0
LWOWSKIE;JAROSŁAWSKI;16,58;1,02;1,02;1,07;0;6,1;5,61;10,47;0;11,17;0;98,33;0,04;1,63;98,26;0,04;1,7;98,99;0,08;0,93;0;0;0;0,59;0,65;0;0;0,53;0,63;0,1;0
LWOWSKIE;JAWOROWSKI;14,38;1,02;1,02;1,01;0;5,61;5,62;5,56;0;5,64;0;99,73;0,02;0,25;99,76;0;0,24;99,52;0,16;0,32;0;0;0;0,57;0,52;0,91;0;0,55;0,51;0,79;0
LWOWSKIE;KOLBUSZOWSKI;14,84;1,01;1,01;1;0;5,26;5,2;5,87;0;5,89;0;99,84;0,1;0,06;99,84;0,1;0,06;99,91;0,09;0;0;0;0;1,13;1,06;1,89;0;1,12;1,05;1,74;0
LWOWSKIE;KROŚNIEŃSKI;20,63;1,01;1,01;1,06;0;5,5;5,23;9,87;0;10,38;0;99,32;0,11;0,57;99,33;0,1;0,57;99,18;0,23;0,59;0;0;0;1,44;1,47;0,83;0;1,33;1,44;0,47;0
LWOWSKIE;LESKI;8,02;1,02;1,02;1,02;0;6,33;6,18;8,78;0;8,91;0;99,81;0,04;0,15;99,83;0,03;0,14;99,5;0,25;0,25;0;0;0;0,59;0,58;0,62;0;0,56;0,56;0,52;0
LWOWSKIE;LWOWSKI;18,79;1,03;1,03;1,01;0;6,13;6,14;5,81;0;5,89;0;99,24;0,11;0,65;99,27;0,1;0,63;98,11;0,19;1,7;0;0;0;0,35;0,33;1,14;0;0,31;0,3;0,9;0
LWOWSKIE;LWÓW (MIASTO);215,05;1,19;0;0;1,19;31,36;0;0;31,36;0;37,25;97,97;2,02;0,01;0;0;0;0;0;0;97,97;2,02;0,01;0,59;0;0;0,59;0,53;0;0;0,53
LWOWSKIE;MOŚCISKI;18,75;1,01;1,02;1,01;0;5,86;5,74;7,08;0;7,14;0;98,22;0,07;1,71;98,06;0,08;1,86;99,92;0;0,08;0;0;0;0,45;0,46;0,32;0;0,46;0,44;0,64;0
LWOWSKIE;NIŻAŃSKI;11,22;1,01;1,01;1,01;0;5,45;5,37;5,91;0;5,95;0;97,2;0,21;2,59;97,71;0,13;2,16;94,33;0,6;5,07;0;0;0;0,44;0,35;0,94;0;0,44;0,36;0,83;0
LWOWSKIE;PRZEMYSKI;18,58;1,04;1,02;1,03;1,19;7,33;5,66;5,76;18,61;5,9;22,11;92,93;0,12;6,95;91,87;0,02;8,11;97,53;1,54;0,93;99,42;0,54;0,04;0,2;0,18;0,32;0,31;0,4;0,17;0,24;0,76
LWOWSKIE;PRZEWORSKI;25,83;1,01;1,01;1,02;0;5,58;5,39;8,22;0;8,38;0;99,83;0,04;0,13;99,81;0,04;0,15;100;0;0;0;0;0;1,01;0,95;1,82;0;0,96;0,92;1,31;0
LWOWSKIE;RAWSKI (RAWA RUSKA);13,44;1,02;1,02;1,03;0;5,64;5,46;6,98;0;7,15;0;99,24;0,22;0,54;99,37;0,12;0,51;98,28;0,93;0,79;0;0;0;0,26;0,16;1,03;0;0,25;0,16;0,79;0
LWOWSKIE;RUDECKI;19,37;1,03;1,02;1,02;0;5,54;5,38;7,13;0;7,26;0;98,18;0,16;1,66;98,02;0,16;1,82;99,75;0,16;0,09;0;0;0;0,4;0,4;0,42;0;0,45;0,46;0,35;0
LWOWSKIE;RZESZOWSKI;25,18;1,01;1,01;1,01;1,09;5,86;5,07;5,87;17,85;5,91;19,46;99,75;0,16;0,09;99,84;0,07;0,09;99,61;0,28;0,11;98,5;1,5;0;1,78;1,83;2,25;0,29;1,6;1,82;1,9;0,56
LWOWSKIE;SAMBORSKI;18,92;1,02;1,02;1,08;0;5,86;5,41;9,26;0;9,97;0;99,6;0,14;0,26;99,65;0,07;0,28;99,24;0,67;0,09;0;0;0;0,5;0,5;0,48;0;0,55;0,5;0,76;0
LWOWSKIE;SANOCKI;13,52;1,01;1,01;1,04;0;6,04;5,7;9,93;0;10,31;0;99,65;0,08;0,27;99,67;0,07;0,26;99,4;0,22;0,38;0;0;0;1,06;1,13;0,23;0;1,05;1,1;0,74;0
LWOWSKIE;SOKALSKI;12,21;1,03;1,03;1,03;0;6,05;5,83;7,81;0;8;0;98,73;0,04;1,23;98,62;0,04;1,34;99,62;0,11;0,27;0;0;0;0,48;0,5;0,33;0;0,49;0,51;0,36;0
LWOWSKIE;STAROSAMBORSKI;13,23;1,01;1,01;1,02;0;5,69;5,63;6,06;0;6,13;0;99,12;0,2;0,68;99,05;0,19;0,76;99,56;0,22;0,22;0;0;0;0,49;0,49;0,52;0;0,51;0,52;0,47;0
LWOWSKIE;STRZYŻOWSKI;19,69;1,01;1,01;1,03;0;5,53;5,43;10,78;0;11,05;0;99,85;0,08;0,07;99,91;0,03;0,06;97,04;2,47;0,49;0;0;0;2,03;2;3,9;0;1,97;1,96;2,26;0
LWOWSKIE;TARNOBRZESKI;14,48;1,02;1,02;1,02;0;5,19;5,02;7,31;0;7,43;0;99,54;0,09;0,37;99,66;0;0,34;98,09;1,15;0,76;0;0;0;0,97;0,97;0,96;0;1,27;0,97;3,7;0
LWOWSKIE;ŁAŃCUCKI;19,95;1,02;1,01;1,02;0;5,21;5,03;7,47;0;7,62;0;99,49;0,12;0,39;99,48;0,11;0,41;99,54;0,23;0,23;0;0;0;1,44;1,46;1,16;0;1,37;1,44;0,82;0
LWOWSKIE;ŻÓŁKIEWSKI;13,31;1,01;1,01;1,01;0;5,67;5,53;6,51;0;6,59;0;99,83;0,06;0,11;99,86;0,05;0,09;99,64;0,09;0,27;0;0;0;0,36;0,36;0,4;0;0,35;0,35;0,35;0
M. ST. WARSZAWA;M. ST. WARSZAWA;184,96;2,31;0;0;2,31;40,45;0;0;40,45;0;93,3;96,4;3,42;0,18;0;0;0;0;0;0;96.40;3,42;0,18;0.25;0;0;0,25;0,49;0;0;0,49
NOWOGRÓDZKIE;;6,08;1,04;1,02;1,02;1,25;7,08;5,6;7,64;22,23;7,81;27,74;92,89;0,05;7,06;92,05;0,03;7,92;99,46;0;0,54;99,6;0,32;0,08;0,7;0,64;0;1,49;0,82;0,62;1,12;1,71
NOWOGRÓDZKIE;BARANOWICKI;6,05;1,03;1,02;1,02;1,17;5,98;5,6;7,64;9,69;7,81;11,33;92,85;0,05;7,1;92,05;0,03;7,92;99,46;0;0,54;99,58;0,34;0,08;0,71;0,64;0;1,59;0,86;0,62;0;2,24
NOWOGRÓDZKIE;BRASŁAWSKI;5,15;1,04;1,04;0;0;5,64;5,64;0;0;0;0;96,9;0,04;3,06;96,9;0,04;3,06;0;0;0;0;0;0;0,15;0,15;0;0;0,16;0,16;0;0
NOWOGRÓDZKIE;DUNIŁOWICKI;5,21;1,05;1,05;1,05;0;5,61;5,59;6,18;0;6,43;0;99,16;0,04;0,8;99,15;0,03;0,82;99,79;0,21;0;0;0;0;0,47;0,45;1,22;0;0,64;0,62;1,15;0
NOWOGRÓDZKIE;DZIŚNIEŃSKI;6,02;1,05;1,05;1,03;0;5,72;5,72;5,77;0;5,94;0;99,81;0,01;0,18;99,8;0,01;0,19;99,95;0;0,05;0;0;0;0,09;0,05;0,71;0;0,14;0,05;1,25;0
NOWOGRÓDZKIE;LIDZKI;5,82;1,03;1,02;1,13;0;5,81;5,63;9,25;0;10,42;0;99,42;0,03;0,55;99,41;0,02;0,57;99,65;0,18;0,17;0;0;0;0,28;0,27;0,58;0;0,37;0,35;0,58;0
NOWOGRÓDZKIE;NIEŚWIESKI;9,42;1,02;1,02;1,04;0;5,97;5,76;7,59;0;7,89;0;99,36;0,03;0,61;99,31;0,01;0,68;99,77;0,14;0,09;0;0;0;0,15;0,12;0,33;0;0,16;0,13;0,33;0
NOWOGRÓDZKIE;NOWOGRÓDZKI;6,34;1,03;1,03;1,06;0;5,94;5,8;9,24;0;9,78;0;93,17;0,08;6,75;92,97;0,03;7;97,97;1,16;0,87;0;0;0;0,75;0,78;0,15;0;0,77;0,81;0,15;0
NOWOGRÓDZKIE;STOŁPECKI;6,81;1,03;1,02;1,06;0;6,02;6;6,24;0;6,63;0;99,76;0,05;0,19;99,8;0,02;0,18;99,49;0,29;0,22;0;0;0;0,07;0,05;0,22;0;0,24;0,18;0,72;0
NOWOGRÓDZKIE;SŁONIMSKI;4,46;1,04;1,03;1,1;0;5,73;5,53;7,69;0;8,47;0;98,56;0,07;1,37;98,48;0,05;1,47;99,33;0,26;0,41;0;0;0;4,55;4,94;0,72;0;4,48;5,04;0,72;0
NOWOGRÓDZKIE;WILEJSKI;6,05;1,03;1,03;1,05;0;5,93;5,91;6,31;0;6,6;0;98,95;0,05;1;98,9;0,05;1,05;99,78;0,15;0,07;0;0;0;0,14;0,14;0,22;0;0,21;0,21;0,26;0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;4,82;1,03;1,03;1,04;0;5,6;5,56;6,51;0;6,75;0;96,2;0,02;3,78;96,07;0,01;3,92;99,39;0,24;0,37;0;0;0;0,37;0,38;0,12;0;0,35;0,36;0,11;0
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);3,46;1,05;1,02;1,01;1,44;6,73;5,58;7,62;15,28;7,69;21,92;95,7;0,08;4,22;95,75;0,03;4,22;98,12;0;1,88;94,62;0,47;4,91;0,98;1,13;0;0,11;0,85;1,18;0;0,04
POLESKIE;DROHICKI;4,88;1,02;1,02;1,02;0;5,69;5,62;6,17;0;6,31;0;99,08;0,05;0,87;99,04;0;0,96;99,42;0,5;0,08;0;0;0;4,46;4,56;3,61;0;4,61;4,68;4,05;0
POLESKIE;KOBRYŃSKI;3,49;1,02;1,02;1,06;0;6,03;5,67;8,12;0;8,58;0;96,88;0,08;3,04;96,53;0,03;3,44;98,92;0,38;0,7;0;0;0;0,4;0,43;0,26;0;0,48;0,46;0,58;0
POLESKIE;KOSOWSKI (KOSÓW POLESKI);2,23;1,02;1,02;1,02;0;5,82;5,76;6,28;0;6,4;0;93,98;0,01;6,01;93,2;0,01;6,79;100;0;0;0;0;0;1,1;1,02;1,73;0;1,06;0,98;1,5;0
POLESKIE;KOSZYRSKI;3,58;1,02;1,02;0;0;5,51;5,51;0;0;0;0;96,2;0;3,8;96,2;0;3,8;0;0;0;0;0;0;0,94;0,94;0;0;1,11;1,11;0;0
POLESKIE;PIŃSKI;3,82;1,03;1,01;1;1,21;5,91;5,51;5,45;9,26;5,45;11,16;94,12;0,01;5,87;93,12;0,01;6,87;100;0;0;99,96;0;0,04;0,36;0,42;0;0;0,8;0,43;0;2,65
POLESKIE;PRUŻAŃSKI;4,83;1,02;1,02;1,02;0;5,47;5,28;6,37;0;6,47;0;96,15;0,03;3,82;95,42;0,03;4,55;99,61;0,05;0,34;0;0;0;6,08;7,24;0,48;0;5,85;7,1;0,5;0
POLESKIE;SARNEŃSKI;3,96;1,02;1,02;1,03;0;5,93;5,82;6,98;0;7,2;0;98,92;0,05;1,03;98,83;0,03;1,14;99,67;0,21;0,12;0;0;0;0,35;0,29;0,9;0;0,57;0,29;2,52;0
POLESKIE;ŁUNINIECKI;2,61;1,02;1,02;1,04;0;6,19;6,08;6,78;0;7,07;0;99,74;0,03;0,23;99,73;0,03;0,24;99,83;0,04;0,13;0;0;0;0,47;0,43;0,68;0;0,47;0,45;0,58;0
POMORSKIE;BRODNICKI;6,88;1,13;1,13;1,11;0;8,31;7,96;10,9;0;12,12;0;98,62;1,08;0,3;98,74;0,91;0,35;97,9;2,1;0;0;0;0;0,38;0,37;0,46;0;0,33;0,34;0,3;0
POMORSKIE;CHEŁMIŃSKI;7,34;1,24;1,26;1,13;0;8,7;7,86;14,02;0;15,7;0;98,57;1,34;0,09;98,95;1,01;0,04;96,15;3,44;0,41;0;0;0;0,43;0,28;1,41;0;0,78;0,26;2,22;0
POMORSKIE;CHOJNICKI;4,4;1,11;1,11;1,1;0;8,62;8,17;12,63;0;13,92;0;98,73;1,09;0,18;98,96;0,86;0,18;96,59;3,17;0,24;0;0;0;0,13;0,14;0,13;0;0,28;0,13;0,95;0
POMORSKIE;DZIAŁDOWSKI;5,3;1,21;1,22;1,1;0;9,03;8,76;10,91;0;12,05;0;97,45;1,98;0,57;97,78;1,61;0,61;95,11;4,59;0,3;0;0;0;0,54;0,62;0;0;0,35;0,52;0;0
POMORSKIE;GNIEWSKI;7,14;1,26;1,29;1,06;0;9;8,94;9,55;0;10,17;0;98,44;1,46;0,1;98,7;1,19;0,11;96,34;3,66;0;0;0;0;0,2;0,15;0,63;0;0,15;0,09;0,53;0
POMORSKIE;GRUDZIĄDZ (MIASTO);74,25;1,35;0;0;1,35;22,04;0;0;22,04;0;29,45;96,91;2,96;0,13;0;0;0;0;0;0;96,91;2,96;0,13;0,74;0;0;0,74;0,77;0;0;0,77
POMORSKIE;GRUDZIĄDZKI;6,65;1,22;1,24;1,12;0;8,31;8,4;7,44;0;8,26;0;98,42;1,41;0,17;98,69;1,12;0,19;95,91;4,09;0;0;0;0;0,54;0,49;1;0;0,56;0,56;0,58;0
POMORSKIE;KARTUSKI;5,76;1,15;1,15;1,08;0;8,43;8,22;14,52;0;15,62;0;99,06;0,8;0,14;99,12;0,73;0,15;97,27;2,73;0;0;0;0;0,39;0,41;0;0;0,4;0,43;0;0
POMORSKIE;KOŚCIERSKI;4,95;1,12;1,13;1,05;0;8,44;7,92;12,1;0;12,69;0;98,23;1,52;0,25;98,5;1,21;0,29;96,31;3,69;0;0;0;0;0,24;0,2;0,56;0;0,32;0,25;0,6;0
POMORSKIE;LUBAWSKI;7,03;1,13;1,13;1,05;0;8,28;7,97;10,84;0;11,89;0;97,88;1,51;0,61;98,08;1,27;0,65;96,24;3,5;0,26;0;0;0;0,27;0,16;1,2;0;0,26;0,18;0,67;0
POMORSKIE;PUCKI;5,87;1,16;1,17;1,05;0;7,97;7,67;12,3;0;12,93;0;98,4;1,51;0,09;98,54;1,37;0,09;96,48;3,52;0;0;0;0;0,26;0,28;0;0;0,2;0,23;0;0
POMORSKIE;STAROGARDZKI;6,63;1,14;1,14;1,18;0;8,78;7,96;18,01;0;21,14;0;98,23;1,72;0,05;98,54;1,46;0;94,66;4,65;0,69;0;0;0;0,27;0,26;0,36;0;0,32;0,37;0,09;0
POMORSKIE;SĘPOLEŃSKI;6,31;1,1;1,11;1,1;0;7,1;7,03;7,25;0;7,91;0;98,45;1,32;0,23;98,59;1,2;0,21;98,04;1,67;0,29;0;0;0;0,54;0,31;1,18;0;0,57;0,4;0,93;0
POMORSKIE;TCZEWSKI;7,08;1,41;1,65;1,13;0;13,94;12,27;16,65;0;18,79;0;96,49;2,53;0,98;98,11;1,51;0,38;93,85;4,2;1,95;0;0;0;0,36;0,51;0,11;0;0,28;0,34;0,22;0
POMORSKIE;TORUŃ (MIASTO);63,25;1,22;0;0;1,22;17,07;0;0;17,07;0;20,65;97,31;2,69;0;0;0;0;0;0;0;97,31;2,69;0;1,32;0;0;1,32;0,85;0;0;0,85
POMORSKIE;TORUŃSKI;6,15;1,24;1,26;1,12;0;9,75;8,37;18,51;0;20,65;0;98,02;1,54;0,44;98,13;1,41;0,46;97,33;2,4;0,27;0;0;0;0,5;0,53;0,27;0;0,56;0,4;0,06;0
POMORSKIE;TUCHOLSKI;5,11;1,1;1,1;1,05;0;7,81;7,5;10,89;0;11,4;0;99,05;0,82;0,13;99,3;0,6;0,1;96,54;2,96;0,5;0;0;0;0,3;0,33;0;0;0,24;0,28;0;0
POMORSKIE;WEJHEROWSKI;5,52;1,26;1,27;1,2;0;9,9;8,86;18,69;0;22,19;0;98,21;1,65;0,14;98,55;1,3;0,15;95,32;4,68;0;0;0;0;0,41;0,33;1,1;0;0,47;0,23;1,23;0
POMORSKIE;WĄBRZESKI;8,38;1,15;1,15;1,15;0;7,86;7,31;9,82;0;11,27;0;98,78;1,04;0,18;99,19;0,66;0,15;97,33;2,36;0,31;0;0;0;0,22;0,19;0,31;0;0,44;0,31;0,71;0
POMORSKIE;ŚWIECKI;6,62;1,12;1,12;1,1;0;7,42;7,09;10,87;0;11,91;0;98,26;1,67;0,07;98,65;1,29;0,06;94,16;5,64;0,2;0;0;0;0,43;0,43;0,33;0;0,37;0,34;0,55;0
POZNAŃSKIE;BYDGOSKI;5,25;1,13;1,14;1,09;0;7,96;7,23;8,55;0;9,28;0;98,95;0,88;0,17;99,12;0,71;0,17;98,14;1,69;0,17;0;0;0;0,48;0,39;0,94;0;0,81;0,35;2,19;0
POZNAŃSKIE;BYDGOSZCZ (MIASTO);85,06;1,34;0;0;1,34;14,46;0;0;14,46;0;19;97,34;1,83;0,83;0;0;0;0;0;0;97,34;1,83;0,83;2,32;0;0;2,32;1,52;0;0;1,52
POZNAŃSKIE;CHODZIESKI;6,24;1,09;1,11;1,06;0;7,35;7,08;8,04;0;8,48;0;98,17;1,5;0,33;98,68;0,9;0,42;96,86;3,01;0,13;0;0;0;0,48;0,47;0,52;0;0,6;0,49;0,81;0
POZNAŃSKIE;CZARNKOWSKI;6,1;1,11;1,1;1,17;0;7,5;7,39;7,97;0;9,24;0;98,88;1,05;0,07;99,23;0,74;0,03;97,32;2,45;0,23;0;0;0;0,36;0,1;1,53;0;0,43;0,07;1,53;0
POZNAŃSKIE;GNIEŹNIEŃSKI;8,05;1,31;1,25;1,11;1,53;12,23;8,95;8,47;21,98;9,31;33,63;98,2;1,76;0,04;98;1,94;0,06;99;1;0;98,63;1,37;0;0,22;0,22;1,01;0,09;0,26;0,26;0,53;0,24
POZNAŃSKIE;GOSTYŃSKI;9,06;1,15;1,2;1,04;0;8,88;8,95;8,67;0;9,02;0;98,63;1,27;0,1;98,85;1,1;0,05;98,01;1,78;0,21;0;0;0;0,2;0,17;0,29;0;0,23;0,12;0,47;0
POZNAŃSKIE;GRODZISKI;8,69;1,15;1,2;1,08;0;9,4;9,42;9,38;0;10,14;0;98,18;1,64;0,18;98,56;1,32;0,12;97,45;2,24;0,31;0;0;0;0,32;0,36;0,24;0;0,36;0,39;0,32;0
