Region;District;Pszenica;Żyto;Jęczmień;Owies;Gryka;Proso;Kukurydza;Mieszanki zbóż na ziarno (jęczmień i owies);Mieszanki zbóż na ziarno (inne);Groch;Fasola, Bób, Soczewica;Peluszka, wyka, bobik;Łubin;Seradela;Koniczyna;Pozostałe pastawne oraz mieszanki;Ziemniaki;Buraki Cukrowe;Len;Konopie;Rzepak i rzepik ozimy i jary;Chmiel;Cykoria
KIELECKIE;OPOCZYŃSKI;1817.0;39152.0;4129.0;9675.0;435.0;374.0;7.0;64.0;20.0;162.0;16.0;34.0;5473.0;2655.0;977.0;62.0;16209.0;0.0;308.0;5.0;129.0;6.0;0.0
KIELECKIE;PIŃCZOWSKI;11610.0;18931.0;9683.0;7571.0;72.0;1078.0;7.0;187.0;212.0;180.0;86.0;1949.0;462.0;124.0;5283.0;1080.0;10510.0;2998.0;3.0;8.0;126.0;11.0;44.0
KIELECKIE;RADOMSKI;2416.0;47932.0;9493.0;15097.0;1350.0;824.0;0.0;117.0;46.0;662.0;86.0;755.0;8905.0;5765.0;2879.0;186.0;17242.0;41.0;325.0;35.0;399.0;39.0;0.0
KIELECKIE;SANDOMIERSKI;8847.0;16122.0;8938.0;10399.0;74.0;1021.0;4.0;157.0;99.0;315.0;102.0;1387.0;1836.0;591.0;4396.0;293.0;11151.0;1125.0;36.0;45.0;155.0;16.0;0.0
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;;;;;;;;;;;;
KIELECKIE;STOPNICKI;9396.0;26993.0;9263.0;10416.0;43.0;1722.0;1.0;299.0;205.0;519.0;152.0;1202.0;3213.0;870.0;4324.0;271.0;15328.0;330.0;2.0;4.0;78.0;0.0;0.0
KIELECKIE;WŁOSZCZOWSKI;6356.0;18607.0;3430.0;5272.0;22.0;129.0;3.0;185.0;124.0;136.0;11.0;1192.0;4016.0;1964.0;2087.0;410.0;11715.0;0.0;96.0;6.0;29.0;19.0;0.0
KIELECKIE;ZAWIERCIAŃSKI;998.0;17751.0;2454.0;3078.0;56.0;5.0;1.0;63.0;79.0;71.0;14.0;177.0;2069.0;137.0;412.0;123.0;11069.0;0.0;1.0;0.0;0.0;0.0;0.0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);533.0;4516.0;215.0;5543.0;2.0;0.0;0.0;82.0;46.0;4.0;7.0;30.0;2.0;1.0;3732.0;60.0;4396.0;0.0;0.0;0.0;48.0;0.0;0.0
KRAKOWSKIE;BOCHEŃSKI;7585.0;10292.0;3272.0;5794.0;110.0;80.0;5.0;55.0;24.0;59.0;52.0;59.0;69.0;3.0;3793.0;59.0;7308.0;0.0;2.0;1.0;35.0;10.0;76.0
KRAKOWSKIE;BRZESKI (BRZESKO);7611.0;13401.0;4225.0;7247.0;7.0;337.0;31.0;113.0;8.0;24.0;46.0;90.0;92.0;29.0;4444.0;49.0;8637.0;35.0;3.0;11.0;6.0;0.0;0.0
KRAKOWSKIE;CHRZANOWSKI;979.0;8993.0;867.0;3588.0;6.0;20.0;0.0;48.0;27.0;3.0;2.0;26.0;155.0;6.0;946.0;50.0;6604.0;0.0;0.0;0.0;5.0;0.0;0.0
KRAKOWSKIE;DĄBROWSKI;6834.0;9926.0;3329.0;4735.0;24.0;403.0;142.0;211.0;75.0;41.0;146.0;227.0;560.0;17.0;3418.0;256.0;5529.0;107.0;3.0;12.0;19.0;0.0;0.0
KRAKOWSKIE;GORLICKI;4322.0;5846.0;2409.0;8853.0;2.0;1.0;0.0;112.0;58.0;59.0;100.0;49.0;15.0;0.0;3303.0;78.0;5117.0;0.0;105.0;1.0;0.0;0.0;0.0
KRAKOWSKIE;GRYBOWSKI;3551.0;4270.0;2538.0;7073.0;0.0;1.0;0.0;71.0;35.0;21.0;41.0;46.0;70.0;0.0;3524.0;21.0;3761.0;0.0;67.0;1.0;1.0;0.0;0.0
KRAKOWSKIE;JASIELSKI;5789.0;7685.0;3109.0;5803.0;47.0;12.0;1.0;161.0;23.0;57.0;208.0;134.0;29.0;5.0;3051.0;129.0;5437.0;6.0;20.0;6.0;0.0;0.0;0.0
KRAKOWSKIE;KRAKOWSKI;5732.0;11322.0;2008.0;6337.0;4.0;16.0;5.0;72.0;86.0;35.0;10.0;192.0;146.0;21.0;3366.0;327.0;6898.0;849.0;1.0;11.0;12.0;0.0;30.0
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;4285.0;5185.0;3919.0;10650.0;0.0;2.0;0.0;203.0;146.0;36.0;4.0;49.0;250.0;0.0;4870.0;85.0;5833.0;0.0;86.0;15.0;0.0;0.0;0.0
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);1404.0;4616.0;2860.0;12514.0;0.0;0.0;0.0;102.0;7.0;5.0;0.0;0.0;538.0;0.0;4361.0;36.0;6838.0;0.0;61.0;0.0;0.0;0.0;0.0
KRAKOWSKIE;MIELECKI;5982.0;11917.0;3286.0;7123.0;64.0;202.0;10.0;308.0;177.0;51.0;35.0;351.0;1335.0;173.0;3240.0;258.0;7708.0;22.0;8.0;4.0;1.0;0.0;0.0
KRAKOWSKIE;MYŚLENICKI;1833.0;3186.0;752.0;4456.0;0.0;0.0;0.0;89.0;3.0;6.0;2.0;14.0;90.0;0.0;2013.0;16.0;2739.0;0.0;4.0;0.0;6.0;0.0;0.0
