Region;District;Konie (sztuki);Byd≥o rogate (sztuki);Trzoda chlewna (sztuki);Owce i kozy (sztuki)
KRAKOWSKIE;CHRZANOWSKI;4362.0;19109.0;5041.0;3430.0
KRAKOWSKIE;D•BROWSKI;10435.0;33639.0;13075.0;304.0
KRAKOWSKIE;GORLICKI;7682.0;39917.0;9031.0;2496.0
KRAKOWSKIE;GRYBOWSKI;3772.0;26326.0;6283.0;1520.0
KRAKOWSKIE;JASIELSKI;9143.0;37780.0;10476.0;1827.0
KRAKOWSKIE;KRAKOWSKI;9345.0;32101.0;9166.0;1292.0
KRAKOWSKIE;KRAK”W (MIASTO);2022.0;1663.0;946.0;553.0
KRAKOWSKIE;LIMANOWSKI;4691.0;41273.0;7455.0;3897.0
KRAKOWSKIE;MAKOWSKI (MAK”W PODHALA—SKI);5088.0;32395.0;5604.0;3230.0
KRAKOWSKIE;MIELECKI;11577.0;36124.0;12677.0;152.0
KRAKOWSKIE;MYåLENICKI;2719.0;16029.0;3668.0;720.0
KRAKOWSKIE;NOWOS•DECKI;7825.0;47297.0;13390.0;6477.0
KRAKOWSKIE;NOWOTARSKI;13205.0;58208.0;14012.0;25168.0
KRAKOWSKIE;OåWI CIMSKI;2802.0;13814.0;5510.0;615.0
KRAKOWSKIE;PILZNE—SKI;7073.0;24633.0;6830.0;437.0
KRAKOWSKIE;ROPCZYCKI;10708.0;34190.0;8834.0;357.0
KRAKOWSKIE;TARNOWSKI;9563.0;35701.0;11055.0;609.0
KRAKOWSKIE;WADOWICKI;4772.0;35433.0;13669.0;1525.0
KRAKOWSKIE;WIELICKI;4201.0;22588.0;7178.0;1146.0
KRAKOWSKIE;ØYWIECKI;4057.0;37072.0;7954.0;3617.0
LUBELSKIE;BIALSKI (BIA£A PODLASKA);13865.0;24411.0;13795.0;11103.0
LUBELSKIE;BI£GORAJSKI;18305.0;38989.0;17193.0;833.0
LUBELSKIE;CHE£MSKI;26229.0;41895.0;23679.0;2188.0
LUBELSKIE;GARWOLI—SKI;20309.0;47175.0;34385.0;2373.0
LUBELSKIE;HRUBIESZOWSKI;28773.0;33070.0;21348.0;2408.0
LUBELSKIE;JANOWSKI;22052.0;50010.0;26321.0;2159.0
