Region;District;Polish;% Polish;Ukrainian;% Ukrainian;Ruthenian;% Ruthenian;Belarusian;% Belarusian;Russian;% Russian;German;% German;Jewish;% Jewish;Hebrew;% Hebrew;Other and unknown: total;% Other: total;Minorities total (excluding Polish nationality);% Minorities total
KIELECKIE;OPOCZYŃSKI;120629;0,924190187;67;0,000513316;0;0;3;2,29843E-05;6;4,59686E-05;1144;0,008764672;8519;0,06526769;121;0,000927033;35;0,00026815;9895;0,075809813
KIELECKIE;PIŃCZOWSKI;113643;0,901227617;42;0,000333074;1;7,93034E-06;2;1,58607E-05;7;5,55124E-05;9;7,13731E-05;12184;0,096623261;149;0,001181621;61;0,000483751;12455;0,098772383
KIELECKIE;RADOM (MIASTO);52767;0,677351031;43;0,000551976;;0;2;2,56733E-05;83;0,001065441;120;0,001540397;24389;0,313072835;452;0,005802162;46;0,000590485;25135;0,322648969
KIELECKIE;RADOMSKI;142241;0,945455875;22;0,000146231;3;1,99406E-05;5;3,32343E-05;13;8,64092E-05;979;0,006507275;6925;0,046029499;211;0,001402487;48;0,000319049;8206;0,054544125
KIELECKIE;SANDOMIERSKI;108608;0,880400772;23;0,000186443;3;2,43187E-05;5;4,05311E-05;56;0,000453949;142;0,001151084;13649;0,110641851;767;0,006217474;109;0,000883578;14754;0,119599228
KIELECKIE;SOSNOWIEC;89202;0,818674914;52;0,000477244;4;3,67111E-05;5;4,58888E-05;180;0,001651998;167;0,001532687;18314;0,168081572;878;0,008058077;157;0,001440909;19757;0,181325086
KIELECKIE;STOPNICKI;135791;0,886995317;52;0,000339667;3;1,95962E-05;0;0;15;9,79809E-05;203;0,001326009;16034;0,104735092;952;0,006218524;41;0,000267815;17300;0,113004683
KIELECKIE;WŁOSZCZOWSKI;93131;0,925691055;31;0,00030813;0;0;5;4,96983E-05;3;0,000029819;424;0,004214418;6817;0,067758705;142;0,001411433;54;0,000536742;7476;0,074308945
KIELECKIE;ZAWIERCIAŃSKI;120660;0,920555721;22;0,000167845;0;0;4;3,05173E-05;33;0,000251768;43;0,000328061;9594;0,073195853;424;0,003234839;293;0,002235396;10413;0,079444279
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);;;;;;;;;;;;;;;;;;;;
