Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture and forestry;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - F. Army;Indirect Occupation - G. Domestic service;Indirect Occupation - H. Unemployed;Indirect Occupation - N. Not further specified
LUBELSKIE;LUBLIN (MIASTO);39171;1168;10785;7547;3033;4134;1263;3705;5319;2217
LUBELSKIE;PU£AWSKI;79596;65274;5462;2895;1263;1323;580;1068;936;795
LUBELSKIE;RADZY—SKI;47184;39373;3400;1437;308;701;34;610;644;677
LUBELSKIE;SIEDLECKI;49292;35328;4290;2336;1892;1477;238;999;1810;922
LUBELSKIE;SOKO£OWSKI;42677;37456;2235;994;179;586;16;378;451;382
LUBELSKIE;TOMASZOWSKI;51539;45312;2573;1703;123;619;19;510;387;293
LUBELSKIE;W GROWSKI;43377;37860;2648;923;249;652;16;356;455;218
LUBELSKIE;W£ODAWSKI;43119;37286;2280;1386;199;590;30;423;402;523
LUBELSKIE;ZAMOJSKI;76482;62679;5290;2568;697;1169;217;1371;1323;1168
LUBELSKIE;£UKOWSKI;65602;56980;3604;1523;553;846;48;673;695;680
LWOWSKIE;BRZOZOWSKI;50231;45906;1398;728;91;830;12;378;412;476
LWOWSKIE;B”BRECKI;47089;41931;1682;941;815;625;19;399;298;379
LWOWSKIE;CIESZANOWSKI;48084;43670;1499;999;186;567;7;324;226;606
LWOWSKIE;DOBROMILSKI;42819;39343;1220;899;167;492;13;384;203;98
LWOWSKIE;DROHOBYCKI;88367;57211;18256;3284;981;1980;33;2467;1707;2448
LWOWSKIE;GR”DECKI;42006;37230;1515;750;480;517;116;363;275;760
LWOWSKIE;JAROS£AWSKI;79547;67207;3185;2237;778;1523;336;1241;1302;1738
LWOWSKIE;JAWOROWSKI;49774;44942;1399;859;85;582;16;321;441;1129
LWOWSKIE;KOLBUSZOWSKI;43887;40789;1015;1027;50;412;9;217;284;84
LWOWSKIE;KROåNIE—SKI;48435;39688;4175;1024;244;927;35;724;1080;538
LWOWSKIE;LESKI;58453;53295;1856;1237;296;611;17;486;270;385
LWOWSKIE;LWOWSKI;84513;64712;6980;2281;2387;1875;255;983;2641;2399
LWOWSKIE;LW”W (MIASTO);103598;1240;21053;21159;8550;14865;3616;11768;15859;5488
LWOWSKIE;MOåCISKI;50264;46497;1038;867;392;547;15;371;224;313
LWOWSKIE;NIØA—SKI;37764;33630;1527;661;134;449;35;242;306;780
LWOWSKIE;PRZEMYSKI;80209;56048;5373;3931;2376;2757;1162;2422;4230;1910
LWOWSKIE;PRZEWORSKI;33674;29148;1361;791;369;455;18;370;310;852
LWOWSKIE;RAWSKI (RAWA RUSKA);61277;54486;1890;1420;600;699;39;501;310;1332
LWOWSKIE;RUDECKI;43624;40437;932;770;126;496;6;262;119;476
LWOWSKIE;RZESZOWSKI;84339;69156;3221;2960;1675;1798;410;1614;2079;1426
LWOWSKIE;SAMBORSKI;62768;54449;1714;1370;871;1196;102;954;1359;753
LWOWSKIE;SANOCKI;63783;54837;2965;1529;762;1098;190;875;1020;507
LWOWSKIE;SOKALSKI;56798;48832;2419;1540;279;1046;19;509;722;1432
LWOWSKIE;STAROSAMBORSKI;32954;29164;1054;617;292;513;1;249;600;464
LWOWSKIE;STRZYØOWSKI;37310;34256;851;983;154;390;14;252;247;163
LWOWSKIE;TARNOBRZESKI;42361;37013;1921;1015;624;630;11;394;470;283
LWOWSKIE;£A—CUCKI;55960;49256;1990;1213;264;797;43;550;890;957
LWOWSKIE;Ø”£KIEWSKI;55492;49138;1934;1131;194;796;56;425;460;1358
M. ST. WARSZAWA;M. ST. WARSZAWA;84099;49346;12150;4578;3203;2768;2179;2318;4725;2832
NOWOGR”DZKIE;BARANOWICKI;57625;44012;2018;1541;908;1289;157;587;6730;383
NOWOGR”DZKIE;BRAS£AWSKI;37517;34626;1048;459;247;419;23;252;275;168
NOWOGR”DZKIE;DUNI£OWICKI;67011;63323;1163;699;324;492;97;324;406;183
NOWOGR”DZKIE;DZIåNIE—SKI;104642;97161;2769;1809;268;839;31;576;591;598
NOWOGR”DZKIE;LIDZKI;112160;100621;3992;1739;1165;1154;609;1010;1004;866
NOWOGR”DZKIE;NIEåWIESKI;66763;58896;2677;1583;227;1101;51;648;1107;473
NOWOGR”DZKIE;NOWOGR”DZKI;64252;59269;1485;743;96;1016;157;370;861;255
NOWOGR”DZKIE;STO£PECKI;43582;39023;1875;843;197;641;73;298;371;261
NOWOGR”DZKIE;S£ONIMSKI;67777;60586;2439;1069;321;787;74;589;1240;672
NOWOGR”DZKIE;WILEJSKI;74019;67355;2107;1334;586;804;111;549;775;398
NOWOGR”DZKIE;WO£OØY—SKI;71907;68135;1309;797;234;509;62;319;366;176
POLESKIE;BRZESKI (BRZEå∆ N.BUG.);66258;50848;3896;2605;2942;1765;526;1058;1707;911
POLESKIE;DROHICKI;38613;36130;723;500;191;311;80;207;312;159
POLESKIE;KOBRY—SKI;39307;34682;1231;980;347;560;34;409;789;275
POLESKIE;KOSOWSKI (KOS”W POLESKI);29226;26766;964;400;261;239;17;186;230;163
POLESKIE;KOSZYRSKI;35670;34887;213;176;95;145;47;45;46;16
POLESKIE;PI—SKI;80050;70302;3260;1734;645;1334;118;610;1361;686
POLESKIE;PRUØA—SKI;38040;33707;1303;809;239;474;243;304;650;311
POLESKIE;SARNE—SKI;84141;76729;2664;1772;603;916;58;356;628;415
POLESKIE;£UNINIECKI;100881;90421;3964;1655;1252;1172;63;535;857;962
POMORSKIE;BRODNICKI;27688;20621;2337;723;867;589;94;547;1207;703
POMORSKIE;CHE£MI—SKI;22103;15608;1927;572;500;650;148;596;1602;500
POMORSKIE;CHOJNICKI;29694;20387;2759;805;1410;961;52;599;1699;1022
POMORSKIE;DZIA£DOWSKI;10035;7260;728;237;690;260;50;232;323;255
POMORSKIE;GNIEWSKI;12097;8651;1197;239;259;288;33;382;827;221
POMORSKIE;GRUDZI•DZ (MIASTO);14573;219;3791;1791;1253;1407;1561;1037;2444;1070
POMORSKIE;GRUDZI•DZKI;19981;15905;1470;300;399;296;194;499;662;256
POMORSKIE;KARTUSKI;29843;25796;1313;360;448;457;52;295;907;215
POMORSKIE;KOåCIERSKI;22065;16894;1454;413;526;542;36;366;1356;478
POMORSKIE;LUBAWSKI;26527;20694;1820;528;375;501;19;502;1519;569
POMORSKIE;PUCKI;12095;9502;934;182;158;322;114;213;503;167
POMORSKIE;STAROGARDZKI;27924;17689;4045;706;702;922;96;640;2620;504
POMORSKIE;S POLE—SKI;13877;10711;994;350;195;391;4;248;623;361
POMORSKIE;TCZEWSKI;14897;5708;2221;805;2462;859;63;642;1473;664
POMORSKIE;TORU— (MIASTO);17276;463;4369;2139;1416;2450;1263;1365;2732;1079
POMORSKIE;TORU—SKI;23978;15796;2211;523;1293;518;194;558;1597;1288
POMORSKIE;TUCHOLSKI;15757;11864;1353;346;294;327;57;308;1025;183
POMORSKIE;WEJHEROWSKI;19219;12450;2329;447;576;787;64;378;1596;592
POMORSKIE;W•BRZESKI;21826;16459;1519;499;428;472;12;429;999;1009
POMORSKIE;åWIECKI;39311;28939;3597;871;941;817;239;753;2179;975
POZNA—SKIE;BYDGOSKI;25194;19141;2464;492;654;435;12;504;1041;451
POZNA—SKIE;BYDGOSZCZ (MIASTO);38214;1718;11512;4654;5625;3280;937;2457;6296;1735
POZNA—SKIE;CHODZIESKI;19926;14248;2652;470;335;521;8;350;755;587
POZNA—SKIE;CZARNKOWSKI;16713;12007;1684;453;330;574;8;373;777;507
POZNA—SKIE;GNIEèNIE—SKI;24466;11427;4072;1323;1617;1103;265;1027;2914;718
POZNA—SKIE;GOSTY—SKI;23803;17959;2230;475;427;449;23;565;1070;605
POZNA—SKIE;GRODZISKI;15528;10064;2082;544;408;378;26;409;871;746
POZNA—SKIE;INOWROC£AWSKI;32959;19140;5151;1339;1658;938;271;1159;2267;1036
POZNA—SKIE;JAROCI—SKI;23713;17167;1897;482;1450;422;72;670;1122;431
POZNA—SKIE;KOåCIA—SKI;21624;15131;2909;539;359;551;36;579;1120;400
POZNA—SKIE;KOèMI—SKI;17206;13296;1251;376;211;357;17;423;933;342
POZNA—SKIE;KROTOSZY—SKI;21183;14075;2721;715;537;626;111;616;1223;559
POZNA—SKIE;K PI—SKI;25793;20115;2047;604;490;448;48;572;1051;418
POZNA—SKIE;LESZCZY—SKI;25590;15707;2912;1007;1309;863;152;883;2018;739
POZNA—SKIE;MI DZYCHODZKI;13438;9244;1527;309;278;413;13;342;787;525
POZNA—SKIE;MOGILE—SKI;20517;14092;2418;545;500;441;139;524;1185;673
POZNA—SKIE;NOWOTOMYSKI;23967;17781;2189;566;874;619;25;453;927;533
POZNA—SKIE;OBORNICKI;24705;17905;2493;610;501;550;30;698;1315;603
POZNA—SKIE;ODOLANOWSKI;22498;18985;1379;285;436;308;22;197;565;321
POZNA—SKIE;OSTROWSKI (OSTR”W WIELKOPOLSKI);21771;11132;3388;1020;2044;766;210;986;1768;457
POZNA—SKIE;OSTRZESZOWSKI;20278;16255;1441;420;289;358;8;324;829;354
POZNA—SKIE;PLESZEWSKI;17720;12993;1704;414;298;419;30;518;936;408
POZNA—SKIE;POZNA— (MIASTO);79844;589;20694;12904;8440;9254;4925;7240;10510;5288
POZNA—SKIE;POZNA—SKI WSCHODNI;22037;10488;4593;725;760;756;998;593;1667;1457
POZNA—SKIE;POZNA—SKI ZACHODNI;19754;13671;3030;293;778;295;129;402;878;278
POZNA—SKIE;RAWICKI;24848;16508;2810;821;412;630;85;713;2138;731
POZNA—SKIE;STRZELNE—SKI;16670;11791;2154;383;199;320;17;463;697;646
POZNA—SKIE;SZAMOTULSKI;29445;20309;3298;749;518;683;49;861;2325;653
POZNA—SKIE;SZUBI—SKI;21793;17006;1858;412;255;344;29;412;915;562
POZNA—SKIE;WITKOWSKI;13814;10905;1076;240;201;248;14;307;675;148
POZNA—SKIE;WOLSZTY—SKI;25541;20223;1928;552;355;440;55;449;1168;371
POZNA—SKIE;WRZESI—SKI;18165;12464;1964;582;498;447;126;579;1094;411
POZNA—SKIE;WYRZYSKI;27131;19885;2402;716;725;702;16;606;1005;1074
POZNA—SKIE;W•GROWIECKI;24317;18165;2035;623;509;534;34;707;1220;490
