Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
BIAŁOSTOCKIE;AUGUSTOWSKI;8 909;172 782;36 140;90 660;488 400
BIAŁOSTOCKIE;BIAŁOSTOCKI;17 894;355 058;49 372;212 820;1 329 400
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);24 562;376 850;105 320;211 680;1 422 400
BIAŁOSTOCKIE;GRODZIEŃSKI;38 302;615 252;88 350;130 260;1 843 400
BIAŁOSTOCKIE;KOLNEŃSKI;31 485;209 240;28 820;106 550;1 217 500
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);33 210;205 240;25 530;134 320;444 200
BIAŁOSTOCKIE;OSTROŁĘCKI;29 520;246 504;21 840;57 600;1 070 100
BIAŁOSTOCKIE;SOKÓLSKI;6 766;378 992;84 300;190 890;1 731 800
BIAŁOSTOCKIE;SUWALSKI;9 840;354 590;51 000;165 330;2 246 400
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);21 641;175 489;27 000;80 820;785 300
BIAŁOSTOCKIE;WOŁKOWYSKI;14 163;447 738;83 120;97 260;1 428 800
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;37 613;250 250;43 180;123 030;829 100
BIAŁOSTOCKIE;ŁOMŻYŃSKI;34 624;218 370;24 120;141 780;1 310 000
KIELECKIE;BĘDZIŃSKI;34 415;277 676;90 970;152 390;1 606 800
KIELECKIE;CZĘSTOCHOWSKI;43 110;334 108;98 151;235 340;2 035 100
KIELECKIE;IŁŻECKI;66 728;397 824;172 770;270 560;1 992 200
KIELECKIE;JĘDRZEJOWSKI;121 541;279 610;149 884;156 250;1 261 600
KIELECKIE;KIELECKI;42 520;258 044;63 927;100 260;1 514 700
KIELECKIE;KONECKI;17 920;163 797;34 290;80 280;751 900
KIELECKIE;KOZIENICKI;21 490;328 724;87 080;209 660;1 105 400
KIELECKIE;MIECHOWSKI;200 656;205 100;198 600;229 120;1 413 600
KIELECKIE;OLKUSKI;23 295;174 563;113 794;190 350;1 355 600
KIELECKIE;OPATOWSKI;93 010;300 600;211 440;309 810;2 077 500
KIELECKIE;OPOCZYŃSKI;26 360;318 352;53 578;165 950;1 335 600
KIELECKIE;PIŃCZOWSKI;89 770;203 717;102 741;124 840;1 432 400
KIELECKIE;RADOMSKI;56 335;326 076;85 260;204 750;1 350 500
KIELECKIE;SANDOMIERSKI;88 456;187 558;124 500;167 310;1 231 300
KIELECKIE;STOPNICKI;82 740;231 710;145 340;209 140;1 579 500
KIELECKIE;WŁOSZCZOWSKI;82 006;186 269;92 430;132 400;1 016 500
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);14 016;42 000;19 280;105 300;284 200
KRAKOWSKIE;BOCHEŃSKI;39 780;96 440;35 690;87 400;715 400
KRAKOWSKIE;BRZESKI (BRZESKO);55 404;87 400;60 228;101 360;921 500
KRAKOWSKIE;CHRZANOWSKI;10258;70 231;27 840;69 440;658 000
KRAKOWSKIE;DĄBROWSKI;44 049;58 125;25 989;69 410;592 800
KRAKOWSKIE;GORLICKI;33 370;36 001;27 260;25 000;562 400
KRAKOWSKIE;GRYBOWSKI;64 242;44 015;40 315;119 930;206 200
KRAKOWSKIE;JASIELSKI;60 169;74 355;60 218;140 400;639 200
KRAKOWSKIE;KRAKOWSKI;51 472;112000;44 280;145 220;660 000
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;
KRAKOWSKIE;LIMANOWSKI;24 481;44 519;32 080;83 370;403 000
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);31 540;70 467;46 817;200 220;506 700
KRAKOWSKIE;MIELECKI;63 440;145 460;49 746;83 660;838 900
KRAKOWSKIE;MYŚLENICKI;12 960;24 375;13 750;79 200;190 400
KRAKOWSKIE;NOWOSĄDECKI;45 635;75 637;73 320;85 990;637 000
KRAKOWSKIE;NOWOTARSKI;11 805;43920;70030;400 720;1 264 500
KRAKOWSKIE;OŚWIĘCIMSKI;13 135;50 600;22 908;69 600;310 500
KRAKOWSKIE;PILZNEŃSKI;38 950;65946;50 801;90 910;387900
KRAKOWSKIE;ROPCZYCKI;40 588;75 369;48 160;93 750;940500
KRAKOWSKIE;TARNOWSKI;42 058;80 835;26 472;118 800;660 000
KRAKOWSKIE;WADOWICKI;36 088;74 350;28 420;114 240;553 800
KRAKOWSKIE;WIELICKI;38 760;66 340;60 760;630 001;133000
KRAKOWSKIE;ŻYWIECKI;7 414;52 281;57 220;171 200;528 600
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);25 790;267 184;39 310;111 830;1 212 600
LUBELSKIE;BIŁGORAJSKI;69 381;167 370;68 090;157 060;978 800
LUBELSKIE;CHEŁMSKI;283 192;319 060;113 050;187 200;1 666 000
LUBELSKIE;GARWOLIŃSKI;74 250;359 660;91 067;185 900;1 465 500
LUBELSKIE;HRUBIESZOWSKI;151 103;124 950;67 394;110 260;1 017 900
LUBELSKIE;JANOWSKI;101 358;204 620;119 669;284 910;1 879 500
LUBELSKIE;KONSTANTYNOWSKI;28 948;280 700;66 630;184 130;1 653 800
LUBELSKIE;KRASNOSTAWSKI;227 140;167 640;124 580;222 600;1 364 800
LUBELSKIE;LUBARTOWSKI;55 170;366 470;65 168;215 190;1 387 000
LUBELSKIE;LUBELSKI;196 450;383 505;189 550;296 980;2 273 500
LUBELSKIE;PUŁAWSKI;76 270;285 804;171 664;215 350;1 866 100
LUBELSKIE;RADZYŃSKI;83 460;219 070;38 520;223 560;1 501 800
LUBELSKIE;SIEDLECKI;32 052;262 400;29 820;136 600;1 216 700
LUBELSKIE;SOKOŁOWSKI;85 862;240 970;46 140;124 210;1 195 100
LUBELSKIE;TOMASZOWSKI;125 016;138 060;110 340;133 200;1 008 900
LUBELSKIE;WĘGROWSKI;38 838;223 814;45 500;122 240;795 700
