Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
LWOWSKIE;BRZOZOWSKI;9 281;27 378;30 149;35 740;1 207 283
LWOWSKIE;BÓBRECKI;33 432;34 050;22 308;40 556;811 352
LWOWSKIE;DOBROMILSKI;20 101;28 627;10 729;30 740;404 743
LWOWSKIE;DROHOBYCKI;9 469;23 421;15 066;41 419;900 432
LWOWSKIE;GRÓDECKI;26 716;24 500;46 708;37 893;681 200
LWOWSKIE;JAROSŁAWSKI;33 446;65 027;69 900;160 142;937 989
LWOWSKIE;JAWOROWSKI;15 014;40 665;21 718;38 644;301 699
LWOWSKIE;KOLBUSZOWSKI;12 526;58 751;19 786;60 343;580 252
LWOWSKIE;KROŚNIEŃSKI;15 938;19 040;52 241;77 271;871 855
LWOWSKIE;LESKI;14 095;17 253;12 696;224 531;497 590
LWOWSKIE;LUBACZOWSKI;32 483;40 345;42 633;88 404;542 351
LWOWSKIE;LWOWSKI;42 255;54 639;61 803;118 885;1 475 588
LWOWSKIE;LWÓW (MIASTO);;;;;
LWOWSKIE;MOŚCISKI;19 795;20 768;21 169;29 434;589 900
LWOWSKIE;NIŻAŃSKI;9 255;25 694;20 839;40 132;379 492
LWOWSKIE;PRZEMYSKI;36 470;33 513;35 925;54 965;919 854
LWOWSKIE;PRZEWORSKI;14 759;21 192;33 285;27 409;307 845
LWOWSKIE;RAWSKI (RAWA RUSKA);55 521;53 396;66 532;77 966;525 500
LWOWSKIE;RUDECKI;15 229;14 309;34 135;29 360;607 997
LWOWSKIE;RZESZOWSKI;37 559;41 612;81 540;101 431;1 346 982
LWOWSKIE;SAMBORSKI;30 448;24 227;40 072;49 569;644 973
LWOWSKIE;SANOCKI;21 291;28 001;26 237;104 271;1 025 985
LWOWSKIE;SOKALSKI;105 754;62 583;35 634;69 217;1 306 560
LWOWSKIE;STAROSAMBORSKI;21 015;42 116;20 240;58 918;407 682
LWOWSKIE;STRZYŻOWSKI;25 099;16 817;24 886;50 037;462 871
LWOWSKIE;TARNOBRZESKI;9 549;28 112;21 750;18 232;521 640
LWOWSKIE;ŁAŃCUCKI;33 745;44 175;31 154;57 418;575 685
LWOWSKIE;ŻÓŁKIEWSKI;33 826;35 181;31 199;34 685;740 692
M. ST. WARSZAWA;M. ST. WARSZAWA;;;;;
NOWOGRÓDZKIE;BARANOWICKI;7 649;101 350;34 165;41 736;334 246
NOWOGRÓDZKIE;LIDZKI;5 449;400 170;73 620;173 363;985 985
NOWOGRÓDZKIE;NIEŚWIESKI;9 011;222 709;32 735;73 609;515 659
NOWOGRÓDZKIE;NOWOGRÓDZKI;10 246;155 162;23 385;57 410;484 308
NOWOGRÓDZKIE;STOŁPECKI;7 854;151 870;26 710;104 214;522 924
NOWOGRÓDZKIE;SŁONIMSKI;6 860;175 926;22 720;69 209;704 178
NOWOGRÓDZKIE;WOŁOŻYŃSKI;5 399;288 067;91 307;171 545;870 625
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);12 731;255 502;27 877;67 581;1 109 627
POLESKIE;DROHICKI;4 951;86 352;7 745;35 543;401 132
POLESKIE;KOBRYŃSKI;3 163;105 641;10 287;37 388;496 721
POLESKIE;KOSOWSKI (KOSÓW POLESKI);3 320;116 793;18 448;53 840;626 213
POLESKIE;KOSZYRSKI;3 337;26 414;7 621;12 721;110 578
POLESKIE;PIŃSKI;2 897;205 167;21 735;50 706;693 570
POLESKIE;PRUŻAŃSKI;3 410;124 358;11 411;41 417;547 311
POLESKIE;SARNEŃSKI;6 696;82 952;27 805;51 475;451 809
