Region;District;Total population
POMORSKIE;S POLE—SKI;27876
POMORSKIE;TCZEWSKI;35744
POMORSKIE;TORU— (MIASTO);39424
POMORSKIE;TORU—SKI;53823
POMORSKIE;TUCHOLSKI;34445
POMORSKIE;WEJHEROWSKI;43718
POMORSKIE;W•BRZESKI;47100
POMORSKIE;åWIECKI;83138
POZNA—SKIE;BYDGOSKI;52620
POZNA—SKIE;BYDGOSZCZ (MIASTO);87643
POZNA—SKIE;CHODZIESKI;41742
POZNA—SKIE;CZARNKOWSKI;35586
POZNA—SKIE;GNIEèNIE—SKI;56488
POZNA—SKIE;GOSTY—SKI;48930
POZNA—SKIE;GRODZISKI;35672
POZNA—SKIE;INOWROC£AWSKI;75395
POZNA—SKIE;JAROCI—SKI;54362
POZNA—SKIE;KOåCIA—SKI;48580
POZNA—SKIE;KOèMI—SKI;34496
POZNA—SKIE;KROTOSZY—SKI;44754
POZNA—SKIE;K PI—SKI;52670
POZNA—SKIE;LESZCZY—SKI;54402
POZNA—SKIE;MI DZYCHODZKI;30131
POZNA—SKIE;MOGILE—SKI;48898
POZNA—SKIE;NOWOTOMYSKI;50373
POZNA—SKIE;OBORNICKI;55146
POZNA—SKIE;ODOLANOWSKI;43217
POZNA—SKIE;OSTROWSKI (OSTR”W WIELKOPOLSKI);48129
POZNA—SKIE;OSTRZESZOWSKI;40082
POZNA—SKIE;PLESZEWSKI;38234
POZNA—SKIE;POZNA— (MIASTO);169422
POZNA—SKIE;POZNA—SKI WSCHODNI;51457
POZNA—SKIE;POZNA—SKI ZACHODNI;45191
POZNA—SKIE;RAWICKI;48929
POZNA—SKIE;STRZELNE—SKI;39913
POZNA—SKIE;SZAMOTULSKI;66056
POZNA—SKIE;SZUBI—SKI;46089
POZNA—SKIE;WITKOWSKI;30248
POZNA—SKIE;WOLSZTY—SKI;48661
POZNA—SKIE;WRZESI—SKI;41104
POZNA—SKIE;WYRZYSKI;62531
POZNA—SKIE;W•GROWIECKI;54375
POZNA—SKIE;åMIGIELSKI;37955
POZNA—SKIE;åREDZKI;49812
POZNA—SKIE;åREMSKI;57509
POZNA—SKIE;ØNI—SKI;41063
STANIS£AWOWSKIE;BOHORODCZA—SKI;56845
STANIS£AWOWSKIE;DOLI—SKI;101427
STANIS£AWOWSKIE;HORODE—SKI;83670
STANIS£AWOWSKIE;KA£USKI;87868
STANIS£AWOWSKIE;KOSOWSKI (KOS”W HUCULSKI);77221
STANIS£AWOWSKIE;KO£OMYJSKI;119280
