District;Region;Large Land Estates/Number of estates/From 100 to 200;Large Land Estates/Total area/From 100 to 200;Large Land Estates/Arable land/From 100 to 200;Large Land Estates/Meadows/From 100 to 200;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 100 to 200;Large Land Estates/Orchards/From 100 to 200;Large Land Estates/Vegetable gardens/From 100 to 200;Large Land Estates/Parks/From 100 to 200;Large Land Estates/Land under forest use/From 100 to 200;Large Land Estates/Ponds and lakes/From 100 to 200;Large Land Estates/Under buildings and roads/From 100 to 200;Large Land Estates/Unproductive land/From 100 to 200;Large Land Estates/Number of estates/From 200 to 300;Large Land Estates/Total area/From 200 to 300;Large Land Estates/Arable land/From 200 to 300;Large Land Estates/Meadows/From 200 to 300;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 200 to 300;Large Land Estates/Orchards/From 200 to 300;Large Land Estates/Vegetable gardens/From 200 to 300;Large Land Estates/Parks/From 200 to 300;Large Land Estates/Land under forest use/From 200 to 300;Large Land Estates/Ponds and lakes/From 200 to 300;Large Land Estates/Under buildings and roads/From 200 to 300;Large Land Estates/Unproductive land/From 200 to 300;Large Land Estates/Number of estates/From 300 to 400;Large Land Estates/Total area/From 300 to 400;Large Land Estates/Arable land/From 300 to 400;Large Land Estates/Meadows/From 300 to 400;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 300 to 400;Large Land Estates/Orchards/From 300 to 400;Large Land Estates/Vegetable gardens/From 300 to 400;Large Land Estates/Parks/From 300 to 400;Large Land Estates/Land under forest use/From 300 to 400;Large Land Estates/Ponds and lakes/From 300 to 400;Large Land Estates/Under buildings and roads/From 300 to 400;Large Land Estates/Unproductive land/From 300 to 400;Large Land Estates/Number of estates/From 400 to 500;Large Land Estates/Total area/From 400 to 500;Large Land Estates/Arable land/From 400 to 500;Large Land Estates/Meadows/From 400 to 500;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 400 to 500;Large Land Estates/Orchards/From 400 to 500;Large Land Estates/Vegetable gardens/From 400 to 500;Large Land Estates/Parks/From 400 to 500;Large Land Estates/Land under forest use/From 400 to 500;Large Land Estates/Ponds and lakes/From 400 to 500;Large Land Estates/Under buildings and roads/From 400 to 500;Large Land Estates/Unproductive land/From 400 to 500;Large Land Estates/Number of estates/From 50 to 100;Large Land Estates/Total area/From 50 to 100;Large Land Estates/Arable land/From 50 to 100;Large Land Estates/Meadows/From 50 to 100;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 50 to 100;Large Land Estates/Orchards/From 50 to 100;Large Land Estates/Vegetable gardens/From 50 to 100;Large Land Estates/Parks/From 50 to 100;Large Land Estates/Land under forest use/From 50 to 100;Large Land Estates/Ponds and lakes/From 50 to 100;Large Land Estates/Under buildings and roads/From 50 to 100;Large Land Estates/Unproductive land/From 50 to 100;Large Land Estates/Number of estates/From 500 to 1000;Large Land Estates/Total area/From 500 to 1000;Large Land Estates/Arable land/From 500 to 1000;Large Land Estates/Meadows/From 500 to 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 500 to 1000;Large Land Estates/Orchards/From 500 to 1000;Large Land Estates/Vegetable gardens/From 500 to 1000;Large Land Estates/Parks/From 500 to 1000;Large Land Estates/Land under forest use/From 500 to 1000;Large Land Estates/Ponds and lakes/From 500 to 1000;Large Land Estates/Under buildings and roads/From 500 to 1000;Large Land Estates/Unproductive land/From 500 to 1000;Large Land Estates/Number of estates/Over 1000;Large Land Estates/Total area/Over 1000;Large Land Estates/Arable land/Over 1000;Large Land Estates/Meadows/Over 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Over 1000;Large Land Estates/Orchards/Over 1000;Large Land Estates/Vegetable gardens/Over 1000;Large Land Estates/Parks/Over 1000;Large Land Estates/Land under forest use/Over 1000;Large Land Estates/Ponds and lakes/Over 1000;Large Land Estates/Under buildings and roads/Over 1000;Large Land Estates/Unproductive land/Over 1000;Large Land Estates/Number of estates/Together;Large Land Estates/Total area/Together;Large Land Estates/Arable land/Together;Large Land Estates/Meadows/Together;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Together;Large Land Estates/Orchards/Together;Large Land Estates/Vegetable gardens/Together;Large Land Estates/Parks/Together;Large Land Estates/Land under forest use/Together;Large Land Estates/Ponds and lakes/Together;Large Land Estates/Under buildings and roads/Together;Large Land Estates/Unproductive land/Together
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);BIAŁOSTOCKIE;20.0;2818.0;1040.0;259.0;566.0;14.0;13.0;0.0;253.0;4.0;41.0;628.0;8.0;1886.0;991.0;288.0;130.0;15.0;5.0;0.0;303.0;16.0;35.0;103.0;6.0;2084.0;1262.0;246.0;175.0;13.0;7.0;4.0;307.0;1.0;40.0;29.0;4.0;1750.0;910.0;262.0;166.0;9.0;8.0;0.0;288.0;58.0;16.0;33.0;45.0;3117.0;1136.0;365.0;569.0;27.0;22.0;0.0;443.0;11.0;50.0;494.0;9.0;5872.0;2522.0;1290.0;888.0;34.0;49.0;3.0;676.0;38.0;52.0;320.0;4.0;5309.0;1992.0;827.0;99.0;13.0;14.0;6.0;1973.0;91.0;11.0;283.0;96.0;22836.0;9853.0;3537.0;2593.0;125.0;118.0;13.0;4243.0;219.0;245.0;1890.0
WOŁKOWYSKI;BIAŁOSTOCKIE;35.0;5218.0;3092.0;457.0;337.0;37.0;20.0;2.0;762.0;7.0;93.0;411.0;17.0;4184.0;2584.0;369.0;220.0;45.0;13.0;9.0;500.0;25.0;73.0;346.0;16.0;5325.0;2872.0;482.0;355.0;25.0;20.0;1.0;1353.0;3.0;55.0;159.0;10.0;4381.0;2058.0;349.0;281.0;15.0;12.0;3.0;1022.0;24.0;51.0;566.0;38.0;2661.0;1647.0;247.0;121.0;14.0;13.0;5.0;284.0;7.0;52.0;271.0;25.0;17850.0;8672.0;1799.0;644.0;67.0;46.0;40.0;5397.0;49.0;252.0;884.0;20.0;52072.0;19654.0;3898.0;3172.0;130.0;143.0;77.0;21959.0;47.0;403.0;2589.0;161.0;91691.0;40579.0;7601.0;5130.0;333.0;267.0;137.0;31277.0;162.0;979.0;5226.0
WYSOKOMAZOWIECKI;BIAŁOSTOCKIE;18.0;2624.0;1658.0;260.0;230.0;32.0;15.0;1.0;295.0;21.0;45.0;67.0;11.0;2590.0;1479.0;279.0;261.0;29.0;3.0;0.0;271.0;24.0;44.0;200.0;7.0;2510.0;1634.0;256.0;180.0;19.0;9.0;4.0;337.0;22.0;28.0;21.0;2.0;892.0;384.0;47.0;36.0;9.0;4.0;0.0;374.0;6.0;24.0;8.0;21.0;1433.0;832.0;144.0;121.0;18.0;9.0;1.0;198.0;9.0;22.0;79.0;4.0;3247.0;1491.0;283.0;127.0;20.0;12.0;132.0;1049.0;37.0;49.0;47.0;4.0;6077.0;2146.0;284.0;200.0;41.0;25.0;11.0;3202.0;43.0;69.0;56.0;67.0;19373.0;9624.0;1553.0;1155.0;168.0;77.0;149.0;5726.0;162.0;281.0;478.0
ŁOMŻYŃSKI;BIAŁOSTOCKIE;10.0;1362.0;906.0;113.0;81.0;12.0;9.0;1.0;132.0;5.0;24.0;79.0;6.0;1414.0;699.0;279.0;193.0;12.0;4.0;1.0;64.0;1.0;17.0;144.0;4.0;1464.0;996.0;128.0;38.0;10.0;5.0;0.0;251.0;8.0;21.0;7.0;2.0;851.0;192.0;101.0;100.0;2.0;4.0;0.0;427.0;3.0;14.0;8.0;12.0;948.0;385.0;80.0;185.0;2.0;4.0;0.0;98.0;17.0;13.0;164.0;9.0;6358.0;2639.0;656.0;425.0;25.0;22.0;6.0;2238.0;43.0;33.0;271.0;7.0;10753.0;4078.0;2080.0;642.0;37.0;22.0;20.0;3651.0;101.0;68.0;54.0;50.0;23150.0;9895.0;3437.0;1664.0;100.0;70.0;28.0;6861.0;178.0;190.0;727.0
BĘDZIŃSKI;KIELECKIE;11.0;1741.0;675.0;91.0;100.0;9.0;4.0;4.0;525.0;49.0;34.0;250.0;3.0;691.0;245.0;41.0;;6.0;3.0;0.0;296.0;12.0;4.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;963.0;379.0;92.0;56.0;2.0;2.0;2.0;375.0;6.0;14.0;35.0;4.0;287.0;130.0;65.0;9.0;20.0;2.0;1.0;0.0;0.0;6.0;54.0;3.0;2002.0;432.0;135.0;147.0;3.0;3.0;6.0;976.0;1.0;211.0;88.0;7.0;10115.0;3301.0;633.0;386.0;16.0;36.0;30.0;5030.0;35.0;169.0;479.0;30.0;15799.0;5162.0;1057.0;698.0;56.0;50.0;43.0;7202.0;103.0;438.0;990.0
CZĘSTOCHOWSKI;KIELECKIE;13.0;1653.0;1073.0;118.0;176.0;22.0;10.0;2.0;119.0;9.0;42.0;82.0;6.0;1552.0;1064.0;50.0;84.0;5.0;2.0;1.0;250.0;11.0;39.0;46.0;6.0;2010.0;941.0;127.0;253.0;18.0;9.0;3.0;419.0;41.0;53.0;146.0;1.0;433.0;317.0;13.0;1.0;4.0;0.0;0.0;84.0;0.0;3.0;11.0;9.0;673.0;372.0;76.0;35.0;4.0;1.0;2.0;47.0;35.0;23.0;78.0;6.0;3922.0;1636.0;178.0;549.0;15.0;9.0;3.0;1430.0;9.0;33.0;60.0;4.0;12634.0;3486.0;704.0;132.0;26.0;31.0;13.0;7729.0;115.0;253.0;145.0;45.0;22877.0;8889.0;1266.0;1230.0;94.0;62.0;24.0;10078.0;220.0;446.0;568.0
IŁŻECKI;KIELECKIE;12.0;1761.0;1066.0;115.0;277.0;16.0;1.0;1.0;128.0;33.0;40.0;84.0;6.0;1667.0;1111.0;117.0;29.0;12.0;5.0;7.0;322.0;12.0;33.0;19.0;2.0;689.0;444.0;71.0;75.0;6.0;7.0;1.0;36.0;22.0;18.0;9.0;2.0;861.0;127.0;38.0;9.0;0.0;0.0;0.0;680.0;1.0;5.0;1.0;2.0;120.0;78.0;11.0;4.0;0.0;1.0;0.0;14.0;2.0;5.0;5.0;7.0;4446.0;2205.0;177.0;134.0;15.0;8.0;7.0;1756.0;54.0;62.0;28.0;4.0;27522.0;2884.0;150.0;214.0;10.0;5.0;25.0;23700.0;65.0;64.0;405.0;35.0;37066.0;7915.0;679.0;742.0;59.0;27.0;41.0;26636.0;189.0;227.0;551.0
JĘDRZEJOWSKI;KIELECKIE;15.0;2324.0;1726.0;81.0;133.0;15.0;17.0;4.0;233.0;7.0;63.0;45.0;6.0;1591.0;1069.0;157.0;46.0;35.0;2.0;6.0;182.0;45.0;42.0;7.0;10.0;3425.0;2460.0;181.0;207.0;30.0;44.0;17.0;186.0;92.0;79.0;129.0;6.0;2588.0;1681.0;94.0;165.0;15.0;7.0;6.0;403.0;81.0;37.0;99.0;7.0;535.0;351.0;17.0;4.0;11.0;2.0;9.0;38.0;52.0;19.0;32.0;11.0;7280.0;4910.0;439.0;167.0;35.0;10.0;17.0;1288.0;79.0;158.0;177.0;6.0;11496.0;3671.0;344.0;171.0;42.0;20.0;12.0;6764.0;207.0;128.0;137.0;61.0;29239.0;15868.0;1313.0;893.0;183.0;102.0;71.0;9094.0;563.0;526.0;626.0
KIELECKI;KIELECKIE;8.0;1136.0;685.0;87.0;97.0;9.0;1.0;1.0;120.0;17.0;17.0;102.0;4.0;1053.0;634.0;55.0;48.0;7.0;8.0;2.0;252.0;2.0;10.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;566.0;311.0;30.0;138.0;7.0;5.0;1.0;21.0;6.0;17.0;30.0;3.0;2339.0;1102.0;114.0;47.0;14.0;2.0;5.0;972.0;7.0;44.0;32.0;3.0;8654.0;637.0;112.0;82.0;10.0;1.0;1.0;7245.0;34.0;14.0;518.0;25.0;13748.0;3369.0;398.0;412.0;47.0;17.0;10.0;8610.0;66.0;102.0;717.0
KONECKI;KIELECKIE;3.0;476.0;149.0;28.0;54.0;5.0;1.0;1.0;105.0;91.0;5.0;37.0;5.0;1281.0;416.0;148.0;129.0;7.0;1.0;1.0;260.0;5.0;21.0;293.0;3.0;992.0;312.0;41.0;193.0;5.0;1.0;0.0;373.0;2.0;7.0;58.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;544.0;236.0;54.0;38.0;18.0;3.0;0.0;95.0;13.0;11.0;76.0;4.0;2662.0;745.0;95.0;1137.0;5.0;6.0;10.0;228.0;45.0;20.0;371.0;13.0;55627.0;3593.0;1408.0;1160.0;72.0;55.0;36.0;47099.0;767.0;473.0;964.0;35.0;61582.0;5451.0;1774.0;2711.0;112.0;67.0;48.0;48160.0;923.0;537.0;1799.0
KOZIENICKI;KIELECKIE;3.0;401.0;230.0;51.0;39.0;8.0;1.0;4.0;;2.0;8.0;58.0;7.0;1758.0;1148.0;132.0;128.0;39.0;12.0;17.0;180.0;30.0;36.0;36.0;2.0;776.0;286.0;0.0;39.0;2.0;3.0;0.0;398.0;17.0;19.0;12.0;2.0;891.0;228.0;166.0;62.0;4.0;4.0;0.0;314.0;58.0;8.0;47.0;5.0;384.0;246.0;40.0;18.0;18.0;2.0;3.0;19.0;13.0;7.0;18.0;7.0;4888.0;2166.0;339.0;535.0;67.0;16.0;8.0;873.0;174.0;77.0;633.0;5.0;11096.0;2870.0;362.0;258.0;48.0;33.0;17.0;6656.0;224.0;143.0;485.0;31.0;20194.0;7174.0;1090.0;1079.0;186.0;71.0;49.0;8440.0;518.0;298.0;1289.0
MIECHOWSKI;KIELECKIE;25.0;3798.0;2896.0;290.0;85.0;53.0;24.0;12.0;313.0;22.0;53.0;50.0;15.0;3671.0;2819.0;241.0;98.0;23.0;18.0;11.0;340.0;8.0;63.0;50.0;8.0;2689.0;1914.0;169.0;37.0;16.0;21.0;8.0;361.0;21.0;36.0;106.0;8.0;3539.0;2750.0;238.0;84.0;21.0;34.0;12.0;279.0;14.0;78.0;29.0;9.0;607.0;409.0;43.0;19.0;7.0;8.0;1.0;88.0;3.0;11.0;18.0;13.0;8705.0;5342.0;631.0;245.0;25.0;25.0;22.0;2129.0;16.0;108.0;162.0;5.0;8786.0;4205.0;157.0;22.0;21.0;26.0;3.0;4112.0;15.0;58.0;167.0;83.0;31795.0;20335.0;1769.0;590.0;166.0;156.0;69.0;7622.0;99.0;407.0;582.0
