District;Region;Large Land Estates/Number of estates/From 100 to 200;Large Land Estates/Total area/From 100 to 200;Large Land Estates/Arable land/From 100 to 200;Large Land Estates/Meadows/From 100 to 200;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 100 to 200;Large Land Estates/Orchards/From 100 to 200;Large Land Estates/Vegetable gardens/From 100 to 200;Large Land Estates/Parks/From 100 to 200;Large Land Estates/Land under forest use/From 100 to 200;Large Land Estates/Ponds and lakes/From 100 to 200;Large Land Estates/Under buildings and roads/From 100 to 200;Large Land Estates/Unproductive land/From 100 to 200;Large Land Estates/Number of estates/From 200 to 300;Large Land Estates/Total area/From 200 to 300;Large Land Estates/Arable land/From 200 to 300;Large Land Estates/Meadows/From 200 to 300;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 200 to 300;Large Land Estates/Orchards/From 200 to 300;Large Land Estates/Vegetable gardens/From 200 to 300;Large Land Estates/Parks/From 200 to 300;Large Land Estates/Land under forest use/From 200 to 300;Large Land Estates/Ponds and lakes/From 200 to 300;Large Land Estates/Under buildings and roads/From 200 to 300;Large Land Estates/Unproductive land/From 200 to 300;Large Land Estates/Number of estates/From 300 to 400;Large Land Estates/Total area/From 300 to 400;Large Land Estates/Arable land/From 300 to 400;Large Land Estates/Meadows/From 300 to 400;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 300 to 400;Large Land Estates/Orchards/From 300 to 400;Large Land Estates/Vegetable gardens/From 300 to 400;Large Land Estates/Parks/From 300 to 400;Large Land Estates/Land under forest use/From 300 to 400;Large Land Estates/Ponds and lakes/From 300 to 400;Large Land Estates/Under buildings and roads/From 300 to 400;Large Land Estates/Unproductive land/From 300 to 400;Large Land Estates/Number of estates/From 400 to 500;Large Land Estates/Total area/From 400 to 500;Large Land Estates/Arable land/From 400 to 500;Large Land Estates/Meadows/From 400 to 500;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 400 to 500;Large Land Estates/Orchards/From 400 to 500;Large Land Estates/Vegetable gardens/From 400 to 500;Large Land Estates/Parks/From 400 to 500;Large Land Estates/Land under forest use/From 400 to 500;Large Land Estates/Ponds and lakes/From 400 to 500;Large Land Estates/Under buildings and roads/From 400 to 500;Large Land Estates/Unproductive land/From 400 to 500;Large Land Estates/Number of estates/From 50 to 100;Large Land Estates/Total area/From 50 to 100;Large Land Estates/Arable land/From 50 to 100;Large Land Estates/Meadows/From 50 to 100;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 50 to 100;Large Land Estates/Orchards/From 50 to 100;Large Land Estates/Vegetable gardens/From 50 to 100;Large Land Estates/Parks/From 50 to 100;Large Land Estates/Land under forest use/From 50 to 100;Large Land Estates/Ponds and lakes/From 50 to 100;Large Land Estates/Under buildings and roads/From 50 to 100;Large Land Estates/Unproductive land/From 50 to 100;Large Land Estates/Number of estates/From 500 to 1000;Large Land Estates/Total area/From 500 to 1000;Large Land Estates/Arable land/From 500 to 1000;Large Land Estates/Meadows/From 500 to 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 500 to 1000;Large Land Estates/Orchards/From 500 to 1000;Large Land Estates/Vegetable gardens/From 500 to 1000;Large Land Estates/Parks/From 500 to 1000;Large Land Estates/Land under forest use/From 500 to 1000;Large Land Estates/Ponds and lakes/From 500 to 1000;Large Land Estates/Under buildings and roads/From 500 to 1000;Large Land Estates/Unproductive land/From 500 to 1000;Large Land Estates/Number of estates/Over 1000;Large Land Estates/Total area/Over 1000;Large Land Estates/Arable land/Over 1000;Large Land Estates/Meadows/Over 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Over 1000;Large Land Estates/Orchards/Over 1000;Large Land Estates/Vegetable gardens/Over 1000;Large Land Estates/Parks/Over 1000;Large Land Estates/Land under forest use/Over 1000;Large Land Estates/Ponds and lakes/Over 1000;Large Land Estates/Under buildings and roads/Over 1000;Large Land Estates/Unproductive land/Over 1000;Large Land Estates/Number of estates/Together;Large Land Estates/Total area/Together;Large Land Estates/Arable land/Together;Large Land Estates/Meadows/Together;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Together;Large Land Estates/Orchards/Together;Large Land Estates/Vegetable gardens/Together;Large Land Estates/Parks/Together;Large Land Estates/Land under forest use/Together;Large Land Estates/Ponds and lakes/Together;Large Land Estates/Under buildings and roads/Together;Large Land Estates/Unproductive land/Together
AUGUSTOWSKI;BIAŁOSTOCKIE;13.0;1924.0;1255.0;215.0;94.0;19.0;7.0;2.0;215.0;8.0;33.0;76.0;8.0;2003.0;1085.0;347.0;178.0;11.0;20.0;0.0;241.0;3.0;36.0;82.0;4.0;1377.0;743.0;148.0;248.0;5.0;14.0;0.0;140.0;30.0;25.0;24.0;1.0;466.0;418.0;21.0;6.0;3.0;2.0;0.0;0.0;1.0;9.0;6.0;9.0;556.0;344.0;78.0;54.0;8.0;3.0;1.0;12.0;2.0;16.0;38.0;6.0;4824.0;2701.0;557.0;171.0;27.0;14.0;10.0;944.0;294.0;47.0;59.0;1.0;1619.0;867.0;299.0;17.0;4.0;7.0;1.0;363.0;10.0;44.0;7.0;42.0;12769.0;7413.0;1665.0;768.0;77.0;67.0;14.0;1915.0;348.0;210.0;292.0
BIAŁOSTOCKI;BIAŁOSTOCKIE;33.0;4736.0;2243.0;633.0;461.0;61.0;46.0;25.0;741.0;28.0;100.0;398.0;8.0;1918.0;792.0;333.0;177.0;18.0;12.0;1.0;203.0;39.0;39.0;304.0;7.0;2363.0;901.0;483.0;450.0;12.0;5.0;4.0;259.0;4.0;33.0;212.0;3.0;1328.0;531.0;113.0;268.0;4.0;2.0;0.0;178.0;5.0;21.0;206.0;27.0;1781.0;754.0;205.0;309.0;32.0;21.0;0.0;226.0;10.0;69.0;155.0;6.0;4105.0;1444.0;634.0;632.0;17.0;16.0;2.0;951.0;13.0;37.0;359.0;12.0;44368.0;5628.0;5281.0;1077.0;49.0;70.0;40.0;27280.0;665.0;195.0;4083.0;96.0;60599.0;12293.0;7682.0;3374.0;193.0;172.0;72.0;29838.0;764.0;494.0;5717.0
BIELSKI (BIELSK PODLASKI);BIAŁOSTOCKIE;22.0;3105.0;1641.0;493.0;340.0;35.0;23.0;4.0;237.0;9.0;65.0;258.0;11.0;2604.0;1551.0;246.0;233.0;33.0;7.0;0.0;321.0;13.0;35.0;165.0;9.0;3176.0;1467.0;306.0;88.0;25.0;14.0;0.0;1045.0;9.0;46.0;176.0;8.0;3538.0;1689.0;406.0;283.0;17.0;35.0;1.0;967.0;14.0;44.0;82.0;40.0;2616.0;1212.0;317.0;344.0;19.0;25.0;2.0;291.0;5.0;47.0;354.0;16.0;11050.0;3451.0;1229.0;679.0;72.0;24.0;21.0;4721.0;121.0;175.0;557.0;6.0;13903.0;2520.0;994.0;962.0;31.0;17.0;36.0;8963.0;178.0;103.0;99.0;112.0;39992.0;13531.0;3991.0;2929.0;232.0;145.0;64.0;16545.0;349.0;515.0;1691.0
GRODZIEŃSKI;BIAŁOSTOCKIE;25.0;3370.0;1820.0;438.0;263.0;43.0;16.0;5.0;463.0;16.0;72.0;234.0;12.0;2930.0;1675.0;376.0;293.0;45.0;10.0;2.0;220.0;5.0;52.0;252.0;15.0;5289.0;2911.0;648.0;298.0;66.0;15.0;11.0;877.0;11.0;116.0;336.0;5.0;2158.0;1158.0;608.0;71.0;33.0;14.0;0.0;168.0;11.0;31.0;64.0;15.0;982.0;611.0;88.0;90.0;10.0;3.0;1.0;78.0;1.0;11.0;89.0;19.0;12003.0;5793.0;998.0;624.0;77.0;25.0;58.0;3737.0;37.0;190.0;464.0;19.0;36727.0;18062.0;3527.0;2490.0;103.0;101.0;49.0;10074.0;141.0;344.0;1836.0;110.0;63459.0;32030.0;6683.0;4129.0;377.0;184.0;126.0;15617.0;222.0;816.0;3275.0
KOLNEŃSKI;BIAŁOSTOCKIE;5.0;660.0;324.0;57.0;53.0;2.0;4.0;0.0;159.0;0.0;6.0;55.0;3.0;764.0;431.0;108.0;32.0;6.0;12.0;0.0;152.0;4.0;19.0;0.0;1.0;339.0;219.0;25.0;16.0;1.0;2.0;0.0;68.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;980.0;539.0;64.0;147.0;4.0;5.0;0.0;102.0;1.0;22.0;96.0;4.0;2962.0;1508.0;334.0;210.0;42.0;13.0;3.0;732.0;6.0;34.0;80.0;4.0;6140.0;2801.0;645.0;252.0;23.0;11.0;4.0;2165.0;69.0;27.0;143.0;32.0;11845.0;5822.0;1233.0;710.0;78.0;47.0;7.0;3378.0;81.0;115.0;374.0
OSTROWSKI (OSTRÓW MAZOWIECKA);BIAŁOSTOCKIE;25.0;3796.0;2637.0;249.0;213.0;50.0;21.0;11.0;298.0;26.0;84.0;207.0;7.0;1787.0;1320.0;58.0;120.0;8.0;1.0;3.0;115.0;6.0;38.0;118.0;5.0;1754.0;1133.0;132.0;76.0;20.0;11.0;1.0;177.0;10.0;44.0;150.0;3.0;1358.0;893.0;63.0;113.0;3.0;9.0;14.0;210.0;7.0;33.0;13.0;16.0;1104.0;702.0;107.0;87.0;23.0;7.0;0.0;86.0;10.0;17.0;65.0;2.0;1673.0;1035.0;131.0;100.0;5.0;4.0;1.0;368.0;3.0;10.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.0;11472.0;7720.0;740.0;709.0;109.0;53.0;30.0;1254.0;62.0;226.0;569.0
OSTROŁĘCKI;BIAŁOSTOCKIE;4.0;628.0;235.0;52.0;72.0;6.0;5.0;2.0;219.0;6.0;3.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;932.0;603.0;134.0;95.0;8.0;12.0;0.0;0.0;63.0;11.0;6.0;1.0;428.0;289.0;48.0;27.0;2.0;1.0;0.0;43.0;2.0;6.0;10.0;11.0;762.0;330.0;119.0;72.0;8.0;4.0;0.0;113.0;2.0;14.0;100.0;5.0;3465.0;1336.0;319.0;127.0;15.0;82.0;2.0;1432.0;27.0;44.0;81.0;3.0;6096.0;2176.0;443.0;129.0;26.0;23.0;7.0;2630.0;87.0;13.0;562.0;27.0;12311.0;4969.0;1115.0;522.0;65.0;127.0;11.0;4437.0;187.0;91.0;787.0
SEJNEŃSKI;BIAŁOSTOCKIE;8.0;1113.0;611.0;251.0;79.0;10.0;8.0;2.0;21.0;4.0;16.0;111.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;947.0;541.0;190.0;73.0;4.0;4.0;4.0;52.0;0.0;7.0;72.0;1.0;414.0;169.0;42.0;33.0;2.0;4.0;0.0;138.0;20.0;6.0;0.0;7.0;423.0;245.0;82.0;29.0;3.0;4.0;0.0;0.0;0.0;6.0;54.0;3.0;2052.0;954.0;305.0;69.0;2.0;7.0;0.0;168.0;493.0;5.0;49.0;1.0;1037.0;220.0;69.0;37.0;5.0;0.0;0.0;201.0;491.0;1.0;13.0;23.0;5986.0;2740.0;939.0;320.0;26.0;27.0;6.0;580.0;1008.0;41.0;299.0
SOKÓLSKI;BIAŁOSTOCKIE;16.0;2115.0;1067.0;249.0;220.0;26.0;11.0;1.0;306.0;4.0;44.0;187.0;10.0;2275.0;873.0;385.0;207.0;11.0;8.0;23.0;368.0;89.0;39.0;272.0;3.0;1092.0;570.0;184.0;72.0;11.0;5.0;0.0;219.0;1.0;14.0;16.0;1.0;436.0;272.0;38.0;0.0;9.0;0.0;8.0;109.0;0.0;0.0;0.0;20.0;1395.0;752.0;229.0;102.0;15.0;15.0;3.0;82.0;12.0;28.0;157.0;8.0;4749.0;2614.0;549.0;280.0;27.0;12.0;21.0;946.0;28.0;57.0;215.0;1.0;1726.0;1062.0;315.0;40.0;4.0;0.0;0.0;239.0;6.0;4.0;56.0;59.0;13788.0;7210.0;1949.0;921.0;103.0;51.0;56.0;2269.0;140.0;186.0;903.0
SUWALSKI;BIAŁOSTOCKIE;6.0;879.0;516.0;131.0;116.0;4.0;5.0;0.0;41.0;18.0;12.0;36.0;3.0;729.0;347.0;62.0;71.0;4.0;1.0;0.0;109.0;19.0;4.0;112.0;3.0;940.0;467.0;80.0;236.0;1.0;3.0;0.0;60.0;0.0;10.0;83.0;1.0;430.0;238.0;84.0;77.0;1.0;0.0;0.0;18.0;0.0;1.0;11.0;17.0;1215.0;769.0;227.0;94.0;13.0;12.0;1.0;20.0;3.0;18.0;58.0;2.0;1177.0;535.0;241.0;51.0;8.0;5.0;2.0;229.0;64.0;8.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;5370.0;2872.0;825.0;645.0;31.0;26.0;3.0;477.0;104.0;53.0;334.0
