Region;District;Liczba ludności/Ogółem;Liczba ludności/Mniej niż 2 ha;Liczba ludności/2 - 5 ha;Liczba ludności/5 - 10 ha;Liczba ludności/10 - 15 ha;Liczba ludności/15 - 50 ha;Liczba ludności/50 ha i więcej;Liczba ludności/Niewiadoma;Liczba zespołów/Ogółem;Liczba zespołów/Mniej niż 2 ha;Liczba zespołów/2 - 5 ha;Liczba zespołów/5 - 10 ha;Liczba zespołów/10 - 15 ha;Liczba zespołów/15 - 50 ha;Liczba zespołów/50 ha i więcej;Liczba zespołów/Niewiadoma
KRAKOWSKIE;BRZESKI (BRZESKO);;;;;;;;;;;;;;;;
KRAKOWSKIE;CHRZANOWSKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;DĄBROWSKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;GORLICKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;JASIELSKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;KRAKOWSKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;MIELECKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;MYŚLENICKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;NOWOSĄDECKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;NOWOTARSKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;ROPCZYCKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;TARNOWSKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;WADOWICKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;ŻYWIECKI;;;;;;;;;;;;;;;;
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);73210.0;3747.0;19196.0;30607.0;9944;3776;175;5765.0;15169.0;1002.0;4437.0;6099.0;1789;660;49;1133.0
LUBELSKIE;BIŁGORAJSKI;81029.0;8732.0;39399.0;25574.0;2742;313;63;4206.0;15854.0;2237.0;7701.0;4581.0;440;58;21;816.0
LUBELSKIE;CHEŁMSKI;101589.0;20099.0;40082.0;25640.0;4538;1416;82;9732.0;22646.0;5416.0;9088.0;5000.0;792;240;29;2081.0
LUBELSKIE;GARWOLIŃSKI;100570.0;8679.0;38134.0;39543.0;6194;1461;196;6363.0;20098.0;2252.0;7988.0;7203.0;1024;248;59;1324.0
LUBELSKIE;HRUBIESZOWSKI;79892.0;12657.0;30136.0;20540.0;3638;1221;173;11527.0;17329.0;3400.0;6719.0;4030.0;647;222;53;2258.0
LUBELSKIE;JANOWSKI;101499.0;15383.0;39777.0;31751.0;4496;801;134;9157.0;20981.0;4050.0;8387.0;5715.0;759;139;37;1894.0
LUBELSKIE;KRASNOSTAWSKI;89762.0;16876.0;35543.0;23495.0;3868;1315;194;8471.0;19327.0;4459.0;7720.0;4378.0;676;232;60;1802.0
LUBELSKIE;LUBARTOWSKI;76413.0;10824.0;28775.0;27126.0;5182;1546;86;2874.0;16726.0;2996.0;6645.0;5269.0;892;250;25;649.0
LUBELSKIE;LUBELSKI;106221.0;15027.0;40065.0;33277.0;6240;2035;224;9353.0;52756.0;7203.0;19969.0;16844.0;3232;1077;114;4317.0
LUBELSKIE;LUBLIN (MIASTO);865.0;160.0;292.0;123.0;39;28;42;181.0;232.0;48.0;74.0;26.0;9;7;17;51.0
LUBELSKIE;PUŁAWSKI;95462.0;19563.0;41597.0;22723.0;3069;699;133;7678.0;20064.0;4915.0;8646.0;4145.0;519;124;42;1673.0
LUBELSKIE;RADZYŃSKI;59926.0;3846.0;16632.0;25302.0;7925;2640;92;3489.0;12673.0;1057.0;3849.0;5073.0;1436;473;29;756.0
LUBELSKIE;SIEDLECKI;84899.0;8001.0;25261.0;31426.0;9614;4452;228;5917.0;18296.0;2237.0;5902.0;6319.0;1761;777;59;1241.0
LUBELSKIE;SOKOŁOWSKI;56606.0;8911.0;19380.0;17685.0;4907;1981;144;3598.0;12191.0;2369.0;4362.0;3464.0;856;345;38;757.0
LUBELSKIE;TOMASZOWSKI;81639.0;14218.0;36843.0;19734.0;2516;694;151;7483.0;16890.0;3652.0;7624.0;3588.0;428;120;44;1434.0
LUBELSKIE;WĘGROWSKI;55842.0;5803.0;20532.0;20124.0;4661;1857;132;2733.0;11793.0;1552.0;4566.0;3943.0;805;311;32;584.0
LUBELSKIE;WŁODAWSKI;78303.0;7930.0;24949.0;26827.0;8035;2896;106;7560.0;17520.0;2197.0;5939.0;5692.0;1552;512;32;1596.0
LUBELSKIE;ZAMOJSKI;83784.0;12794.0;37114.0;23064.0;3192;853;172;6595.0;17236.0;3306.0;7563.0;4231.0;573;165;50;1348.0
LUBELSKIE;ŁUKOWSKI;87340.0;8375.0;30179.0;32527.0;8498;2850;137;4774.0;18159.0;2257.0;6754.0;6178.0;1443;466;41;1020.0
LWOWSKIE;BRZOZOWSKI;;;;;;;;;;;;;;;;
LWOWSKIE;BÓBRECKI;;;;;;;;;;;;;;;;
LWOWSKIE;DOBROMILSKI;;;;;;;;;;;;;;;;
LWOWSKIE;DROHOBYCKI;;;;;;;;;;;;;;;;
LWOWSKIE;GRÓDECKI;;;;;;;;;;;;;;;;
LWOWSKIE;JAROSŁAWSKI;;;;;;;;;;;;;;;;
LWOWSKIE;JAWOROWSKI;;;;;;;;;;;;;;;;
LWOWSKIE;KOLBUSZOWSKI;;;;;;;;;;;;;;;;
LWOWSKIE;KROŚNIEŃSKI;;;;;;;;;;;;;;;;
LWOWSKIE;LESKI;;;;;;;;;;;;;;;;
LWOWSKIE;LUBACZOWSKI;;;;;;;;;;;;;;;;
LWOWSKIE;LWOWSKI;;;;;;;;;;;;;;;;
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;;;;;;;;
LWOWSKIE;MOŚCISKI;;;;;;;;;;;;;;;;
LWOWSKIE;NIŻAŃSKI;;;;;;;;;;;;;;;;
LWOWSKIE;PRZEMYSKI;;;;;;;;;;;;;;;;
LWOWSKIE;PRZEWORSKI;;;;;;;;;;;;;;;;
LWOWSKIE;RAWSKI (RAWA RUSKA);;;;;;;;;;;;;;;;
LWOWSKIE;RUDECKI;;;;;;;;;;;;;;;;
LWOWSKIE;RZESZOWSKI;;;;;;;;;;;;;;;;
LWOWSKIE;SAMBORSKI;;;;;;;;;;;;;;;;
LWOWSKIE;SANOCKI;;;;;;;;;;;;;;;;
LWOWSKIE;SOKALSKI;;;;;;;;;;;;;;;;
LWOWSKIE;TARNOBRZESKI;;;;;;;;;;;;;;;;
LWOWSKIE;TURCZAŃSKI;;;;;;;;;;;;;;;;
LWOWSKIE;ŁAŃCUCKI;;;;;;;;;;;;;;;;
LWOWSKIE;ŻÓŁKIEWSKI;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;;;
