Region;District;Liczba nieruchomości
POLESKIE;KOSZYRSKI;10510.0
POLESKIE;PIŃSKI;22886.0
POLESKIE;PRUŻAŃSKI;12288.0
POLESKIE;SARNEŃSKI;24240.0
POLESKIE;ŁUNINIECKI;28515.0
POMORSKIE;BRODNICKI;6552.0
POMORSKIE;CHEŁMIŃSKI;4365.0
POMORSKIE;CHOJNICKI;7466.0
POMORSKIE;DZIAŁDOWSKI;2185.0
POMORSKIE;GNIEWSKI;2405.0
POMORSKIE;GRUDZIĄDZ (MIASTO);1139.0
POMORSKIE;GRUDZIĄDZKI;4306.0
POMORSKIE;KARTUSKI;6705.0
POMORSKIE;KOŚCIERSKI;5303.0
POMORSKIE;LUBAWSKI;6271.0
POMORSKIE;PUCKI;3035.0
POMORSKIE;STAROGARDZKI;6245.0
POMORSKIE;SĘPOLEŃSKI;3574.0
POMORSKIE;TCZEWSKI;1831.0
POMORSKIE;TORUŃ (MIASTO);1919.0
POMORSKIE;TORUŃSKI;4471.0
POMORSKIE;TUCHOLSKI;4036.0
POMORSKIE;WEJHEROWSKI;3508.0
POMORSKIE;WĄBRZESKI;5217.0
POMORSKIE;ŚWIECKI;10073.0
POZNAŃSKIE;BYDGOSKI;6258.0
POZNAŃSKIE;BYDGOSZCZ (MIASTO);4628.0
POZNAŃSKIE;CHODZIESKI;5220.0
POZNAŃSKIE;CZARNKOWSKI;4299.0
POZNAŃSKIE;GNIEŹNIEŃSKI;3546.0
POZNAŃSKIE;GOSTYŃSKI;4784.0
POZNAŃSKIE;GRODZISKI;3298.0
POZNAŃSKIE;INOWROCŁAWSKI;4843.0
POZNAŃSKIE;JAROCIŃSKI;4601.0
POZNAŃSKIE;KOŚCIAŃSKI;4113.0
POZNAŃSKIE;KOŹMIŃSKI;3392.0
POZNAŃSKIE;KROTOSZYŃSKI;4794.0
POZNAŃSKIE;KĘPIŃSKI;5988.0
POZNAŃSKIE;LESZCZYŃSKI;5472.0
POZNAŃSKIE;MIĘDZYCHODZKI;2915.0
POZNAŃSKIE;MOGILEŃSKI;3800.0
POZNAŃSKIE;NOWOTOMYSKI;6458.0
POZNAŃSKIE;OBORNICKI;5156.0
POZNAŃSKIE;ODOLANOWSKI;6271.0
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);3598.0
POZNAŃSKIE;OSTRZESZOWSKI;4852.0
POZNAŃSKIE;PLESZEWSKI;3103.0
POZNAŃSKIE;POZNAŃ (MIASTO);3228.0
POZNAŃSKIE;POZNAŃSKI WSCHODNI;3349.0
POZNAŃSKIE;POZNAŃSKI ZACHODNI;3743.0
POZNAŃSKIE;RAWICKI;5922.0
POZNAŃSKIE;STRZELNEŃSKI;2528.0
POZNAŃSKIE;SZAMOTULSKI;5356.0
POZNAŃSKIE;SZUBIŃSKI;4465.0
POZNAŃSKIE;WITKOWSKI;2489.0
POZNAŃSKIE;WOLSZTYŃSKI;6756.0
POZNAŃSKIE;WRZESIŃSKI;2796.0
POZNAŃSKIE;WYRZYSKI;5739.0
POZNAŃSKIE;WĄGROWIECKI;4428.0
POZNAŃSKIE;ŚMIGIELSKI;4177.0
POZNAŃSKIE;ŚREDZKI;3510.0
POZNAŃSKIE;ŚREMSKI;5376.0
POZNAŃSKIE;ŻNIŃSKI;3666.0
