Region;District;Konie (sztuki);Bydło rogate (sztuki);Trzoda chlewna (sztuki);Owce (sztuki);Kozy (sztuki)
BIAŁOSTOCKIE;AUGUSTOWSKI;15810.0;24581.0;25162.0;13871.0;X
BIAŁOSTOCKIE;BIAŁOSTOCKI;31007.0;41740.0;35438.0;16940.0;X
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);44642.0;60895.0;48427.0;49255.0;X
BIAŁOSTOCKIE;GRODZIEŃSKI;36314.0;47911.0;34563.0;32724.0;X
BIAŁOSTOCKIE;KOLNEŃSKI;19126.0;25256.0;14935.0;12398.0;X
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);15574.0;30751.0;21949.0;5300.0;X
BIAŁOSTOCKIE;OSTROŁĘCKI;16572.0;28175.0;11626.0;7453.0;X
BIAŁOSTOCKIE;SOKÓLSKI;25279.0;33266.0;25818.0;28784.0;X
BIAŁOSTOCKIE;SUWALSKI;21753.0;28877.0;28905.0;14655.0;X
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);15927.0;19588.0;12624.0;7764.0;X
BIAŁOSTOCKIE;WOŁKOWYSKI;29812.0;48173.0;36994.0;41138.0;X
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;18397.0;30342.0;16134.0;4332.0;X
BIAŁOSTOCKIE;ŁOMŻYŃSKI;22146.0;33860.0;25002.0;8692.0;X
KIELECKIE;BĘDZIŃSKI;6168.0;11402.0;6966.0;263.0;X
KIELECKIE;CZĘSTOCHOWSKI;15974.0;41095.0;18841.0;2648.0;X
KIELECKIE;IŁŻECKI;19377.0;45838.0;29705.0;2844.0;X
KIELECKIE;JĘDRZEJOWSKI;17243.0;34225.0;17414.0;2927.0;X
KIELECKIE;KIELECKI;16467.0;46484.0;14981.0;2066.0;X
KIELECKIE;KONECKI;11003.0;35453.0;12378.0;2342.0;X
KIELECKIE;KOZIENICKI;18542.0;36975.0;28056.0;2103.0;X
KIELECKIE;MIECHOWSKI;22517.0;39791.0;20055.0;1309.0;X
KIELECKIE;OLKUSKI;12494.0;33511.0;12261.0;1964.0;X
KIELECKIE;OPATOWSKI;20767.0;47733.0;30335.0;1627.0;X
KIELECKIE;OPOCZYŃSKI;15014.0;31580.0;17701.0;8728.0;X
KIELECKIE;PIŃCZOWSKI;20249.0;39484.0;19916.0;713.0;X
KIELECKIE;RADOMSKI;25037.0;54633.0;43579.0;4869.0;X
KIELECKIE;SANDOMIERSKI;17927.0;40510.0;32011.0;1495.0;X
KIELECKIE;STOPNICKI;22793.0;48146.0;19075.0;464.0;X
KIELECKIE;WŁOSZCZOWSKI;15683.0;30900.0;15294.0;1383.0;X
