Region;District;A-K. Commercial establishments total ;A-K I-II cat.. Commercial establishments (categories I and II) ;A&B. Total commodity trade ;A&B (only I i II cat.). Commodity trade (categories I and II) ;A 3011-3059. Total commodity purchase ;A 3011. Commodity purchase (grain purchase) ;A 3012. Commodity purchase (fruit purchase) ;A 3016. Commodity purchase (timber materials purchase) ;A 3021-3029. Commodity purchase (live animals purchase) ;A 3033. Commodity purchase (raw hides purchase) ;A 3031-3032, 3034-3039. Commodity purchase (other livestock products purchase) ;A 3052. Commodity purchase (rags purchase) ;A 3051, 3053-3059. Commodity purchase (scrap purchase) ;B (I-X). Total goods sales ;B I. 3061-3089. Goods sales (agricultural raw materials, goods for agriculture) ;B I. 3061-3062. Goods sales (agricultural syndicates and cooperatives) ;B I. 3071-3072. Goods sales (grain) ;B I. 3081-3085. Goods sales (live animals) ;B II. 3101-3179. Goods sales (food products) ;B II. 3101. Goods sales (flour, groats, rice) ;B II. 3102. Goods sales (grain-for-flour/bread exchange) ;B II. 3103. Goods sales (bread) ;B II. 3119. Goods sales (dairy) ;B II. 3121-3123. Goods sales (meat) ;B II. 3124-3126. Goods sales (fish, herrings) ;B II. 3131-3133. Goods sales (fruits, vegetables) ;B II. 3134. Goods sales (sweets) ;B II. 3151. Goods sales (beer) ;B II. 3159. Goods sales (alcoholic beverages) ;B II. 3161. Goods sales (tobacco products) ;B II. 3141-3146, 3171-3173. Goods sales (various food articles) ;B III. 3201-3257. Goods sales (clothing articles) ;B III. 3211-3213. Goods sales (fabrics) ;B III. 3221-3227, 3257. Goods sales (clothing, furs) ;B III. 3231-3239. Goods sales (underwear, haberdashery) ;B III. 3241-3249. Goods sales (hats, caps) ;B III. 3255. Goods sales (footwear) ;B III. 3251-3254, 3256. Goods sales (leather, leather products) ;B IV. 3261, 3281. Goods sales (furniture, appliances, utensils) ;B IV. 3261, 3267. Goods sales (furniture) ;B IV. 3271. Goods sales (household appliances) ;B IV. 3272-3273. Goods sales (glass, ceramics) ;B V. 3301-3319. Goods sales (chemical articles) ;B V. 3301. Goods sales (pharmacies) ;B V. 3302. Goods sales (pharmaceutical warehouses) ;B V. 3311-3315. Goods sales (soap shops) ;B V. 3312, 3318. Goods sales (petroleum products) ;B VI. 3321-3329. Goods sales (paper, paper products) ;B VII. 3331-3335. Goods sales (books, periodicals, art works) ;B VII. 3331-3332. Goods sales (bookstores) ;B VII. 3333. Goods sales (periodicals) ;B VIII. 3401-3441. Goods sales (iron, metals, products) ;B VIII. 3411-3414. Goods sales (means of communication) ;B VIII. 3415-3419. Goods sales (machines) ;B VIII. 3421-3429, 3433-3439. Goods sales (tools, instruments) ;B VIII. 3431-3432. Goods sales (watchmaking, jewelry products) ;B VIII. 3441. Goods sales (electrotechnical products) ;B IX. 3461-3485. Goods sales (building and fuel materials) ;B IX. 3461-3462, 3469. Goods sales (building materials) ;B IX. 3481, 3483-3485. Goods sales (coal, coke and other articles) ;B X. 3191-3199, 3341-3343, 3351-3352, 3486-3488. Goods sales (various and unspecified articles) ;C 3501-3539. Gastronomic establishments, room rental ;C 3501-3509. Gastronomic establishments, room rental (gastronomic establishments) ;C 3521-3529. Gastronomic establishments, room rental (residential room rental) ;C 3511. Gastronomic establishments, room rental (guesthouses, shelters) ;D 3601-3611. Monetary trade, insurance ;E 3612, 3651-3655. Offices of all types (brokerage, excluding travel agencies) ;F 3701-3729. Rental services ;F 3701 (3702). Rental services (agricultural machinery) ;F 3704. Rental services (mangles) ;F 3722. Rental services (books) ;G 3811-3844 (bez 3833). Transport, communication, forwarding ;G 3841-3843, 3832. Transport, communication, forwarding (public transport) ;H 3961-3879. Entertainment enterprises ;H 3861. Entertainment enterprises (cinematographs) ;I 3881-3887. Healthcare, hygiene ;I 3881. Healthcare, hygiene (clinics) ;I 3883-3885. Healthcare, hygiene (baths, bathing resorts, spas) ;K 3891-3999. Other and unspecified ;Z 3661-3669. Industrial occupations ;Ż 3833. Ferries, barges, water networks 
BIAŁOSTOCKIE;WOŁKOWYSKI;1254;36.0;1115.0;35.0;107.0;65.0;0.0;7.0;5.0;4.0;9.0;1.0;2.0;1008.0;5.0;3.0;2.0;0.0;715.0;3.0;0.0;28.0;3.0;127.0;4.0;29.0;37.0;3.0;25.0;12.0;444.0;153.0;64.0;11.0;32.0;2.0;14.0;30.0;21.0;1.0;15.0;1.0;38.0;11.0;15.0;4.0;8.0;5.0;10.0;6.0;4.0;33.0;0.0;3.0;1.0;4.0;3.0;18.0;14.0;1.0;10.0;91.0;79.0;7.0;0.0;5.0;10.0;13.0;12.0;1.0;0.0;8.0;3.0;2.0;1.0;5.0;1.0;0.0;5.0;13.0;0.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;945;12.0;830.0;12.0;120.0;39.0;0.0;1.0;10.0;4.0;35.0;13.0;3.0;710.0;10.0;4.0;1.0;0.0;466.0;1.0;0.0;18.0;1.0;91.0;3.0;9.0;27.0;4.0;16.0;4.0;292.0;145.0;60.0;13.0;30.0;6.0;7.0;29.0;22.0;2.0;16.0;0.0;13.0;6.0;3.0;2.0;2.0;0.0;6.0;6.0;0.0;17.0;0.0;4.0;0.0;0.0;1.0;15.0;9.0;3.0;16.0;83.0;78.0;0.0;1.0;1.0;6.0;17.0;9.0;8.0;0.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;4.0;5.0;0.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;2120;54.0;1858.0;45.0;209.0;111.0;1.0;9.0;20.0;7.0;25.0;3.0;18.0;1649.0;16.0;1.0;8.0;0.0;1020.0;2.0;0.0;57.0;3.0;237.0;12.0;39.0;51.0;3.0;11.0;13.0;592.0;385.0;107.0;70.0;84.0;15.0;58.0;50.0;45.0;7.0;26.0;3.0;40.0;12.0;8.0;6.0;13.0;8.0;13.0;12.0;1.0;60.0;4.0;10.0;2.0;9.0;1.0;38.0;19.0;8.0;24.0;184.0;159.0;7.0;2.0;3.0;12.0;24.0;7.0;16.0;1.0;16.0;12.0;8.0;6.0;5.0;0.0;3.0;10.0;5.0;0.0
KIELECKIE;BĘDZIŃSKI;3706;157.0;3387.0;145.0;110.0;1.0;0.0;2.0;20.0;13.0;15.0;8.0;23.0;3277.0;60.0;3.0;28.0;1.0;2172.0;1.0;0.0;33.0;43.0;411.0;21.0;36.0;117.0;8.0;44.0;28.0;1430.0;626.0;209.0;80.0;189.0;23.0;60.0;64.0;76.0;14.0;18.0;15.0;76.0;14.0;23.0;18.0;18.0;39.0;27.0;16.0;11.0;81.0;0.0;3.0;2.0;10.0;6.0;71.0;29.0;20.0;49.0;236.0;226.0;5.0;0.0;11.0;6.0;30.0;0.0;28.0;1.0;10.0;2.0;11.0;8.0;6.0;1.0;3.0;9.0;13.0;0.0
KIELECKIE;CZĘSTOCHOWA (MIASTO);2 965;196.0;2685.0;164.0;60.0;6.0;2.0;11.0;4.0;4.0;5.0;3.0;16.0;2625.0;39.0;5.0;9.0;0.0;1418.0;8.0;0.0;54.0;33.0;267.0;24.0;53.0;91.0;6.0;25.0;29.0;828.0;600.0;140.0;88.0;223.0;18.0;69.0;59.0;69.0;11.0;24.0;17.0;83.0;10.0;21.0;22.0;17.0;27.0;20.0;7.0;12.0;88.0;4.0;0.0;13.0;11.0;11.0;109.0;39.0;56.0;172.0;159.0;150.0;6.0;0.0;14.0;15.0;32.0;0.0;27.0;4.0;26.0;8.0;11.0;7.0;6.0;1.0;3.0;17.0;34.0;0.0
KIELECKIE;CZĘSTOCHOWSKI;1208;1.0;1139.0;1.0;64.0;17.0;5.0;3.0;24.0;5.0;4.0;0.0;0.0;1075.0;27.0;7.0;14.0;2.0;853.0;0.0;8.0;8.0;3.0;111.0;0.0;6.0;3.0;5.0;26.0;3.0;680.0;134.0;44.0;23.0;30.0;2.0;20.0;15.0;3.0;0.0;3.0;0.0;16.0;9.0;1.0;2.0;4.0;2.0;2.0;2.0;0.0;12.0;0.0;1.0;0.0;0.0;0.0;19.0;12.0;1.0;7.0;56.0;54.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;8.0;7.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
KIELECKIE;IŁŻECKI;1657;9.0;1541.0;7.0;125.0;57.0;2.0;5.0;15.0;2.0;26.0;0.0;1.0;1416.0;4.0;1.0;3.0;0.0;927.0;1.0;0.0;34.0;6.0;185.0;2.0;38.0;30.0;4.0;11.0;11.0;605.0;336.0;84.0;66.0;84.0;9.0;54.0;38.0;40.0;5.0;29.0;0.0;18.0;10.0;3.0;0.0;4.0;5.0;5.0;3.0;1.0;31.0;0.0;0.0;0.0;1.0;3.0;28.0;16.0;1.0;22.0;90.0;90.0;0.0;0.0;2.0;4.0;4.0;1.0;3.0;0.0;2.0;2.0;4.0;2.0;0.0;0.0;0.0;10.0;1.0;0.0
KIELECKIE;JĘDRZEJOWSKI;1304;20.0;1224.0;18.0;213.0;80.0;0.0;2.0;48.0;5.0;41.0;1.0;4.0;1011.0;14.0;5.0;7.0;0.0;621.0;1.0;0.0;17.0;5.0;99.0;1.0;41.0;11.0;0.0;12.0;12.0;422.0;231.0;71.0;41.0;55.0;3.0;19.0;42.0;25.0;3.0;16.0;1.0;21.0;7.0;4.0;0.0;10.0;2.0;6.0;6.0;0.0;20.0;0.0;2.0;0.0;3.0;1.0;48.0;26.0;19.0;23.0;50.0;47.0;3.0;0.0;2.0;8.0;7.0;0.0;6.0;0.0;8.0;4.0;1.0;1.0;1.0;0.0;1.0;3.0;8.0;0.0
KIELECKIE;KIELECKI;2647;57.0;2357.0;47.0;113.0;29.0;1.0;16.0;23.0;4.0;25.0;2.0;2.0;2244.0;25.0;9.0;5.0;2.0;1410.0;10.0;0.0;24.0;1.0;178.0;5.0;34.0;52.0;6.0;18.0;20.0;1062.0;490.0;116.0;68.0;166.0;22.0;44.0;73.0;71.0;11.0;45.0;10.0;66.0;13.0;16.0;19.0;15.0;18.0;17.0;8.0;9.0;65.0;7.0;3.0;5.0;7.0;6.0;66.0;17.0;31.0;16.0;217.0;199.0;8.0;2.0;11.0;15.0;15.0;0.0;15.0;0.0;15.0;7.0;6.0;4.0;2.0;0.0;2.0;9.0;8.0;0.0
KIELECKIE;KONECKI;2270;50.0;2088.0;46.0;159.0;37.0;2.0;40.0;6.0;3.0;36.0;0.0;18.0;1929.0;5.0;2.0;1.0;0.0;1199.0;0.0;0.0;37.0;1.0;181.0;4.0;29.0;59.0;6.0;28.0;18.0;836.0;493.0;134.0;77.0;158.0;12.0;54.0;55.0;33.0;3.0;21.0;6.0;41.0;11.0;9.0;7.0;14.0;10.0;13.0;6.0;7.0;61.0;8.0;1.0;3.0;3.0;6.0;56.0;19.0;16.0;18.0;120.0;109.0;3.0;5.0;5.0;12.0;10.0;1.0;9.0;0.0;7.0;4.0;4.0;4.0;1.0;0.0;0.0;23.0;3.0;0.0
KIELECKIE;KOZIENICKI;1625;11.0;1467.0;10.0;150.0;55.0;6.0;0.0;31.0;3.0;44.0;0.0;0.0;1317.0;8.0;2.0;3.0;0.0;880.0;2.0;0.0;16.0;4.0;208.0;7.0;9.0;48.0;6.0;11.0;9.0;560.0;296.0;77.0;45.0;71.0;11.0;60.0;32.0;29.0;8.0;20.0;0.0;22.0;8.0;7.0;1.0;6.0;2.0;9.0;8.0;1.0;28.0;2.0;5.0;0.0;0.0;3.0;27.0;10.0;4.0;16.0;122.0;121.0;1.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;10.0;10.0;2.0;1.0;4.0;0.0;0.0;13.0;1.0;0.0
KIELECKIE;MIECHOWSKI;1412;18.0;1317.0;18.0;170.0;59.0;0.0;0.0;36.0;3.0;34.0;0.0;1.0;1147.0;38.0;8.0;8.0;10.0;772.0;3.0;0.0;8.0;3.0;92.0;1.0;8.0;10.0;5.0;12.0;6.0;624.0;209.0;54.0;32.0;56.0;8.0;15.0;44.0;31.0;5.0;17.0;4.0;17.0;8.0;4.0;3.0;2.0;2.0;3.0;3.0;0.0;12.0;0.0;1.0;0.0;1.0;1.0;44.0;12.0;22.0;19.0;76.0;73.0;2.0;0.0;2.0;4.0;2.0;0.0;2.0;0.0;5.0;3.0;1.0;1.0;0.0;0.0;0.0;5.0;8.0;0.0
KIELECKIE;OLKUSKI;1690;29.0;1547.0;22.0;154.0;28.0;3.0;3.0;51.0;7.0;21.0;1.0;4.0;1393.0;20.0;3.0;6.0;1.0;828.0;1.0;0.0;33.0;4.0;121.0;0.0;27.0;20.0;11.0;13.0;5.0;593.0;371.0;98.0;40.0;97.0;10.0;63.0;63.0;37.0;5.0;24.0;3.0;31.0;11.0;7.0;5.0;7.0;6.0;9.0;6.0;3.0;22.0;0.0;0.0;0.0;2.0;0.0;43.0;18.0;11.0;26.0;116.0;98.0;12.0;5.0;2.0;2.0;2.0;0.0;2.0;0.0;9.0;7.0;2.0;1.0;0.0;0.0;0.0;10.0;5.0;0.0
KIELECKIE;OPATOWSKI;2045;49.0;1903.0;43.0;131.0;57.0;0.0;0.0;28.0;3.0;33.0;0.0;3.0;1772.0;18.0;5.0;3.0;0.0;1053.0;4.0;0.0;25.0;5.0;171.0;4.0;12.0;63.0;4.0;21.0;19.0;725.0;444.0;117.0;72.0;146.0;15.0;52.0;42.0;50.0;13.0;25.0;9.0;32.0;11.0;7.0;7.0;7.0;10.0;21.0;12.0;9.0;52.0;1.0;4.0;1.0;4.0;5.0;77.0;30.0;21.0;15.0;111.0;106.0;4.0;0.0;7.0;6.0;5.0;0.0;5.0;0.0;1.0;0.0;4.0;4.0;0.0;0.0;0.0;8.0;5.0;0.0
KIELECKIE;OPOCZYŃSKI;1187;3.0;1116.0;3.0;125.0;51.0;0.0;8.0;16.0;6.0;37.0;1.0;3.0;991.0;6.0;1.0;5.0;0.0;676.0;0.0;0.0;29.0;1.0;150.0;3.0;14.0;14.0;2.0;9.0;11.0;443.0;191.0;51.0;25.0;53.0;8.0;33.0;21.0;30.0;1.0;26.0;0.0;26.0;8.0;2.0;11.0;5.0;1.0;2.0;2.0;0.0;19.0;5.0;1.0;0.0;0.0;1.0;23.0;14.0;1.0;17.0;61.0;58.0;0.0;2.0;0.0;1.0;3.0;0.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
KIELECKIE;PIŃCZOWSKI;1299;17.0;1225.0;15.0;163.0;54.0;8.0;0.0;46.0;1.0;32.0;0.0;1.0;1062.0;6.0;4.0;1.0;1.0;671.0;5.0;0.0;12.0;3.0;100.0;0.0;7.0;18.0;3.0;3.0;13.0;507.0;249.0;95.0;31.0;44.0;10.0;20.0;49.0;19.0;0.0;14.0;4.0;16.0;9.0;2.0;4.0;1.0;3.0;4.0;4.0;0.0;17.0;0.0;0.0;0.0;2.0;1.0;55.0;22.0;16.0;22.0;59.0;58.0;1.0;0.0;1.0;3.0;1.0;0.0;1.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;3.0;0.0
KIELECKIE;RADOM (MIASTO);1557;91.0;1381.0;78.0;31.0;11.0;1.0;3.0;5.0;0.0;5.0;0.0;4.0;1350.0;12.0;2.0;5.0;1.0;750.0;1.0;0.0;23.0;3.0;133.0;7.0;21.0;62.0;2.0;15.0;36.0;447.0;280.0;79.0;32.0;85.0;4.0;14.0;64.0;31.0;8.0;14.0;7.0;51.0;8.0;15.0;7.0;16.0;21.0;24.0;15.0;9.0;51.0;5.0;3.0;8.0;9.0;8.0;107.0;16.0;61.0;23.0;114.0;106.0;8.0;0.0;8.0;1.0;21.0;0.0;21.0;0.0;6.0;1.0;4.0;3.0;5.0;1.0;2.0;17.0;13.0;0.0
KIELECKIE;RADOMSKI;1006;1.0;936.0;1.0;84.0;50.0;1.0;2.0;16.0;0.0;11.0;0.0;0.0;852.0;7.0;2.0;2.0;1.0;541.0;0.0;1.0;18.0;1.0;84.0;3.0;12.0;9.0;2.0;6.0;4.0;401.0;217.0;57.0;51.0;56.0;6.0;25.0;22.0;25.0;2.0;17.0;2.0;18.0;5.0;2.0;6.0;4.0;3.0;2.0;1.0;1.0;17.0;1.0;0.0;0.0;1.0;1.0;12.0;6.0;1.0;10.0;55.0;54.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;9.0;1.0;0.0
