Region;District;Konie (sztuki);Bydło rogate (sztuki);Trzoda chlewna (sztuki);Owce (sztuki);Kozy (sztuki)
LUBELSKIE;PUŁAWSKI;19193.0;39878.0;41662.0;1435.0;118.0
LUBELSKIE;RADZYŃSKI;18997.0;31216.0;30895.0;7273.0;48.0
LUBELSKIE;SIEDLECKI;16327.0;32326.0;26467.0;4258.0;56.0
LUBELSKIE;SOKOŁOWSKI;15088.0;33150.0;26183.0;4807.0;24.0
LUBELSKIE;TOMASZOWSKI;22921.0;32498.0;22727.0;1091.0;51.0
LUBELSKIE;WĘGROWSKI;14405.0;36600.0;23438.0;1136.0;48.0
LUBELSKIE;WŁODAWSKI;22788.0;43649.0;34695.0;4212.0;40.0
LUBELSKIE;ZAMOJSKI;26066.0;41896.0;30531.0;749.0;66.0
LUBELSKIE;ŁUKOWSKI;19761.0;40070.0;40005.0;4087.0;68.0
LWOWSKIE;BRZOZOWSKI;8138.0;34489.0;9620.0;310.0;639.0
LWOWSKIE;BÓBRECKI;14113.0;29311.0;16261.0;185.0;400.0
LWOWSKIE;DOBROMILSKI;9165.0;30967.0;6608.0;409.0;643.0
LWOWSKIE;DROHOBYCKI;18985.0;46055.0;11183.0;3572.0;337.0
LWOWSKIE;GRÓDECKI;13438.0;25671.0;13388.0;924.0;56.0
LWOWSKIE;JAROSŁAWSKI;22016.0;48528.0;21271.0;396.0;421.0
LWOWSKIE;JAWOROWSKI;16458.0;30174.0;13994.0;2245.0;7.0
LWOWSKIE;KOLBUSZOWSKI;9110.0;33836.0;9001.0;4.0;48.0
LWOWSKIE;KROŚNIEŃSKI;7273.0;36236.0;12018.0;1230.0;586.0
LWOWSKIE;LESKI;14007.0;49795.0;11018.0;4643.0;383.0
LWOWSKIE;LUBACZOWSKI;15383.0;27515.0;17837.0;3569.0;12.0
LWOWSKIE;LWOWSKI;23413.0;49845.0;19200.0;137.0;284.0
LWOWSKIE;LWÓW (MIASTO);1683.0;1406.0;466.0;26.0;114.0
LWOWSKIE;MOŚCISKI;15222.0;29816.0;14680.0;585.0;49.0
LWOWSKIE;NIŻAŃSKI;8839.0;25517.0;13511.0;496.0;79.0
LWOWSKIE;PRZEMYSKI;16842.0;43823.0;14681.0;412.0;571.0
LWOWSKIE;PRZEWORSKI;7527.0;23131.0;10103.0;203.0;283.0
LWOWSKIE;RAWSKI (RAWA RUSKA);20066.0;36344.0;26983.0;5469.0;99.0
LWOWSKIE;RUDECKI;14580.0;23909.0;11177.0;72.0;6.0
LWOWSKIE;RZESZOWSKI;13298.0;54912.0;22549.0;354.0;464.0
LWOWSKIE;SAMBORSKI;18792.0;38696.0;12792.0;350.0;78.0
LWOWSKIE;SANOCKI;14910.0;42862.0;10837.0;1810.0;766.0
