Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR
Poleska;NOWOGRÓDZKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;34.0;5.0;89.0;6.0;445.0;91.0
Krakowska;NOWOSĄDECKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;18.0;0.0;23.0;2.0;62.0;7.0;1013.0;113.0
Krakowska;NOWOTARSKI;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;7.0;3.0;19.0;0.0;72.0;0.0;1057.0;36.0
Wielkopolska;NOWOTOMYSKI;0.0;0.0;0.0;0.0;1.0;0.0;6.0;2.0;16.0;0.0;29.0;2.0;40.0;2.0;551.0;17.0
Wielkopolska;OBORNICKI;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;10.0;0.0;35.0;4.0;38.0;5.0;524.0;28.0
Wielkopolska;ODOLANOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;3.0;0.0;12.0;2.0;302.0;27.0
Kielecka;OLKUSKI;1.0;0.0;0.0;0.0;7.0;0.0;5.0;0.0;6.0;0.0;13.0;2.0;65.0;6.0;487.0;28.0
Kielecka;OPATOWSKI;2.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;17.0;0.0;24.0;2.0;64.0;1.0;914.0;63.0
Kielecka;OPOCZYŃSKI;0.0;0.0;0.0;0.0;2.0;0.0;4.0;1.0;20.0;0.0;51.0;0.0;136.0;7.0;508.0;45.0
Białostocka;OSTROWSKI (OSTRÓW MAZOWIECKA);0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;8.0;0.0;15.0;0.0;56.0;3.0;828.0;22.0
Wielkopolska;OSTROWSKI (OSTRÓW WIELKOPOLSKI);1.0;0.0;0.0;0.0;5.0;0.0;7.0;0.0;11.0;1.0;17.0;1.0;44.0;1.0;524.0;29.0
