Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR
Lwowska;ZBOROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;1.0;14.0;0.0;16.0;3.0;341.0;0.0
Wołyńska;ZDOŁBUNOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;4.0;0.0;27.0;0.0;41.0;5.0;430.0;100.0
Lwowska;ZŁOCZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;0.0;12.0;0.0;41.0;0.0;389.0;0.0
Łódzka;ŁASKI;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;35.0;1.0;69.0;1.0;138.0;12.0;1118.0;82.0
Lwowska;ŁAŃCUCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;18.0;0.0;30.0;0.0;332.0;7.0
Białostocka;ŁOMŻYŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;10.0;1.0;14.0;0.0;45.0;3.0;989.0;44.0
Warrszawa Okręgowa;ŁOWICKI;0.0;0.0;1.0;0.0;0.0;0.0;5.0;1.0;8.0;2.0;37.0;0.0;67.0;0.0;679.0;25.0
Wołyńska;ŁUCKI;0.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;11.0;0.0;25.0;0.0;78.0;5.0;817.0;91.0
Lubelska;ŁUKOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;26.0;1.0;62.0;6.0;643.0;46.0
Poleska;ŁUNINIECKI;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;16.0;0.0;24.0;1.0;77.0;9.0;413.0;66.0
Łódzka;ŁÓDZKI;0.0;0.0;0.0;0.0;1.0;0.0;22.0;0.0;29.0;3.0;80.0;7.0;107.0;12.0;951.0;86.0
Łódzka;ŁÓDŹ (MIASTO);8.0;1.0;6.0;0.0;34.0;1.0;238.0;9.0;278.0;24.0;370.0;37.0;702.0;58.0;6760.0;678.0
Łódzka;ŁĘCZYCKI;1.0;0.0;2.0;0.0;3.0;0.0;6.0;0.0;11.0;1.0;24.0;1.0;49.0;7.0;833.0;105.0
Wielkopolska;ŚMIGIELSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;6.0;0.0;18.0;0.0;76.0;0.0;355.0;14.0
Lwowska;ŚNIATYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;9.0;1.0;28.0;0.0;496.0;22.0
Wielkopolska;ŚREDZKI;0.0;1.0;0.0;0.0;0.0;1.0;4.0;0.0;7.0;1.0;30.0;0.0;49.0;2.0;478.0;23.0
Wielkopolska;ŚREMSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;13.0;0.0;22.0;1.0;68.0;1.0;582.0;45.0
Pomorska;ŚWIECKI;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;29.0;1.0;60.0;0.0;67.0;4.0;783.0;52.0
Wileńska;ŚWIĘCIAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;25.0;5.0;67.0;6.0;651.0;68.0
Śląska;ŚWIĘTOCHŁOWICKI;13.0;0.0;1.0;0.0;3.0;0.0;13.0;1.0;30.0;1.0;14.0;1.0;34.0;6.0;772.0;56.0
Wielkopolska;ŻNIŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;16.0;0.0;55.0;1.0;339.0;33.0
Lwowska;ŻYDACZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;13.0;0.0;27.0;4.0;589.0;22.0
Krakowska;ŻYWIECKI;1.0;0.0;2.0;0.0;3.0;0.0;16.0;1.0;19.0;0.0;16.0;1.0;27.0;1.0;533.0;6.0
Lwowska;ŻÓŁKIEWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;7.0;0.0;28.0;0.0;33.0;0.0;535.0;6.0
