Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;9341256,087;8516022,857;10841546,22;11281605,38;11283541,51;12237383,93;13254453,78;13254453,78;13448067,23;15566260,97;13792889,46;13103244,99;14482533,94;14482533,94;15020624,57
KIELECKIE;18854244,14;17188606,39;19258285,71;19543792,94;20383333,11;22106416,93;27243025,21;27243025,21;25782857,14;29843893,25;26443956,04;25121758,24;27766153,85;27766153,85;28797790,11
KRAKOWSKIE;21807623,33;19881075,63;25535951,6;29807903,19;28777193,95;31209844,04;28777218,15;28777218,15;28777226,22;33309902,88;29515103,81;28039348,62;30990859;30990859;32142307,43
LUBELSKIE;9679118,618;8824037,647;10335343,87;10458885,38;10238569,41;11104076,2;12246050,42;12246050,42;12108907,56;14016171,39;12419392,37;11798422,75;13040361,99;13040361,99;13524869,51
LWOWSKIE;17672832,79;16111564,29;22392922,44;24197705,28;30707812,06;33303664,95;32919924,09;32919924,09;32870305,65;38047679,8;33713134;32027477,3;35398790,7;35398790,7;36714013,42
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;1230966,911;1122219,78;1442205,243;1569607,452;1597040,144;1732044,268;2105546,218;2105546,218;2049075,63;2371823,806;2101616,031;1996535,229;2206696,833;2206696,833;2288685,447
POLESKIE;2046895,17;1866066,607;2398149,715;2609998,598;2655614,646;2880104,262;3501176,471;3501176,471;4098151,261;4743647,613;4203232,062;3993070,459;4413393,665;4413393,665;4577370,894
POMORSKIE;10560582,24;9627630,252;13582491,43;11831515,97;15299374,79;16592691,49;19942184,87;19942184,87;18361008,4;21253035,37;18831803,49;17890213,32;19773393,67;19773393,67;20508063,3
POZNAŃSKIE;34759002,63;31688293,11;42252028,24;45554073,28;45618877,31;49475221,55;57898487,39;57898487,39;57575798,32;66644513,81;59052100,84;56099495,8;62004705,88;62004705,88;64308456,83
STANISŁAWOWSKIE;9182299,154;8371108,633;11634722,93;12572436,54;15954902,09;17303633,1;17104252,32;17104252,32;17078471,99;19768487,73;17516381,53;16640562,45;18392200,61;18392200,61;19075552,77
TARNOPOLSKIE;10498317,96;9570866,577;13302226,23;14374334,15;18241578,96;19783611,82;19555655,53;19555655,53;19526180,34;22601732,55;20026851,63;19025509,05;21028194,21;21028194,21;21809485,27
WARSZAWSKIE;95300683,34;86881548,91;110210863,9;115433868,9;115487975,8;125250631,4;136424873,9;136424873,9;137457479;159108290,7;140982029,7;133932928,2;148031131,2;148031131,2;153531147
WOŁYŃSKIE;4192863,295;3822453,782;5000946,555;4971025,21;5387068,235;5842458,433;7647731,092;7647731,092;7639663,866;8842980,885;7835552,683;7443775,048;8227330,317;8227330,317;8533012,277
ZIEMIA WILEŃSKA;11421374,66;10412377,82;13305704,87;14353258,49;14455776,81;15677780,83;16602352,94;16602352,94;17247731,09;19964406,69;17689980,61;16805481,58;18574479,64;18574479,64;19264604,27
ŁÓDZKIE;49101440,04;44763678,66;52936408,74;52032403,36;50709555,63;54996235,06;68119663,87;68119663,87;63989243,7;74068135,56;65629993,54;62348493,86;68911493,21;68911493,21;71471862,07
ŚLĄSKIE;33289005,71;30348159,91;38497206,4;40321628,2;40340528,01;43750672,5;47653891,33;47653891,33;48014585,44;55577322,35;49245728,66;46783442,23;51708015,09;51708015,09;53629198,13
