Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
Wileńska;DZIŚNIEŃSKI;2.0;0.0;73.0;11.0;1001.0;59.0;490.0;78.0;32.0;5.0;0.0;0.0
Krakowska;DĄBROWSKI;0.0;0.0;7.0;0.0;237.0;3.0;579.0;10.0;0.0;0.0;0.0;0.0
Lubelska;GARWOLIŃSKI;1.0;0.0;75.0;3.0;915.0;57.0;922.0;163.0;1.0;0.0;0.0;0.0
Pomorska;GNIEWSKI;1.0;0.0;17.0;0.0;224.0;13.0;46.0;9.0;2.0;0.0;21.0;3.0
Wielkopolska;GNIEZNO (MIASTO);3.0;0.0;150.0;1.0;526.0;19.0;202.0;45.0;2.0;0.0;23.0;2.0
;GNIEŹNIEŃSKI;;;;;;;;;;;;
Krakowska;GORLICKI;0.0;0.0;36.0;2.0;378.0;28.0;660.0;27.0;24.0;8.0;8.0;14.0
Warszawa Okręgowa;GOSTYNIŃSKI;0.0;0.0;44.0;7.0;410.0;29.0;330.0;65.0;1.0;0.0;25.0;2.0
Wielkopolska;GOSTYŃSKI;0.0;0.0;35.0;1.0;390.0;16.0;223.0;27.0;0.0;0.0;1.0;5.0
Białostocka;GRODZIEŃSKI;5.0;0.0;288.0;20.0;1779.0;150.0;553.0;163.0;31.0;6.0;97.0;36.0
Wielkopolska;GRODZISKI;2.0;0.0;44.0;1.0;468.0;23.0;106.0;25.0;9.0;1.0;12.0;3.0
Pomorska;GRUDZIĄDZ (MIASTO);12.0;0.0;288.0;15.0;823.0;69.0;190.0;22.0;3.0;1.0;3.0;3.0
;GRUDZIĄDZKI;;;;;;;;;;;;
Krakowska;GRYBOWSKI;1.0;0.0;28.0;0.0;303.0;8.0;264.0;6.0;0.0;0.0;5.0;0.0
Lwowska;GRÓDECKI;0.0;0.0;7.0;2.0;171.0;8.0;562.0;38.0;1.0;0.0;13.0;0.0
Warszawa Okręgowa;GRÓJECKI;3.0;0.0;67.0;7.0;1187.0;75.0;723.0;110.0;0.0;2.0;11.0;1.0
Wołyńska;HOROCHOWSKI;0.0;0.0;37.0;6.0;344.0;35.0;391.0;46.0;4.0;10.0;45.0;6.0
Lwowska;HORODEŃSKI;0.0;0.0;4.0;0.0;300.0;16.0;630.0;31.0;0.0;0.0;2.0;0.0
Lubelska;HRUBIESZOWSKI;0.0;0.0;42.0;4.0;937.0;44.0;231.0;59.0;9.0;1.0;169.0;11.0
Wielkopolska;INOWROCŁAW (MIASTO);10.0;1.0;192.0;8.0;730.0;38.0;203.0;32.0;13.0;2.0;26.0;2.0
;INOWROCŁAWSKI;;;;;;;;;;;;
Kielecka;IŁŻECKI;1.0;1.0;41.0;6.0;546.0;26.0;548.0;44.0;1.0;0.0;30.0;3.0
Lubelska;JANOWSKI;1.0;0.0;81.0;1.0;852.0;40.0;781.0;142.0;2.0;0.0;37.0;1.0
Wielkopolska;JAROCIŃSKI;1.0;0.0;43.0;2.0;377.0;7.0;155.0;20.0;3.0;0.0;11.0;2.0
Lwowska;JAROSŁAWSKI;2.0;0.0;86.0;6.0;514.0;8.0;928.0;60.0;1.0;1.0;12.0;4.0
Krakowska;JASIELSKI;3.0;1.0;46.0;1.0;462.0;16.0;578.0;27.0;3.0;0.0;14.0;0.0
Lwowska;JAWOROWSKI;0.0;0.0;5.0;0.0;191.0;0.0;448.0;15.0;0.0;0.0;10.0;1.0
Kielecka;JĘDRZEJOWSKI;2.0;0.0;62.0;2.0;621.0;45.0;626.0;69.0;0.0;0.0;29.0;8.0
Łódzka;KALISKI;11.0;0.0;227.0;25.0;1228.0;105.0;1826.0;324.0;93.0;11.0;238.0;33.0
Lwowska;KAMIONECKI;0.0;0.0;17.0;0.0;228.0;6.0;474.0;26.0;0.0;0.0;5.0;1.0
Pomorska;KARTUSKI;1.0;0.0;44.0;3.0;469.0;37.0;218.0;26.0;0.0;1.0;8.0;2.0
Śląska;KATOWICE (MIASTO);91.0;0.0;913.0;7.0;2600.0;78.0;1862.0;254.0;48.0;7.0;520.0;27.0
;KATOWICKI;;;;;;;;;;;;
Lwowska;KAŁUSKI;0.0;0.0;18.0;1.0;234.0;5.0;557.0;34.0;0.0;0.0;4.0;0.0
Kielecka;KIELECKI;6.0;0.0;213.0;8.0;1265.0;68.0;985.0;110.0;3.0;7.0;91.0;34.0
Poleska;KOBRYŃSKI;0.0;0.0;34.0;6.0;351.0;25.0;147.0;38.0;3.0;1.0;1.0;0.0
Lwowska;KOLBUSZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;955.0;16.0;0.0;0.0;2.0;0.0
Białostocka;KOLNEŃSKI;0.0;0.0;27.0;3.0;327.0;22.0;212.0;41.0;3.0;1.0;8.0;3.0
Łódzka;KOLSKI;2.0;0.0;90.0;13.0;762.0;48.0;783.0;95.0;0.0;0.0;14.0;9.0
Kielecka;KONECKI;4.0;0.0;79.0;8.0;865.0;29.0;1145.0;128.0;7.0;1.0;52.0;4.0
Łódzka;KONIŃSKI;2.0;0.0;80.0;3.0;648.0;48.0;362.0;83.0;2.0;1.0;47.0;9.0
Lubelska;KONSTANTYNOWSKI;0.0;0.0;23.0;0.0;320.0;20.0;68.0;26.0;6.0;0.0;51.0;3.0
Lwowska;KOPYCZYNIECKI;0.0;0.0;7.0;0.0;398.0;12.0;625.0;37.0;0.0;0.0;21.0;2.0
Lwowska;KOSOWSKI (KOSÓW HUCULSKI);0.0;0.0;18.0;2.0;268.0;12.0;471.0;42.0;58.0;43.0;20.0;3.0
Poleska;KOSOWSKI (KOSÓW POLESKI);0.0;0.0;39.0;3.0;415.0;32.0;132.0;23.0;0.0;0.0;0.0;0.0
Wołyńska;KOSTOPOLSKI;0.0;0.0;31.0;9.0;453.0;48.0;396.0;96.0;58.0;13.0;90.0;32.0
Poleska;KOSZYRSKI;2.0;0.0;100.0;10.0;574.0;55.0;550.0;113.0;1.0;2.0;1.0;1.0
Wołyńska;KOWELSKI;4.0;0.0;119.0;26.0;784.0;170.0;746.0;136.0;65.0;22.0;180.0;73.0
Kielecka;KOZIENICKI;0.0;0.0;49.0;6.0;389.0;17.0;1062.0;97.0;0.0;0.0;7.0;1.0
Lwowska;KOŁOMYJSKI;3.0;1.0;132.0;6.0;589.0;19.0;720.0;40.0;2.0;1.0;29.0;7.0
Wielkopolska;KOŚCIAŃSKI;2.0;0.0;42.0;1.0;394.0;23.0;150.0;28.0;4.0;0.0;89.0;3.0
Pomorska;KOŚCIERSKI;1.0;0.0;82.0;3.0;264.0;23.0;239.0;8.0;19.0;0.0;17.0;0.0
Wielkopolska;KOŹMIŃSKI;0.0;0.0;8.0;0.0;305.0;3.0;97.0;9.0;2.0;0.0;5.0;0.0
Krakowska;KRAKOWSKI;0.0;0.0;12.0;1.0;316.0;50.0;409.0;84.0;4.0;0.0;171.0;9.0
Krakowska;KRAKÓW (MIASTO);89.0;5.0;1392.0;38.0;2932.0;108.0;1556.0;83.0;17.0;4.0;161.0;22.0
Lubelska;KRASNOSTAWSKI;3.0;0.0;104.0;5.0;676.0;46.0;336.0;61.0;5.0;0.0;42.0;0.0
Wielkopolska;KROTOSZYŃSKI;2.0;0.0;88.0;3.0;480.0;35.0;155.0;31.0;1.0;1.0;27.0;3.0
Lwowska;KROŚNIEŃSKI;3.0;0.0;58.0;15.0;484.0;49.0;433.0;57.0;0.0;0.0;3.0;0.0
Wołyńska;KRZEMIENIECKI;2.0;0.0;127.0;16.0;920.0;71.0;852.0;135.0;69.0;11.0;136.0;28.0
Śląska;KRÓLEWSKA HUTA;25.0;0.0;363.0;7.0;774.0;51.0;690.0;103.0;10.0;5.0;147.0;12.0
Warszawa Okręgowa;KUTNOWSKI;5.0;0.0;157.0;6.0;915.0;49.0;635.0;78.0;12.0;0.0;20.0;3.0
Wielkopolska;KĘPIŃSKI;0.0;0.0;69.0;9.0;390.0;50.0;128.0;26.0;4.0;0.0;18.0;0.0
Lwowska;LESKI;0.0;0.0;53.0;1.0;419.0;2.0;595.0;14.0;0.0;0.0;14.0;0.0
Wielkopolska;LESZCZYŃSKI;6.0;0.0;156.0;4.0;507.0;18.0;227.0;32.0;4.0;3.0;55.0;0.0
Poleska;LIDZKI;3.0;0.0;151.0;13.0;927.0;84.0;757.0;153.0;11.0;15.0;13.0;2.0
Krakowska;LIMANOWSKI;0.0;0.0;11.0;0.0;395.0;6.0;344.0;5.0;0.0;0.0;20.0;0.0
Warszawa Okręgowa;LIPNOWSKI;2.0;0.0;63.0;3.0;535.0;35.0;334.0;56.0;1.0;0.0;25.0;5.0
Lwowska;LUBACZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;964.0;34.0;1.0;0.0;3.0;1.0
Lubelska;LUBARTOWSKI;0.0;0.0;32.0;3.0;563.0;34.0;345.0;32.0;0.0;0.0;5.0;0.0
Pomorska;LUBAWSKI;1.0;0.0;79.0;1.0;374.0;16.0;109.0;18.0;0.0;0.0;4.0;1.0
Lubelska;LUBELSKI;26.0;0.0;454.0;20.0;1926.0;133.0;1736.0;294.0;44.0;3.0;221.0;10.0
Śląska;LUBLINIECKI;0.0;0.0;107.0;3.0;240.0;16.0;90.0;15.0;2.0;0.0;14.0;0.0
Wołyńska;LUBOMELSKI;0.0;0.0;33.0;0.0;166.0;11.0;180.0;30.0;32.0;11.0;13.0;9.0
Lwowska;LWOWSKI;0.0;0.0;24.0;2.0;520.0;24.0;745.0;54.0;1.0;11.0;57.0;8.0
Lwowska;LWÓW (MIASTO);84.0;3.0;1483.0;45.0;3674.0;129.0;2618.0;0.0;55.0;11.0;217.0;0.0
Warszawa Grodzka;M. ST. WARSZAWA;638.0;20.0;5387.0;212.0;14297.0;665.0;9225.0;851.0;421.0;72.0;667.0;267.0
Warszawa Okręgowa;MAKOWSKI (MAKÓW MAZOWIECKI);0.0;0.0;31.0;2.0;467.0;15.0;226.0;22.0;1.0;0.0;9.0;0.0
Krakowska;MAKOWSKI (MAKÓW PODHALAŃSKI);1.0;0.0;55.0;11.0;288.0;63.0;524.0;45.0;2.0;1.0;9.0;0.0
Kielecka;MIECHOWSKI;1.0;0.0;93.0;3.0;751.0;47.0;531.0;33.0;2.0;1.0;26.0;3.0
Krakowska;MIELECKI;0.0;0.0;19.0;2.0;293.0;2.0;648.0;19.0;0.0;0.0;5.0;1.0
Wielkopolska;MIĘDZYCHODZKI;0.0;0.0;20.0;0.0;307.0;31.0;87.0;5.0;0.0;0.0;14.0;0.0
Warszawa Okręgowa;MIŃSKI;1.0;0.0;44.0;1.0;748.0;48.0;831.0;72.0;0.0;0.0;29.0;4.0
Wielkopolska;MOGILEŃSKI;0.0;0.0;74.0;0.0;460.0;19.0;122.0;8.0;0.0;0.0;26.0;2.0
Lwowska;MOŚCISKI;0.0;0.0;10.0;0.0;193.0;2.0;546.0;14.0;0.0;0.0;1.0;0.0
Krakowska;MYŚLENICKI;0.0;0.0;1.0;0.0;132.0;0.0;296.0;15.0;1.0;0.0;2.0;0.0
Warszawa Okręgowa;MŁAWSKI;2.0;0.0;73.0;3.0;634.0;38.0;386.0;94.0;0.0;0.0;40.0;5.0
Lwowska;NADWÓRNIAŃSKI;1.0;0.0;49.0;10.0;808.0;176.0;165.0;63.0;2.0;5.0;9.0;6.0
Warszawa Okręgowa;NIESZAWSKI;1.0;0.0;42.0;41.0;502.0;213.0;434.0;173.0;3.0;0.0;89.0;26.0
Poleska;NIEŚWIESKI;0.0;0.0;91.0;11.0;757.0;94.0;361.0;100.0;3.0;0.0;0.0;0.0
Lwowska;NIŻAŃSKI;0.0;0.0;12.0;0.0;260.0;5.0;389.0;41.0;0.0;0.0;3.0;0.0
Poleska;NOWOGRÓDZKI;1.0;0.0;39.0;0.0;377.0;21.0;432.0;65.0;46.0;9.0;2.0;0.0
Krakowska;NOWOSĄDECKI;0.0;1.0;120.0;66.0;843.0;201.0;1010.0;205.0;2.0;1.0;8.0;4.0
Krakowska;NOWOTARSKI;3.0;0.0;184.0;34.0;639.0;126.0;775.0;72.0;0.0;2.0;0.0;0.0
Wielkopolska;NOWOTOMYSKI;0.0;0.0;82.0;1.0;609.0;44.0;103.0;20.0;5.0;0.0;27.0;6.0
Wielkopolska;OBORNICKI;0.0;0.0;68.0;0.0;407.0;15.0;159.0;13.0;2.0;1.0;19.0;1.0
Wielkopolska;ODOLANOWSKI;0.0;0.0;3.0;0.0;268.0;12.0;159.0;26.0;3.0;0.0;10.0;0.0
Kielecka;OLKUSKI;1.0;0.0;78.0;6.0;774.0;35.0;796.0;103.0;1.0;0.0;24.0;3.0
Kielecka;OPATOWSKI;5.0;0.0;93.0;10.0;701.0;47.0;1033.0;121.0;4.0;0.0;64.0;14.0
Kielecka;OPOCZYŃSKI;1.0;0.0;44.0;3.0;389.0;9.0;847.0;126.0;2.0;0.0;3.0;3.0
Białostocka;OSTROWSKI (OSTRÓW MAZOWIECKA);0.0;0.0;59.0;2.0;771.0;23.0;469.0;47.0;0.0;0.0;5.0;1.0
Wielkopolska;OSTROWSKI (OSTRÓW WIELKOPOLSKI);4.0;0.0;131.0;3.0;472.0;16.0;225.0;18.0;6.0;2.0;18.0;4.0
Białostocka;OSTROŁĘCKI;0.0;0.0;27.0;3.0;506.0;47.0;354.0;48.0;1.0;0.0;5.0;0.0
Wielkopolska;OSTRZESZOWSKI;0.0;0.0;10.0;0.0;272.0;5.0;156.0;17.0;0.0;1.0;15.0;0.0
Wileńska;OSZMIAŃSKI;1.0;0.0;41.0;4.0;560.0;27.0;338.0;73.0;4.0;0.0;50.0;5.0
Krakowska;OŚWIĘCIMSKI;0.0;0.0;61.0;1.0;529.0;18.0;366.0;14.0;1.0;3.0;28.0;4.0
Lwowska;PECZENIŻYŃSKI;0.0;0.0;1.0;0.0;155.0;2.0;199.0;22.0;0.0;0.0;0.0;1.0
Krakowska;PILZNEŃSKI;0.0;0.0;2.0;0.0;189.0;3.0;320.0;27.0;0.0;0.0;0.0;0.0
Łódzka;PIOTRKOWSKI;5.0;0.0;141.0;8.0;1324.0;97.0;981.0;177.0;54.0;2.0;70.0;23.0
Kielecka;PIŃCZOWSKI;2.0;0.0;62.0;2.0;552.0;36.0;768.0;154.0;1.0;0.0;36.0;6.0
Poleska;PIŃSKI;2.0;0.0;118.0;11.0;835.0;71.0;409.0;116.0;8.0;2.0;11.0;10.0
Wielkopolska;PLESZEWSKI;1.0;0.0;49.0;2.0;327.0;10.0;87.0;17.0;0.0;0.0;6.0;0.0
Lwowska;PODHAJECKI;0.0;0.0;8.0;1.0;300.0;11.0;462.0;46.0;2.0;1.0;7.0;6.0
Wielkopolska;POZNAŃ (MIASTO);125.0;8.0;1169.0;46.0;2097.0;171.0;1353.0;256.0;9.0;4.0;163.0;48.0
Wielkopolska;POZNAŃSKI;1.0;0.0;16.0;1.0;490.0;28.0;379.0;48.0;14.0;2.0;56.0;0.0
Poleska;PRUŻAŃSKI;0.0;0.0;39.0;3.0;415.0;32.0;132.0;23.0;0.0;0.0;0.0;0.0
Warszawa Okręgowa;PRZASNYCKI;1.0;0.0;29.0;5.0;368.0;20.0;168.0;18.0;0.0;0.0;3.0;9.0
Lwowska;PRZEMYSKI;6.0;0.0;251.0;5.0;969.0;25.0;1177.0;52.0;2.0;0.0;62.0;5.0
Lwowska;PRZEMYŚLAŃSKI;0.0;0.0;6.0;0.0;229.0;4.0;565.0;22.0;0.0;0.0;2.0;0.0
Lwowska;PRZEWORSKI;0.0;0.0;21.0;0.0;247.0;5.0;289.0;14.0;3.0;0.0;2.0;1.0
Śląska;PSZCZYŃSKI;7.0;0.0;203.0;6.0;752.0;37.0;432.0;57.0;4.0;1.0;60.0;8.0
Pomorska;PUCKI;1.0;0.0;30.0;7.0;235.0;126.0;31.0;11.0;6.0;3.0;29.0;0.0
Lubelska;PUŁAWSKI;0.0;0.0;93.0;4.0;1170.0;46.0;826.0;176.0;0.0;0.0;0.0;0.0
Warszawa Okręgowa;PUŁTUSKI;2.0;0.0;82.0;4.0;890.0;36.0;677.0;42.0;1.0;0.0;9.0;1.0
Warszawa Okręgowa;PŁOCKI;7.0;1.0;146.0;5.0;964.0;60.0;756.0;224.0;2.0;1.0;42.0;3.0
Warszawa Okręgowa;PŁOŃSKI;1.0;0.0;40.0;2.0;453.0;30.0;355.0;40.0;6.0;0.0;17.0;5.0
Kielecka;RADOMSKI;13.0;0.0;298.0;14.0;1107.0;43.0;1505.0;140.0;2.0;0.0;14.0;6.0
Łódzka;RADOMSZCZAŃSKI;4.0;0.0;81.0;7.0;716.0;66.0;864.0;168.0;7.0;0.0;89.0;9.0
Lwowska;RADZIECHOWSKI;0.0;0.0;17.0;4.0;150.0;5.0;457.0;23.0;0.0;0.0;5.0;0.0
Warszawa Okręgowa;RADZYMIŃSKI;4.0;0.0;42.0;4.0;516.0;34.0;457.0;56.0;1.0;0.0;2.0;0.0
Lubelska;RADZYŃSKI;0.0;0.0;44.0;0.0;429.0;33.0;367.0;69.0;14.0;5.0;25.0;3.0
Wielkopolska;RAWICKI;4.0;0.0;101.0;4.0;471.0;26.0;191.0;60.0;1.0;0.0;6.0;0.0
Warszawa Okręgowa;RAWSKI (RAWA MAZOWIECKA);1.0;0.0;47.0;3.0;567.0;34.0;503.0;62.0;2.0;0.0;0.0;2.0
Lwowska;RAWSKI (RAWA RUSKA);0.0;0.0;41.0;9.0;526.0;21.0;867.0;45.0;5.0;0.0;21.0;1.0
Lwowska;ROHATYŃSKI;0.0;0.0;8.0;0.0;204.0;5.0;890.0;28.0;0.0;0.0;0.0;0.0
Krakowska;ROPCZYCKI;0.0;0.0;48.0;1.0;350.0;6.0;514.0;30.0;0.0;0.0;4.0;0.0
Lwowska;RUDECKI;0.0;0.0;5.0;0.0;282.0;13.0;381.0;9.0;0.0;0.0;6.0;0.0
Śląska;RYBNICKI;5.0;0.0;176.0;8.0;1255.0;121.0;543.0;77.0;12.0;2.0;92.0;12.0
Warszawa Okręgowa;RYPIŃSKI;0.0;0.0;66.0;1.0;488.0;36.0;477.0;110.0;0.0;0.0;25.0;6.0
Lwowska;RZESZOWSKI;1.0;0.0;123.0;0.0;1010.0;17.0;731.0;41.0;1.0;0.0;11.0;1.0
Wołyńska;RÓWIEŃSKI;4.0;1.0;208.0;14.0;1523.0;134.0;1517.0;238.0;75.0;15.0;235.0;38.0
Lwowska;SAMBORSKI;0.0;0.0;31.0;1.0;463.0;13.0;515.0;35.0;0.0;0.0;23.0;2.0
Kielecka;SANDOMIERSKI;2.0;0.0;45.0;1.0;543.0;15.0;862.0;36.0;0.0;0.0;27.0;1.0
Lwowska;SANOCKI;0.0;0.0;0.0;0.0;806.0;26.0;644.0;28.0;0.0;0.0;0.0;0.0
Poleska;SARNEŃSKI;3.0;0.0;80.0;11.0;871.0;94.0;192.0;53.0;5.0;1.0;1.0;0.0
Lubelska;SIEDLECKI;0.0;0.0;122.0;4.0;769.0;53.0;552.0;127.0;17.0;2.0;45.0;20.0
Łódzka;SIERADZKI;2.0;0.0;82.0;9.0;728.0;37.0;1550.0;237.0;14.0;5.0;172.0;24.0
Warszawa Okręgowa;SIERPECKI;1.0;0.0;56.0;8.0;620.0;41.0;439.0;78.0;2.0;0.0;3.0;1.0
Lwowska;SKAŁACKI;0.0;0.0;32.0;2.0;393.0;5.0;790.0;43.0;0.0;13.0;0.0;1.0
Warszawa Okręgowa;SKIERNIEWICKI;2.0;0.0;68.0;3.0;479.0;13.0;244.0;32.0;0.0;0.0;8.0;2.0
Lwowska;SKOLSKI;0.0;0.0;30.0;2.0;260.0;20.0;239.0;29.0;0.0;0.0;17.0;0.0
Warszawa Okręgowa;SOCHACZEWSKI;2.0;0.0;35.0;0.0;330.0;16.0;287.0;69.0;0.0;0.0;7.0;0.0
Lwowska;SOKALSKI;0.0;0.0;14.0;4.0;313.0;14.0;1094.0;23.0;0.0;0.0;1.0;4.0
Lubelska;SOKOŁOWSKI;2.0;0.0;24.0;2.0;376.0;23.0;354.0;43.0;1.0;0.0;12.0;1.0
Białostocka;SOKÓLSKI;0.0;0.0;0.0;0.0;0.0;0.0;749.0;68.0;6.0;2.0;21.0;5.0
Lwowska;STANISŁAWOWSKI;10.0;0.0;255.0;11.0;1219.0;46.0;926.0;71.0;1.0;0.0;2.0;0.0
Pomorska;STAROGARDZKI;3.0;0.0;88.0;4.0;571.0;38.0;73.0;14.0;5.0;5.0;102.0;14.0
Lwowska;STAROSAMBORSKI;0.0;0.0;7.0;0.0;251.0;4.0;433.0;25.0;1.0;0.0;4.0;1.0
;STOLIŃSKI;;;;;;;;;;;;
Kielecka;STOPNICKI;0.0;0.0;61.0;21.0;660.0;64.0;968.0;206.0;1.0;1.0;35.0;7.0
Poleska;STOŁPECKI;2.0;0.0;59.0;4.0;435.0;32.0;297.0;65.0;1.0;2.0;0.0;1.0
Lwowska;STRYJSKI;2.0;2.0;117.0;6.0;719.0;25.0;419.0;20.0;1.0;0.0;12.0;0.0
Wielkopolska;STRZELNEŃSKI;1.0;0.0;61.0;1.0;325.0;18.0;46.0;11.0;0.0;1.0;19.0;0.0
Lwowska;STRZYŻOWSKI;0.0;0.0;31.0;0.0;318.0;15.0;269.0;14.0;0.0;0.0;2.0;0.0
Białostocka;SUWALSKI;4.0;0.0;172.0;7.0;679.0;42.0;199.0;81.0;1.0;0.0;22.0;11.0
Wielkopolska;SZAMOTULSKI;1.0;0.0;94.0;3.0;558.0;31.0;132.0;15.0;2.0;1.0;19.0;2.0
Białostocka;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);2.0;0.0;72.0;6.0;405.0;18.0;261.0;47.0;2.0;1.0;6.0;0.0
