Region;District;Liczba ludności/Ogółem;Liczba ludności/Mniej niż 2 ha;Liczba ludności/2 - 5 ha;Liczba ludności/5 - 10 ha;Liczba ludności/10 - 15 ha;Liczba ludności/15 - 50 ha;Liczba ludności/50 ha i więcej;Liczba ludności/Niewiadoma;Liczba zespołów/Ogółem;Liczba zespołów/Mniej niż 2 ha;Liczba zespołów/2 - 5 ha;Liczba zespołów/5 - 10 ha;Liczba zespołów/10 - 15 ha;Liczba zespołów/15 - 50 ha;Liczba zespołów/50 ha i więcej;Liczba zespołów/Niewiadoma
KRAKOWSKIE;ŻYWIECKI;70463.0;30515.0;28205.0;4051.0;202.0;40.0;18.0;7432.0;14498.0;7425.0;5398.0;712.0;32.0;9.0;4.0;918.0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);;;;;;;;;;;;;;;;
LUBELSKIE;BIŁGORAJSKI;;;;;;;;;;;;;;;;
LUBELSKIE;CHEŁMSKI;;;;;;;;;;;;;;;;
LUBELSKIE;GARWOLIŃSKI;;;;;;;;;;;;;;;;
LUBELSKIE;HRUBIESZOWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;JANOWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;KRASNOSTAWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;LUBARTOWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;LUBELSKI;;;;;;;;;;;;;;;;
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;;;;;
LUBELSKIE;PUŁAWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;RADZYŃSKI;;;;;;;;;;;;;;;;
LUBELSKIE;SIEDLECKI;;;;;;;;;;;;;;;;
LUBELSKIE;SOKOŁOWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;TOMASZOWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;WĘGROWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;WŁODAWSKI;;;;;;;;;;;;;;;;
LUBELSKIE;ZAMOJSKI;;;;;;;;;;;;;;;;
LUBELSKIE;ŁUKOWSKI;;;;;;;;;;;;;;;;
LWOWSKIE;BRZOZOWSKI;65572.0;28516.0;26264.0;3560.0;190.0;91.0;104.0;6847.0;13969.0;6891.0;5040.0;630.0;35.0;21.0;29.0;1323.0
LWOWSKIE;BÓBRECKI;63396.0;23593.0;23658.0;6702.0;625.0;330.0;32.0;8456.0;12148.0;5221.0;4256.0;1082.0;97.0;52.0;12.0;1428.0
LWOWSKIE;DOBROMILSKI;69735.0;20580.0;28774.0;7077.0;724.0;194.0;128.0;12258.0;12737.0;4436.0;4881.0;1054.0;106.0;33.0;38.0;2189.0
LWOWSKIE;DROHOBYCKI;92196.0;46433.0;27235.0;6382.0;1032.0;324.0;57.0;10733.0;18702.0;10501.0;5112.0;1074.0;169.0;54.0;17.0;1775.0
LWOWSKIE;GRÓDECKI;57868.0;19308.0;23773.0;7281.0;719.0;125.0;79.0;6583.0;10576.0;4086.0;4114.0;1123.0;104.0;29.0;22.0;1098.0
LWOWSKIE;JAROSŁAWSKI;96980.0;34805.0;40410.0;8505.0;656.0;214.0;153.0;12237.0;19459.0;8143.0;7493.0;1389.0;110.0;43.0;42.0;2239.0
LWOWSKIE;JAWOROWSKI;70072.0;24683.0;29896.0;7750.0;935.0;222.0;89.0;6497.0;12920.0;5231.0;5174.0;1189.0;140.0;44.0;26.0;1116.0
LWOWSKIE;KOLBUSZOWSKI;54213.0;11374.0;26852.0;12191.0;780.0;121.0;33.0;2862.0;11438.0;3087.0;5509.0;2148.0;131.0;20.0;10.0;533.0
LWOWSKIE;KROŚNIEŃSKI;77246.0;26310.0;33875.0;7204.0;658.0;145.0;48.0;9006.0;16668.0;6976.0;6738.0;1239.0;106.0;32.0;16.0;1561.0
LWOWSKIE;LESKI;85175.0;15459.0;21691.0;4346.0;35692.0;1439.0;323.0;6225.0;14000.0;3124.0;3179.0;590.0;5889.0;197.0;66.0;955.0
LWOWSKIE;LUBACZOWSKI;65449.0;17291.0;28486.0;7376.0;497.0;108.0;37.0;11654.0;12209.0;3872.0;5059.0;1155.0;89.0;20.0;15.0;1999.0
LWOWSKIE;LWOWSKI;87712.0;27675.0;29557.0;8214.0;870.0;248.0;100.0;21048.0;18776.0;7111.0;5780.0;1440.0;158.0;52.0;33.0;4202.0
LWOWSKIE;LWÓW (MIASTO);2449.0;809.0;336.0;79.0;29.0;98.0;460.0;638.0;872.0;250.0;93.0;27.0;10.0;40.0;192.0;260.0
LWOWSKIE;MOŚCISKI;68075.0;30014.0;29006.0;4999.0;394.0;102.0;100.0;3460.0;13052.0;6600.0;5062.0;800.0;64.0;21.0;30.0;475.0
LWOWSKIE;NIŻAŃSKI;45836.0;11578.0;20397.0;8375.0;798.0;105.0;21.0;4562.0;9274.0;2910.0;3947.0;1454.0;124.0;18.0;6.0;815.0
LWOWSKIE;PRZEMYSKI;80965.0;32130.0;26507.0;4688.0;500.0;151.0;115.0;16874.0;16775.0;7616.0;4974.0;797.0;87.0;35.0;43.0;3223.0
LWOWSKIE;PRZEWORSKI;39715.0;16186.0;16589.0;3464.0;440.0;70.0;16.0;2950.0;8524.0;4107.0;3280.0;610.0;75.0;16.0;6.0;430.0
LWOWSKIE;RAWSKI (RAWA RUSKA);89540.0;36485.0;34564.0;7043.0;769.0;190.0;139.0;10350.0;17585.0;8125.0;6254.0;1134.0;119.0;35.0;37.0;1881.0
LWOWSKIE;RUDECKI;62868.0;32276.0;18090.0;3284.0;286.0;106.0;37.0;8789.0;12625.0;7133.0;3301.0;537.0;49.0;16.0;15.0;1574.0
LWOWSKIE;RZESZOWSKI;120784.0;49587.0;51524.0;8514.0;541.0;149.0;109.0;10360.0;26509.0;12641.0;10274.0;1496.0;96.0;33.0;31.0;1938.0
LWOWSKIE;SAMBORSKI;92015.0;41142.0;32211.0;6714.0;934.0;241.0;115.0;10658.0;18775.0;9454.0;5984.0;1174.0;167.0;52.0;33.0;1911.0
LWOWSKIE;SANOCKI;79279.0;19709.0;35501.0;13890.0;2045.0;355.0;156.0;7623.0;14392.0;4445.0;6177.0;2138.0;285.0;52.0;42.0;1253.0
LWOWSKIE;SOKALSKI;66602.0;14072.0;29220.0;13226.0;1789.0;462.0;137.0;7696.0;13097.0;3391.0;5658.0;2255.0;286.0;82.0;44.0;1381.0
LWOWSKIE;TARNOBRZESKI;47852.0;19147.0;22096.0;3862.0;249.0;96.0;20.0;2382.0;10789.0;5055.0;4618.0;686.0;43.0;20.0;6.0;361.0
LWOWSKIE;TURCZAŃSKI;93090.0;27743.0;38881.0;16754.0;2504.0;870.0;87.0;6251.0;17344.0;5960.0;6958.0;2670.0;396.0;142.0;16.0;1202.0
LWOWSKIE;ŁAŃCUCKI;71286.0;26457.0;30663.0;5163.0;302.0;27.0;8.0;8666.0;15774.0;6936.0;6172.0;890.0;53.0;5.0;3.0;1715.0
LWOWSKIE;ŻÓŁKIEWSKI;68914.0;21947.0;29665.0;9420.0;1162.0;315.0;73.0;6332.0;13663.0;5139.0;5570.0;1599.0;189.0;52.0;26.0;1088.0
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;LIDZKI;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;NIEŚWIESKI;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;NOWOGRÓDZKI;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;STOŁPECKI;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;SŁONIMSKI;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;WOŁOŻYŃSKI;;;;;;;;;;;;;;;;
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);;;;;;;;;;;;;;;;
POLESKIE;DROHICKI;;;;;;;;;;;;;;;;
POLESKIE;IWACEWICKI;;;;;;;;;;;;;;;;
POLESKIE;KOBRYŃSKI;;;;;;;;;;;;;;;;
POLESKIE;KOSZYRSKI;;;;;;;;;;;;;;;;
POLESKIE;PIŃSKI;;;;;;;;;;;;;;;;
POLESKIE;PRUŻAŃSKI;;;;;;;;;;;;;;;;
POLESKIE;STOLIŃSKI;;;;;;;;;;;;;;;;
POLESKIE;ŁUNINIECKI;;;;;;;;;;;;;;;;
POMORSKIE;BRODNICKI;21447.0;1727.0;3873.0;5621.0;4047.0;4632.0;630.0;917.0;4103.0;456.0;834.0;1042.0;713.0;801.0;128.0;129.0
POMORSKIE;CHEŁMIŃSKI;15292.0;1489.0;2877.0;3992.0;2969.0;2516.0;544.0;905.0;3092.0;423.0;648.0;754.0;513.0;470.0;136.0;148.0
POMORSKIE;CHOJNICKI;25634.0;1270.0;3112.0;6272.0;5842.0;6691.0;1060.0;1387.0;4430.0;345.0;650.0;1080.0;947.0;1075.0;203.0;130.0
POMORSKIE;DZIAŁDOWSKI;15181.0;731.0;2179.0;4183.0;2876.0;4039.0;569.0;604.0;2834.0;189.0;458.0;771.0;504.0;684.0;127.0;101.0
POMORSKIE;GDYNIA (MIASTO);511.0;63.0;74.0;82.0;43.0;115.0;12.0;122.0;104.0;12.0;21.0;14.0;10.0;21.0;4.0;22.0
POMORSKIE;GRUDZIĄDZ (MIASTO);260.0;97.0;46.0;35.0;12.0;27.0;5.0;38.0;68.0;24.0;16.0;8.0;2.0;6.0;2.0;10.0
POMORSKIE;GRUDZIĄDZKI;14001.0;1557.0;2298.0;2564.0;2733.0;3602.0;653.0;594.0;2964.0;431.0;544.0;514.0;503.0;695.0;166.0;111.0
POMORSKIE;KARTUSKI;36929.0;2017.0;5358.0;11823.0;8890.0;6787.0;540.0;1514.0;6118.0;491.0;1038.0;1930.0;1374.0;1023.0;103.0;159.0
POMORSKIE;KOŚCIERSKI;21089.0;760.0;2112.0;4966.0;5147.0;6639.0;688.0;777.0;3723.0;210.0;454.0;905.0;851.0;1082.0;127.0;94.0
POMORSKIE;LUBAWSKI;21792.0;1327.0;3306.0;5626.0;4182.0;5915.0;660.0;776.0;4062.0;350.0;711.0;1028.0;716.0;1020.0;140.0;97.0
POMORSKIE;MORSKI;25371.0;1028.0;3749.0;7197.0;6006.0;5471.0;607.0;1313.0;4295.0;249.0;720.0;1224.0;924.0;887.0;131.0;160.0
POMORSKIE;STAROGARDZKI;20224.0;1817.0;3910.0;5785.0;3946.0;3388.0;349.0;1029.0;3883.0;506.0;852.0;1069.0;678.0;565.0;85.0;128.0
POMORSKIE;SĘPOLEŃSKI;11593.0;675.0;1318.0;2888.0;2033.0;3685.0;676.0;318.0;2299.0;191.0;305.0;595.0;371.0;657.0;135.0;45.0
POMORSKIE;TCZEWSKI;8761.0;767.0;1057.0;1345.0;1819.0;2355.0;845.0;573.0;1807.0;248.0;255.0;261.0;314.0;430.0;215.0;84.0
POMORSKIE;TORUŃ (MIASTO);261.0;48.0;98.0;43.0;20.0;15.0;6.0;31.0;84.0;21.0;26.0;14.0;5.0;5.0;2.0;11.0
POMORSKIE;TORUŃSKI;15542.0;1659.0;2477.0;4238.0;2785.0;3315.0;359.0;709.0;3115.0;448.0;562.0;806.0;497.0;619.0;95.0;88.0
POMORSKIE;TUCHOLSKI;16898.0;1171.0;2943.0;4274.0;3072.0;4144.0;452.0;842.0;3071.0;313.0;604.0;779.0;510.0;677.0;99.0;89.0
POMORSKIE;WĄBRZESKI;19915.0;1988.0;4029.0;4856.0;4110.0;4136.0;310.0;486.0;3903.0;511.0;880.0;908.0;719.0;714.0;81.0;90.0
POMORSKIE;ŚWIECKI;30851.0;3214.0;5968.0;7404.0;6379.0;5874.0;565.0;1447.0;6358.0;954.0;1372.0;1480.0;1138.0;1097.0;150.0;167.0
POZNAŃSKIE;BYDGOSKI;19636.0;1351.0;3434.0;4891.0;3525.0;4734.0;865.0;836.0;3998.0;398.0;796.0;989.0;646.0;880.0;197.0;92.0
POZNAŃSKIE;BYDGOSZCZ (MIASTO);1484.0;497.0;393.0;192.0;58.0;110.0;32.0;202.0;381.0;162.0;95.0;44.0;14.0;21.0;12.0;33.0
POZNAŃSKIE;CHODZIESKI;14918.0;660.0;2182.0;3981.0;2736.0;4253.0;409.0;697.0;3162.0;197.0;527.0;872.0;547.0;832.0;96.0;91.0
POZNAŃSKIE;CZARNKOWSKI;16887.0;1424.0;3032.0;4825.0;3216.0;3379.0;231.0;780.0;3286.0;388.0;657.0;926.0;566.0;617.0;56.0;76.0
POZNAŃSKIE;GNIEZNO (MIASTO);176.0;30.0;18.0;12.0;32.0;45.0;2.0;37.0;51.0;12.0;4.0;3.0;8.0;13.0;1.0;10.0
POZNAŃSKIE;GNIEŹNIEŃSKI;20651.0;763.0;1516.0;3267.0;5012.0;8416.0;664.0;1013.0;3839.0;223.0;332.0;626.0;892.0;1463.0;158.0;145.0
POZNAŃSKIE;GOSTYŃSKI;16711.0;1527.0;3337.0;6110.0;3548.0;1583.0;118.0;488.0;3087.0;425.0;692.0;1061.0;570.0;253.0;39.0;47.0
POZNAŃSKIE;INOWROCŁAW (MIASTO);517.0;83.0;47.0;60.0;92.0;175.0;19.0;41.0;120.0;29.0;9.0;12.0;16.0;36.0;9.0;9.0
POZNAŃSKIE;INOWROCŁAWSKI;13123.0;530.0;1928.0;2938.0;2891.0;3881.0;463.0;492.0;2604.0;160.0;443.0;565.0;536.0;707.0;125.0;68.0
POZNAŃSKIE;JAROCIŃSKI;22865.0;1978.0;3395.0;7167.0;5198.0;3649.0;372.0;1106.0;4205.0;524.0;688.0;1282.0;863.0;613.0;103.0;132.0
POZNAŃSKIE;KOŚCIAŃSKI;24865.0;2136.0;4765.0;7085.0;5275.0;4365.0;254.0;985.0;4528.0;567.0;1004.0;1246.0;850.0;691.0;69.0;101.0
POZNAŃSKIE;KROTOSZYŃSKI;27663.0;1628.0;3698.0;10047.0;7391.0;3620.0;223.0;1056.0;5041.0;459.0;810.0;1770.0;1245.0;592.0;55.0;110.0
POZNAŃSKIE;KĘPIŃSKI;37438.0;2569.0;8180.0;14492.0;6967.0;3265.0;319.0;1646.0;7144.0;723.0;1798.0;2643.0;1170.0;534.0;83.0;193.0
POZNAŃSKIE;LESZCZYŃSKI;15823.0;927.0;1877.0;4696.0;3672.0;3670.0;237.0;744.0;3165.0;300.0;445.0;936.0;692.0;673.0;62.0;57.0
POZNAŃSKIE;MIĘDZYCHODZKI;7479.0;387.0;674.0;948.0;1400.0;3342.0;328.0;400.0;1520.0;120.0;165.0;203.0;278.0;625.0;71.0;58.0
POZNAŃSKIE;MOGILEŃSKI;20041.0;999.0;1768.0;3282.0;4510.0;7433.0;1282.0;767.0;3727.0;269.0;388.0;604.0;786.0;1274.0;293.0;113.0
POZNAŃSKIE;NOWOTOMYSKI;25519.0;1767.0;4415.0;7183.0;5620.0;5248.0;146.0;1140.0;5269.0;553.0;1020.0;1457.0;1056.0;982.0;40.0;161.0
