Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Ogółem R;Ogółem PR;Handel jarmarczny - hurt R;Handel jarmarczny - hurt PR;Handel jarmarczny - detal R;Handel jarmarczny - detal PR;Karty rejestracyjne R;Karty rejestracyjne PR
Łódzka;RADOMSZCZAŃSKI;0;0;7;0;0;0;1;0;8;0;0;0;0;0;80;3
Lwowska;RADZIECHOWSKI;0;0;1;0;2;0;0;0;3;0;0;0;0;0;19;2
Warszawa Okręgowa;RADZYMIŃSKI;0;0;1;0;0;0;1;0;2;0;0;0;0;0;17;0
Lubelska;RADZYŃSKI;0;0;16;1;0;0;0;0;16;1;0;0;0;0;56;7
Wielkopolska;RAWICKI;0;0;0;0;0;0;2;1;2;1;0;0;0;0;16;0
Warszawa Okręgowa;RAWSKI (RAWA MAZOWIECKA);0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
Lwowska;RAWSKI (RAWA RUSKA);0;0;17;0;0;0;0;0;17;0;0;0;0;0;30;0
Lwowska;ROHATYŃSKI;0;0;3;0;2;0;0;0;5;0;0;0;0;0;15;0
Krakowska;ROPCZYCKI;0;0;3;1;1;0;0;0;4;1;0;0;0;0;35;1
Lwowska;RUDECKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;5
Śląska;RYBNICKI;0;0;4;2;2;0;7;0;13;2;0;0;0;0;42;1
Warszawa Okręgowa;RYPIŃSKI;0;0;1;0;1;0;0;0;2;0;0;0;0;0;46;0
Lwowska;RZESZOWSKI;0;0;10;2;5;0;3;2;18;4;0;0;0;0;61;3
Wołyńska;RÓWIEŃSKI;0;0;17;2;24;0;1;4;42;6;0;0;0;0;329;33
Lwowska;SAMBORSKI;0;0;2;0;2;0;0;0;4;0;0;0;2;0;42;0
Kielecka;SANDOMIERSKI;0;0;3;0;2;0;0;0;5;0;0;0;0;0;53;1
Lwowska;SANOCKI;0;0;2;0;0;0;0;0;2;0;0;0;0;0;51;0
Poleska;SARNEŃSKI;0;0;23;2;0;0;0;0;23;2;0;0;0;0;132;0
Lubelska;SIEDLECKI;0;0;5;0;2;1;1;0;8;1;0;0;0;0;55;0
Łódzka;SIERADZKI;0;0;8;0;7;0;0;0;15;0;0;0;0;0;35;2
Warszawa Okręgowa;SIERPECKI;0;0;4;0;1;0;0;0;5;0;0;0;0;0;43;2
Lwowska;SKAŁACKI;0;0;9;1;0;0;0;0;9;1;0;0;0;0;13;0
Warszawa Okręgowa;SKIERNIEWICKI;0;0;1;0;0;0;3;0;4;0;0;0;0;0;15;2
Lwowska;SKOLSKI;0;0;1;0;0;0;0;0;1;0;0;0;0;0;18;0
Warszawa Okręgowa;SOCHACZEWSKI;0;0;1;0;1;0;0;0;2;0;0;0;0;0;42;1
Lwowska;SOKALSKI;0;0;4;2;3;1;0;0;7;3;0;0;0;0;24;7
Lubelska;SOKOŁOWSKI;0;0;6;2;1;0;0;0;7;2;0;0;0;0;42;0
Białostocka;SOKÓLSKI;0;0;2;0;0;0;0;0;2;0;0;0;0;0;57;5
Lwowska;STANISŁAWOWSKI;0;0;30;2;15;0;5;3;50;5;0;0;1;0;169;8
Pomorska;STAROGARDZKI;0;0;11;0;3;1;16;0;30;1;0;0;0;0;46;0
Lwowska;STAROSAMBORSKI;0;0;0;0;1;0;0;0;1;0;0;0;0;0;8;0
Poleska;STOLIŃSKI;0;0;5;1;1;0;0;0;6;1;0;0;0;0;52;3
Kielecka;STOPNICKI;0;0;4;1;0;0;0;0;4;1;0;0;0;0;28;3
Poleska;STOŁPECKI;0;0;4;2;1;0;0;0;5;2;0;0;0;0;67;0
Lwowska;STRYJSKI;0;0;6;0;2;0;2;0;10;0;0;0;0;0;56;1
Wielkopolska;STRZELNEŃSKI;0;0;6;1;1;0;1;0;8;1;0;0;0;0;16;1
Lwowska;STRZYŻOWSKI;0;0;1;0;0;0;0;0;1;0;0;0;0;0;75;7
Białostocka;SUWALSKI;0;0;3;0;6;1;0;0;9;1;0;0;0;0;120;5
Wielkopolska;SZAMOTULSKI;0;0;4;0;0;0;0;0;4;0;0;0;0;0;18;0
Białostocka;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);0;0;0;0;3;0;0;0;3;0;0;0;0;0;126;14
Wielkopolska;SZUBIŃSKI;0;0;9;0;0;0;0;0;9;0;0;0;0;0;38;0
Pomorska;SĘPOLEŃSKI;0;0;14;1;6;0;0;1;20;2;0;0;0;0;34;1
Poleska;SŁONIMSKI;0;0;4;1;4;0;0;0;8;1;0;0;0;0;109;9
Łódzka;SŁUPECKI;0;0;1;0;0;0;0;0;1;0;0;0;0;0;57;0
Lwowska;TARNOBRZESKI;0;0;8;0;2;0;0;0;10;0;0;0;0;0;45;1
Śląska;TARNOGÓRSKI;0;0;0;1;4;0;9;4;13;5;0;0;0;0;38;2
Lwowska;TARNOPOLSKI;0;0;10;1;2;0;1;0;13;1;0;0;0;0;43;2
Krakowska;TARNOWSKI;0;0;19;0;6;0;2;0;27;0;0;0;0;0;55;1
Pomorska;TCZEWSKI;0;0;5;1;6;0;11;3;22;4;0;0;0;0;11;1
Lubelska;TOMASZOWSKI;0;0;4;0;2;0;0;0;6;0;0;0;0;0;21;0
;TORUŃ (MIASTO);;;;;;;;;;;;;;;;
Pomorska;TORUŃSKI;0;0;10;4;12;0;31;2;53;6;0;0;0;0;90;1
Lwowska;TREMBOWELSKI;0;0;2;0;3;0;0;0;5;0;0;0;0;0;59;4
Pomorska;TUCHOLSKI;0;0;4;0;2;0;1;0;7;0;0;0;0;0;12;0
Lwowska;TURCZAŃSKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0
Łódzka;TURECKI;0;0;1;0;0;0;0;0;1;0;0;0;0;0;33;2
Lwowska;TŁUMACKI;0;0;0;0;4;0;0;0;4;0;0;0;0;0;39;0
Krakowska;WADOWICKI;0;0;5;2;0;0;2;0;7;2;0;0;0;0;65;0
Warszawa Okręgowa;WARSZAWSKI;0;0;4;0;0;0;10;0;14;0;0;0;0;0;28;5
Krakowska;WIELICKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
Łódzka;WIELUŃSKI;1;0;3;0;1;0;1;1;6;1;0;0;0;0;19;0
Wileńska;WILEJSKI;0;0;4;2;0;0;2;0;6;2;0;0;0;0;278;34
Wileńska;WILEŃSKO-TROCKI;0;0;0;2;0;0;0;0;0;2;0;0;0;0;35;15
Wileńska;WILNO (MIASTO);0;0;38;9;22;3;20;12;80;24;0;0;2;0;348;26
Wielkopolska;WOLSZTYŃSKI;0;0;2;0;6;0;7;2;15;2;0;0;0;0;53;3
Białostocka;WOŁKOWYSKI;0;0;16;1;3;1;0;0;19;2;0;0;0;0;196;15
Poleska;WOŁOŻYŃSKI;0;0;1;0;0;0;0;0;1;0;0;0;0;0;46;26
Wielkopolska;WRZESIŃSKI;0;0;4;2;1;0;3;1;8;3;0;0;0;0;10;1
Wielkopolska;WYRZYSKI;0;0;11;0;1;0;0;0;12;0;0;0;0;0;23;5
Białostocka;WYSOKOMAZOWIECKI;0;0;3;0;0;0;0;0;3;0;0;0;0;0;63;0
Pomorska;WĄBRZESKI;0;0;14;0;3;0;3;0;20;0;0;0;0;0;52;6
Wielkopolska;WĄGROWIECKI;0;0;5;0;1;0;0;1;6;1;0;0;0;0;8;0
Lubelska;WĘGROWSKI;0;0;1;3;1;0;0;0;2;3;0;0;0;0;16;5
Warszawa Okręgowa;WŁOCŁAWSKI;0;0;8;0;3;0;29;0;40;0;0;0;0;0;118;0
Lubelska;WŁODAWSKI;0;0;0;0;0;0;2;0;2;0;0;0;0;0;37;4
Wołyńska;WŁODZIMIERSKI;0;0;8;1;1;0;1;0;10;1;0;0;0;0;64;2
Kielecka;WŁOSZCZOWSKI;0;0;3;2;0;0;1;0;4;2;0;0;0;0;7;1
Lwowska;ZALESZCZYCKI;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
Lubelska;ZAMOJSKI;0;0;20;2;1;0;0;0;21;2;0;0;0;0;55;8
Kielecka;ZAWIERCIAŃSKI;0;0;1;0;3;0;0;1;4;1;0;0;0;0;27;1
Lwowska;ZBARASKI;0;0;4;0;1;0;0;0;5;0;0;0;0;0;19;1
Lwowska;ZBOROWSKI;0;0;5;0;2;0;0;0;7;0;0;0;4;0;61;0
Wołyńska;ZDOŁBUNOWSKI;0;0;10;1;0;0;1;0;11;1;0;0;0;0;71;3
Lwowska;ZŁOCZOWSKI;0;0;5;0;3;0;0;0;8;0;0;0;0;0;23;0
Łódzka;ŁASKI;0;0;1;0;1;0;1;0;3;0;0;0;0;0;19;2
Lwowska;ŁAŃCUCKI;0;0;3;0;0;0;0;0;3;0;0;0;0;0;40;0
Białostocka;ŁOMŻYŃSKI;0;0;10;0;3;0;1;0;14;0;0;0;0;0;87;3
