Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
LUBELSKIE;LUBLIN (MIASTO);;;;;;
LUBELSKIE;PUŁAWSKI;94397.0;281739;168188;134371.0;1819931.0;402142.0
LUBELSKIE;RADZYŃSKI;76336.0;290288;30083;161415.0;1145202.0;46629.0
LUBELSKIE;SIEDLECKI;33034.0;285195;27724;120897.0;1427672.0;11821.0
LUBELSKIE;SOKOŁOWSKI;53087.0;266502;36387;119108.0;1370839.0;81572.0
LUBELSKIE;TOMASZOWSKI;194899.0;235004;131962;145107.0;1543383.0;378582.0
LUBELSKIE;WĘGROWSKI;31471.0;234047;25746;82064.0;1241051.0;790.0
LUBELSKIE;WŁODAWSKI;51157.0;353200;39467;121797.0;1297988.0;5784.0
LUBELSKIE;ZAMOJSKI;186911.0;228391;146872;206438.0;1700615.0;374612.0
LUBELSKIE;ŁUKOWSKI;30673.0;370389;35356;151643.0;1517214.0;2700.0
LWOWSKIE;BRZOZOWSKI;35339.0;90871;38840;57384.0;651589.0;15249.0
LWOWSKIE;BÓBRECKI;70956.0;48200;44575;82292.0;815512.0;207740.0
LWOWSKIE;DOBROMILSKI;30599.0;64087;16853;71062.0;542877.0;7456.0
LWOWSKIE;DROHOBYCKI;24069.0;81919;24597;103160.0;732827.0;0.0
LWOWSKIE;GRÓDECKI;42026.0;82224;43053;90469.0;734786.0;31970.0
LWOWSKIE;JAROSŁAWSKI;58745.0;38393;45151;112943.0;953302.0;431682.0
LWOWSKIE;JAWOROWSKI;22763.0;120836;26707;66204.0;611079.0;8296.0
LWOWSKIE;KOLBUSZOWSKI;48357.0;147402;38829;42746.0;745829.0;205.0
LWOWSKIE;KROŚNIEŃSKI;32514.0;73302;28351;53203.0;631631.0;825.0
LWOWSKIE;LESKI;28260.0;75859;27512;211747.0;814548.0;1112.0
LWOWSKIE;LUBACZOWSKI;34388.0;90158;29092;70833.0;626252.0;0.0
LWOWSKIE;LWOWSKI;107417.0;120910;52154;134339.0;1054504.0;48332.0
LWOWSKIE;LWÓW (MIASTO);;;;;;
LWOWSKIE;MOŚCISKI;43576.0;101165;32436;52557.0;699908.0;11854.0
LWOWSKIE;NIŻAŃSKI;19955.0;90783;19637;31984.0;533327.0;5662.0
LWOWSKIE;PRZEMYSKI;61712.0;102777;29127;54144.0;841888.0;177530.0
LWOWSKIE;PRZEWORSKI;48813.0;69855;14766;49546.0;391830.0;253188.0
LWOWSKIE;RAWSKI (RAWA RUSKA);74999.0;133238;76103;74895.0;926617.0;84070.0
LWOWSKIE;RUDECKI;47006.0;66005;48833;67997.0;915231.0;35098.0
LWOWSKIE;RZESZOWSKI;86459.0;132808;39093;62564.0;637139.0;29763.0
LWOWSKIE;SAMBORSKI;46506.0;126344;33253;65204.0;1075766.0;31008.0
