Region;District;1. Number of workers in plants I-VII;2. Plants: total;3. Plants: I-III;4. Plants: IV-V;5. Plants: VI-VII;6. Plants: VIII;7. Mining: I-V;8. Mining: VI-VII;9. Mining: VIII;10. Mineral: I-V;11. Mineral: VI-VII;12. Mineral: VIII;13. Mineral: brickyards (within others);14. Mineral: concrete plants (within others);15. Metal and electrotechnical: I-V;16. Metal and electrotechnical: VI-VII;17. Metal and electrotechnical: VIII;18. Metal and electrotechnical: metal production (within others);19. Metal and electrotechnical: blacksmithing (within others);20. Metal and electrotechnical: locksmithing, repairs (within others);21. Metal and electrotechnical: tinsmithing (within others);22. Metal and electrotechnical: watchmaking and jewelry (within others);23. Chemical: I-V;24. Chemical: VI-VII;25. Chemical: VIII;26. Chemical: oil mills (within others);27. Textile: I-V;28. Textile: VI-VII;29. Textile: VIII;30. Paper: I-V;31. Paper: VI-VII;32. Paper: VIII;33. Leather: I-V;34. Leather: VI-VII;35. Leather: VIII;36. Leather: tanning and white leather (within others);37. Leather: saddlery and harness making (within others);38. Wood: I-V;39. Wood: VI-VII;40. Wood: VIII;41. Wood: sawmills (within others);42. Wood: carpentry (within others);43. Wood: wheelwrighting (within others);44. Food: I-V;45. Food: VI-VII;46. Food: VIII;47. Food: mills (within others);48. Food: bakeries (within others);49. Food: dairies (within others);50. Food: butchery and meat processing (within others);51. Clothing: I-V;52. Clothing: VI-VII;53. Clothing: VIII;54. Clothing: tailoring and clothing accessories (within others);55. Clothing: shoemaking and boot making (within others);56. Clothing: furriery (within others);57. Printing: I-V;58. Printing: VI-VII;59. Printing: VIII;60. Printing: printing houses (within others);61. Construction: I-V;62. Construction: VI-VII;63. Construction: VIII;64. Processing of various materials: VII;65. Processing of various materials: VIII;66. Power plants: I-V;67. Power plants: VI-VII;68. Power plants: VIII;69. Services: V-VII;70. Services: VIII;71. Services: hairdressing (within others);72. Services: transport (within others);73. Horticulture and fisheries: V-VII;74. Horticulture and fisheries: VIII;75. Other plants: VIII
BIAŁOSTOCKIE;WOŁKOWYSKI;619;822;0.0;14.0;88;720;0.0;0.0;0.0;2.0;8.0;28.0;15.0;10.0;0.0;2.0;88;4.0;38.0;16.0;8;13.0;0.0;2.0;19.0;2.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;6.0;39.0;11.0;15.0;7.0;11.0;38.0;1.0;26.0;3.0;5.0;57.0;154.0;31.0;51.0;14.0;41.0;0.0;0.0;278.0;117.0;122.0;7.0;0.0;0.0;10.0;2.0;0.0;0.0;7.0;0.0;6.0;0.0;1.0;2.0;0.0;42.0;29.0;3.0;0.0;1.0;1.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;136;804;0.0;6.0;33;765;0.0;0.0;0.0;1.0;2.0;8.0;2.0;1.0;0.0;0.0;97;0.0;69.0;15.0;7;6.0;0.0;0.0;8.0;5.0;0.0;1.0;13.0;0.0;0.0;0.0;0.0;0.0;12.0;1.0;10.0;0.0;3.0;47.0;1.0;27.0;10.0;4.0;26.0;198.0;34.0;62.0;74.0;19.0;1.0;0.0;255.0;118.0;106.0;12.0;0.0;0.0;9.0;1.0;0.0;1.0;53.0;0.0;5.0;0.0;0.0;3.0;0.0;55.0;21.0;32.0;0.0;2.0;0.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;504;1332;0.0;11.0;68;1253;0.0;0.0;0.0;1.0;3.0;17.0;8.0;6.0;0.0;0.0;166;1.0;104.0;24.0;12;23.0;0.0;0.0;16.0;10.0;1.0;1.0;12.0;0.0;1.0;1.0;0.0;0.0;21.0;2.0;16.0;2.0;4.0;79.0;2.0;44.0;22.0;6.0;54.0;271.0;56.0;101.0;46.0;44.0;0.0;0.0;522.0;277.0;192.0;12.0;0.0;0.0;21.0;7.0;0.0;4.0;20.0;1.0;13.0;0.0;0.0;2.0;1.0;92.0;49.0;29.0;0.0;0.0;0.0
KIELECKIE;BĘDZIŃSKI;23 961;1642;32.0;51.0;119;1440;17.0;0.0;2.0;19.0;7.0;19.0;7.0;2.0;17.0;18.0;136;24.0;22.0;33.0;21;29.0;6.0;7.0;34.0;3.0;2.0;2.0;32.0;0.0;5.0;17.0;0.0;4.0;25.0;2.0;11.0;2.0;3.0;112.0;5.0;77.0;1.0;6.0;26.0;327.0;12.0;122.0;0.0;122.0;1.0;12.0;412.0;219.0;102.0;16.0;0.0;4.0;34.0;20.0;6.0;18.0;78.0;1.0;29.0;8.0;0.0;0.0;10.0;168.0;120.0;29.0;1.0;1.0;14.0
KIELECKIE;CZĘSTOCHOWA (MIASTO);16 232;1604;10.0;77.0;171;1346;0.0;0.0;0.0;11.0;10.0;19.0;0.0;3.0;30.0;52.0;154;28.0;16.0;55.0;19;25.0;4.0;10.0;39.0;2.0;12.0;7.0;35.0;3.0;5.0;27.0;1.0;3.0;29.0;2.0;5.0;7.0;15.0;105.0;0.0;56.0;4.0;7.0;14.0;191.0;6.0;84.0;2.0;66.0;4.0;30.0;187.0;196.0;99.0;12.0;2.0;5.0;53.0;16.0;4.0;13.0;88.0;2.0;69.0;2.0;0.0;0.0;2.0;136.0;94.0;24.0;3.0;11.0;3.0
KIELECKIE;CZĘSTOCHOWSKI;5 998;429;3.0;26.0;69;331;6.0;5.0;0.0;8.0;7.0;8.0;6.0;2.0;3.0;1.0;11;0.0;6.0;2.0;2;1.0;3.0;3.0;4.0;2.0;1.0;5.0;4.0;2.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;3.0;9.0;34.0;19.0;8.0;0.0;3.0;37.0;199.0;21.0;80.0;22.0;62.0;0.0;0.0;28.0;7.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;8.0;0.0;2.0;0.0;0.0;3.0;0.0;23.0;15.0;3.0;0.0;2.0;1.0
KIELECKIE;IŁŻECKI;4 318;803;6.0;6.0;78;713;3.0;6.0;5.0;2.0;2.0;47.0;10.0;15.0;4.0;1.0;47;1.0;24.0;6.0;5;9.0;1.0;0.0;16.0;16.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;12.0;7.0;5.0;4.0;8.0;50.0;3.0;38.0;0.0;0.0;46.0;239.0;86.0;65.0;14.0;64.0;0.0;0.0;219.0;98.0;110.0;1.0;0.0;1.0;6.0;0.0;0.0;8.0;10.0;0.0;3.0;1.0;0.0;4.0;2.0;51.0;37.0;11.0;1.0;0.0;1.0
KIELECKIE;JĘDRZEJOWSKI;428;594;0.0;8.0;61;525;0.0;1.0;0.0;2.0;1.0;11.0;5.0;5.0;1.0;2.0;63;0.0;40.0;10.0;8;4.0;0.0;0.0;5.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;1.0;6.0;60.0;3.0;37.0;12.0;4.0;49.0;150.0;30.0;45.0;16.0;53.0;0.0;0.0;175.0;80.0;73.0;1.0;0.0;0.0;6.0;3.0;0.0;2.0;19.0;0.0;2.0;0.0;0.0;4.0;0.0;20.0;14.0;1.0;0.0;0.0;0.0
KIELECKIE;KIELECKI;5 898;890;4.0;38.0;110;738;6.0;8.0;5.0;14.0;4.0;11.0;1.0;4.0;3.0;1.0;40;4.0;8.0;16.0;4;6.0;4.0;2.0;16.0;1.0;0.0;1.0;9.0;1.0;1.0;7.0;1.0;5.0;20.0;12.0;6.0;6.0;28.0;32.0;3.0;17.0;0.0;4.0;23.0;283.0;26.0;102.0;43.0;83.0;0.0;26.0;191.0;70.0;82.0;5.0;0.0;3.0;18.0;7.0;2.0;4.0;15.0;0.0;11.0;1.0;0.0;0.0;4.0;78.0;62.0;5.0;0.0;0.0;2.0
KIELECKIE;KONECKI;6 773;958;6.0;29.0;83;840;0.0;8.0;4.0;2.0;4.0;21.0;5.0;6.0;12.0;9.0;59;12.0;15.0;12.0;4;12.0;2.0;3.0;13.0;5.0;0.0;0.0;22.0;0.0;0.0;5.0;0.0;10.0;15.0;6.0;8.0;12.0;18.0;51.0;3.0;36.0;1.0;3.0;25.0;277.0;35.0;106.0;7.0;110.0;2.0;3.0;278.0;129.0;110.0;1.0;0.0;0.0;15.0;5.0;0.0;3.0;8.0;0.0;13.0;2.0;0.0;2.0;0.0;56.0;52.0;1.0;0.0;1.0;0.0
