Region;District;0,0 - 0,5 ha/Liczba gospodarstw;0,0 - 0,5 ha/Powierzchnia;0,0 - 0,5 ha/Grunt orny;0,0 - 0,5 ha/Łąki;0,0 - 0,5 ha/Pastwiska stałe, połoniny i wrzosowiska;0,0 - 0,5 ha/Sady owocowe i ogrody warzywne;0,0 - 0,5 ha/Grunt w użytkowaniu leśnem;0,0 - 0,5 ha/Stawy, jeziora i eksploatowane torfowiska;0,0 - 0,5 ha/Pod zabudowaniami i drogami;0,0 - 0,5 ha/Nieużytki;0,5 - 1,0 ha/Liczba gospodarstw;0,5 - 1,0 ha/Powierzchnia;0,5 - 1,0 ha/Grunt orny;0,5 - 1,0 ha/Łąki;0,5 - 1,0 ha/Pastwiska stałe, połoniny i wrzosowiska;0,5 - 1,0 ha/Sady owocowe i ogrody warzywne;0,5 - 1,0 ha/Grunt w użytkowaniu leśnem;0,5 - 1,0 ha/Stawy, jeziora i eksploatowane torfowiska;0,5 - 1,0 ha/Pod zabudowaniami i drogami;0,5 - 1,0 ha/Nieużytki;1 - 2 ha/Liczba gospodarstw;1 - 2 ha/Powierzchnia;1 - 2 ha/Grunt orny;1 - 2 ha/Łąki;1 - 2 ha/Pastwiska stałe, połoniny i wrzosowiska;1 - 2 ha/Sady owocowe i ogrody warzywne;1 - 2 ha/Grunt w użytkowaniu leśnem;1 - 2 ha/Stawy, jeziora i eksploatowane torfowiska;1 - 2 ha/Pod zabudowaniami i drogami;1 - 2 ha/Nieużytki;10 - 20 ha/Liczba gospodarstw;10 - 20 ha/Powierzchnia;10 - 20 ha/Grunt orny;10 - 20 ha/Łąki;10 - 20 ha/Pastwiska stałe, połoniny i wrzosowiska;10 - 20 ha/Sady owocowe i ogrody warzywne;10 - 20 ha/Grunt w użytkowaniu leśnem;10 - 20 ha/Stawy, jeziora i eksploatowane torfowiska;10 - 20 ha/Pod zabudowaniami i drogami;10 - 20 ha/Nieużytki;100 - 200 ha/Liczba gospodarstw;100 - 200 ha/Powierzchnia;100 - 200 ha/Grunt orny;100 - 200 ha/Łąki;100 - 200 ha/Pastwiska stałe, połoniny i wrzosowiska;100 - 200 ha/Sady owocowe i ogrody warzywne;100 - 200 ha/Grunt w użytkowaniu leśnem;100 - 200 ha/Stawy, jeziora i eksploatowane torfowiska;100 - 200 ha/Pod zabudowaniami i drogami;100 - 200 ha/Nieużytki;2 - 3 ha/Liczba gospodarstw;2 - 3 ha/Powierzchnia;2 - 3 ha/Grunt orny;2 - 3 ha/Łąki;2 - 3 ha/Pastwiska stałe, połoniny i wrzosowiska;2 - 3 ha/Sady owocowe i ogrody warzywne;2 - 3 ha/Grunt w użytkowaniu leśnem;2 - 3 ha/Stawy, jeziora i eksploatowane torfowiska;2 - 3 ha/Pod zabudowaniami i drogami;2 - 3 ha/Nieużytki;20 - 50 ha/Liczba gospodarstw;20 - 50 ha/Powierzchnia;20 - 50 ha/Grunt orny;20 - 50 ha/Łąki;20 - 50 ha/Pastwiska stałe, połoniny i wrzosowiska;20 - 50 ha/Sady owocowe i ogrody warzywne;20 - 50 ha/Grunt w użytkowaniu leśnem;20 - 50 ha/Stawy, jeziora i eksploatowane torfowiska;20 - 50 ha/Pod zabudowaniami i drogami;20 - 50 ha/Nieużytki;200 - 1000 ha/Liczba gospodarstw;200 - 1000 ha/Powierzchnia;200 - 1000 ha/Grunt orny;200 - 1000 ha/Łąki;200 - 1000 ha/Pastwiska stałe, połoniny i wrzosowiska;200 - 1000 ha/Sady owocowe i ogrody warzywne;200 - 1000 ha/Grunt w użytkowaniu leśnem;200 - 1000 ha/Stawy, jeziora i eksploatowane torfowiska;200 - 1000 ha/Pod zabudowaniami i drogami;200 - 1000 ha/Nieużytki;200 - 300 ha/Liczba gospodarstw;200 - 300 ha/Powierzchnia;200 - 300 ha/Grunt orny;200 - 300 ha/Łąki;200 - 300 ha/Pastwiska stałe, połoniny i wrzosowiska;200 - 300 ha/Sady owocowe i ogrody warzywne;200 - 300 ha/Grunt w użytkowaniu leśnem;200 - 300 ha/Stawy, jeziora i eksploatowane torfowiska;200 - 300 ha/Pod zabudowaniami i drogami;200 - 300 ha/Nieużytki;3 - 4 ha/Liczba gospodarstw;3 - 4 ha/Powierzchnia;3 - 4 ha/Grunt orny;3 - 4 ha/Łąki;3 - 4 ha/Pastwiska stałe, połoniny i wrzosowiska;3 - 4 ha/Sady owocowe i ogrody warzywne;3 - 4 ha/Grunt w użytkowaniu leśnem;3 - 4 ha/Stawy, jeziora i eksploatowane torfowiska;3 - 4 ha/Pod zabudowaniami i drogami;3 - 4 ha/Nieużytki;300 - 400 ha/Liczba gospodarstw;300 - 400 ha/Powierzchnia;300 - 400 ha/Grunt orny;300 - 400 ha/Łąki;300 - 400 ha/Pastwiska stałe, połoniny i wrzosowiska;300 - 400 ha/Sady owocowe i ogrody warzywne;300 - 400 ha/Grunt w użytkowaniu leśnem;300 - 400 ha/Stawy, jeziora i eksploatowane torfowiska;300 - 400 ha/Pod zabudowaniami i drogami;300 - 400 ha/Nieużytki;4 - 5 ha/Liczba gospodarstw;4 - 5 ha/Powierzchnia;4 - 5 ha/Grunt orny;4 - 5 ha/Łąki;4 - 5 ha/Pastwiska stałe, połoniny i wrzosowiska;4 - 5 ha/Sady owocowe i ogrody warzywne;4 - 5 ha/Grunt w użytkowaniu leśnem;4 - 5 ha/Stawy, jeziora i eksploatowane torfowiska;4 - 5 ha/Pod zabudowaniami i drogami;4 - 5 ha/Nieużytki;400 - 500 ha/Liczba gospodarstw;400 - 500 ha/Powierzchnia;400 - 500 ha/Grunt orny;400 - 500 ha/Łąki;400 - 500 ha/Pastwiska stałe, połoniny i wrzosowiska;400 - 500 ha/Sady owocowe i ogrody warzywne;400 - 500 ha/Grunt w użytkowaniu leśnem;400 - 500 ha/Stawy, jeziora i eksploatowane torfowiska;400 - 500 ha/Pod zabudowaniami i drogami;400 - 500 ha/Nieużytki;5 - 10 ha/Liczba gospodarstw;5 - 10 ha/Powierzchnia;5 - 10 ha/Grunt orny;5 - 10 ha/Łąki;5 - 10 ha/Pastwiska stałe, połoniny i wrzosowiska;5 - 10 ha/Sady owocowe i ogrody warzywne;5 - 10 ha/Grunt w użytkowaniu leśnem;5 - 10 ha/Stawy, jeziora i eksploatowane torfowiska;5 - 10 ha/Pod zabudowaniami i drogami;5 - 10 ha/Nieużytki;50 - 100 ha/Liczba gospodarstw;50 - 100 ha/Powierzchnia;50 - 100 ha/Grunt orny;50 - 100 ha/Łąki;50 - 100 ha/Pastwiska stałe, połoniny i wrzosowiska;50 - 100 ha/Sady owocowe i ogrody warzywne;50 - 100 ha/Grunt w użytkowaniu leśnem;50 - 100 ha/Stawy, jeziora i eksploatowane torfowiska;50 - 100 ha/Pod zabudowaniami i drogami;50 - 100 ha/Nieużytki;500 - 1000 ha/Liczba gospodarstw;500 - 1000 ha/Powierzchnia;500 - 1000 ha/Grunt orny;500 - 1000 ha/Łąki;500 - 1000 ha/Pastwiska stałe, połoniny i wrzosowiska;500 - 1000 ha/Sady owocowe i ogrody warzywne;500 - 1000 ha/Grunt w użytkowaniu leśnem;500 - 1000 ha/Stawy, jeziora i eksploatowane torfowiska;500 - 1000 ha/Pod zabudowaniami i drogami;500 - 1000 ha/Nieużytki;Ogółem/Liczba gospodarstw;Ogółem/Powierzchnia;Ogółem/Grunt orny;Ogółem/Łąki;Ogółem/Pastwiska stałe, połoniny i wrzosowiska;Ogółem/Sady owocowe i ogrody warzywne;Ogółem/Grunt w użytkowaniu leśnem;Ogółem/Stawy, jeziora i eksploatowane torfowiska;Ogółem/Pod zabudowaniami i drogami;Ogółem/Nieużytki;powyżej 100 ha/Liczba gospodarstw;powyżej 100 ha/Powierzchnia;powyżej 100 ha/Grunt orny;powyżej 100 ha/Łąki;powyżej 100 ha/Pastwiska stałe, połoniny i wrzosowiska;powyżej 100 ha/Sady owocowe i ogrody warzywne;powyżej 100 ha/Grunt w użytkowaniu leśnem;powyżej 100 ha/Stawy, jeziora i eksploatowane torfowiska;powyżej 100 ha/Pod zabudowaniami i drogami;powyżej 100 ha/Nieużytki;powyżej 1000 ha/Liczba gospodarstw;powyżej 1000 ha/Powierzchnia;powyżej 1000 ha/Grunt orny;powyżej 1000 ha/Łąki;powyżej 1000 ha/Pastwiska stałe, połoniny i wrzosowiska;powyżej 1000 ha/Sady owocowe i ogrody warzywne;powyżej 1000 ha/Grunt w użytkowaniu leśnem;powyżej 1000 ha/Stawy, jeziora i eksploatowane torfowiska;powyżej 1000 ha/Pod zabudowaniami i drogami;powyżej 1000 ha/Nieużytki
BIAŁOSTOCKIE;AUGUSTOWSKI;510.0;135.0;61.0;2.0;0.0;43.0;0.0;0.0;28.0;1.0;312.0;221.0;148.0;17.0;0.0;35.0;1.0;0.0;16.0;4.0;522.0;803.0;542.0;130.0;5.0;23.0;6.0;2.0;44.0;51.0;2108.0;28406.0;13985.0;7227.0;1187.0;317.0;962.0;205.0;779.0;3744.0;21.0;3135.0;1956.0;413.0;93.0;26.0;400.0;44.0;94.0;109.0;608.0;1555.0;978.0;257.0;29.0;27.0;18.0;6.0;70.0;170.0;469.0;12287.0;5409.0;3496.0;733.0;156.0;593.0;76.0;262.0;1562.0;28.0;11803.0;6013.0;1969.0;766.0;113.0;1869.0;355.0;129.0;589.0;;;;;;;;;;;746.0;2670.0;1632.0;434.0;57.0;43.0;40.0;5.0;123.0;336.0;;;;;;;;;;;739.0;3341.0;2036.0;551.0;78.0;52.0;78.0;9.0;129.0;408.0;;;;;;;;;;;3215.0;23260.0;13034.0;4184.0;724.0;291.0;874.0;84.0;771.0;3298.0;30.0;1884.0;953.0;334.0;269.0;30.0;49.0;11.0;40.0;198.0;;;;;;;;;;;9314.0;148945.0;47897.0;20931.0;4004.0;1157.0;59509.0;854.0;2766.0;11827.0;55.0;74383.0;9119.0;4299.0;922.0;140.0;56888.0;456.0;504.0;2055.0;6.0;59445.0;1150.0;1917.0;63.0;1.0;54619.0;57.0;281.0;1357.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;3005.0;735.0;212.0;9.0;1.0;290.0;1.0;1.0;209.0;12.0;744.0;561.0;311.0;51.0;4.0;116.0;4.0;2.0;67.0;6.0;1206.0;1749.0;1136.0;228.0;42.0;134.0;46.0;2.0;105.0;56.0;3358.0;45369.0;23768.0;8152.0;3744.0;743.0;3351.0;189.0;950.0;4472.0;38.0;5524.0;2703.0;704.0;487.0;127.0;928.0;73.0;100.0;402.0;1181.0;2982.0;1848.0;483.0;126.0;96.0;155.0;2.0;121.0;151.0;623.0;17055.0;7895.0;3021.0;1676.0;249.0;1831.0;123.0;308.0;1952.0;29.0;11038.0;4044.0;2163.0;1028.0;94.0;2261.0;487.0;97.0;864.0;;;;;;;;;;;1521.0;5345.0;3233.0;892.0;267.0;129.0;234.0;9.0;191.0;390.0;;;;;;;;;;;1562.0;7092.0;4253.0;1158.0;419.0;128.0;382.0;13.0;222.0;517.0;;;;;;;;;;;6309.0;45813.0;25736.0;7689.0;3236.0;856.0;2669.0;115.0;1197.0;4315.0;58.0;3864.0;1687.0;622.0;421.0;63.0;543.0;31.0;64.0;433.0;;;;;;;;;;;19649.0;223477.0;83743.0;32175.0;12746.0;3163.0;67319.0;1902.0;4130.0;18299.0;82.0;92912.0;13664.0;9870.0;2810.0;359.0;58103.0;1415.0;696.0;5995.0;15.0;76350.0;6917.0;7003.0;1295.0;138.0;54914.0;855.0;499.0;4729.0
BIAŁOSTOCKIE;BIAŁOWIESKI;77.0;24.0;12.0;1.0;0.0;7.0;0.0;0.0;4.0;0.0;79.0;64.0;37.0;13.0;0.0;9.0;0.0;0.0;4.0;1.0;279.0;406.0;269.0;76.0;10.0;16.0;1.0;0.0;23.0;11.0;333.0;4324.0;1790.0;1399.0;408.0;56.0;107.0;6.0;53.0;505.0;5.0;705.0;243.0;191.0;57.0;5.0;30.0;0.0;11.0;168.0;338.0;843.0;518.0;188.0;60.0;13.0;2.0;0.0;33.0;29.0;54.0;1516.0;491.0;467.0;141.0;14.0;32.0;0.0;9.0;362.0;4.0;2330.0;311.0;511.0;55.0;4.0;1070.0;0.0;24.0;355.0;;;;;;;;;;;389.0;1371.0;699.0;399.0;90.0;22.0;8.0;0.0;47.0;106.0;;;;;;;;;;;346.0;1570.0;805.0;444.0;133.0;28.0;16.0;1.0;56.0;87.0;;;;;;;;;;;776.0;5460.0;2749.0;1645.0;485.0;73.0;44.0;2.0;120.0;342.0;7.0;387.0;104.0;134.0;34.0;3.0;6.0;0.0;7.0;99.0;;;;;;;;;;;2694.0;156097.0;9114.0;12345.0;1630.0;250.0;122610.0;37.0;1460.0;8651.0;16.0;140132.0;1640.0;7579.0;269.0;9.0;122394.0;28.0;1104.0;7109.0;7.0;137097.0;1086.0;6877.0;157.0;0.0;121294.0;28.0;1069.0;6586.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);1029.0;297.0;113.0;7.0;0.0;115.0;1.0;0.0;57.0;4.0;764.0;544.0;328.0;23.0;7.0;119.0;7.0;1.0;50.0;9.0;1619.0;2430.0;1646.0;212.0;78.0;159.0;74.0;1.0;156.0;104.0;4196.0;55399.0;33901.0;5468.0;3560.0;1322.0;3816.0;49.0;1146.0;6137.0;27.0;3711.0;1914.0;501.0;335.0;54.0;513.0;9.0;58.0;327.0;2050.0;5174.0;3431.0;522.0;208.0;192.0;226.0;3.0;244.0;348.0;764.0;20212.0;11145.0;1986.0;1574.0;400.0;2253.0;35.0;362.0;2457.0;43.0;20402.0;9035.0;1738.0;1919.0;234.0;6466.0;128.0;236.0;646.0;;;;;;;;;;;2421.0;8526.0;5485.0;889.0;397.0;306.0;400.0;6.0;328.0;715.0;;;;;;;;;;;2095.0;9539.0;6139.0;1061.0;462.0;287.0;443.0;6.0;320.0;821.0;;;;;;;;;;;7853.0;55071.0;34736.0;5790.0;2977.0;1566.0;2914.0;49.0;1503.0;5536.0;92.0;6008.0;3293.0;570.0;472.0;94.0;861.0;26.0;92.0;600.0;;;;;;;;;;;22963.0;233186.0;113811.0;19823.0;12604.0;4880.0;58642.0;485.0;4743.0;18198.0;80.0;69986.0;13594.0;3295.0;2869.0;320.0;47647.0;309.0;485.0;1467.0;10.0;45873.0;2645.0;1056.0;615.0;32.0;40668.0;172.0;191.0;494.0
BIAŁOSTOCKIE;GRODZIEŃSKI;1529.0;356.0;88.0;4.0;1.0;163.0;1.0;1.0;93.0;5.0;428.0;329.0;199.0;25.0;2.0;54.0;1.0;1.0;36.0;11.0;1614.0;2464.0;1652.0;283.0;44.0;133.0;19.0;5.0;138.0;190.0;2671.0;35806.0;19893.0;4142.0;1132.0;447.0;1641.0;136.0;737.0;7678.0;43.0;6506.0;3881.0;680.0;396.0;122.0;650.0;40.0;144.0;593.0;2219.0;5630.0;3707.0;755.0;142.0;162.0;72.0;8.0;225.0;559.0;615.0;16798.0;8282.0;1872.0;532.0;269.0;1080.0;111.0;289.0;4363.0;82.0;38337.0;20388.0;3742.0;2683.0;368.0;8093.0;333.0;446.0;2284.0;;;;;;;;;;;2515.0;8910.0;5934.0;1088.0;234.0;188.0;105.0;14.0;330.0;1017.0;;;;;;;;;;;2073.0;9436.0;6112.0;1187.0;247.0;176.0;159.0;11.0;315.0;1229.0;;;;;;;;;;;6443.0;45390.0;28723.0;5238.0;1307.0;705.0;1047.0;90.0;1180.0;7100.0;92.0;5997.0;3653.0;547.0;282.0;68.0;332.0;50.0;76.0;989.0;;;;;;;;;;;20344.0;276369.0;111138.0;23789.0;8244.0;2922.0;87906.0;987.0;4402.0;36981.0;145.0;145253.0;32895.0;8648.0;4321.0;557.0;83449.0;560.0;983.0;13840.0;20.0;100410.0;8626.0;4226.0;1242.0;67.0;74706.0;187.0;393.0;10963.0
BIAŁOSTOCKIE;KOLNEŃSKI;90.0;26.0;19.0;0.0;0.0;3.0;0.0;0.0;4.0;0.0;242.0;177.0;134.0;12.0;5.0;8.0;1.0;0.0;13.0;4.0;551.0;844.0;584.0;137.0;33.0;7.0;2.0;2.0;45.0;34.0;2371.0;31791.0;16860.0;4886.0;4352.0;152.0;1239.0;367.0;517.0;3418.0;5.0;564.0;249.0;43.0;84.0;4.0;143.0;2.0;3.0;36.0;628.0;1618.0;1034.0;316.0;83.0;10.0;20.0;11.0;74.0;70.0;479.0;12891.0;6527.0;1357.0;1992.0;63.0;1045.0;124.0;150.0;1633.0;15.0;7037.0;3598.0;1431.0;371.0;111.0;1294.0;80.0;57.0;95.0;;;;;;;;;;;811.0;2936.0;1731.0;633.0;182.0;21.0;31.0;19.0;123.0;196.0;;;;;;;;;;;844.0;3858.0;2150.0;930.0;254.0;24.0;52.0;30.0;139.0;279.0;;;;;;;;;;;3743.0;27359.0;14923.0;6139.0;2380.0;138.0;504.0;242.0;729.0;2304.0;30.0;1871.0;1029.0;140.0;206.0;13.0;301.0;11.0;16.0;155.0;;;;;;;;;;;9816.0;121975.0;51387.0;17863.0;10335.0;589.0;29894.0;956.0;2017.0;8934.0;27.0;38604.0;6396.0;3313.0;848.0;150.0;26699.0;150.0;207.0;841.0;7.0;31003.0;2549.0;1839.0;393.0;35.0;25262.0;68.0;147.0;710.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);399.0;124.0;78.0;2.0;1.0;22.0;0.0;0.0;19.0;2.0;520.0;368.0;277.0;11.0;8.0;23.0;2.0;0.0;36.0;11.0;1040.0;1567.0;1106.0;121.0;75.0;27.0;19.0;2.0;112.0;105.0;2185.0;29156.0;17230.0;2674.0;3817.0;219.0;1384.0;105.0;706.0;3021.0;35.0;5125.0;3469.0;374.0;173.0;85.0;418.0;28.0;85.0;493.0;929.0;2406.0;1525.0;237.0;201.0;24.0;65.0;2.0;131.0;221.0;485.0;12870.0;7796.0;924.0;1908.0;130.0;798.0;78.0;242.0;994.0;20.0;7307.0;4804.0;436.0;478.0;65.0;980.0;152.0;128.0;264.0;;;;;;;;;;;1281.0;4588.0;2720.0;537.0;444.0;44.0;87.0;19.0;203.0;534.0;;;;;;;;;;;1061.0;4792.0;2699.0;560.0;617.0;30.0;100.0;19.0;196.0;571.0;;;;;;;;;;;4320.0;30817.0;17271.0;3353.0;3899.0;210.0;1002.0;107.0;948.0;4027.0;36.0;2230.0;1286.0;179.0;322.0;45.0;187.0;29.0;39.0;143.0;;;;;;;;;;;12314.0;131285.0;60983.0;9531.0;11943.0;933.0;33715.0;561.0;3054.0;10565.0;58.0;42367.0;8995.0;933.0;651.0;159.0;30071.0;200.0;422.0;936.0;3.0;29935.0;722.0;123.0;0.0;9.0;28673.0;20.0;209.0;179.0
BIAŁOSTOCKIE;OSTROŁĘCKI;274.0;76.0;35.0;0.0;1.0;20.0;0.0;0.0;17.0;3.0;220.0;159.0;98.0;5.0;4.0;22.0;1.0;0.0;20.0;9.0;539.0;821.0;524.0;78.0;65.0;14.0;11.0;1.0;61.0;67.0;2963.0;41066.0;17682.0;6781.0;6668.0;168.0;2241.0;65.0;1134.0;6327.0;4.0;566.0;203.0;62.0;32.0;8.0;154.0;6.0;5.0;96.0;607.0;1579.0;922.0;204.0;153.0;16.0;38.0;2.0;88.0;156.0;661.0;17370.0;7343.0;2162.0;2515.0;105.0;1613.0;31.0;360.0;3241.0;14.0;6513.0;3828.0;665.0;427.0;127.0;1111.0;92.0;67.0;196.0;;;;;;;;;;;826.0;2944.0;1599.0;409.0;310.0;17.0;85.0;4.0;142.0;378.0;;;;;;;;;;;702.0;3185.0;1666.0;462.0;403.0;13.0;116.0;6.0;136.0;383.0;;;;;;;;;;;3544.0;26389.0;12769.0;4358.0;3707.0;99.0;977.0;53.0;960.0;3466.0;22.0;1398.0;601.0;166.0;191.0;11.0;199.0;1.0;21.0;208.0;;;;;;;;;;;10381.0;128405.0;49055.0;15897.0;14587.0;633.0;29191.0;481.0;3075.0;15486.0;23.0;33418.0;5816.0;1272.0;570.0;148.0;23910.0;318.0;136.0;1248.0;5.0;26339.0;1785.0;545.0;111.0;13.0;22645.0;220.0;64.0;956.0
BIAŁOSTOCKIE;SEJNEŃSKI;196.0;56.0;23.0;1.0;0.0;19.0;0.0;0.0;13.0;0.0;152.0;114.0;72.0;4.0;0.0;18.0;1.0;0.0;15.0;4.0;228.0;338.0;218.0;36.0;8.0;20.0;2.0;1.0;29.0;24.0;919.0;12929.0;7244.0;1952.0;749.0;175.0;258.0;110.0;323.0;2118.0;10.0;1476.0;859.0;244.0;67.0;21.0;38.0;26.0;20.0;201.0;149.0;379.0;259.0;47.0;5.0;8.0;1.0;1.0;21.0;37.0;293.0;7602.0;4095.0;1035.0;567.0;142.0;201.0;85.0;139.0;1338.0;10.0;4902.0;1880.0;614.0;341.0;27.0;481.0;1102.0;23.0;434.0;;;;;;;;;;;180.0;646.0;400.0;99.0;15.0;10.0;3.0;2.0;32.0;85.0;;;;;;;;;;;151.0;685.0;413.0;100.0;20.0;7.0;8.0;6.0;27.0;104.0;;;;;;;;;;;777.0;5802.0;3360.0;917.0;241.0;87.0;62.0;50.0;174.0;911.0;8.0;479.0;227.0;101.0;28.0;5.0;12.0;12.0;6.0;88.0;;;;;;;;;;;3076.0;69763.0;19395.0;5545.0;2041.0;539.0;34095.0;1840.0;964.0;5344.0;23.0;40733.0;3084.0;1253.0;408.0;48.0;33547.0;1573.0;185.0;635.0;3.0;34355.0;345.0;395.0;0.0;0.0;33028.0;445.0;142.0;0.0
BIAŁOSTOCKIE;SOKÓLSKI;669.0;177.0;63.0;2.0;0.0;83.0;0.0;0.0;27.0;2.0;242.0;177.0;92.0;9.0;1.0;46.0;0.0;0.0;25.0;4.0;577.0;827.0;532.0;85.0;19.0;76.0;7.0;2.0;57.0;49.0;2278.0;30126.0;17896.0;4417.0;1498.0;593.0;752.0;20.0;578.0;4372.0;19.0;2660.0;1195.0;333.0;286.0;57.0;477.0;7.0;50.0;255.0;1032.0;2604.0;1724.0;343.0;86.0;87.0;22.0;3.0;113.0;226.0;330.0;9497.0;4924.0;1358.0;606.0;188.0;819.0;32.0;180.0;1390.0;24.0;10271.0;5451.0;1455.0;568.0;93.0;1917.0;136.0;76.0;575.0;;;;;;;;;;;1540.0;5422.0;3542.0;751.0;186.0;183.0;46.0;2.0;202.0;510.0;;;;;;;;;;;1933.0;8781.0;5703.0;1182.0;367.0;204.0;85.0;1.0;268.0;971.0;;;;;;;;;;;6497.0;46918.0;29650.0;6521.0;2115.0;1070.0;618.0;20.0;1179.0;5745.0;34.0;2157.0;1092.0;332.0;148.0;38.0;199.0;30.0;37.0;281.0;;;;;;;;;;;15178.0;147651.0;72221.0;17214.0;5880.0;2719.0;31262.0;339.0;3024.0;14992.0;46.0;40965.0;7003.0;2214.0;854.0;151.0;28714.0;229.0;358.0;1442.0;3.0;28034.0;357.0;426.0;0.0;1.0;26320.0;86.0;232.0;612.0
