Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
LWOWSKIE;DOBROMILSKI;4 465;7 505;1 619;8 618;3 668
LWOWSKIE;DROHOBYCKI;3 719;6 307;3 026;10 415;8 003
LWOWSKIE;GRÓDECKI;4 706;4 881;5 411;6 346;6 550
LWOWSKIE;JAROSŁAWSKI;10 145;15 171;7 300;12 090;9 397
LWOWSKIE;JAWOROWSKI;3 582;9 868;4 534;9 671;5 605
LWOWSKIE;KOLBUSZOWSKI;3 062;13 451;3 824;9 138;6 526
LWOWSKIE;KROŚNIEŃSKI;4 363;4 251;5 734;8 635;7 973
LWOWSKIE;LESKI;3 420;4 449;1 857;34 928;7 496
LWOWSKIE;LUBACZOWSKI;6 584;10 999;4 389;9 351;7 708
LWOWSKIE;LWOWSKI;9 405;10 471;7 094;15 296;10 288
LWOWSKIE;LWÓW (MIASTO);;;;;
LWOWSKIE;MOŚCISKI;5 708;5 335;3 522;8 657;5 899
LWOWSKIE;NIŻAŃSKI;3 480;8 741;4 035;6 632;4 498
LWOWSKIE;PRZEMYSKI;13 502;8 244;3 686;10 281;7 779
LWOWSKIE;PRZEWORSKI;3 359;4 144;3 341;3 046;3 168
LWOWSKIE;RAWSKI (RAWA RUSKA);9 972;8 430;7 041;10 663;7 070
LWOWSKIE;RUDECKI;3 449;3 362;4 334;5 757;4 792
LWOWSKIE;RZESZOWSKI;5 619;14 710;6 853;12 317;8 207
LWOWSKIE;SAMBORSKI;6 192;4 966;6 208;8 869;4 991
LWOWSKIE;SANOCKI;5 569;7 747;4 617;16 551;10 341
LWOWSKIE;SOKALSKI;12 593;7 037;6 987;10 179;9 540
LWOWSKIE;STAROSAMBORSKI;4 552;6 227;1 687;8 696;4 293
LWOWSKIE;STRZYŻOWSKI;5 609;4 841;3 340;6 415;4 274
LWOWSKIE;TARNOBRZESKI;2 302;7 135;4 432;3 994;4 305
LWOWSKIE;ŁAŃCUCKI;6 799;7 270;3 501;7 812;4 817
LWOWSKIE;ŻÓŁKIEWSKI;6 251;7 877;3 956;6 801;6 417
M. ST. WARSZAWA;M. ST. WARSZAWA;;;;;
NOWOGRÓDZKIE;BARANOWICKI;790;11 290;2 871;5 640;3 724
NOWOGRÓDZKIE;LIDZKI;734;68 174;9 319;26 989;12 805
NOWOGRÓDZKIE;NIEŚWIESKI;724;18 876;2 648;8 265;4 736
NOWOGRÓDZKIE;NOWOGRÓDZKI;1 701;27 281;4 127;10 123;6 363
NOWOGRÓDZKIE;STOŁPECKI;873;22 118;3 145;12 024;6 156
NOWOGRÓDZKIE;SŁONIMSKI;1 197;30 579;3 733;11 024;7 508
NOWOGRÓDZKIE;WOŁOŻYŃSKI;685;46 634;10 660;23 246;11 882
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);2 038;33 094;3 515;16 325;11 524
POLESKIE;DROHICKI;629;9 813;1 110;6 753;3 924
POLESKIE;KOBRYŃSKI;593;19 221;1 653;7 955;6 053
POLESKIE;KOSOWSKI (KOSÓW POLESKI);657;24 855;3 630;10 768;7 963
POLESKIE;KOSZYRSKI;585;3 518;1 075;2 135;2 010
POLESKIE;PIŃSKI;399;22 645;2 750;6 946;7 050
POLESKIE;PRUŻAŃSKI;546;19 501;2 029;8 043;5 385
POLESKIE;SARNEŃSKI;903;12 175;3 611;6 355;5 494
POLESKIE;STOLIŃSKI;230;7 939;1 316;2 794;1 311
POLESKIE;ŁUNINIECKI;277;15 988;2 247;5 146;5 409
POMORSKIE;BRODNICKI;1 201;19 322;3 531;2 718;9 746
POMORSKIE;CHEŁMIŃSKI;4 062;11 205;4 469;3 567;6 279
POMORSKIE;CHOJNICKI;916;21 239;1 383;5 400;8 856
POMORSKIE;DZIAŁDOWSKI;149;7 258;1 001;1 735;4 614
POMORSKIE;GNIEWSKI;2 286;3 980;2 235;2 533;3 506
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;
POMORSKIE;GRUDZIĄDZKI;3 674;11 901;3 848;5 249;5 975
POMORSKIE;KARTUSKI;547;9 293;1 118;11 457;10 255
POMORSKIE;KOŚCIERSKI;709;13 338;979;6 467;9 308
POMORSKIE;LUBAWSKI;867;15 860;3 966;4 409;9 145
POMORSKIE;PUCKI;782;3 988;979;3 934;3 763
POMORSKIE;STAROGARDZKI;1 648;12 042;2 059;3 811;8 285
POMORSKIE;SĘPOLEŃSKI;306;13 126;2 026;4 732;4 568
POMORSKIE;TCZEWSKI;2 034;3 721;1 681;2 699;2 423
POMORSKIE;TORUŃ (MIASTO);;;;;
POMORSKIE;TORUŃSKI;2 724;12 550;4 153;2 842;6 351
POMORSKIE;TUCHOLSKI;528;10 888;1 919;2 671;5 503
POMORSKIE;WEJHEROWSKI;103;5 022;654;4 258;6 601
POMORSKIE;WĄBRZESKI;2 406;14 410;3 258;3 310;6 853
POMORSKIE;ŚWIECKI;1 929;25 541;4 088;4 716;13 168
POZNAŃSKIE;BYDGOSKI;2 644;21 832;3 867;4 835;9 314
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;
POZNAŃSKIE;CHODZIESKI;521;18 845;2 279;3 091;7 831
POZNAŃSKIE;CZARNKOWSKI;297;10 725;1 210;2 138;8 792
POZNAŃSKIE;GNIEŹNIEŃSKI;1 048;14 871;3 750;4 044;12 831
POZNAŃSKIE;GOSTYŃSKI;3 687;11 862;3 513;6 008;10 933
POZNAŃSKIE;GRODZISKI;1 060;11 610;2 131;2 150;10 814
