Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
LUBELSKIE;SIEDLECKI;;;;;;;;;;;;;;
LUBELSKIE;SOKOŁOWSKI;;;;;;;;;;;;;;
LUBELSKIE;TOMASZOWSKI;;;;;;;;;;;;;;
LUBELSKIE;WĘGROWSKI;;;;;;;;;;;;;;
LUBELSKIE;WŁODAWSKI;;;;;;;;;;;;;;
LUBELSKIE;ZAMOJSKI;;;;;;;;;;;;;;
LUBELSKIE;ŁUKOWSKI;;;;;;;;;;;;;;
LWOWSKIE;BRZOZOWSKI;65813;0,7909741;12711;0,152767262;32;0,000384592;;0;4316;0,051871883;43;0,000516796;290;0,003485367
LWOWSKIE;BÓBRECKI;22820;0,234957374;66077;0,680336477;36;0,00037066;131;0,001348791;7972;0,082080639;8;8,23689E-05;80;0,000823689
LWOWSKIE;DOBROMILSKI;25941;0,276056188;59640;0,63467064;24;0,000255401;503;0,005352772;7522;0,080046823;259;0,002756199;81;0,000861977
LWOWSKIE;DROHOBYCKI;52172;0,268297198;110317;0,567310857;533;0,00274098;2285;0,01175073;28888;0,148558029;94;0,0004834;167;0,000858806
LWOWSKIE;GRÓDECKI;22408;0,263601821;56686;0,666839201;27;0,000317621;778;0,009152187;4982;0,058606938;71;0,000835225;55;0,000647006
LWOWSKIE;JAROSŁAWSKI;83652;0,565109304;52238;0,352892696;64;0,000432351;93;0,00062826;11721;0,079180966;18;0,000121599;242;0,001634826
LWOWSKIE;JAWOROWSKI;18394;0,212005256;62783;0,723623245;45;0,00051866;286;0,003296374;5161;0,059484567;30;0,000345773;63;0,000726124
LWOWSKIE;KOLBUSZOWSKI;63999;0,9199885;87;0,001250629;4;5,75002E-05;80;0,001150004;5091;0,073183354;4;5,75002E-05;300;0,004312513
LWOWSKIE;KROŚNIEŃSKI;91189;0,804227998;10880;0,095954563;4252;0,03749989;43;0,000379232;6521;0,057511002;182;0,001605122;320;0,002822193
LWOWSKIE;LESKI;18209;0,163199641;81544;0,730844723;44;0,000394354;674;0,00604078;10916;0,097835537;89;0,00079767;99;0,000887296
LWOWSKIE;LUBACZOWSKI;32994;0,378085394;44696;0,512181147;27;0,000309399;129;0,001478239;9342;0,107052002;29;0,000332317;49;0,000561502
LWOWSKIE;LWOWSKI;67430;0,47219888;67507;0,472738095;85;0,000595238;2320;0,016246499;5087;0,035623249;252;0,001764706;119;0,000833333
LWOWSKIE;LWÓW (MIASTO);157490;;49747;;1077;;1660;;99595;;;;;
LWOWSKIE;MOŚCISKI;34619;0,38697742;49221;0,550201207;9;0,000100604;72;0,000804829;5428;0,060675162;16;0,000178851;95;0,001061927
LWOWSKIE;NIŻAŃSKI;59069;0,919605187;915;0,014245014;10;0,000155683;51;0,000793984;3985;0,062039761;6;9,34099E-05;197;0,003066959
LWOWSKIE;PRZEMYSKI;67068;0,412614431;73477;0,452043754;154;0,000947436;162;0,000996653;21424;0,131804311;203;0,001248893;56;0,000344522
LWOWSKIE;PRZEWORSKI;54833;0,893220173;3029;0,049341891;13;0,000211768;10;0,000162898;3405;0,055466866;;0;98;0,001596403
LWOWSKIE;RAWSKI (RAWA RUSKA);22489;0,184227341;84157;0,689404614;651;0,005332918;542;0,004440003;13381;0,109615637;629;0,005152697;223;0,001826791
LWOWSKIE;RUDECKI;27674;0,349551598;45742;0,577769357;14;0,000176835;270;0,003410383;5396;0,06815713;2;2,52621E-05;72;0,000909435
LWOWSKIE;RZESZOWSKI;164050;0,88624896;3260;0,017611531;17;9,18393E-05;27;0,000145862;17098;0,092368697;;0;654;0,003533111
LWOWSKIE;SAMBORSKI;43583;0,325698357;78504;0,586665072;23;0,00017188;324;0,002421271;11258;0,084131705;21;0,000156934;101;0,000754779
LWOWSKIE;SANOCKI;48968;0,428810368;54567;0,477840536;315;0,00275844;49;0,000429091;9455;0,08279697;683;0,005980997;158;0,001383598
LWOWSKIE;SOKALSKI;25425;0,233019586;69260;0,634766431;703;0,00644298;224;0,002052955;13372;0,122554096;45;0,000412424;82;0,000751528
LWOWSKIE;TARNOBRZESKI;65891;0,89895903;165;0,002251115;29;0,000395651;15;0,000204647;6333;0,086401899;706;0,009632045;158;0,002155613
LWOWSKIE;TURCZAŃSKI;6301;0,055051242;96564;0,843670549;775;0,006771102;40;0,000349476;10627;0,092847095;7;6,11583E-05;143;0,001249377
LWOWSKIE;ŁAŃCUCKI;86066;0,881110576;4781;0,048946038;25;0,00025594;70;0,000716633;6281;0,06430246;133;0,001361603;323;0,00330675
LWOWSKIE;ŻÓŁKIEWSKI;20279;0,212329986;66784;0,699257646;39;0,000408347;282;0,002952663;7848;0,082171987;210;0,002198792;65;0,000680578
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;;;;;;;;;;;;;;
NOWOGRÓDZKIE;BRASŁAWSKI;;;;;;;;;;;;;;
NOWOGRÓDZKIE;LIDZKI;;;;;;;;;;;;;;
NOWOGRÓDZKIE;NIEŚWIESKI;;;;;;;;;;;;;;
NOWOGRÓDZKIE;NOWOGRÓDZKI;;;;;;;;;;;;;;
NOWOGRÓDZKIE;STOŁPECKI;;;;;;;;;;;;;;
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);;;;;;;;;;;;;;
NOWOGRÓDZKIE;SŁONIMSKI;;;;;;;;;;;;;;
NOWOGRÓDZKIE;WOŁOŻYŃSKI;;;;;;;;;;;;;;
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);;;;;;;;;;;;;;
POLESKIE;DROHICKI;;;;;;;;;;;;;;
POLESKIE;IWACEWICKI;;;;;;;;;;;;;;
