Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIR.1;Kategoria VIIPR.1
Lwowska;DOLIŃSKI;0.0;0.0;2.0;0.0;3.0;0.0;8.0;0.0;13.0;0.0;13.0;0.0;66.0;0.0;539.0;14.0
Poleska;DROHICKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;9.0;0.0;43.0;2.0;296.0;12.0
Lwowska;DROHOBYCKI;3.0;0.0;3.0;0.0;5.0;0.0;25.0;0.0;39.0;2.0;224.0;4.0;43.0;7.0;810.0;53.0
Wołyńska;DUBIEŃSKI;0.0;0.0;1.0;0.0;2.0;0.0;4.0;0.0;33.0;0.0;163.0;2.0;214.0;8.0;350.0;98.0
Wileńska;DUNIŁOWICKI;0.0;0.0;0.0;0.0;1.0;0.0;12.0;0.0;29.0;0.0;28.0;0.0;86.0;12.0;256.0;59.0
Pomorska;DZIAŁDOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;1.0;0.0;32.0;2.0;14.0;1.0;172.0;10.0
Wileńska;DZIŚNIEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;10.0;0.0;21.0;2.0;63.0;5.0;411.0;75.0
Krakowska;DĄBROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;5.0;0.0;17.0;0.0;243.0;16.0
Lubelska;GARWOLIŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;12.0;0.0;40.0;0.0;123.0;3.0;598.0;46.0
Pomorska;GNIEWSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;13.0;0.0;15.0;0.0;10.0;0.0;242.0;14.0
Wielkopolska;GNIEZNO (MIASTO);3.0;0.0;1.0;0.0;1.0;0.0;13.0;0.0;21.0;0.0;25.0;0.0;67.0;0.0;446.0;27.0
;GNIEŹNIEŃSKI;;;;;;;;;;;;;;;;
Krakowska;GORLICKI;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;34.0;0.0;19.0;0.0;506.0;5.0
Warrszawa Okręgowa;GOSTYNIŃSKI;0.0;0.0;1.0;0.0;1.0;1.0;5.0;1.0;16.0;0.0;28.0;3.0;106.0;5.0;469.0;49.0
Wielkopolska;GOSTYŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;20.0;0.0;9.0;0.0;65.0;0.0;395.0;31.0
Białostocka;GRODZIEŃSKI;0.0;0.0;1.0;0.0;2.0;1.0;28.0;0.0;21.0;0.0;33.0;1.0;69.0;5.0;1352.0;162.0
Wielkopolska;GRODZISKI;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;14.0;0.0;28.0;1.0;50.0;0.0;448.0;37.0
Pomorska;GRUDZIĄDZ (MIASTO);1.0;0.0;1.0;0.0;4.0;0.0;18.0;1.0;28.0;2.0;35.0;0.0;107.0;7.0;766.0;72.0
;GRUDZIĄDZKI;;;;;;;;;;;;;;;;
Krakowska;GRYBOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;0.0;13.0;0.0;24.0;0.0;277.0;2.0
Lwowska;GRÓDECKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;0.0;13.0;1.0;14.0;1.0;203.0;27.0
Warrszawa Okręgowa;GRÓJECKI;0.0;0.0;1.0;0.0;0.0;0.0;11.0;0.0;16.0;0.0;55.0;0.0;202.0;1.0;677.0;10.0
Wołyńska;HOROCHOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;3.0;48.0;1.0;78.0;5.0;281.0;47.0
Lwowska;HORODEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;8.0;0.0;24.0;1.0;408.0;10.0
Lubelska;HRUBIESZOWSKI;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;15.0;1.0;20.0;0.0;31.0;2.0;609.0;38.0
Wielkopolska;INOWROCŁAW (MIASTO);4.0;0.0;1.0;0.0;3.0;0.0;13.0;0.0;26.0;1.0;32.0;1.0;119.0;4.0;600.0;37.0
;INOWROCŁAWSKI;;;;;;;;;;;;;;;;
Kielecka;IŁŻECKI;0.0;0.0;2.0;0.0;2.0;0.0;5.0;0.0;7.0;1.0;25.0;0.0;86.0;2.0;399.0;34.0
Lubelska;JANOWSKI;0.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;12.0;0.0;53.0;0.0;58.0;4.0;352.0;93.0
Wielkopolska;JAROCIŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;8.0;0.0;28.0;0.0;68.0;2.0;322.0;24.0
Lwowska;JAROSŁAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;16.0;0.0;15.0;0.0;26.0;1.0;362.0;34.0
Krakowska;JASIELSKI;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;19.0;0.0;23.0;0.0;45.0;0.0;545.0;8.0
Lwowska;JAWOROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;16.0;0.0;28.0;0.0;314.0;16.0
Kielecka;JĘDRZEJOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;17.0;0.0;24.0;0.0;87.0;3.0;300.0;19.0
Łódzka;KALISKI;1.0;0.0;1.0;0.0;1.0;0.0;20.0;0.0;103.0;6.0;471.0;9.0;890.0;188.0;1540.0;204.0
Lwowska;KAMIONECKI;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;12.0;0.0;12.0;2.0;14.0;0.0;271.0;20.0
Pomorska;KARTUSKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;8.0;2.0;14.0;0.0;33.0;0.0;273.0;47.0
Śląska;KATOWICE (MIASTO);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;KATOWICKI;;;;;;;;;;;;;;;;
Lwowska;KAŁUSKI;0.0;0.0;1.0;0.0;1.0;0.0;4.0;0.0;4.0;1.0;3.0;0.0;47.0;5.0;533.0;23.0
Kielecka;KIELECKI;0.0;0.0;1.0;0.0;3.0;0.0;17.0;1.0;28.0;1.0;38.0;2.0;48.0;0.0;1264.0;170.0
Poleska;KOBRYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;9.0;0.0;43.0;2.0;296.0;12.0
Lwowska;KOLBUSZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;14.0;1.0;16.0;1.0;426.0;4.0
Białostocka;KOLNEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;5.0;0.0;23.0;0.0;312.0;13.0
Łódzka;KOLSKI;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;34.0;4.0;139.0;3.0;519.0;71.0;710.0;79.0
Kielecka;KONECKI;0.0;0.0;1.0;0.0;6.0;0.0;29.0;1.0;28.0;1.0;45.0;1.0;83.0;2.0;946.0;34.0
Łódzka;KONIŃSKI;1.0;0.0;0.0;0.0;3.0;0.0;6.0;0.0;15.0;1.0;8.0;1.0;151.0;20.0;452.0;68.0
Lubelska;KONSTANTYNOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;46.0;0.0;60.0;2.0;369.0;13.0
Lwowska;KOPYCZYNIECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;7.0;0.0;43.0;0.0;334.0;14.0
Lwowska;KOSOWSKI (KOSÓW HUCULSKI);1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;10.0;1.0;93.0;3.0;560.0;39.0
Poleska;KOSOWSKI (KOSÓW POLESKI);0.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;5.0;0.0;12.0;1.0;32.0;3.0;239.0;38.0
Wołyńska;KOSTOPOLSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Poleska;KOSZYRSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;13.0;2.0;28.0;5.0;56.0;9.0;472.0;125.0
Wołyńska;KOWELSKI;0.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;16.0;0.0;52.0;0.0;68.0;5.0;438.0;68.0
Kielecka;KOZIENICKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;6.0;0.0;37.0;0.0;158.0;7.0;818.0;75.0
Lwowska;KOŁOMYJSKI;0.0;0.0;0.0;0.0;2.0;0.0;7.0;0.0;18.0;0.0;24.0;0.0;31.0;1.0;1020.0;35.0
Wielkopolska;KOŚCIAŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;13.0;0.0;22.0;0.0;86.0;1.0;370.0;7.0
Pomorska;KOŚCIERSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;13.0;0.0;30.0;1.0;32.0;1.0;305.0;7.0
Wielkopolska;KOŹMIŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;13.0;0.0;27.0;1.0;282.0;25.0
Krakowska;KRAKOWSKI;1.0;0.0;2.0;0.0;1.0;0.0;13.0;0.0;16.0;1.0;13.0;0.0;46.0;0.0;236.0;2.0
Krakowska;KRAKÓW (MIASTO);2.0;0.0;2.0;0.0;11.0;0.0;54.0;0.0;108.0;2.0;112.0;0.0;338.0;5.0;2699.0;63.0
Lubelska;KRASNOSTAWSKI;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;3.0;0.0;39.0;2.0;115.0;4.0;707.0;74.0
Wielkopolska;KROTOSZYŃSKI;1.0;0.0;1.0;0.0;4.0;0.0;12.0;0.0;20.0;0.0;53.0;0.0;156.0;1.0;468.0;45.0
Lwowska;KROŚNIEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;1.0;22.0;1.0;324.0;38.0
Wołyńska;KRZEMIENIECKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;7.0;0.0;35.0;0.0;159.0;5.0;368.0;47.0
Śląska;KRÓLEWSKA HUTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Warrszawa Okręgowa;KUTNOWSKI;2.0;0.0;1.0;0.0;6.0;0.0;6.0;0.0;14.0;0.0;17.0;1.0;150.0;4.0;435.0;22.0
Wielkopolska;KĘPIŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;13.0;0.0;17.0;0.0;25.0;0.0;357.0;53.0
Lwowska;LESKI;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;15.0;0.0;19.0;0.0;60.0;0.0;248.0;0.0
Wielkopolska;LESZCZYŃSKI;1.0;0.0;1.0;0.0;3.0;0.0;5.0;0.0;36.0;0.0;30.0;2.0;155.0;8.0;551.0;46.0
Poleska;LIDZKI;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;16.0;2.0;45.0;0.0;116.0;8.0;493.0;197.0
Krakowska;LIMANOWSKI;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;3.0;0.0;4.0;0.0;13.0;0.0;236.0;5.0
Warrszawa Okręgowa;LIPNOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;13.0;0.0;64.0;1.0;58.0;4.0;212.0;126.0
Lwowska;LUBACZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;16.0;0.0;18.0;0.0;54.0;2.0;358.0;22.0
Lubelska;LUBARTOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;0.0;23.0;0.0;97.0;2.0;486.0;21.0
Pomorska;LUBAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;27.0;0.0;22.0;0.0;389.0;18.0
Lubelska;LUBELSKI;2.0;0.0;6.0;0.0;9.0;0.0;15.0;0.0;29.0;1.0;79.0;4.0;298.0;14.0;1741.0;236.0
Śląska;LUBLINIECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wołyńska;LUBOMELSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;23.0;0.0;33.0;2.0;140.0;30.0
Lwowska;LWOWSKI;0.0;0.0;0.0;0.0;2.0;0.0;12.0;0.0;26.0;2.0;24.0;2.0;42.0;5.0;634.0;42.0
Lwowska;LWÓW (MIASTO);0.0;0.0;2.0;0.0;2.0;1.0;41.0;1.0;88.0;7.0;98.0;0.0;299.0;7.0;3457.0;78.0
Warszawa Grodzka;M. ST. WARSZAWA;14.0;1.0;10.0;0.0;40.0;1.0;278.0;7.0;406.0;10.0;606.0;16.0;2286.0;81.0;13652.0;964.0
Warrszawa Okręgowa;MAKOWSKI (MAKÓW MAZOWIECKI);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;19.0;0.0;21.0;1.0;319.0;16.0
Krakowska;MAKOWSKI (MAKÓW PODHALAŃSKI);0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;7.0;0.0;1.0;0.0;17.0;0.0;196.0;7.0
Kielecka;MIECHOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;17.0;0.0;39.0;0.0;51.0;0.0;551.0;36.0
Krakowska;MIELECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;11.0;1.0;25.0;0.0;360.0;10.0
Wielkopolska;MIĘDZYCHODZKI;0.0;0.0;0.0;0.0;2.0;0.0;7.0;0.0;12.0;0.0;25.0;1.0;40.0;1.0;228.0;13.0
Warrszawa Okręgowa;MIŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;6.0;1.0;20.0;1.0;48.0;0.0;596.0;18.0
Wielkopolska;MOGILEŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;9.0;0.0;30.0;1.0;67.0;3.0;456.0;28.0
Lwowska;MOŚCISKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;15.0;0.0;27.0;1.0;235.0;0.0
Krakowska;MYŚLENICKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;3.0;0.0;5.0;0.0;7.0;0.0;209.0;5.0
Warrszawa Okręgowa;MŁAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;14.0;0.0;14.0;0.0;91.0;3.0;512.0;46.0
Lwowska;NADWÓRNIAŃSKI;0.0;0.0;0.0;0.0;5.0;0.0;12.0;0.0;16.0;0.0;24.0;7.0;47.0;5.0;444.0;31.0
Warrszawa Okręgowa;NIESZAWSKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;13.0;0.0;119.0;8.0;196.0;74.0
Poleska;NIEŚWIESKI;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;6.0;1.0;18.0;0.0;109.0;3.0;436.0;41.0
Lwowska;NIŻAŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;9.0;0.0;10.0;0.0;12.0;0.0;206.0;4.0
Poleska;NOWOGRÓDZKI;0.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;12.0;0.0;62.0;4.0;120.0;24.0;298.0;52.0
Krakowska;NOWOSĄDECKI;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;26.0;1.0;31.0;4.0;76.0;11.0;909.0;179.0
Krakowska;NOWOTARSKI;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;11.0;1.0;28.0;2.0;90.0;14.0;1282.0;23.0
Wielkopolska;NOWOTOMYSKI;1.0;0.0;2.0;0.0;2.0;1.0;14.0;0.0;33.0;0.0;16.0;0.0;75.0;1.0;466.0;9.0
Wielkopolska;OBORNICKI;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;10.0;0.0;37.0;0.0;28.0;1.0;466.0;28.0
Wielkopolska;ODOLANOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;10.0;1.0;1.0;0.0;20.0;0.0;261.0;31.0
Kielecka;OLKUSKI;0.0;1.0;1.0;0.0;6.0;1.0;7.0;0.0;5.0;1.0;23.0;0.0;89.0;0.0;277.0;46.0
Kielecka;OPATOWSKI;2.0;0.0;1.0;0.0;3.0;0.0;4.0;0.0;20.0;0.0;34.0;3.0;97.0;1.0;802.0;64.0
Kielecka;OPOCZYŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;20.0;1.0;10.0;1.0;105.0;2.0;358.0;43.0
Białostocka;OSTROWSKI (OSTRÓW MAZOWIECKA);0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;6.0;1.0;14.0;1.0;46.0;2.0;672.0;24.0
Wielkopolska;OSTROWSKI (OSTRÓW WIELKOPOLSKI);1.0;0.0;0.0;0.0;6.0;0.0;10.0;0.0;17.0;0.0;23.0;0.0;32.0;3.0;615.0;51.0
Białostocka;OSTROŁĘCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;8.0;0.0;41.0;0.0;351.0;24.0
Wielkopolska;OSTRZESZOWSKI;0.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;9.0;0.0;7.0;0.0;32.0;0.0;267.0;22.0
Wileńska;OSZMIAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;14.0;1.0;49.0;3.0;276.0;60.0
Krakowska;OŚWIĘCIMSKI;1.0;0.0;1.0;0.0;1.0;0.0;5.0;0.0;10.0;0.0;10.0;0.0;31.0;0.0;338.0;16.0
Lwowska;PECZENIŻYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;10.0;0.0;10.0;2.0;219.0;20.0
Krakowska;PILZNEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;0.0;5.0;0.0;212.0;6.0
Łódzka;PIOTRKOWSKI;3.0;0.0;1.0;0.0;4.0;0.0;18.0;0.0;46.0;0.0;163.0;3.0;306.0;8.0;478.0;63.0
Kielecka;PIŃCZOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;5.0;0.0;11.0;0.0;44.0;2.0;687.0;76.0
Poleska;PIŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;18.0;1.0;36.0;4.0;64.0;6.0;523.0;69.0
Wielkopolska;PLESZEWSKI;0.0;0.0;0.0;0.0;2.0;0.0;7.0;0.0;15.0;0.0;18.0;3.0;27.0;4.0;222.0;34.0
Lwowska;PODHAJECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;14.0;1.0;18.0;0.0;277.0;1.0
Wielkopolska;POZNAŃ (MIASTO);4.0;0.0;9.0;0.0;14.0;0.0;79.0;4.0;145.0;4.0;165.0;7.0;381.0;24.0;1742.0;188.0
Wielkopolska;POZNAŃSKI;3.0;0.0;2.0;0.0;3.0;0.0;30.0;0.0;29.0;0.0;47.0;2.0;85.0;5.0;524.0;27.0
Poleska;PRUŻAŃSKI;0.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;5.0;0.0;12.0;1.0;32.0;3.0;239.0;38.0
Warrszawa Okręgowa;PRZASNYCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;16.0;0.0;27.0;0.0;223.0;10.0
Lwowska;PRZEMYSKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;1.0;29.0;2.0;36.0;0.0;86.0;7.0;942.0;46.0
Lwowska;PRZEMYŚLAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;11.0;0.0;44.0;3.0;64.0;0.0;559.0;10.0
