Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIR.1;Kategoria VIIPR.1
Pomorska;STAROGARDZKI;4.0;0.0;0.0;0.0;4.0;0.0;17.0;1.0;16.0;1.0;46.0;0.0;49.0;0.0;399.0;32.0
Lwowska;STAROSAMBORSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;0.0;20.0;0.0;67.0;2.0;219.0;7.0
;STOLIŃSKI;;;;;;;;;;;;;;;;
Kielecka;STOPNICKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;16.0;0.0;63.0;1.0;80.0;2.0;241.0;53.0
Poleska;STOŁPECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;7.0;0.0;34.0;0.0;202.0;79.0
Lwowska;STRYJSKI;0.0;0.0;0.0;0.0;1.0;0.0;9.0;1.0;11.0;3.0;26.0;1.0;56.0;1.0;579.0;33.0
Wielkopolska;STRZELNEŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;12.0;0.0;11.0;0.0;38.0;0.0;316.0;28.0
Lwowska;STRZYŻOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;8.0;0.0;14.0;0.0;17.0;1.0;264.0;8.0
Białostocka;SUWALSKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;13.0;0.0;30.0;0.0;533.0;69.0
Wielkopolska;SZAMOTULSKI;1.0;0.0;0.0;0.0;3.0;0.0;9.0;0.0;19.0;0.0;40.0;0.0;85.0;1.0;441.0;14.0
Białostocka;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;1.0;11.0;0.0;15.0;0.0;388.0;15.0
Wielkopolska;SZUBIŃSKI;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;14.0;0.0;23.0;0.0;38.0;1.0;380.0;15.0
Pomorska;SĘPOLEŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;11.0;0.0;17.0;0.0;20.0;0.0;225.0;4.0
Poleska;SŁONIMSKI;0.0;0.0;0.0;0.0;1.0;0.0;13.0;2.0;26.0;0.0;84.0;3.0;76.0;9.0;747.0;92.0
Łódzka;SŁUPECKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;7.0;1.0;13.0;0.0;166.0;1.0;682.0;40.0
Lwowska;TARNOBRZESKI;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;10.0;1.0;17.0;0.0;5.0;1.0;378.0;36.0
Śląska;TARNOGÓRSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lwowska;TARNOPOLSKI;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;18.0;0.0;28.0;0.0;80.0;4.0;576.0;35.0
