Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;5 339 851;13 179 825;32 546 590;43 377 106;29 395 709;29 305 309;26 245 193;12 029 047;17 496 795;25 338 521;27 067 106;38 218 584;44 268 631;60 626 944;61 944 921
KIELECKIE;4 785 982;11 812 767;29 170 741;38 877 877;26 346 681;26 265 657;23 522 947;10 781 351;15 681 965;22 710 319;24 259 608;34 254 416;39 676 930;54 338 500;55 519 771
KRAKOWSKIE;8 642 023;21 330 251;52 673 456;70 201 581;47 574 064;47 427 761;42 475 263;19 467 829;28 316 842;41 007 904;43 805 449;61 853 020;71 644 425;98 118 746;100 251 762
LUBELSKIE;9 761 985;24 094 541;59 499 663;79 299 342;53 739 417;53 574 153;47 979 837;21 990 759;31 986 558;46 322 316;49 482 408;69 868 851;80 929 172;110 834 427;113 243 871
LWOWSKIE;9 198 814;22 704 523;56 067 116;74 724 548;50 639 180;50 483 450;45 211 871;20 722 108;30 141 248;43 649 973;46 627 758;65 838 104;76 260 352;104 440 368;106 710 811
ŁÓDZKIE;5 064 598;12 500 447;30 868 916;41 141 153;27 880 453;27 794 712;24 892 335;11 408 987;16 594 890;24 032 400;25 671 881;36 248 536;41 986 722;57 501 815;58 751 854
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;6 312 608;15 580 787;38 475 584;51 279 089;34 750 709;34 643 840;31 026 264;14 220 371;20 684 176;29 954 425;31 997 905;45 180 842;52 333 022;71 671 319;73 229 391
POLESKIE;12 909 774;31 863 917;78 685 554;104 869 714;71 067 895;70 849 341;63 451 117;29 081 762;42 300 745;61 259 122;65 438 197;92 398 326;107 025 089;146 573 407;149 759 785
POMORSKIE;6 782 532;16 740 653;41 339 787;55 096 411;37 337 624;37 222 800;33 335 924;15 278 965;22 223 949;32 184 295;34 379 895;48 544 198;56 228 801;77 006 681;78 680 740
POZNAŃSKIE;7 867 611;19 418 844;47 953 380;63 910 808;43 310 946;43 177 753;38 669 049;17 723 314;25 779 366;37 333 180;39 880 036;56 310 363;65 224 358;89 326 312;91 268 188
STANISŁAWOWSKIE;5 472 195;13 506 476;33 353 230;44 452 171;30 124 257;30 031 616;26 895 657;12 327 176;17 930 438;25 966 515;27 737 941;39 165 800;45 365 791;62 129 531;63 480 173
ŚLĄSKIE;2 577 517;6 361 830;15 710 062;20 937 893;14 189 149;14 145 513;12 668 412;5 806 355;8 445 608;12 230 766;13 065 144;18 447 903;21 368 227;29 264 296;29 900 476
TARNOPOLSKIE;2 866 291;7 074 583;17 470 153;23 283 688;15 778 843;15 730 318;14 087 728;6 456 875;9 391 819;13 601 051;14 528 909;20 514 730;23 762 235;32 542 947;33 250 402
WARSZAWSKIE;5 119 532;12 636 034;31 203 739;41 587 396;28 182 862;28 096 191;25 162 333;11 532 736;16 774 889;24 293 070;25 950 335;36 641 711;42 442 136;58 125 516;59 389 114
ZIEMIA WILEŃSKA;3 898 562;9 622 435;23 761 883;31 669 115;21 461 462;21 395 462;19 161 306;8 782 265;12 774 204;18 499 356;19 761 375;27 902 939;32 320 007;44 263 019;45 225 258
WOŁYŃSKIE;2 147 370;5 300 140;13 088 298;17 443 686;11 821 202;11 784 848;10 554 252;4 837 365;7 036 168;10 189 643;10 884 776;15 369 236;17 802 204;24 380 543;24 910 554
