Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
Białostocka;AUGUSTOWSKI;2.0;0.0;63.0;5.0;414.0;41.0;57.0;26.0;9.0;4.0;13.0;6.0
Poleska;BARANOWICKI;6.0;0.0;98.0;7.0;735.0;75.0;320.0;104.0;10.0;8.0;1.0;1.0
Krakowska;BIALSKI (BIAŁA KRAKOWSKA);9.0;0.0;243.0;3.0;459.0;20.0;477.0;20.0;1.0;0.0;22.0;0.0
Lubelska;BIALSKI (BIAŁA PODLASKA);5.0;0.0;59.0;3.0;475.0;32.0;269.0;80.0;49.0;6.0;27.0;10.0
Białostocka;BIAŁOSTOCKI;60.0;2.0;711.0;15.0;2256.0;129.0;462.0;141.0;6.0;4.0;89.0;26.0
Białostocka;BIELSKI (BIELSK PODLASKI);7.0;0.0;142.0;3.0;1193.0;81.0;188.0;50.0;20.0;1.0;24.0;2.0
;BIELSKI (BIELSKO);;;;;;;;;;;;
Śląska;BIELSKO (MIASTO);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lubelska;BIŁGORAJSKI;0.0;0.0;53.0;5.0;809.0;40.0;364.0;78.0;18.0;3.0;1.0;0.0
Krakowska;BOCHEŃSKI;0.0;0.0;23.0;0.0;475.0;15.0;998.0;71.0;0.0;0.0;6.0;0.0
Lwowska;BOHORODCZAŃSKI;0.0;0.0;12.0;0.0;379.0;8.0;213.0;12.0;0.0;0.0;0.0;0.0
Lwowska;BORSZCZOWSKI;0.0;0.0;6.0;0.0;268.0;13.0;837.0;57.0;0.0;0.0;0.0;0.0
Wileńska;BRASŁAWSKI;1.0;0.0;53.0;2.0;352.0;31.0;194.0;42.0;13.0;6.0;4.0;0.0
Pomorska;BRODNICKI;9.0;0.0;262.0;11.0;382.0;36.0;90.0;27.0;3.0;0.0;8.0;1.0
Lwowska;BRODZKI;0.0;1.0;34.0;2.0;537.0;0.0;790.0;12.0;1.0;1.0;27.0;10.0
Krakowska;BRZESKI (BRZESKO);0.0;0.0;35.0;2.0;387.0;4.0;530.0;47.0;4.0;0.0;10.0;1.0
Poleska;BRZESKI (BRZEŚĆ N.BUG.);4.0;1.0;94.0;11.0;510.0;65.0;537.0;95.0;0.0;1.0;0.0;0.0
