Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka
LUBELSKIE;WŁODAWSKI;77499;349454;30939;147546;1734802; 7 473 ; 24 875 
LUBELSKIE;ZAMOJSKI;244950;222092;116205;169963;1621404; 202 202 ; 11 843 
LUBELSKIE;ŁUKOWSKI;58900;466616;41983;186818;2924412; -   ; 20 692 
LWOWSKIE;BRZOZOWSKI;54832;85267;38456;74939;717859; 4 682 ; 54 
LWOWSKIE;BÓBRECKI;128327;89090;37523;79509;1008741; 195 845 ; 2 768 
LWOWSKIE;DOBROMILSKI;61761;100948;22165;83889;829076; 4 764 ; 179 
LWOWSKIE;DROHOBYCKI;40989;106293;26818;110233;999459; -   ; 337 
LWOWSKIE;GRÓDECKI;68774;116747;32501;88588;828698; 9 009 ; 9 060 
LWOWSKIE;JAROSŁAWSKI;155725;316260;67720;146717;1348064; 178 394 ; 4 025 
LWOWSKIE;JAWOROWSKI;29490;142057;33446;77568;1108085; 351 ; 4 059 
LWOWSKIE;KOLBUSZOWSKI;21865;149002;28968;59783;841083; -   ; 2 828 
LWOWSKIE;KROŚNIEŃSKI;97110;127383;34764;96190;1088600; 2 726 ; 352 
LWOWSKIE;LESKI;25627;85129;20523;277490;1142145; -   ; -   
LWOWSKIE;LUBACZOWSKI;59892;154928;31470;115298;1302005; -   ; 14 396 
LWOWSKIE;LWOWSKI;172759;166767;38382;151827;1518213; 15 170 ; 6 853 
LWOWSKIE;LWÓW (MIASTO);;;;;;;
LWOWSKIE;MOŚCISKI;85856;147477;30311;64928;971861; 6 190 ; 3 244 
LWOWSKIE;NIŻAŃSKI;40497;113083;30171;52637;832420; 2 595 ; 4 956 
LWOWSKIE;PRZEMYSKI;151011;143913;32938;78118;1349899; 48 597 ; 140 
LWOWSKIE;PRZEWORSKI;79659;90564;15009;48167;492218; 271 460 ; 564 
LWOWSKIE;RAWSKI (RAWA RUSKA);159526;206244;81989;109764;1227398; 21 950 ; 8 901 
LWOWSKIE;RUDECKI;71862;84663;31567;68981;1137870; 25 752 ; 2 400 
LWOWSKIE;RZESZOWSKI;127832;211827;55700;121549;1414573; 14 467 ; 124 
LWOWSKIE;SAMBORSKI;86005;184628;48151;122002;1350491; 2 492 ; 538 
LWOWSKIE;SANOCKI;86701;125549;73794;176531;1310108; 7 439 ; -   
LWOWSKIE;SOKALSKI;245731;144793;81688;110570;1165172; 58 030 ; 4 840 
LWOWSKIE;TARNOBRZESKI;39977;126565;38276;62807;1071622; 29 854 ; 2 033 
LWOWSKIE;TURCZAŃSKI;3184;59232;8046;220052;865494; -   ; 99 
LWOWSKIE;ŁAŃCUCKI;81319;161757;45799;93330;969643; 35 883 ; 8 390 
LWOWSKIE;ŻÓŁKIEWSKI;105425;127416;40894;71898;753423; 795 ; 8 130 
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;33326;386739;85942;184467;1831887; -   ; 44 577 
NOWOGRÓDZKIE;LIDZKI;9291;511102;97309;202315;3714470; -   ; 45 203 
NOWOGRÓDZKIE;NIEŚWIESKI;49111;333321;69150;169460;1896856; -   ; 16 184 
NOWOGRÓDZKIE;NOWOGRÓDZKI;63629;342100;103875;228608;1497402; -   ; 37 032 
NOWOGRÓDZKIE;STOŁPECKI;25603;283049;53237;95190;1133042;  ; 13 661 
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);13545;213401;58705;70438;914205; -   ; 16 390 
NOWOGRÓDZKIE;SŁONIMSKI;30129;369953;49899;136733;1694127; -   ; 33 888 
NOWOGRÓDZKIE;WOŁOŻYŃSKI;11350;195980;72404;109124;1090079; -   ; 9 503 
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);97761;579089;59719;208081;3544925; -   ; 21 914 
POLESKIE;DROHICKI;25087;280569;32972;108431;1590548; -   ; 5 681 
POLESKIE;IWACEWICKI;4670;230694;23956;69227;1624768; -   ; 9 168 
POLESKIE;KOBRYŃSKI;43502;378542;41859;98545;1966715; -   ; 15 489 
POLESKIE;KOSZYRSKI;5037;218967;20385;50757;1077085; -   ; 7 977 
POLESKIE;PIŃSKI;14255;388625;29025;128014;1693991; -   ; 19 997 
POLESKIE;PRUŻAŃSKI;29081;376007;55262;112454;1591821; -   ; 8 304 
POLESKIE;STOLIŃSKI;10431;299182;12649;47874;1204243; -   ; 14 674 
POLESKIE;ŁUNINIECKI;4980;179715;11597;43572;1188355; -   ; 13 720 
POMORSKIE;BRODNICKI;40595;273031;71340;42980;1069127; 110 364 ; 122 
POMORSKIE;CHEŁMIŃSKI;118824;151094;99841;43374;713555; 639 167 ; -   
POMORSKIE;CHOJNICKI;12553;262233;28538;72581;1169366; 2 757 ; 3 387 
POMORSKIE;DZIAŁDOWSKI;9773;174015;45045;32810;1070751; 2 290 ; 203 
POMORSKIE;GDYNIA (MIASTO);;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;
POMORSKIE;GRUDZIĄDZKI;96088;132761;84127;62845;594824; 310 052 ; 10 
POMORSKIE;KARTUSKI;4217;196801;13912;85524;1048702; -   ; 63 
POMORSKIE;KOŚCIERSKI;13405;204931;12387;55665;726454; 2 461 ; 1 799 
POMORSKIE;LUBAWSKI;32642;275515;88781;67152;1128561; 25 681 ; 32 
POMORSKIE;MORSKI;6741;167431;15865;82746;794001; 1 309 ; 210 
POMORSKIE;STAROGARDZKI;28309;189354;27761;32679;654799; 65 336 ; 308 
POMORSKIE;SĘPOLEŃSKI;15039;198534;46631;65771;766515; 27 963 ; 90 
POMORSKIE;TCZEWSKI;107051;96423;68850;48359;482160; 460 211 ; 24 
POMORSKIE;TORUŃ (MIASTO);;;;;;;
POMORSKIE;TORUŃSKI;91004;181108;51950;23798;703367; 671 268 ; 450 
POMORSKIE;TUCHOLSKI;21626;199403;48546;36429;713189; 50 356 ; 205 
POMORSKIE;WĄBRZESKI;89365;168000;66699;38784;913435; 229 993 ; 46 
POMORSKIE;ŚWIECKI;51353;340850;63533;52837;1766287; 218 078 ; 198 
POZNAŃSKIE;BYDGOSKI;71561;294673;92044;71888;1186181; 159 517 ; 47 
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;;
POZNAŃSKIE;CHODZIESKI;9816;240699;35200;47966;1001835; 19 329 ; 5 
POZNAŃSKIE;CZARNKOWSKI;12462;188363;19301;44151;774072; 31 500 ; 4 
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;61207;404168;84500;87737;1477171; 355 760 ; 657 
POZNAŃSKIE;GOSTYŃSKI;129952;200024;78986;95143;1138444; 569 310 ; 80 
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;151512;281287;127387;38191;1243071; 1 358 500 ; 77 
POZNAŃSKIE;JAROCIŃSKI;104806;391470;66200;133805;2078545; 624 624 ; 178 
POZNAŃSKIE;KOŚCIAŃSKI;107065;360764;85292;91419;1931880; 487 793 ; 83 
POZNAŃSKIE;KROTOSZYŃSKI;142858;226155;57931;156990;1506622; 457 842 ; -   
POZNAŃSKIE;KĘPIŃSKI;32248;351485;28036;151339;2170102; 116 901 ; 90 
POZNAŃSKIE;LESZCZYŃSKI;58056;247656;43237;77288;1170835; 289 854 ; 47 
POZNAŃSKIE;MIĘDZYCHODZKI;13118;135317;14657;28635;612592; 64 480 ; 226 
POZNAŃSKIE;MOGILEŃSKI;138745;436620;194754;83409;1567770; 1 231 317 ; 190 
POZNAŃSKIE;NOWOTOMYSKI;83391;395594;74615;87136;2436272; 498 434 ; 69 
POZNAŃSKIE;OBORNICKI;46622;282452;46748;56218;1345432; 191 980 ; 112 
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);-61205;344410;35996;105012;2126149; 77 468 ; 118 
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;;
POZNAŃSKIE;POZNAŃSKI;60233;456253;102166;77954;2166149; 306 000 ; 47 
POZNAŃSKIE;RAWICKI;56403;155199;35775;53181;725297; 401 419 ; 63 
POZNAŃSKIE;SZAMOTULSKI;74796;261503;69765;56905;1466107; 483 634 ; 44 
POZNAŃSKIE;SZUBIŃSKI;41939;279435;78671;50997;1119582; 243 537 ; 35 
POZNAŃSKIE;WOLSZTYŃSKI;12390;211292;15334;39019;883436; 77 327 ; 73 
POZNAŃSKIE;WRZESIŃSKI;62065;250624;74825;58170;1133753; 626 075 ; 21 
POZNAŃSKIE;WYRZYSKI;80094;373649;129814;68861;1652500; 346 045 ; 40 
POZNAŃSKIE;WĄGROWIECKI;38105;333134;82791;70955;1755989; 173 338 ; 133 
POZNAŃSKIE;ŚREDZKI;81185;321214;92769;76612;1320785; 467 160 ; 144 
POZNAŃSKIE;ŚREMSKI;60209;362160;64284;66387;1203960; 266 478 ; 150 
POZNAŃSKIE;ŻNIŃSKI;57788;267587;92572;53532;1088377; 337 529 ; -   
STANISŁAWOWSKIE;DOLIŃSKI;8215;65943;3630;74856;621833; -   ; 61 
STANISŁAWOWSKIE;HORODEŃSKI;202376;138109;88933;47774;1117329; 240 663 ; 1 317 
STANISŁAWOWSKIE;KAŁUSKI;41396;84337;10386;88413;1078345; -   ; 3 539 
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);7209;14417;3996;7720;334038; -   ; -   
STANISŁAWOWSKIE;KOŁOMYJSKI;144317;177288;40691;108024;1455111; 35 239 ; 261 
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;13849;95940;4970;67544;1170614; -   ; 936 
STANISŁAWOWSKIE;ROHATYŃSKI;188737;152631;68795;114272;1553556; 100 463 ; 6 851 
STANISŁAWOWSKIE;STANISŁAWOWSKI;94962;179526;14208;111040;1447055; 5 695 ; 3 062 
STANISŁAWOWSKIE;STRYJSKI;31899;111707;15013;139208;880630; -   ; 1 343 
STANISŁAWOWSKIE;TŁUMACKI;130785;151218;34436;86017;1215569; 1 690 ; 943 
STANISŁAWOWSKIE;ŚNIATYŃSKI;122770;96840;35569;33608;603760; 26 668 ; 12 
STANISŁAWOWSKIE;ŻYDACZOWSKI;72354;93348;14401;58687;913024; 17 804 ; 5 061 
TARNOPOLSKIE;BORSZCZOWSKI;174796;153158;69459;24554;1140189; 2 234 ; 3 160 
TARNOPOLSKIE;BRODZKI;95257;126350;59976;86583;959858; -   ; 14 342 
TARNOPOLSKIE;BRZEŻAŃSKI;163221;195226;113639;143621;1714945; 49 000 ; 9 737 
TARNOPOLSKIE;BUCZACKI;188404;211322;76766;68084;1200910; 5 406 ; 12 515 
TARNOPOLSKIE;CZORTKOWSKI;173578;129224;59053;16730;712377; 30 651 ; 5 772 
TARNOPOLSKIE;KAMIONECKI;127565;107270;35875;73555;871761; 21 966 ; 6 966 
TARNOPOLSKIE;KOPYCZYNIECKI;174169;149541;87494;26102;1144690; 37 133 ; 13 985 
TARNOPOLSKIE;PODHAJECKI;154982;134070;59603;67587;1255632; 29 575 ; 18 152 
TARNOPOLSKIE;PRZEMYŚLAŃSKI;165409;112401;51005;117789;1066972; 34 329 ; 9 902 
TARNOPOLSKIE;RADZIECHOWSKI;122151;110741;58263;77007;785215; 9 457 ; 4 378 
TARNOPOLSKIE;SKAŁACKI;181594;97969;97219;31968;1010799; 42 734 ; 13 942 
TARNOPOLSKIE;TARNOPOLSKI;226379;192803;118550;122972;1528562; 86 280 ; 47 285 
TARNOPOLSKIE;TREMBOWELSKI;169740;141655;62955;42489;993401; 18 232 ; 26 608 
TARNOPOLSKIE;ZALESZCZYCKI;137924;104298;60233;20439;744820; 30 233 ; 5 771 
TARNOPOLSKIE;ZBARASKI;185324;95650;102945;111383;776366; 11 454 ; 24 847 
TARNOPOLSKIE;ZBOROWSKI;130313;152109;90258;136006;1166727; 12 608 ; 15 383 
TARNOPOLSKIE;ZŁOCZOWSKI;151548;144849;94649;118437;1187915; 25 597 ; 17 984 
WARSZAWSKIE;BŁOŃSKI;82212;243742;26427;119123;1569313; 357 469 ; 785 
WARSZAWSKIE;CIECHANOWSKI;126051;326103;56791;70049;993769; 253 280 ; 1 930 
WARSZAWSKIE;GOSTYNIŃSKI;76176;318558;22237;83334;1415468; 125 087 ; 871 
WARSZAWSKIE;GRÓJECKI;103726;490564;32853;227037;2617420; 10 632 ; 1 472 
WARSZAWSKIE;KUTNOWSKI;182757;317463;60519;119154;1343301; 701 948 ; 165 
WARSZAWSKIE;LIPNOWSKI;70875;436940;110576;69574;1512327; 273 657 ; 1 508 
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);48837;222807;17311;46024;790567; 12 004 ; 7 861 
WARSZAWSKIE;MIŃSKI;32970;305118;37434;148662;2029836; -   ; 5 864 
WARSZAWSKIE;MŁAWSKI;20984;419230;22751;47672;1716991; 28 214 ; 6 938 
WARSZAWSKIE;NIESZAWSKI;180051;573038;170601;56176;1792617; 630 970 ; 117 
WARSZAWSKIE;PRZASNYCKI;60047;215328;16431;23431;721105; 63 254 ; 2 461 
WARSZAWSKIE;PUŁTUSKI;71380;376118;33931;94971;1549349; 28 678 ; 14 258 
WARSZAWSKIE;PŁOCKI;142276;499972;113956;103353;1926022; 538 409 ; 1 835 
WARSZAWSKIE;PŁOŃSKI;86376;440137;56632;65274;1531873; 205 116 ; 2 377 
WARSZAWSKIE;RADZYMIŃSKI;16192;236791;14439;56902;1013921; -   ; 7 877 
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);36858;450427;36921;117636;2282335; 1 415 ; 1 753 
WARSZAWSKIE;RYPIŃSKI;53555;352144;93925;58837;1262751; 277 670 ; 2 006 
WARSZAWSKIE;SIERPECKI;39124;457165;34169;59416;1603659; 42 460 ; 3 976 
WARSZAWSKIE;SKIERNIEWICKI;22961;259245;19940;94840;1079385; 12 803 ; 419 
WARSZAWSKIE;SOCHACZEWSKI;86222;269791;26326;92000;1394863; 203 852 ; 1 229 
WARSZAWSKIE;WARSZAWSKI;45759;238014;21449;116438;1852733; 59 479 ; 1 584 
WARSZAWSKIE;WŁOCŁAWSKI;130499;434759;138150;68000;1431535; 613 669 ; 503 
WARSZAWSKIE;ŁOWICKI;101123;452051;33570;153980;1664934; 245 320 ; 1 027 
WOŁYŃSKIE;DUBIEŃSKI;480934;487465;261273;360963;2207166; 34 017 ; 60 962 
WOŁYŃSKIE;HOROCHOWSKI;426547;236369;169918;169115;1427803; 8 798 ; 20 375 
WOŁYŃSKIE;KOSTOPOLSKI;58291;336523;34292;147282;1299343; -   ; 43 676 
WOŁYŃSKIE;KOWELSKI;232580;612929;105145;111031;2093088; 1 366 ; 25 619 
