Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
BIAŁOSTOCKIE;AUGUSTOWSKI;15 342;28 767;29 354;16 431;2
BIAŁOSTOCKIE;BIAŁOSTOCKI;30 427;57 598;48 444;32 714;27
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);1 019;1 326;2 624;18;101
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);47 086;82 061;78 691;101 607;78
BIAŁOSTOCKIE;GRODZIEŃSKI;37 939;59 641;43 211;53 880;91
BIAŁOSTOCKIE;KOLNEŃSKI;19 624;34 892;21 467;15 329;7
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);14 844;34 527;29 574;5 515;15
BIAŁOSTOCKIE;OSTROŁĘCKI;17 397;39 376;27 449;6 458;10
BIAŁOSTOCKIE;SOKÓLSKI;27 965;43 400;35 490;48 367;9
BIAŁOSTOCKIE;SUWALSKI;23 058;38 619;43 797;24 563;90
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);16 161;27 539;21 100;9 549;12
BIAŁOSTOCKIE;WOŁKOWYSKI;31 241;60 324;44 202;67 468;52
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;19 234;41 788;31 338;3 878;5
BIAŁOSTOCKIE;ŁOMŻYŃSKI;21 706;43 823;36 396;9 678;65
KIELECKIE;BĘDZIŃSKI;5 268;12 282;2 492;247;3 011
KIELECKIE;CZĘSTOCHOWA (MIASTO);1 142;1 007;1 535;34;165
KIELECKIE;CZĘSTOCHOWSKI;16 084;47 651;24 977;3 257;705
KIELECKIE;IŁŻECKI;19 383;50 074;34 491;1 957;271
KIELECKIE;JĘDRZEJOWSKI;17 536;39 242;18 111;2 675;334
KIELECKIE;KIELECKI;16 515;51 803;14 675;2 068;305
KIELECKIE;KONECKI;11 888;43 044;15 800;2 770;243
KIELECKIE;KOZIENICKI;19 540;45 044;39 002;1 584;98
KIELECKIE;MIECHOWSKI;24 278;49 975;25 968;1 266;1 244
KIELECKIE;OLKUSKI;13 169;38 620;12 584;2 584;2 007
KIELECKIE;OPATOWSKI;21 108;56 354;37 605;1 527;237
KIELECKIE;OPOCZYŃSKI;16 318;41 163;24 645;13 268;116
KIELECKIE;PIŃCZOWSKI;21 006;44 988;21 866;1 075;460
KIELECKIE;RADOMSKI;25 378;60 160;43 257;3 946;503
KIELECKIE;SANDOMIERSKI;16 841;41 361;28 470;1 917;89
KIELECKIE;SOSNOWIEC;1 176;1 018;525;9;1 302
KIELECKIE;STOPNICKI;23 578;62 338;24 787;466;133
KIELECKIE;WŁOSZCZOWSKI;15 612;32 773;15 627;1 556;112
KIELECKIE;ZAWIERCIAŃSKI;6 859;26 129;3 587;1 431;730
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);2 942;22 056;12 220;620;1 649
KRAKOWSKIE;BOCHEŃSKI;9 142;41 389;20 662;276;558
KRAKOWSKIE;BRZESKI (BRZESKO);9435;42 476;18 200;236;581
