Region;District;Pszenica;Øyto;JÍczmieÒ;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso
LUBELSKIE;PU£AWSKI;104693;321115;126165;132194;1855128; 272 300 ; 20 943 ; 11 824 
LUBELSKIE;RADZY—SKI;108357;325450;22336;181590;2070183; 11 595 ; 18 449 ; 8 639 
LUBELSKIE;SIEDLECKI;97811;471799;29271;186954;2777325; X   ; 1 894 ; 2 802 
LUBELSKIE;SOKO£OWSKI;95967;290272;38552;101310;1824498; 115 370 ; 1 097 ; 924 
LUBELSKIE;TOMASZOWSKI;239196;182356;130888;148710;1076543; 251 578 ; 8 909 ; 8 716 
LUBELSKIE;W GROWSKI;53139;262749;29170;100721;1631690; 32 448 ; 2 762 ; 5 155 
LUBELSKIE;W£ODAWSKI;82742;438098;37503;142153;2131776; 10 088 ; 34 736 ; 7 922 
LUBELSKIE;ZAMOJSKI;223190;197303;120812;170985;1443948; 141 105 ; 7 402 ; 6 182 
LUBELSKIE;£UKOWSKI;55350;536034;40726;218757;3027810; X   ; 18 069 ; 4 354 
LWOWSKIE;BRZOZOWSKI;46069;96540;32206;67284;538279; 3 614 ; 83 ; 496 
LWOWSKIE;B”BRECKI;108631;39185;40266;73819;902315; 167 936 ; 3 114 ; 5 615 
LWOWSKIE;DOBROMILSKI;37046;43354;17147;62460;306811; 3 120 ; 105 ; 414 
LWOWSKIE;DROHOBYCKI;27535;54420;24358;62733;732558; X   ; 263 ; 4 442 
LWOWSKIE;GR”DECKI;51241;56025;28442;75607;643828; 8 079 ; 5 001 ; 3 841 
LWOWSKIE;JAROS£AWSKI;109008;116627;32740;71495;419784; 149 990 ; 1 559 ; 4 385 
LWOWSKIE;JAWOROWSKI;26563;73722;19398;64317;473392; 309 ; 3 404 ; 3 540 
LWOWSKIE;KOLBUSZOWSKI;22592;110357;28294;46617;626948; X   ; 2 835 ; 5 613 
LWOWSKIE;KROåNIE—SKI;65957;96097;36852;73463;580657; 1 031 ; 153 ; 508 
LWOWSKIE;LESKI;16246;36100;14733;152326;520352; X   ; X   ; 7 
LWOWSKIE;LUBACZOWSKI;44757;81572;26245;95624;650730; X   ; 7 313 ; 5 420 
LWOWSKIE;LWOWSKI;132848;73411;47591;144034;1147439; 60 103 ; 7 718 ; 4 972 
LWOWSKIE;LW”W (MIASTO);;;;;;;;
LWOWSKIE;MOåCISKI;45021;41092;23258;43328;368358; 3 096 ; 1 325 ; 3 713 
LWOWSKIE;NIØA—SKI;19772;71978;23243;32453;517233; 2 269 ; 2 884 ; 4 380 
LWOWSKIE;PRZEMYSKI;88771;73404;33891;62427;774902; 49 013 ; 169 ; 2 016 
LWOWSKIE;PRZEWORSKI;43135;45671;11664;34580;268172; 192 042 ; 390 ; 1 395 
LWOWSKIE;RAWSKI (RAWA RUSKA);103438;134322;75771;91988;967067; 20 985 ; 12 865 ; 7 156 
LWOWSKIE;RUDECKI;54646;33896;33295;51406;659559; 28 799 ; 2 173 ; 5 933 
LWOWSKIE;RZESZOWSKI;97211;145814;49529;92984;667552; 10 665 ; 177 ; 2 407 
LWOWSKIE;SAMBORSKI;62830;72871;49727;95051;909237; 2 313 ; 444 ; 6 078 
LWOWSKIE;SANOCKI;62043;82460;53074;93981;726045; 6 003 ; 41 ; 252 
LWOWSKIE;SOKALSKI;210733;120481;69749;92187;1195710; 69 084 ; 4 879 ; 8 831 
LWOWSKIE;TARNOBRZESKI;29427;101157;39269;47509;576716; 27 347 ; 1 663 ; 8 655 
LWOWSKIE;TURCZA—SKI;1929;26260;6156;168735;551214; X   ; 12 ; 10 
LWOWSKIE;£A—CUCKI;48771;128253;28995;59506;602754; 43 446 ; 5 780 ; 9 150 
LWOWSKIE;Ø”£KIEWSKI;77907;88408;27376;52516;687913; 996 ; 3 898 ; 5 305 
M. ST. WARSZAWA;PO£UDNIOWO-WARSZAWSKI;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;
M. ST. WARSZAWA;P”£NOCNO-WARSZAWSKI;;;;;;;;
M. ST. WARSZAWA;åR”DMIEJSKO-WARSZAWSKI;;;;;;;;
NOWOGR”DZKIE;BARANOWICKI;33011;387136;100627;185996;1919306; X   ; 38 432 ; 356 
NOWOGR”DZKIE;LIDZKI;9508;515540;103584;192804;2182054; X   ; 37 956 ; X   
NOWOGR”DZKIE;NIEåWIESKI;50397;384193;91634;223828;2517307; X   ; 15 210 ; 378 
NOWOGR”DZKIE;NOWOGR”DZKI;65557;428765;119818;222338;1563341; X   ; 27 702 ; X   
NOWOGR”DZKIE;STO£PECKI;31523;346349;75866;140371;1376917; X   ; 15 328 ; 48 
NOWOGR”DZKIE;SZCZUCZY—SKI (WOJ. NOWOGR”DZKIE);14377;224080;78073;77275;1150583; X   ; 13 622 ; X   
NOWOGR”DZKIE;S£ONIMSKI;37174;439036;77553;142976;1421316; X   ; 25 190 ; 476 
NOWOGR”DZKIE;WO£OØY—SKI;11025;222072;66634;116361;1586229; X   ; 6 618 ; X   
POLESKIE;BRZESKI (BRZEå∆ N.BUG.);101624;686952;98766;188307;2969512; X   ; 21 588 ; 15 283 
POLESKIE;DROHICKI;28681;303292;43509;117148;1197318; X   ; 8 470 ; 11 403 
POLESKIE;IWACEWICKI;5558;226481;32645;71842;1136987; X   ; 8 712 ; 2 635 
POLESKIE;KOBRY—SKI;47058;370356;42984;91836;1314938; X   ; 10 612 ; 9 619 
POLESKIE;KOSZYRSKI;8695;202251;22009;51598;930696; X   ; 10 556 ; 5 452 
POLESKIE;PI—SKI;12173;426524;34835;122174;1894226; X   ; 23 037 ; 17 684 
POLESKIE;PRUØA—SKI;21468;369260;47618;95485;1731159; X   ; 11 981 ; 4 644 
POLESKIE;STOLI—SKI;9350;291918;24313;44048;1163865; X   ; 19 409 ; 25 922 
POLESKIE;£UNINIECKI;5102;194736;11639;32488;1220070; X   ; 9 203 ; 9 882 
POMORSKIE;BRODNICKI;52753;305524;71807;33740;977420; 113 563 ; 53 ; 3 
POMORSKIE;CHE£MI—SKI;186183;193577;97489;43086;927405; 729 766 ; 12 ; 8 
POMORSKIE;CHOJNICKI;19031;273150;30500;61592;993070; 4 756 ; 4 029 ; X   
POMORSKIE;DZIA£DOWSKI;9539;226477;43260;25772;940117; 3 620 ; 328 ; X   
POMORSKIE;GDYNIA (MIASTO);;;;;;;;
POMORSKIE;GRUDZI•DZ (MIASTO);;;;;;;;
POMORSKIE;GRUDZI•DZKI;163072;193096;95297;60726;717551; 349 813 ; X   ; 12 
POMORSKIE;KARTUSKI;6400;218888;14078;100645;1048123; X   ; 21 ; X   
POMORSKIE;KOåCIERSKI;9548;215146;12851;61871;939866; X   ; 478 ; X   
POMORSKIE;LUBAWSKI;38915;287354;75470;54484;1067399; 33 536 ; 28 ; 6 
POMORSKIE;MORSKI;12943;210847;19222;84155;974447; 2 520 ; 24 ; X   
POMORSKIE;STAROGARDZKI;43421;227196;40498;43353;875274; 110 843 ; 87 ; X   
POMORSKIE;S POLE—SKI;17052;197063;42920;52739;800825; 34 794 ; 23 ; 2 
POMORSKIE;TCZEWSKI;147202;130808;78887;54196;619039; 485 154 ; 14 ; X   
POMORSKIE;TORU— (MIASTO);;;;;;;;
POMORSKIE;TORU—SKI;154835;218507;68700;37683;993467; 787 876 ; 57 ; 25 
POMORSKIE;TUCHOLSKI;23636;205659;45025;35668;847453; 42 624 ; 109 ; X   
POMORSKIE;W•BRZESKI;121023;236258;79043;34515;909607; 280 820 ; 83 ; X   
POMORSKIE;åWIECKI;90309;391435;87883;70758;1796227; 204 091 ; 37 ; 54 
POZNA—SKIE;BYDGOSKI;81621;337473;94809;55565;1243246; 194 403 ; 30 ; X   
POZNA—SKIE;BYDGOSZCZ (MIASTO);;;;;;;;
POZNA—SKIE;CHODZIESKI;15712;233511;30555;42797;1000378; 39 054 ; X   ; X   
POZNA—SKIE;CZARNKOWSKI;13850;158739;15290;22390;1017797; 29 444 ; 5 ; X   
POZNA—SKIE;GNIEZNO (MIASTO);;;;;;;;
