District,Pszenica,Żyto,Jęczmień browarny,Jęczmień na kaszę,Owies,Gryka,Groch,Ziemniaki jadalne,Ziemniaki fabryczne,Siano - koniczyny,Siano - łąkowe,Słoma
PRASKO-WARSZAWSKI,14.4,9.6,0.0,12.2,12.93,0.0,0.0,4.88,0.0,7.29,5.38,3.0
ŚRÓDMIEJSKO-WARSZAWSKI,14.4,9.6,0.0,12.2,12.93,0.0,0.0,4.88,0.0,7.29,5.38,3.0
BARANOWICKI,12.82,7.86,10.0,9.75,10.62,14.88,19.0,2.77,2.01,4.87,3.49,1.66
BRASŁAWSKI,11.46,7.58,8.86,8.22,9.05,8.67,8.48,2.27,0.0,3.3,2.29,1.56
LIDZKI,14.5,8.95,13.0,10.11,10.74,12.25,13.0,2.86,1.9,4.95,3.69,2.39
NIEŚWIESKI,13.17,8.69,0.0,9.38,10.93,11.67,12.67,2.6,0.0,4.24,3.33,1.78
NOWOGRÓDZKI,14.0,8.32,11.5,9.41,9.83,13.1,16.9,2.59,0.0,4.23,3.12,1.7
SŁONIMSKI,13.33,8.05,9.83,9.75,10.65,13.5,15.63,2.46,0.0,3.83,2.94,1.7
STOŁPECKI,13.44,8.2,0.0,9.5,10.7,12.28,15.5,2.68,0.0,4.14,3.07,1.33
WOŁOŻYŃSKI,13.64,8.35,0.0,8.81,9.56,10.5,13.43,2.3,1.75,4.29,3.23,1.73
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),14.57,8.85,10.0,9.9,10.73,12.5,15.2,2.91,2.47,3.45,2.58,1.71
BRZESKI (BRZEŚĆ N.BUG.),12.87,8.33,12.0,9.85,10.0,12.18,14.5,2.99,2.38,4.15,3.29,1.95
DROHICKI,14.1,9.62,0.0,10.33,10.5,11.17,11.5,2.75,0.0,3.56,2.65,1.73
KOBRYŃSKI,14.0,9.19,11.33,10.21,11.24,12.38,13.43,2.96,0.0,4.26,2.27,1.99
KOSZYRSKI,11.5,8.92,0.0,10.0,9.55,10.0,10.0,3.34,0.0,4.08,2.51,1.47
ŁUNINIECKI,13.17,10.86,0.0,12.67,12.57,10.5,14.67,3.91,0.0,4.3,3.6,1.91
PIŃSKI,13.9,9.61,0.0,11.1,11.24,11.5,17.0,2.92,0.0,3.2,2.4,1.45
PRUŻAŃSKI,13.93,9.0,11.0,10.75,10.94,13.0,15.75,3.49,2.6,4.34,2.98,1.77
STOLIŃSKI,13.0,9.0,0.0,10.0,10.13,9.67,0.0,2.7,0.0,4.0,2.63,1.36
IWACEWICKI,13.38,9.0,0.0,10.56,10.5,11.33,14.25,2.88,2.51,3.79,2.42,1.88
BRODNICKI,12.67,8.45,11.38,9.91,10.17,0.0,19.5,3.91,0.0,5.7,3.38,1.73
CHEŁMIŃSKI,12.83,9.33,12.7,10.93,10.71,0.0,16.71,4.35,2.7,6.93,6.61,2.69
CHOJNICKI,13.36,9.24,11.9,11.73,11.0,0.0,23.0,3.19,2.56,5.25,5.11,2.85
DZIAŁDOWSKI,11.94,7.88,11.25,10.22,9.94,0.0,17.0,3.42,3.13,5.2,3.66,2.11
GRUDZIĄDZ (MIASTO),12.67,9.62,0.0,11.36,11.45,0.0,0.0,5.58,0.0,7.0,6.03,2.7
GRUDZIĄDZKI,12.67,9.62,12.43,11.36,11.45,0.0,19.5,5.58,3.75,7.0,6.03,2.7
KARTUSKI,13.29,9.5,14.0,12.0,10.14,0.0,23.5,3.93,3.03,5.65,4.94,3.0
KOŚCIERSKI,12.5,9.41,12.63,10.89,10.93,0.0,18.5,3.57,0.0,5.25,4.87,2.19
LUBAWSKI,11.56,8.17,10.63,9.7,9.44,0.0,13.0,3.51,2.63,4.52,3.47,2.08
SĘPOLEŃSKI,11.57,8.79,11.4,10.57,9.92,0.0,15.6,3.11,1.8,6.33,5.0,2.55
STAROGARDZKI,13.07,9.86,13.33,12.27,12.23,0.0,17.71,3.75,2.92,6.42,5.0,2.44
ŚWIECKI,12.85,9.7,12.75,12.08,11.59,0.0,18.57,4.0,2.93,5.88,5.27,2.39
TCZEWSKI,13.12,9.96,13.17,12.1,12.15,0.0,19.25,4.09,3.13,5.32,4.93,2.07
TORUŃ (MIASTO),12.5,9.33,0.0,11.0,11.0,0.0,0.0,3.87,0.0,6.93,6.61,2.69
TORUŃSKI,12.5,9.33,12.67,11.0,11.0,0.0,17.0,3.87,0.0,6.93,6.61,2.69
TUCHOLSKI,12.07,9.0,11.57,11.06,10.31,0.0,18.0,3.66,3.0,5.3,4.29,2.5
WĄBRZESKI,12.53,8.88,11.15,11.07,10.29,0.0,18.0,4.02,2.95,5.17,5.13,2.35
MORSKI,13.42,9.85,13.5,12.3,11.69,0.0,19.2,5.1,0.0,6.44,5.84,3.53
GDYNIA (MIASTO),13.42,9.85,0.0,12.3,11.69,0.0,0.0,5.1,0.0,6.44,5.84,3.53
BYDGOSKI,13.54,9.46,12.25,11.5,11.7,0.0,17.6,4.23,0.0,4.0,5.17,2.58
BYDGOSZCZ (MIASTO),13.54,9.46,0.0,11.5,11.7,0.0,0.0,4.23,0.0,4.0,5.17,2.58
CHODZIESKI,11.88,8.92,12.0,11.0,11.11,0.0,0.0,4.6,0.0,8.5,4.74,2.47
CZARNKOWSKI,12.36,9.25,12.75,12.0,10.67,0.0,0.0,4.58,0.0,6.75,5.04,2.59
GNIEŹNIEŃSKI,12.03,8.88,11.77,10.72,9.9,0.0,20.0,5.35,2.58,6.76,5.91,2.58
GOSTYŃSKI,12.74,9.02,12.04,11.0,10.75,0.0,19.61,5.9,5.38,7.07,6.34,3.07
INOWROCŁAWSKI,12.59,9.19,12.33,11.04,11.05,0.0,17.7,4.6,3.83,6.78,5.73,2.68
JAROCIŃSKI,12.65,8.95,11.78,10.46,10.67,0.0,20.0,5.87,0.0,8.43,7.13,2.76
KĘPIŃSKI,12.76,8.94,12.14,11.42,11.7,0.0,23.25,3.75,3.11,6.17,5.82,3.03
KOŚCIAŃSKI,12.4,9.07,12.11,11.08,10.25,0.0,12.8,6.21,4.25,6.75,5.37,2.28
KROTOSZYŃSKI,12.74,8.97,11.0,11.0,10.5,0.0,24.73,5.27,0.0,8.43,7.54,4.14
LESZCZYŃSKI,12.5,9.0,12.33,11.12,11.05,0.0,20.43,5.59,0.0,7.8,6.1,3.21
MIĘDZYCHODZKI,12.2,8.5,0.0,11.67,9.4,0.0,0.0,5.8,0.0,6.4,5.25,3.01
MOGILEŃSKI,12.52,9.0,12.72,11.59,10.72,0.0,19.5,4.83,4.5,6.8,5.54,2.78
NOWOTOMYSKI,12.42,9.06,11.65,10.83,10.55,0.0,18.08,5.2,2.83,6.4,5.78,3.01
OBORNICKI,12.55,8.73,12.63,11.88,10.67,0.0,21.5,5.07,0.0,8.5,7.5,2.32
OSTROWSKI (OSTRÓW WIELKOPOLSKI),13.26,9.22,12.39,11.8,11.59,0.0,22.56,4.39,2.85,8.34,6.57,3.41
POZNAŃ (MIASTO),12.93,9.13,0.0,12.08,11.57,0.0,0.0,5.13,0.0,8.13,6.0,2.24
RAWICKI,12.0,9.17,12.5,11.0,11.78,0.0,22.8,3.92,0.0,7.75,6.29,3.96
SZAMOTULSKI,12.63,9.31,12.8,11.25,10.67,0.0,19.5,4.87,4.13,6.75,5.05,1.93
SZUBIŃSKI,12.79,9.13,12.65,11.58,10.84,0.0,19.3,3.96,2.63,4.0,3.97,2.3
ŚREDZKI,12.2,8.96,11.6,10.6,10.78,0.0,0.0,5.78,4.45,7.6,5.86,2.67
ŚREMSKI,12.38,8.89,11.88,10.46,10.67,0.0,20.5,5.48,4.3,7.6,5.13,2.38
WĄGROWIECKI,12.91,9.0,12.5,11.33,10.14,0.0,17.0,4.43,0.0,3.5,4.67,2.25
WOLSZTYŃSKI,12.12,8.59,12.09,11.0,10.29,0.0,20.4,5.77,3.67,7.5,6.04,3.25
WRZESIŃSKI,12.12,8.75,11.93,10.63,10.62,0.0,18.14,6.57,0.0,6.83,5.72,2.28
WYRZYSKI,12.33,9.0,12.17,11.75,11.63,0.0,22.0,4.03,3.0,3.5,3.4,2.33
ŻNIŃSKI,12.14,8.95,12.18,11.29,10.85,0.0,18.2,4.49,3.18,7.67,5.7,2.73
POZNAŃSKI,12.93,9.13,13.15,12.08,11.57,0.0,24.33,5.13,3.5,8.13,6.0,2.24
GNIEZNO (MIASTO),12.03,8.88,0.0,10.72,9.9,0.0,0.0,5.35,0.0,6.76,5.91,2.58
INOWROCŁAW (MIASTO),12.59,9.19,0.0,11.04,11.05,0.0,0.0,4.6,0.0,6.78,5.73,2.68
DOLIŃSKI,14.5,11.17,0.0,13.0,11.67,0.0,0.0,4.25,0.0,5.21,4.29,2.88
HORODEŃSKI,13.36,8.79,10.25,8.86,8.86,12.5,17.5,3.5,3.25,4.5,4.13,2.25
KAŁUSKI,14.0,9.73,10.75,10.14,10.33,0.0,0.0,4.0,4.0,5.64,4.36,3.17
KOŁOMYJSKI,14.64,9.79,0.0,9.6,10.09,13.5,18.0,4.2,3.5,4.86,3.9,2.5
KOSOWSKI (KOSÓW HUCULSKI),14.9,11.1,0.0,13.67,14.0,0.0,20.0,3.9,3.75,4.78,4.0,3.0
NADWÓRNIAŃSKI,14.8,10.63,13.0,12.11,11.75,12.67,19.71,3.64,0.0,4.51,3.64,2.58
ROHATYŃSKI,12.92,8.5,0.0,8.56,8.89,0.0,0.0,3.75,0.0,4.0,2.8,1.83
STANISŁAWOWSKI,13.71,9.36,10.0,10.0,9.43,15.5,0.0,4.32,0.0,5.22,4.22,2.63
STRYJSKI,15.5,11.58,10.8,10.5,13.08,0.0,19.75,4.5,2.75,4.74,3.48,3.04
ŚNIATYŃSKI,13.91,9.91,11.25,9.1,9.5,0.0,0.0,3.7,3.25,4.55,3.78,2.61
TŁUMACKI,13.69,9.54,12.33,10.56,9.18,0.0,15.75,4.44,3.5,4.7,3.75,2.42
ŻYDACZOWSKI,12.71,9.0,11.2,10.0,9.73,12.67,14.5,3.71,0.0,3.91,3.0,1.98
BIELSKI (BIELSKO),16.71,12.57,0.0,14.88,16.14,0.0,0.0,5.83,0.0,8.43,6.75,4.6
BIELSKO (MIASTO),16.71,12.57,0.0,13.6,16.14,0.0,0.0,5.83,0.0,8.43,6.75,4.6
CIESZYŃSKI,17.24,13.47,15.44,14.88,14.53,0.0,0.0,7.47,6.5,9.44,6.88,4.53
TARNOGÓRSKI,17.0,12.54,16.6,15.0,15.46,0.0,0.0,5.63,0.0,8.55,5.91,3.6
KATOWICE (MIASTO),18.0,12.67,0.0,14.75,14.67,0.0,0.0,5.67,0.0,9.33,7.67,4.33
KATOWICKI,18.0,12.67,0.0,14.75,14.67,0.0,0.0,5.67,0.0,9.33,7.67,4.33
LUBLINIECKI,15.42,11.17,14.0,12.86,14.0,0.0,0.0,4.56,0.0,9.3,6.39,2.92
PSZCZYŃSKI,16.85,12.07,16.0,15.17,15.29,0.0,0.0,6.35,0.0,8.46,6.96,4.68
RYBNICKI,15.69,12.87,15.0,14.5,14.67,0.0,30.5,6.36,0.0,10.18,7.8,4.01
ŚWIĘTOCHŁOWICKI,16.5,11.75,0.0,14.75,15.0,0.0,0.0,5.0,0.0,9.0,7.0,3.13
CHORZÓW,16.5,11.75,0.0,14.75,15.0,0.0,0.0,5.0,0.0,9.0,7.0,3.13
BORSZCZOWSKI,12.75,9.25,10.0,9.13,10.86,12.0,13.6,3.6,2.75,4.92,4.0,2.5
BRODZKI,13.0,8.8,10.17,9.3,9.67,14.33,14.5,3.5,2.0,5.0,3.63,3.0
BRZEŻAŃSKI,12.6,8.09,8.75,8.33,10.3,12.67,14.33,3.33,2.25,4.4,4.08,2.2
BUCZACKI,12.71,8.29,9.25,9.0,9.47,0.0,0.0,3.71,0.0,4.93,4.39,3.1
CZORTKOWSKI,12.09,8.18,10.8,10.36,10.78,12.86,16.5,3.64,0.0,5.36,4.13,2.57
KAMIONECKI,12.38,8.63,9.0,8.67,9.25,13.0,14.33,3.5,2.5,4.5,3.02,1.93
PODHAJECKI,12.17,8.0,8.83,8.75,9.73,12.38,15.5,3.63,2.5,4.96,3.67,2.5
PRZEMYŚLAŃSKI,12.57,8.57,0.0,8.83,9.17,14.25,15.33,3.64,0.0,4.64,4.0,2.75
RADZIECHOWSKI,12.3,8.7,8.71,8.43,8.78,13.25,15.0,3.3,2.63,4.92,3.81,2.75
SKAŁACKI,12.54,7.92,9.75,8.9,9.36,13.25,19.8,3.3,2.15,4.83,3.75,2.17
TARNOPOLSKI,12.21,8.14,9.33,8.29,8.85,13.0,14.8,3.72,0.0,4.33,3.85,2.1
TREMBOWELSKI,12.73,8.36,9.33,8.73,10.3,14.38,18.5,3.31,2.5,5.38,4.57,2.61
ZALESZCZYCKI,12.36,9.18,10.4,9.55,10.88,13.67,18.0,3.56,2.56,5.25,5.33,3.13
ZBARASKI,12.36,8.14,8.13,8.07,8.85,14.33,0.0,2.7,0.0,4.88,3.9,2.67
ZBOROWSKI,12.22,7.89,0.0,8.33,9.5,13.5,0.0,3.13,0.0,5.3,3.93,2.7
ZŁOCZOWSKI,13.36,9.0,10.4,10.33,10.4,14.88,18.33,4.28,3.0,4.88,4.2,2.94
KOPYCZYNIECKI,12.33,8.17,9.83,9.3,10.7,15.25,17.0,3.17,0.0,5.25,4.25,3.0
BŁOŃSKI,14.08,9.58,11.0,10.13,11.0,20.67,20.0,4.52,3.71,6.59,4.8,2.97
CIECHANOWSKI,12.6,8.15,9.88,9.26,10.21,12.5,18.6,2.58,2.0,5.04,3.68,2.1
GOSTYNIŃSKI,13.12,9.22,10.8,10.5,10.64,14.25,18.4,3.97,0.0,7.0,6.0,3.23
GRÓJECKI,13.75,8.58,9.67,9.0,11.0,0.0,0.0,3.91,2.67,6.09,4.0,2.45
KUTNOWSKI,13.86,9.43,11.44,10.43,10.77,0.0,18.5,4.77,3.0,7.6,5.86,2.82
LIPNOWSKI,13.08,8.98,12.25,11.33,11.7,17.33,19.33,3.63,2.25,6.0,4.8,2.67
ŁOWICKI,13.69,10.31,12.5,11.67,11.0,20.5,19.6,4.01,0.0,5.89,4.44,2.88
MAKOWSKI (MAKÓW MAZOWIECKI),12.94,7.61,12.0,10.36,10.33,17.0,18.4,2.37,2.0,4.35,3.3,1.67
MIŃSKI,14.55,9.09,0.0,10.5,12.3,0.0,20.0,4.3,0.0,5.9,4.56,2.48
MŁAWSKI,12.44,8.0,11.13,10.14,10.25,17.6,17.5,2.88,0.0,4.0,2.88,2.02
NIESZAWSKI,12.8,8.65,12.0,11.06,11.93,0.0,19.25,3.89,3.5,6.86,5.44,2.44
PŁOCKI,13.55,8.75,11.73,10.53,10.16,16.0,17.0,3.26,2.9,6.56,5.85,3.0
PŁOŃSKI,13.0,8.33,11.1,10.08,9.57,0.0,16.67,3.29,2.33,5.6,4.29,2.36
PRZASNYCKI,12.63,7.47,9.6,8.89,10.1,0.0,0.0,2.93,2.47,5.83,4.57,2.19
PUŁTUSKI,13.61,8.11,11.0,9.5,10.27,17.14,16.67,3.52,3.25,5.25,4.07,2.08
RADZYMIŃSKI,15.92,9.46,0.0,11.3,11.83,19.0,0.0,4.25,0.0,6.14,4.29,2.81
RAWSKI (RAWA MAZOWIECKA),12.9,8.82,10.67,10.0,12.7,0.0,0.0,2.78,0.0,6.5,4.93,2.3
RYPIŃSKI,12.71,8.33,11.1,10.55,11.0,18.33,17.33,3.53,3.15,5.0,3.86,2.21
SIERPECKI,12.59,8.16,11.0,10.21,10.58,16.78,19.25,2.84,2.5,4.6,3.82,2.34
SKIERNIEWICKI,13.4,9.06,0.0,11.09,12.13,12.0,20.33,3.3,0.0,6.13,4.93,2.71
SOCHACZEWSKI,13.36,8.91,11.5,11.25,10.67,0.0,0.0,3.95,0.0,6.1,4.38,3.13
WARSZAWSKI,14.4,9.6,14.33,12.2,12.93,0.0,20.67,4.88,3.5,7.29,5.38,3.0
WŁOCŁAWSKI,12.89,9.06,12.45,11.23,11.08,0.0,19.75,4.0,0.0,6.25,4.71,2.58
DUBIEŃSKI,11.9,7.67,8.05,7.74,7.83,12.44,12.33,3.51,3.38,4.02,3.21,2.13
HOROCHOWSKI,11.45,7.5,8.14,8.0,8.0,11.7,12.43,3.42,0.0,3.7,2.82,1.5
KOWELSKI,12.95,8.36,9.5,9.12,9.96,12.43,15.54,3.18,2.0,4.41,3.24,1.94
KRZEMIENIECKI,11.71,7.5,8.0,7.85,7.96,12.25,13.0,2.93,2.83,4.08,3.61,2.04
LUBOMELSKI,13.0,7.95,0.0,9.06,9.39,12.31,14.25,3.32,0.0,4.37,3.15,2.14
ŁUCKI,12.16,8.51,8.93,8.4,9.07,12.84,14.15,3.65,3.6,3.98,3.03,1.99
RÓWIEŃSKI,12.74,8.2,8.33,8.27,8.5,12.9,14.17,2.71,2.0,3.67,3.16,1.64
WŁODZIMIERSKI,12.03,7.44,10.0,8.43,8.61,14.33,15.43,3.38,3.0,3.87,3.29,1.95
KOSTOPOLSKI,13.26,9.35,0.0,9.77,9.0,10.71,12.64,3.12,0.0,4.12,2.8,1.6
ZDOŁBUNOWSKI,12.81,8.36,8.56,8.17,7.82,12.55,14.5,2.72,0.0,3.79,3.38,2.11
SARNEŃSKI,12.83,9.29,0.0,9.31,9.76,11.38,14.1,3.01,1.8,4.48,3.08,1.71
OSZMIAŃSKI,12.5,8.67,0.0,9.6,10.76,12.0,12.9,2.47,1.71,3.98,2.96,1.64
ŚWIĘCIAŃSKI,13.82,9.69,0.0,10.77,10.5,12.0,12.17,2.69,0.0,4.31,3.5,2.02
WILNO (MIASTO),14.57,10.14,0.0,10.97,12.0,0.0,0.0,2.77,0.0,4.94,3.81,2.67
DZIŚNIEŃSKI,11.86,7.09,8.0,8.0,8.74,0.0,8.86,2.13,1.93,3.67,2.69,1.6
WILEJSKI,12.5,8.0,10.33,9.59,9.94,14.0,12.29,2.3,1.86,4.08,3.27,1.64
WILEŃSKO-TROCKI,14.57,10.14,11.38,10.97,12.0,12.89,13.21,2.77,1.82,4.94,3.81,2.67
POSTAWSKI,12.5,7.23,0.0,9.42,9.31,0.0,11.29,2.74,1.65,4.41,2.96,1.99
MOŁODECZAŃSKI,12.69,8.0,11.0,9.53,9.87,10.5,15.78,2.7,0.0,4.86,4.12,1.98
