District,Pszenica,Żyto,Jęczmień browarny,Jęczmień na kaszę,Owies,Gryka,Groch,Ziemniaki jadalne,Ziemniaki fabryczne,Siano - koniczyny,Siano - łąkowe,Słoma
JĘDRZEJOWSKI,12.69,8.88,10.83,10.31,10.25,0.0,16.83,3.54,3.0,5.17,4.2,2.11
KIELECKI,14.73,9.77,11.67,11.3,12.55,0.0,23.0,3.33,0.0,5.83,4.72,2.88
KONECKI,15.14,9.25,0.0,11.0,14.38,0.0,0.0,2.85,0.0,6.38,4.58,2.63
KOZIENICKI,13.13,8.58,0.0,10.06,9.58,18.0,21.0,3.89,0.0,5.39,4.75,2.51
MIECHOWSKI,13.72,9.83,11.67,10.86,11.28,0.0,24.0,4.6,3.67,6.63,5.41,2.85
OLKUSKI,13.53,9.94,12.0,11.5,10.93,0.0,0.0,4.77,4.0,6.0,5.18,3.28
OPATOWSKI,12.07,8.67,11.33,9.08,9.0,0.0,18.4,3.4,0.0,5.67,4.5,2.5
OPOCZYŃSKI,13.8,9.65,0.0,10.83,11.27,17.33,18.33,3.17,0.0,6.79,5.17,3.14
PIŃCZOWSKI,12.6,8.85,10.43,9.93,10.17,0.0,26.14,4.36,0.0,4.5,3.54,1.9
RADOMSKI,13.18,8.89,10.83,10.38,10.44,14.75,25.2,3.85,3.33,5.71,3.85,2.6
SANDOMIERSKI,12.33,8.78,0.0,9.13,9.11,0.0,25.0,3.35,0.0,5.67,3.83,2.25
STOPNICKI,13.2,8.87,10.5,9.67,10.23,0.0,20.5,3.48,0.0,5.0,3.96,2.22
WŁOSZCZOWSKI,13.6,9.4,11.5,11.08,11.92,0.0,16.0,3.43,0.0,5.53,4.47,2.75
ZAWIERCIAŃSKI,15.62,10.8,12.25,11.87,11.92,0.0,20.0,4.88,3.83,7.18,5.13,2.95
CZĘSTOCHOWA (MIASTO),14.86,10.14,0.0,11.8,12.19,0.0,0.0,3.88,0.0,6.36,4.86,2.6
SOSNOWIEC,16.33,11.82,0.0,13.5,13.25,0.0,0.0,5.7,0.0,7.56,6.05,3.63
RADOM (MIASTO),13.18,8.89,0.0,10.38,10.44,0.0,0.0,3.85,0.0,5.71,3.85,2.6
BIALSKI (BIAŁA KRAKOWSKA),16.73,13.14,14.4,13.6,13.93,0.0,0.0,5.46,3.9,8.27,6.32,4.35
BOCHEŃSKI,14.56,10.78,13.0,12.33,12.88,0.0,0.0,5.44,0.0,6.94,5.33,3.33
BRZESKI (BRZESKO),13.41,10.12,14.33,11.67,11.88,0.0,0.0,4.85,4.0,6.05,4.45,2.46
CHRZANOWSKI,16.17,12.75,16.0,14.0,14.83,0.0,0.0,5.95,0.0,8.75,6.35,4.9
DĄBROWSKI,13.33,9.2,10.67,10.57,10.57,0.0,23.83,4.14,0.0,5.07,3.67,2.02
GORLICKI,15.26,11.37,13.5,12.58,12.54,0.0,18.5,4.71,0.0,6.91,5.21,3.09
JASIELSKI,14.0,9.7,11.5,10.08,11.15,0.0,16.2,3.61,2.2,6.78,4.93,2.73
KRAKOWSKI,15.95,11.85,13.44,12.82,14.45,0.0,26.75,5.5,3.5,6.79,5.44,3.37
KRAKÓW (MIASTO),15.95,11.85,0.0,12.82,14.45,0.0,0.0,5.5,0.0,6.79,5.44,3.37
LIMANOWSKI,16.67,13.08,13.25,13.22,12.5,0.0,23.5,4.62,3.5,7.09,5.92,3.7
MIELECKI,12.94,9.5,10.67,10.27,10.2,0.0,16.0,3.23,3.05,4.56,3.5,2.33
MYŚLENICKI,17.45,12.55,14.5,12.5,14.45,0.0,32.0,5.17,0.0,7.64,5.64,3.83
NOWOSĄDECKI,16.57,12.86,13.83,13.5,13.23,0.0,22.75,5.18,0.0,6.38,5.11,3.38
NOWOTARSKI,16.6,14.0,0.0,14.6,14.86,0.0,0.0,6.91,0.0,8.32,7.39,4.93
ROPCZYCKI,13.72,9.41,12.0,10.38,9.82,0.0,18.0,3.66,3.0,6.28,4.69,2.77
TARNOWSKI,13.48,9.43,10.63,10.56,10.63,0.0,21.67,4.23,3.75,5.64,4.26,2.81
WADOWICKI,15.62,12.08,0.0,13.06,14.46,0.0,24.0,6.15,5.25,7.79,5.78,3.65
ŻYWIECKI,17.5,13.75,0.0,12.75,14.0,0.0,0.0,6.31,0.0,8.43,6.0,4.38
BIALSKI (BIAŁA PODLASKA),13.14,8.05,11.25,9.88,9.94,13.89,18.83,2.68,0.0,5.04,3.73,2.18
BIŁGORAJSKI,13.35,9.65,0.0,9.44,9.52,15.07,0.0,3.69,0.0,4.83,4.15,2.25
CHEŁMSKI,13.15,7.77,8.75,8.75,9.82,12.33,16.25,2.95,1.75,3.05,2.92,1.46
GARWOLIŃSKI,13.73,8.55,12.33,10.74,11.24,18.56,23.44,4.15,0.0,6.63,5.0,2.3
HRUBIESZOWSKI,12.14,7.86,8.6,8.42,8.86,15.0,18.6,2.89,2.0,3.83,3.56,1.64
JANOWSKI,12.21,8.26,10.11,9.0,8.82,13.6,17.83,3.41,3.25,4.46,4.0,2.08
KRASNOSTAWSKI,12.82,7.88,9.33,8.46,8.64,0.0,0.0,3.82,3.75,3.81,3.06,1.96
LUBARTOWSKI,13.41,8.12,10.0,9.15,9.29,15.47,20.0,3.45,2.83,4.38,3.4,1.95
LUBELSKI,13.07,8.0,9.33,8.92,9.64,14.0,14.5,3.58,0.0,4.17,3.31,1.93
