District,Area
RADOMSZCZAŃSKI,540695.6850759606
RADZIECHOWSKI,249213.39799655334
RADZYMIŃSKI,288091.05119222705
RADZYŃSKI,420520.64717450656
RAWICKI,134589.9005625648
RAWSKI (RAWA MAZOWIECKA),347685.51385642117
RAWSKI (RAWA RUSKA),340794.3982458918
ROHATYŃSKI,269655.4376898561
ROPCZYCKI,276126.04927277827
RUDECKI,158385.11011922357
RYBNICKI,217697.9749925455
RYPIŃSKI,335617.01482106186
RZESZOWSKI,308078.708746234
RÓWIEŃSKI,708174.0717199517
SAMBORSKI,266471.47958456527
SANDOMIERSKI,293777.5607524679
SANOCKI,298024.3810718816
SARNEŃSKI,1430062.2458219912
SIEDLECKI,523058.3385145491
SIERADZKI,419260.09194949194
SIERPECKI,320173.5384636665
SKAŁACKI,206372.52215614772
SKIERNIEWICKI,214125.82298450437
SOCHACZEWSKI,279807.6519791406
SOKALSKI,325007.42561023525
SOKOŁOWSKI,348128.33853118686
SOKÓLSKI,667891.0811337493
SOSNOWIEC,7358.294831074154
STANISŁAWOWSKI,303067.4552163148
STAROGARDZKI,328621.52170839446
STOLIŃSKI,1464779.219700993
STOPNICKI,392668.0302893846
STOŁPECKI,675497.317018222
STRYJSKI,486914.01144379977
SUWALSKI,656119.6343653722
SZAMOTULSKI,297954.3688543286
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),410542.71277959016
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),653385.8517965282
SZUBIŃSKI,254344.53062949236
SĘPOLEŃSKI,173082.3371794235
SŁONIMSKI,833318.724254094
TARNOBRZESKI,237115.61524495596
TARNOGÓRSKI,62923.20064041123
TARNOPOLSKI,293257.0113558282
TARNOWSKI,206399.10683346484
TCZEWSKI,207749.74944909083
TOMASZOWSKI,343999.608024246
TORUŃ (MIASTO),12138.003032622928
TORUŃSKI,247788.53968882785
TREMBOWELSKI,183636.03168199974
TUCHOLSKI,286372.8551170321
TURCZAŃSKI,425498.90744372754
TURECKI,327834.28136706195
TŁUMACKI,215097.95492588004
WADOWICKI,266032.80707138753
WARSZAWSKI,474839.5826182037
WIELUŃSKI,537079.3715390591
WILEJSKI,1054850.3806860114
WILEŃSKO-TROCKI,1768085.9849249863
WILNO (MIASTO),32138.70296304503
WOLSZTYŃSKI,201185.53650891047
WOŁKOWYSKI,1089682.984032086
WOŁOŻYŃSKI,797958.7013271056
WRZESIŃSKI,172209.00375818135
WYRZYSKI,328402.2258237885
WYSOKOMAZOWIECKI,402936.1839175771
WĄBRZESKI,190112.74476505024
WĄGROWIECKI,285393.6637283678
WĘGROWSKI,346062.33581604826
WŁOCŁAWSKI,355928.75109548593
WŁODAWSKI,600598.5268736631
WŁODZIMIERSKI,571570.4907605165
WŁOSZCZOWSKI,358417.4049334397
ZALESZCZYCKI,157396.52007482806
ZAMOJSKI,415784.4368720483
ZAWIERCIAŃSKI,233575.2446970182
ZBARASKI,177498.9311129386
ZBOROWSKI,205161.96086785282
ZDOŁBUNOWSKI,337790.0417289134
ZŁOCZOWSKI,288371.45254850504
ŁASKI,362850.70323993114
ŁAŃCUCKI,218392.64359094042
ŁOMŻYŃSKI,742518.4471909828
ŁOWICKI,331819.45896776835
ŁUCKI,1189625.527316966
ŁUKOWSKI,463245.3820015821
ŁUNINIECKI,1520983.6629846815
ŁÓDZKI,233080.2128237019
ŁÓDŹ (MIASTO),15553.669677373788
ŁĘCZYCKI,346773.07435828645
ŚNIATYŃSKI,129169.67277002292
ŚREDZKI,216241.68068969063
ŚREMSKI,246576.1365280336
ŚRÓDMIEJSKO-WARSZAWSKI,2713.96871935019
ŚWIECKI,448567.6462254421
ŚWIĘCIAŃSKI,1241683.6302406816
ŚWIĘTOCHŁOWICKI,20382.367998552407
ŻNIŃSKI,201827.3231946272
ŻYDACZOWSKI,214875.8532840001
ŻYWIECKI,267492.905149282
ŻÓŁKIEWSKI,271149.7555890313
