Region;District;Population_1921;Population_1931;Population_1938;Cities in district
KRAKOWSKIE;ŻYWIECKI;10925.0;12575.0;13531.0;['Sucha (Beskidzka)', 'Żywiec']
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);18367.0;23757.0;28570.0;['Biała Podlaska', 'Janów Podlaski', 'Terespol']
LUBELSKIE;BIŁGORAJSKI;6602.0;8177.0;8828.0;['Biłgoraj']
LUBELSKIE;CHEŁMSKI;23221.0;29222.0;30900.0;['Chełm']
LUBELSKIE;GARWOLIŃSKI;13018.0;14765.0;17283.0;['Garwolin', 'Żelechów']
LUBELSKIE;HRUBIESZOWSKI;13559.0;17184.0;18274.0;['Dubienka', 'Hrubieszów']
LUBELSKIE;JANOWSKI;15329.0;18691.0;20686.0;['Janów Lubelski', 'Kraśnik']
LUBELSKIE;KRASNOSTAWSKI;8943.0;10435.0;11680.0;['Krasnystaw']
LUBELSKIE;LUBARTOWSKI;10101.0;11668.0;12316.0;['Lubartów', 'Łęczna']
LUBELSKIE;LUBLIN (MIASTO);94543.0;112539.0;122000.0;['Lublin']
LUBELSKIE;PUŁAWSKI;11062.0;13707.0;19673.0;['Kazimierz Dolny', 'Puławy']
LUBELSKIE;RADZYŃSKI;19044.0;22128.0;24980.0;['Międzyrzec (nad Krzną)', 'Radzyń (Podlaski)']
LUBELSKIE;SIEDLECKI;37832.0;45240.0;49453.0;['Łosice', 'Mordy', 'Siedlce']
LUBELSKIE;SOKOŁOWSKI;8055.0;9901.0;13543.0;['Sokołów Podlaski']
LUBELSKIE;TOMASZOWSKI;7639.0;10433.0;11200.0;['Tomaszów Lubelski']
LUBELSKIE;WĘGROWSKI;8522.0;9416.0;10103.0;['Węgrów']
LUBELSKIE;WŁODAWSKI;18367.0;23215.0;25152.0;['Ostrów (Lubelski)', 'Parczew', 'Włodawa']
LUBELSKIE;ZAMOJSKI;19023.0;24273.0;28000.0;['Zamość']
LUBELSKIE;ŁUKOWSKI;19425.0;22022.0;22948.0;['Kock', 'Łuków', 'Stoczek (Łukowski)']
LWOWSKIE;BRZOZOWSKI;4160.0;4242.0;4750.0;['Brzozów']
LWOWSKIE;BÓBRECKI;4391.0;5441.0;5609.0;['Bóbrka (Ukraina)']
LWOWSKIE;DOBROMILSKI;3490.0;3864.0;4314.0;['Chyrów']
LWOWSKIE;DROHOBYCKI;62497.0;74305.0;48666.0;['Borysław', 'Drohobycz']
LWOWSKIE;GRÓDECKI;12837.0;15539.0;18015.0;['Gródek Jagielloński', 'Janów (dziś Iwano-Frankowe)']
LWOWSKIE;JAROSŁAWSKI;23867.0;26493.0;28412.0;['Jarosław (nad Sanem)', 'Radymno', 'Sieniawa']
LWOWSKIE;JAWOROWSKI;10413.0;12396.0;12794.0;['Jaworów', 'Krakowiec']
LWOWSKIE;KOLBUSZOWSKI;6415.0;6749.0;6782.0;['Kolbuszowa', 'Sokołów (dziś Sokołów Małopolski)']
LWOWSKIE;KROŚNIEŃSKI;12536.0;14282.0;20038.0;['Dukla', 'Krosno']
LWOWSKIE;LESKI;7112.0;7907.0;8322.0;['Lesko', 'Ustrzyki Dolne']
LWOWSKIE;LUBACZOWSKI;7626.0;8906.0;9909.0;['Cieszanów', 'Lubaczów']
LWOWSKIE;LWOWSKI;6719.0;8179.0;10818.0;['Jaryczów Nowy', 'Szczerzec', 'Winniki']
LWOWSKIE;LWÓW (MIASTO);316177.0;316177.0;318144.0;['Lwów']
LWOWSKIE;MOŚCISKI;9060.0;9535.0;10275.0;['Mościska', 'Sądowa Wisznia']
LWOWSKIE;NIŻAŃSKI;8062.0;9391.0;12182.0;['Nisko', 'Rudnik (nad Sanem)']
LWOWSKIE;PRZEMYSKI;47958.0;51379.0;58500.0;['Przemyśl']
LWOWSKIE;PRZEWORSKI;7950.0;8323.0;9389.0;['Kańczuga', 'Przeworsk']
LWOWSKIE;RAWSKI (RAWA RUSKA);15008.0;17801.0;19476.0;['Niemirów (dziś Ukraina)', 'Rawa Ruska', 'Uhnów']
LWOWSKIE;RUDECKI;8471.0;9247.0;9630.0;['Komarno (dziś Ukraina)', 'Rudki (dziś Ukraina)']
LWOWSKIE;RZESZOWSKI;38356.0;40779.0;51802.0;['Błażowa', 'Głogów (Małopolski)', 'Rzeszów', 'Strzyżów', 'Tyczyn']
LWOWSKIE;SAMBORSKI;23731.0;26978.0;27893.0;['Sambor', 'Stary Sambor']
LWOWSKIE;SANOCKI;15807.0;17879.0;21698.0;['Rymanów', 'Sanok']
