Region;District;Population_1921;Population_1931;Population_1938;Cities in district
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;12068.0;9598.0;12263.0;['Nowa Wilejka', 'Troki']
ZIEMIA WILEŃSKA;WILNO (MIASTO);128954.0;196383.0;208770.0;['Wilno']
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;8612.0;12319.0;13330.0;['Nowo-Święciany (Nowe Święciany)', 'Podbrodzie', 'Święciany']
ŁÓDZKIE;BRZEZIŃSKI;45467.0;59108.0;71666.0;['Brzeziny', 'Głowno', 'Stryków', 'Tomaszów Mazowiecki']
ŁÓDZKIE;KALISKI;51909.0;62746.0;87787.0;['Błaszki', 'Kalisz', 'Stawiszyn']
ŁÓDZKIE;KOLSKI;21103.0;22223.0;23932.0;['Dąbie', 'Kłodawa', 'Koło']
ŁÓDZKIE;KONIŃSKI;35501.0;37622.0;41459.0;['Golina', 'Kleczew', 'Konin', 'Pyzdry', 'Rychwał', 'Słupca', 'Ślesin', 'Tuliszków', 'Zagórów']
ŁÓDZKIE;PIOTRKOWSKI;54031.0;66268.0;70187.0;['Bełchatów', 'Piotrków (Trybunalski)', 'Sulejów']
ŁÓDZKIE;RADOMSZCZAŃSKI;20572.0;22980.0;26350.0;['Radomsko']
ŁÓDZKIE;SIERADZKI;40286.0;45983.0;50387.0;['Sieradz', 'Szadek', 'Warta', 'Zduńska Wola', 'Złoczew']
ŁÓDZKIE;TURECKI;16660.0;15776.0;16839.0;['Dobra', 'Turek', 'Uniejów']
ŁÓDZKIE;WIELUŃSKI;20309.0;23190.0;25977.0;['Praszka', 'Wieluń', 'Wieruszów']
ŁÓDZKIE;ŁASKI;43427.0;52116.0;59420.0;['Łask', 'Pabianice']
ŁÓDZKIE;ŁÓDZKI;43671.0;62733.0;75022.0;['Aleksandrów (Łódzki)', 'Konstantynów (Łódzki)', 'Ruda Pabianicka', 'Tuszyn', 'Zgierz']
ŁÓDZKIE;ŁÓDŹ (MIASTO);451974.0;605467.0;672000.0;['Łódź']
ŁÓDZKIE;ŁĘCZYCKI;27708.0;31014.0;33402.0;['Grabów (nad Prosną)', 'Łęczyca', 'Ozorków', 'Poddębice']
ŚLĄSKIE;BIELSKI (BIELSKO);1566.0;1984.0;2057.0;['Strumień']
ŚLĄSKIE;BIELSKO (MIASTO);19785.0;22573.0;32000.0;['Bielsko (dziś część Bielska-Białej)']
ŚLĄSKIE;CHORZÓW;74811.0;80734.0;109500.0;['Chorzów']
ŚLĄSKIE;CIESZYŃSKI;18762.0;22165.0;25598.0;['Cieszyn', 'Skoczów']
ŚLĄSKIE;KATOWICE (MIASTO);104868.0;127044.0;134500.0;['Katowice']
ŚLĄSKIE;KATOWICKI;98120.0;111417.0;88320.0;['Hajduki Wielkie', 'Huta Laura', 'Mysłowice', 'Ruda Śląska', 'Siemianowice Śląskie']
ŚLĄSKIE;LUBLINIECKI;8200.0;10776.0;11576.0;['Lubliniec', 'Woźniki']
ŚLĄSKIE;PSZCZYŃSKI;16641.0;21762.0;25830.0;['Bieruń Stary', 'Mikołów', 'Pszczyna']
ŚLĄSKIE;RYBNICKI;22436.0;28915.0;34698.0;['Rybnik', 'Żory']
ŚLĄSKIE;TARNOGÓRSKI;16611.0;18181.0;20348.0;['Miasteczko (Śląskie)', 'Tarnowskie Góry']
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;41000.0;47651.0;47786.0;['Lipiny', 'Świętochłowice']
