District,Population_Weight
SARNEŃSKI,175867.84832940524
SIEDLECKI,148931.6616091954
SIERADZKI,165968.95544657807
SIERPECKI,81501.57672191528
SKAŁACKI,88054.09710909333
SKIERNIEWICKI,69797.9915308801
SOCHACZEWSKI,71445.56997782296
SOKALSKI,107379.05903140594
SOKOŁOWSKI,82383.80603979397
SOKÓLSKI,102211.22108870331
STANISŁAWOWSKI,195696.09194312096
STAROGARDZKI,70274.7486522911
STOLIŃSKI,122401.73817183427
STOPNICKI,151454.37678366597
STOŁPECKI,92505.16908826734
STRYJSKI,150683.2327848267
SUWALSKI,107479.93366336633
SZAMOTULSKI,66828.08558093564
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),67212.45556561086
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),102729.78129496402
SZUBIŃSKI,46788.60908867801
SĘPOLEŃSKI,29019.512908745248
SŁONIMSKI,121350.62324981576
TARNOBRZESKI,72372.53333333334
TARNOGÓRSKI,64034.2229800341
TARNOPOLSKI,140852.4368311648
TARNOWSKI,139340.28149421694
TCZEWSKI,65731.67333726106
TOMASZOWSKI,117880.24982267804
TORUŃSKI,112883.42814166032
TREMBOWELSKI,83603.75775439152
TUCHOLSKI,41328.831915282084
TURCZAŃSKI,114356.58922621982
TURECKI,102304.06120689656
TŁUMACKI,115130.27408585056
WADOWICKI,142203.24798258086
WARSZAWSKI,316360.0322491146
WIELUŃSKI,211636.66529107373
WILEJSKI,125967.75764075067
WILEŃSKO-TROCKI,220403.40464608098
WILNO (MIASTO),188373.14811923637
WOLSZTYŃSKI,47559.40658074299
WOŁKOWYSKI,166920.95631946652
WOŁOŻYŃSKI,112352.30205027634
WRZESIŃSKI,43090.35045283019
WYRZYSKI,65587.36718126717
WYSOKOMAZOWIECKI,87376.45672067207
WĄBRZESKI,48991.16738473536
WĄGROWIECKI,53689.014573700755
WĘGROWSKI,87945.00433305012
WŁOCŁAWSKI,144845.41733949987
WŁODAWSKI,111194.39557182857
WŁODZIMIERSKI,147086.63714106058
WŁOSZCZOWSKI,99633.90530205655
ZALESZCZYCKI,71845.93680116675
ZAMOJSKI,146313.43072549748
ZBARASKI,65626.00697250097
ZBOROWSKI,79638.29507706314
ZDOŁBUNOWSKI,117266.68173230384
ZŁOCZOWSKI,117273.83408742142
ŁASKI,169019.2605629749
ŁAŃCUCKI,96924.13335617482
ŁOMŻYŃSKI,165873.81363636366
ŁOWICKI,104093.69147788564
ŁUCKI,281298.90963201114
ŁUKOWSKI,127560.75610298791
ŁUNINIECKI,108104.41108433735
ŁÓDZKI,156758.47771986036
ŁÓDŹ (MIASTO),589300.9442848248
ŁĘCZYCKI,126224.98191139485
ŚNIATYŃSKI,77541.36657882677
ŚREDZKI,49401.54265514533
ŚREMSKI,56507.13304443438
ŚWIECKI,86166.45953731344
ŚWIĘCIAŃSKI,132368.23139053496
ŚWIĘTOCHŁOWICKI,198368.03883234347
ŻNIŃSKI,41168.13031161473
ŻYDACZOWSKI,82787.8927564533
ŻYWIECKI,129229.87787054708
ŻÓŁKIEWSKI,93638.68325776844
