District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Ziemniaki jadalne,Siano koniczyny,Siano łąkowe,Słoma,koń roboczy (cena minimalna),koń roboczy (cena maksymalna),krowa dojna (cena minimalna),krowa dojna (cena maksymalna)
CHODZIESKI,50.86,38.4,37.9,37.9,0.0,12.0,14.0,11.33,5.81,322.0,623.0,328.0,575.0
CZARNKOWSKI,59.22632592259589,46.77708029812595,43.99261199562334,44.345555928339714,0.0,13.480026128640947,12.408276526416408,10.699891689838955,6.006856963486271,392.3956675935582,820.229086073746,388.68604667912183,741.7223641336464
GNIEŹNIEŃSKI,51.82323969102203,42.17213303749695,41.83590246875996,41.586394220867255,35.86141331604289,14.553256232524193,10.95556262092564,9.461206725163287,6.297270191018533,373.7810405943246,704.0664534492171,387.8981614686413,678.2212695592149
GOSTYŃSKI,55.541871278143304,44.06507230242411,42.52297461440341,43.45966164460347,6.806906947823334,17.187243263596123,12.376197688277916,9.857882503780228,4.9950877167412635,368.2249675088289,746.2567966614405,438.3625866322116,777.4798976619502
INOWROCŁAWSKI,49.06689578865999,38.47121899877782,38.253363961976504,38.619756523869626,0.0,13.299059746553052,12.090954542473028,10.674896803264474,5.684035960179786,369.3633123949582,720.9021217788996,376.2950635659092,668.4188629131281
JAROCIŃSKI,91.92014472124582,72.0446978943171,71.58133970058958,71.52723533494616,0.0,29.84746111900794,24.34910286526531,20.838058368619322,8.895223443471929,731.6716027364264,1380.7909686375285,798.283540526839,1381.6267940117914
KĘPIŃSKI,88.06286427846283,72.2575267382348,72.2086277634026,73.8448043407253,0.0,25.905448423991263,24.084367509096786,21.366391641424755,11.106287461085952,537.9603943438182,991.2299527249938,568.141664063637,928.4118927872563
KOŚCIAŃSKI,90.00154186885203,70.85067807459497,69.70276460424003,69.70211915970353,0.0,26.385851148647667,20.281958022887963,16.341015518033235,8.423152609378358,702.7997037791389,1377.3492343909356,728.9580409503603,1308.0931151432628
KROTOSZYŃSKI,91.53859430924521,74.90153648160958,72.38989047555103,74.18305047833718,39.193093052176664,30.320582286687973,21.05319942156156,18.249607640966893,8.977895333385403,535.2137697835849,1131.5744563456344,649.0557654022421,1182.212750042282
LESZCZYŃSKI,55.20849566539379,44.89903787219958,44.599846437719684,44.897148007449175,0.0,17.54502789855831,15.602047906311533,12.51915858503401,5.556595363842674,439.1289635255182,829.3650333029758,448.4495660412519,840.8561926391014
MIĘDZYCHODZKI,49.75,38.5,37.0,38.33,0.0,12.42,10.0,9.08,5.43,350.0,605.0,420.0,655.0
MOGILEŃSKI,95.86793162487031,74.53134988756187,75.33074543965532,73.11265983519513,0.1388267913731865,24.341074906135308,21.371067377707522,18.29862131094916,7.895323291680258,830.638827573463,1660.3671234298956,825.1819271025145,1516.9074723757649
NOWOTOMYSKI,94.71292542932767,74.57411108916887,73.88408967028674,75.25411108916886,0.0,24.60753471536527,25.10573135733192,20.631218817536613,11.016642021094933,724.1429556968412,1412.9351202856888,751.842396024616,1292.6324187252512
OBORNICKI,45.78272296723974,36.027772969712736,35.043241760918775,38.01713124298631,0.0,11.60588549818454,10.613934835729532,9.276470028670644,5.396656577497285,372.2409929608344,765.4312621170063,342.28761652206623,658.8120870913835
OSTROWSKI (OSTRÓW WIELKOPOLSKI),112.09410392059158,88.19032156444766,84.78332240278235,87.2144139902375,0.0,37.103500323209744,37.15271190357218,33.519843177838254,14.30093166151254,678.1289815452614,1277.726380492067,767.2834179946376,1292.2275807450972
POZNAŃ (MIASTO),48.29,39.36,38.82,38.73,0.0,15.8,12.0,9.56,5.5,416.0,843.0,454.0,811.0
RAWICKI,49.13756501590138,38.3270103819989,38.021371623984756,37.67798265030378,0.0,16.489387513782486,13.527346214855402,11.606540867593443,4.688541265747576,437.8138592116596,798.7902175938315,464.9152424784647,716.2416041785876
SZAMOTULSKI,49.19,38.18,38.67,38.71,0.0,11.89,9.4,8.14,4.5,397.0,765.0,399.0,703.0
SZUBIŃSKI,47.77,37.3,36.47,36.56,0.0,14.5,12.57,10.83,6.66,274.0,570.0,332.0,583.0
ŚREDZKI,48.8,38.8,38.2,38.95,0.0,12.3,10.2,7.64,4.65,300.0,608.0,378.0,609.0
ŚREMSKI,48.394818942164086,38.844118690173296,38.419862377326595,38.883584393693916,0.0,15.105498022518496,10.853068468171356,9.491501696709857,4.706285144834306,365.0577575657638,670.9169598505929,402.55017591035573,675.8501727906707
WĄGROWIECKI,49.33,39.38,38.5,40.9,0.0,12.0,10.5,8.6,4.38,356.0,721.0,394.0,669.0
WOLSZTYŃSKI,47.12,37.11,36.8,36.21,0.0,13.18,10.67,9.3,5.51,291.0,578.0,318.0,558.0
WRZESIŃSKI,48.47,38.2,38.21,38.12,0.0,12.85,10.0,8.13,4.22,308.0,683.0,370.0,648.0
WYRZYSKI,48.08,37.23,37.85,36.42,0.0,11.81,11.43,10.18,4.17,396.0,827.0,369.0,726.0
ŻNIŃSKI,48.92626929611486,38.207366383766306,38.95529717536091,39.831934904491646,0.12358257697313879,11.974472329475953,9.782775703025111,8.028538029784448,4.019621418915612,359.1842988050523,781.1410705747733,367.1841903836038,790.915669402278
POZNAŃSKI,46.26281274848636,37.693218682600865,37.172362101565426,37.0971943493637,0.0,15.090377134074817,11.497113085280805,9.163213921744857,5.266745015102565,398.4223183137332,806.602201807855,434.67355205423195,775.6306515213253
GNIEZNO (MIASTO),48.36777232034317,39.48696765156647,39.135749387829534,38.925018429587375,0.1261773156107869,13.657373055598974,10.245538493583066,8.890839476312042,6.020884521204544,344.1938984621931,642.227682261818,359.24610976520444,622.1580671911362
INOWROCŁAW (MIASTO),50.03310421134,39.22878100122218,39.0066360380235,39.380243476130374,0.0,13.560940253446947,12.329045457526972,10.885103196735523,5.795964039820214,376.6366876050418,735.0978782211004,383.7049364340908,681.5811370868719
DOLIŃSKI,50.658481073909506,43.395853974154626,40.640411358732635,42.84665922606364,0.0,12.233786457474968,16.570531192400306,13.256424953920243,7.30050259962322,180.85551187134047,409.0553985781104,339.9326113183834,568.1324980251533
HORODEŃSKI,48.365685670092105,38.97315525390177,37.12193037934144,38.88546565458049,0.0,14.478527176824509,16.14462956392881,12.179111016844304,7.4048994982413365,313.7338997939093,562.1877645375331,417.01276121674897,653.7746793842023
KAŁUSKI,47.46174764499335,38.52105770786034,37.408227151855485,38.996626321537626,38.045489094183054,10.652736946371254,16.169332865027798,13.078136876125424,7.200108811074143,229.2240717924529,441.3276734925234,355.72532303061155,622.9948839172474
KOŁOMYJSKI,104.57431432990789,86.22684474609824,80.03806962065856,82.49453434541951,0.0,31.34147282317549,35.28537043607119,28.240888983155696,15.025100501758663,480.2661002060907,1106.812235462467,841.9872387832511,1384.2253206157977
KOSOWSKI (KOSÓW HUCULSKI),53.43,47.71,46.0,46.57,43.0,14.75,18.0,14.86,8.75,136.0,329.0,359.0,569.0
NADWÓRNIAŃSKI,82.93431881759938,67.14524072292151,61.52826906214905,66.64683886471828,71.81748608227196,21.20190270881591,29.56008288668572,23.304543663286655,11.02438785237605,282.1275211694216,615.4414746515947,642.084244334608,1109.2532170037364
ROHATYŃSKI,50.4,41.07,38.4,40.3,42.0,9.65,14.05,11.68,5.43,339.0,620.0,409.0,666.0
STANISŁAWOWSKI,76.52993436446279,63.41428513571762,58.468179668185634,62.95511194625573,64.01580816769595,17.197389445123175,23.638700759921345,19.160410873889724,8.88389625572599,367.4512426898885,756.5019600174303,627.679957434654,1041.7313966500703
STRYJSKI,111.16452445545995,91.73719202976349,84.8024311843926,87.891028752142,50.83614823698449,30.251223933174593,33.64625105886221,25.846024452893943,14.016045562922542,336.71772313359475,700.4153183004116,596.0944511431668,1001.5735772926296
ŚNIATYŃSKI,48.83,39.83,37.6,39.0,0.0,12.67,14.67,11.33,7.33,230.0,522.0,358.0,573.0
TŁUMACKI,48.89633524659055,40.768318251797204,38.71658580650956,41.18261038017259,43.648634953835625,9.765457311705598,14.796147441978178,9.864098294652118,4.19224177522715,316.637555258333,549.4302750121229,408.3736693985977,719.0927656801395
ŻYDACZOWSKI,46.16699447063055,37.01695399608189,35.11715745687475,36.532312021794354,42.16385176301551,9.624989609350436,13.783217748737485,11.437550593185817,6.833451837454238,207.42676499506481,393.5292831214781,347.97293753844986,590.2939246822172
BIELSKI (BIELSKO),47.56,41.33,39.0,39.3,0.0,18.65,34.36,27.86,15.13,266.0,520.0,329.0,592.0
BIELSKO (MIASTO),51.27,48.8,41.54,40.87,0.0,18.77,36.36,29.25,13.38,280.0,543.0,286.0,509.0
CIESZYŃSKI,52.13,43.81,41.57,39.56,0.0,28.14,37.68,27.18,13.1,305.0,659.0,388.0,679.0
TARNOGÓRSKI,50.91,43.9,40.5,41.56,0.0,20.22,32.5,24.2,10.14,306.0,909.0,359.0,691.0
KATOWICE (MIASTO),53.56,45.4,44.8,43.18,0.0,16.45,32.83,24.33,11.77,345.0,845.0,416.0,714.0
KATOWICKI,47.420014795862656,40.195456903139736,39.66423941102776,38.22995218232542,0.0,14.564212908736755,29.06645044339378,21.540869305140745,10.42071647026332,305.4500579643879,748.131301391037,368.31079453097203,632.1488156132549
LUBLINIECKI,47.82,42.09,41.5,41.7,0.0,19.1,25.36,21.82,7.95,329.0,663.0,373.0,611.0
PSZCZYŃSKI,47.3,41.35,40.95,40.55,0.0,18.35,34.0,25.75,10.26,328.0,643.0,345.0,600.0
RYBNICKI,48.83,42.21,42.38,42.2,0.0,16.4,35.29,28.86,9.53,366.0,705.0,413.0,681.0
ŚWIĘTOCHŁOWICKI,52.171208842985315,43.971469792757624,43.42022683139778,42.32758453298809,0.0,17.718523757995015,37.62233211280941,28.940255471391854,11.704069304586707,364.2140994698975,856.3953149697589,462.6503425698698,890.8480000547493
CHORZÓW,59.96877636115203,50.573073304102635,49.93553375757446,48.62246328468649,0.0,20.16726333326823,42.5812174437968,32.64887522346739,13.425214225149974,415.3358425657146,980.473383639204,525.0388628991581,1001.0031843319957
BORSZCZOWSKI,47.60104710233939,38.74229143813231,36.1929384192105,37.99421873759927,45.77023759840326,9.980864715006648,11.457323992374494,8.858755664207083,5.984581604264341,376.989268821257,643.7362449323814,434.0790275461471,635.8617954530862
BRODZKI,49.81198113228938,39.17996401285071,36.90501398844304,38.41991133311364,39.78164388842825,12.770405680747391,13.111063943601156,11.32799910542982,4.810558311669114,276.9742009604131,479.990004881535,365.8825756354498,568.8378212449026
BRZEŻAŃSKI,46.853419375527395,37.042255971886675,36.443317504989054,36.017682934366405,37.55108670000848,8.427927796188788,10.224553109585562,9.394135613160826,4.107414638316505,258.3680242600017,453.8874820234853,369.6379166230289,580.5007605397504
BUCZACKI,47.35936083215811,37.8442381078889,35.47528709905742,36.45825432263894,43.574937021369216,9.583930429919917,10.20319978077628,7.372254176861474,4.914836117907649,285.06049483864365,472.8072345427159,432.50557837587314,617.3034164092007
CZORTKOWSKI,51.87609432996621,39.863571214175366,39.346053923254864,39.79532774077969,45.38852873148526,14.339678168078732,12.961976872737727,10.40720917559197,4.4929535479789395,412.8285416392765,690.5356076857001,484.09905984153625,745.8438034836132
KAMIONECKI,50.36640712237799,40.21233612873762,36.175433637775676,38.919099822390315,42.053238114125875,11.421823439669533,13.400426627803805,8.971912176121194,5.282827551430674,250.1588407874621,500.6189050888776,332.8857479656902,651.8625527549115
PODHAJECKI,46.281767916928864,36.63567313003211,35.63208953099134,35.62234600090357,36.44080252827662,7.551235818025236,11.06865017971183,7.512261697674138,4.024077926250867,320.562139887781,486.20215137994745,376.10026138809565,534.9198018188199
PRZEMYŚLAŃSKI,48.43,40.27,38.38,38.91,45.2,9.68,11.1,9.18,6.04,264.0,508.0,371.0,629.0
RADZIECHOWSKI,45.83801886771062,35.07003598714929,33.03498601155697,34.25008866688636,36.83835611157175,8.189594319252608,9.058936056398846,6.362000894570182,4.939441688330886,161.0257990395869,407.00999511846504,235.11742436455017,476.16217875509744
SKAŁACKI,45.815188138077666,35.892520448069135,33.167347599234255,34.62014009356086,37.98150311964988,8.859185602658334,12.34398851388621,8.38441681366271,4.500808119678511,288.6594237093391,575.4197722626957,368.4205802606038,635.2406396761442
TARNOPOLSKI,50.222409469689424,38.73964705864548,37.725547170729804,37.63224601510318,41.25759192978292,9.635320065636119,12.923393575410461,9.727448147341613,5.552171215267552,287.21971188928984,501.511428199932,455.38668477353434,639.6904541666181
TREMBOWELSKI,51.8292407788131,41.136725706266816,37.61008577388327,39.42519986465987,42.955375243063706,10.869495961261265,8.889225376640692,7.755550014136391,5.822409808587704,310.7725839676858,539.4235515364549,417.37594434187076,681.1480437050917
ZALESZCZYCKI,46.24614029704732,38.1685068603552,36.59544324006749,37.521910157537555,40.53292763931526,14.640107435438392,11.580836468375788,9.650697056979823,3.937484399247768,339.7045364056898,590.6226598871652,402.4340672760586,623.4350298808965
ZBARASKI,48.55,39.73,38.38,38.56,41.4,7.43,10.0,8.58,5.07,281.0,518.0,323.0,575.0
ZBOROWSKI,46.6,33.0,30.5,32.5,33.33,9.0,10.5,8.67,5.5,258.0,467.0,303.0,483.0
ZŁOCZOWSKI,48.84024480412516,39.39848498099342,36.447337494846394,37.90900016027818,41.620979652063056,9.469026859375328,12.296432338917905,10.131007697004119,5.857464043331335,271.7543922841567,507.52462588596813,370.95833242591164,601.8216169458952
KOPYCZYNIECKI,48.31299568580644,38.37566824625132,38.21062804988229,37.38148662016645,44.41959119065879,12.864767595770633,11.46258817688791,7.260081932430049,4.342627928096831,254.39488367093955,589.1524843758506,360.09768537478016,655.9839916155851
BŁOŃSKI,53.55,43.44,41.62,41.92,64.0,18.9,15.3,10.5,6.56,379.0,730.0,441.0,773.0
CIECHANOWSKI,52.13,40.0,39.0,39.77,48.33,12.5,9.1,7.4,4.41,332.0,773.0,375.0,710.0
GOSTYNIŃSKI,52.44,41.63,39.29,41.07,43.83,15.88,11.4,8.63,4.92,406.0,750.0,358.0,605.0
GRÓJECKI,54.84,41.88,40.33,42.53,52.5,15.24,18.22,13.91,8.41,335.0,738.0,380.0,760.0
KUTNOWSKI,51.31,40.43,40.08,39.2,0.0,17.0,12.25,10.13,5.13,423.0,762.0,446.0,892.0
LIPNOWSKI,52.199265373058054,41.29373833362389,39.49273432437427,41.174334752900165,50.746521807585985,14.527435654720694,17.661779648718653,12.64682925832192,6.845805294827286,365.1759510467462,619.9035899240406,330.34990666899114,504.4801285577666
ŁOWICKI,49.64,40.4,37.45,40.2,44.0,15.0,14.44,11.0,7.0,418.0,809.0,425.0,750.0
MAKOWSKI (MAKÓW MAZOWIECKI),52.83,39.0,39.0,37.71,45.0,12.3,11.0,8.56,4.54,275.0,505.0,315.0,555.0
MIŃSKI,51.5,38.0,38.0,37.25,45.0,14.0,18.67,12.67,7.5,313.0,516.0,420.0,750.0
MŁAWSKI,50.44,39.71,37.54,38.91,50.0,13.15,9.86,8.07,5.35,283.0,585.0,300.0,563.0
NIESZAWSKI,51.35,39.88,38.95,39.05,0.0,13.15,11.63,9.43,5.35,395.0,649.0,390.0,629.0
PŁOCKI,51.39,39.68,38.63,39.61,53.2,15.97,10.37,8.79,5.75,359.0,693.0,353.0,640.0
PŁOŃSKI,50.67,39.85,39.17,40.18,0.0,13.57,13.0,9.8,4.67,386.0,700.0,398.0,691.0
PRZASNYCKI,50.0,38.4,36.75,38.3,0.0,11.71,7.0,5.5,4.33,300.0,461.0,336.0,550.0
PUŁTUSKI,52.08,39.36,37.92,38.56,50.0,13.66,15.45,11.25,5.73,350.0,713.0,370.0,710.0
RADZYMIŃSKI,51.11,40.94,40.38,39.38,48.88,14.58,16.0,11.76,6.72,288.0,538.0,409.0,718.0
RAWSKI (RAWA MAZOWIECKA),50.0,39.11,37.74,39.56,45.0,16.97,15.09,11.29,5.56,317.0,595.0,361.0,545.0
RYPIŃSKI,49.75,38.71,37.93,38.3,0.0,12.56,9.8,7.4,4.8,419.0,715.0,354.0,608.0
SIERPECKI,52.36073462694194,40.326261666376105,39.07726567562573,41.08566524709984,49.38347819241402,12.832564345279305,11.988220351281347,8.24317074167808,5.244194705172713,321.8240489532538,591.0964100759594,311.65009333100886,532.5198714422335
SKIERNIEWICKI,51.8,40.67,39.2,39.44,0.0,15.92,13.4,10.6,5.13,404.0,692.0,368.0,654.0
SOCHACZEWSKI,49.86,39.43,37.4,38.86,0.0,17.43,16.0,14.0,7.33,354.0,644.0,369.0,606.0
WARSZAWSKI,53.6,41.0,39.58,41.13,59.0,19.46,21.54,17.23,9.86,406.0,883.0,543.0,915.0
WŁOCŁAWSKI,51.0,40.83,39.36,39.75,50.0,16.13,11.71,10.29,6.0,337.0,667.0,416.0,717.0
DUBIEŃSKI,46.71,35.67,32.5,32.71,39.0,6.94,12.03,11.06,4.65,286.0,621.0,310.0,607.0
HOROCHOWSKI,50.33,38.36,36.4,36.82,38.5,7.22,8.5,6.67,4.19,269.0,550.0,310.0,503.0
KOWELSKI,51.55,40.46,38.67,40.41,43.1,15.21,13.86,9.62,5.56,245.0,489.0,325.0,537.0
KRZEMIENIECKI,46.45,35.85,32.38,34.58,39.85,8.64,10.73,7.82,4.74,280.0,414.0,302.0,453.0
LUBOMELSKI,50.75,39.17,37.17,38.0,39.75,13.13,16.5,11.25,6.5,245.0,463.0,313.0,542.0
ŁUCKI,48.25,40.86,36.29,36.5,38.75,9.89,10.8,7.8,4.28,288.0,518.0,286.0,496.0
RÓWIEŃSKI,44.78,36.9,34.3,36.82,40.67,9.69,9.73,8.0,3.17,366.0,613.0,325.0,540.0
WŁODZIMIERSKI,48.27,37.5,35.67,36.3,41.29,12.0,8.7,7.19,3.38,275.0,535.0,276.0,545.0
KOSTOPOLSKI,43.5,35.14,33.6,36.75,40.8,10.26,9.24,5.7,2.85,235.0,394.0,254.0,503.0
ZDOŁBUNOWSKI,49.43,38.0,36.0,33.88,35.67,7.41,12.04,9.54,4.59,295.0,493.0,324.0,538.0
SARNEŃSKI,53.5,45.67,43.11,45.44,42.27,12.83,11.64,9.81,4.82,232.0,490.0,263.0,509.0
OSZMIAŃSKI,59.77431138460004,58.77807286152337,54.4643600566014,52.47188301044807,52.30252246152503,14.873841149534641,14.34583473230401,10.95862375384334,8.667275150767004,281.93550203069685,415.4314641229702,298.8715569230002,465.2433902768036
ŚWIĘCIAŃSKI,63.2,54.09,50.3,49.64,51.0,18.33,12.0,9.77,6.83,278.0,500.0,258.0,460.0
WILNO (MIASTO),62.0,52.56,51.88,51.2,0.0,16.82,14.25,10.38,8.57,314.0,564.0,350.0,605.0
DZIŚNIEŃSKI,55.67,50.0,47.92,41.43,45.0,14.36,12.0,8.28,6.8,254.0,461.0,248.0,436.0
WILEJSKI,58.5,52.0,50.5,48.56,46.29,16.13,13.46,10.13,6.73,306.0,505.0,251.0,407.0
WILEŃSKO-TROCKI,62.22568861539996,52.781927138476625,52.0856399433986,51.39811698955193,51.367477538474965,16.876158850465355,14.30416526769599,10.42137624615666,8.602724849232994,315.06449796930315,565.5685358770297,351.12844307699976,606.7566097231963
POSTAWSKI,59.89,54.0,50.44,47.67,51.0,13.25,11.04,9.25,5.62,280.0,497.0,296.0,475.0
MOŁODECZAŃSKI,55.82,49.57,48.25,45.07,47.5,14.29,12.46,9.94,5.83,335.0,561.0,296.0,484.0
