District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Ziemniaki jadalne,Siano koniczyny,Siano łąkowe,Słoma,koń roboczy (cena minimalna),koń roboczy (cena maksymalna),krowa dojna (cena minimalna),krowa dojna (cena maksymalna)
JASIELSKI,71.24869718706472,59.16936915065007,55.66845112786352,58.53388374256973,56.09504144193499,18.43046214887651,33.80668117254181,25.10962101276891,11.882343958357257,287.6629386145349,551.6609901794574,394.7938908227612,637.3667324424107
KRAKOWSKI,72.48361482390045,60.175823561735456,55.99031084089239,58.646329873111355,0.0,24.9167661007396,45.05753225753135,33.61303842877689,14.76158246827784,309.5278513295857,623.417727904675,477.54241093457614,841.4588709588559
KRAKÓW (MIASTO),51.71,42.24,39.5,41.12,0.0,18.5,30.93,23.13,10.38,235.0,476.0,342.0,606.0
LIMANOWSKI,53.67,43.46,39.77,42.69,0.0,16.55,30.67,24.78,12.14,188.0,345.0,279.0,438.0
MIELECKI,47.93920225186159,37.931558038254465,35.45451687603958,37.33468064976895,47.25279325510325,14.49417258372325,24.601296362077967,18.214708305282958,8.187168178726312,217.86024679721288,431.74131100452234,277.54798564576436,458.6007934863705
MYŚLENICKI,100.95002052127845,85.35833788056115,77.61807888595618,81.96387384886526,0.0,28.71140295368029,57.2707851912449,41.38262614814176,22.235776812552004,370.5335852793328,762.6316836272672,515.88934037306,892.0388263615648
NOWOSĄDECKI,85.68512231632678,71.38752393831777,67.70078548300417,69.70839874895142,0.0,23.565618502862655,44.76174371836603,32.53319377843036,16.370491824702473,319.37146084753937,659.5403136921839,423.553353706658,678.9094642955934
NOWOTARSKI,63.89121648001864,57.835220231420365,54.78464778606404,52.87070889178329,0.0,18.306426613161452,23.983029796768403,19.568088092568146,12.62336157064948,300.72922205627606,534.0662791670939,328.8557825058632,519.3336081455826
ROPCZYCKI,77.46130281293529,64.41063084934993,61.091548872136485,62.86611625743028,43.90495855806502,19.839537851123488,30.8433188274582,23.680378987231094,12.877656041642744,311.3370613854651,629.3390098205427,444.2061091772389,754.6332675575893
TARNOWSKI,58.4336822063714,49.115739431665844,46.34859396994218,47.77897741325566,0.0,19.047589757746962,32.05520385657785,23.949397415689504,11.897583672475982,243.438831153027,485.6153372575947,336.92696249989126,587.4406567343212
WADOWICKI,92.43085572158748,76.07533576861974,71.18593949540443,73.41890037598709,0.0,31.561484806132114,58.21036070730549,44.84367195302779,23.80991018825119,484.9762408220133,858.6307052685064,493.8556584046887,792.1071289107812
ŻYWIECKI,67.9286003808538,53.95545486020975,50.7003635277035,48.49435706781334,0.0,26.557700696500266,44.297834912336526,32.1121819440839,16.33380656375938,299.39196118372473,530.7781445127315,313.5743046250627,493.1964470604099
BIALSKI (BIAŁA PODLASKA),82.02665720288334,63.73812176022662,62.87422131742048,66.57328306749707,23.478106270530226,21.6705874949784,23.48904574002263,18.10768620030192,11.511964671875738,312.4927411437669,713.5889789207731,523.5979054595045,746.419919725118
BIŁGORAJSKI,51.29,41.57,36.6,39.8,49.17,13.71,14.33,11.71,8.0,272.0,494.0,276.0,419.0
CHEŁMSKI,51.42,41.1,39.0,40.81,46.08,14.05,13.33,10.44,5.49,291.0,560.0,294.0,504.0
GARWOLIŃSKI,52.07,41.62,40.85,41.36,52.17,14.21,18.38,14.69,7.45,329.0,650.0,365.0,733.0
HRUBIESZOWSKI,50.67568446816901,39.799657034298626,37.28150931029641,37.1469365753502,0.43359688923271233,10.949094341265699,9.857814928398385,8.091454698924172,3.558937472640022,320.38382386019435,672.649868066871,328.61754142411166,617.3653423368847
JANOWSKI,51.24,39.67,37.0,38.79,46.89,15.56,14.93,12.97,8.23,278.0,586.0,250.0,275.0
KRASNOSTAWSKI,53.45,43.37,42.25,40.84,51.0,12.84,12.28,10.0,5.18,295.0,543.0,297.0,470.0
LUBARTOWSKI,49.45,38.4,37.05,37.65,54.35,13.79,14.44,11.06,6.69,255.0,530.0,280.0,495.0
LUBELSKI,52.450507377019136,41.575649234045386,41.037388611020106,40.71841935293105,43.60907825436312,13.954905041396199,14.453294507160349,13.456515575632048,4.9838946576415,352.85974176101814,731.6357357417721,344.88551030879177,722.6647253580174
ŁUKOWSKI,50.05,39.37,38.94,38.39,49.72,12.45,11.84,8.37,6.35,267.0,507.0,310.0,563.0
PUŁAWSKI,52.8,40.63,37.56,38.86,52.5,14.18,11.5,10.0,5.38,295.0,545.0,292.0,545.0
