District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture and forestry,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions",Indirect Occupation - F. Army,Indirect Occupation - G. Domestic service,Indirect Occupation - H. Unemployed,Indirect Occupation - N. Not further specified
KRAKOWSKI,75955.39369788227,58987.06127865007,7681.586145801694,1279.1443141564728,1892.3101402405548,1717.3133029350247,566.6556970539566,1093.5360855456365,2364.226600264835,373.5601332340364
KRAKÓW (MIASTO),94082.0,1463.0,22262.0,16383.0,7408.0,12732.0,3879.0,12081.0,14306.0,3568.0
LIMANOWSKI,48814.0,45465.0,1216.0,511.0,273.0,549.0,13.0,415.0,238.0,134.0
MIELECKI,44702.13721497515,40514.04753910179,1187.7860030861743,1098.254394813347,161.156894891089,602.8461623703699,12.932343417186154,447.65804136413607,474.5175238459842,202.938312085075
MYŚLENICKI,59795.05943228832,52111.079832049814,3420.205447576156,715.8015553946304,635.150012514036,814.4287577618152,40.37497979634939,721.823218003488,900.877062865073,435.31856632696
NOWOSĄDECKI,92337.74097193856,73865.51056395272,4260.380701824059,2967.4144569823093,3074.165798203602,2162.2632646403986,329.5717586063043,2039.0146058616917,2466.350745703763,1173.0690761637181
NOWOTARSKI,72879.04224490098,64728.78406819587,2046.517363674314,1457.4372019775606,333.94242258367814,1488.302476482596,88.86282817224522,1074.301253316201,1249.7776852141574,411.1169452843593
ROPCZYCKI,66287.8035731847,60908.503276067684,1385.27301177946,1113.0898715515855,611.216673326775,789.8849875518733,42.41125194561923,483.11576122236545,576.4363932705293,377.8723464688026
TARNOWSKI,67833.95795701159,49607.58608046242,4790.892877858229,3022.978696802121,1574.9409609978702,2028.3408392924507,354.0876445251858,1873.3031034882001,3205.664637451432,1376.1631161336868
WADOWICKI,82460.06050937186,67687.12122607719,6209.456919846977,1530.5677066130218,1076.6826398747398,1674.519193255464,211.55976484922553,1302.216379031353,1835.0673751740555,932.8693046498452
ŻYWIECKI,62531.50838104704,50951.76781420736,6500.928611668279,741.4362570773396,1123.441797556155,789.1121023144727,72.82541120026431,739.5656261916572,694.6904654827357,917.7402953487754
BIALSKI (BIAŁA PODLASKA),51248.0637750452,42370.888389312255,3213.3379113966635,1599.5452072362496,580.0138325578533,985.833300560045,216.5755909876376,629.3259885011155,812.3673085074699,840.1762459859095
BIŁGORAJSKI,57021.0,51629.0,2034.0,1880.0,162.0,509.0,5.0,407.0,325.0,70.0
CHEŁMSKI,66481.0,53643.0,4199.0,2427.0,1243.0,1225.0,239.0,1045.0,1261.0,1199.0
GARWOLIŃSKI,70616.0,60247.0,4429.0,2127.0,630.0,923.0,77.0,630.0,754.0,799.0
HRUBIESZOWSKI,59408.720414205876,50615.443924183564,3763.1458822590994,1966.3052613630962,356.249880885297,853.2900509593403,81.19307103106215,689.1824329390364,691.9325520537394,391.9773585316425
JANOWSKI,73370.0,64506.0,3537.0,1792.0,302.0,869.0,47.0,721.0,689.0,907.0
