District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VaR,Kategoria VaPR,Kategoria VbR,Kategoria VbPR
KOLSKI,2.0,0.0,90.0,13.0,762.0,48.0,783.0,95.0,0.0,0.0,14.0,9.0
KONIŃSKI,2.0,0.0,154.0,4.0,1161.0,69.0,720.0,155.0,3.0,1.0,107.0,17.0
ŁASKI,0.0,0.0,74.0,4.0,1033.0,50.0,815.0,126.0,1.0,3.0,26.0,7.0
ŁĘCZYCKI,3.0,0.0,76.0,6.0,715.0,65.0,900.0,114.0,2.0,0.0,36.0,0.0
ŁÓDZKI,0.0,0.0,61.0,8.0,717.0,33.0,761.0,122.0,9.0,4.0,245.0,53.0
ŁÓDŹ (MIASTO),100.0,2.0,4817.0,377.0,4927.0,374.0,4303.0,715.0,69.0,35.0,1912.0,878.0
PIOTRKOWSKI,5.0,0.0,141.0,8.0,1324.0,97.0,981.0,177.0,54.0,2.0,70.0,23.0
RADOMSZCZAŃSKI,4.0,0.0,81.0,7.0,716.0,66.0,864.0,168.0,7.0,0.0,89.0,9.0
SIERADZKI,2.0,0.0,82.0,9.0,728.0,37.0,1550.0,237.0,14.0,5.0,172.0,24.0
TURECKI,0.0,0.0,43.0,5.0,369.0,33.0,417.0,34.0,0.0,0.0,10.0,2.0
WIELUŃSKI,0.0,0.0,92.0,7.0,909.0,36.0,1189.0,145.0,2.0,0.0,59.0,0.0
POŁUDNIOWO-WARSZAWSKI,217.56001214117475,6.820063076525854,1836.9839896622389,72.29266861117405,4875.322090254507,226.76709729448464,3145.75409404755,290.19368390617507,143.56232776086924,24.552227075493075,227.44910360213723,91.04784207162015
PÓŁNOCNO-WARSZAWSKI,188.48903152388436,5.908747069714243,1591.5210232275313,62.632718938970974,4223.8678427852265,196.46584006799858,2725.4095859056947,251.41718781634103,124.37912581748482,21.271489450971274,197.05671477497,78.88177338068515
PRASKO-WARSZAWSKI,178.79480251643656,5.6048527434619615,1509.6670864514792,59.41143908069679,4006.628983663783,186.3613537201102,2585.2383279218298,238.48648423430643,117.98215024987428,20.17746987646306,186.9218389944564,74.82478412521718
ŚRÓDMIEJSKO-WARSZAWSKI,53.15615381850445,1.6663371102979452,448.82790065875156,17.66317336915822,1191.1810832964861,55.40570891740668,768.5979921249273,70.90264404317757,35.07639617177175,5.998813597072603,55.57234262843647,22.24560042247757
BARANOWICKI,4.434927258408534,0.9988278783810004,119.13200314326352,10.708027097139134,993.165050206264,122.04443721430754,468.38065334236956,117.44495368711166,48.72191308316826,6.7914361558784115,5.414354238289914,0.0
