City,Population
Łabiszyn,2750.0
Łańcut,8572.0
Łapy,7250.0
Łasin,2541.0
Łask,7420.0
Łęczna,4240.0
Łęczyca,10987.0
Łobżenica,2506.0
Łomża,27262.0
Łopatyn,3600.0
Łosice,5091.0
Łowicz,19000.0
Łódź,672000.0
Łuck,42553.0
Łuków,14865.0
Łuniniec,9300.0
Maków Mazowiecki,7000.0
Maków Podhalański,4700.0
Margonin,2330.0
Miasteczko (Krajeńskie),1218.0
Miasteczko (Śląskie),2799.0
Miechów,6820.0
Miejska Górka,3008.0
Mielec,9640.0
Mielnica Podolska,4969.0
Międzychód,5309.0
Międzyrzec (nad Krzną),17983.0
Mikołajów (dziś Ukraina),3859.0
Mikołów,14030.0
Mikstat,1513.0
Mikulińce,3158.0
Miłosław,2553.0
Mińsk Mazowiecki,14660.0
Mława,19900.0
Mogielnica,7000.0
Mogilno,5809.0
Mołodeczno,6000.0
Monasterzyska,8126.0
Mordy,3400.0
Mosina,5526.0
Mosty Wielkie,5000.0
Mościska,4810.0
Mrocza,2670.0
Mszczonów,5450.0
Murowana Goślina,2850.0
Muszyna,3200.0
Mysłowice,24619.0
Myślenice,6905.0
Nadwórna,10447.0
Nakło (nad Notecią),11000.0
Nasielsk,7365.0
Niemirów (dziś Ukraina),3194.0
Niepołomice,5335.0
Nieszawa,2904.0
Nieśwież,7600.0
Nisko,7182.0
Nowa Wilejka,9263.0
Nowe,5131.0
Nowe Miasto (nad Pilicą),3913.0
Nowemiasto (Nowe Miasto Lubawskie),4958.0
Nowogród,2512.0
Nowogródek,11335.0
Nowo-Święciany (Nowe Święciany),4119.0
Nowy Dwór (Mazowiecki),10026.0
Nowy Sącz,33329.0
Nowy Targ,11622.0
Nowy Tomyśl,2701.0
Oborniki,6400.0
Odolanów,2491.0
Olesko,3924.0
Olkusz,11046.0
Ołyka,6480.0
Opalenica,4291.0
Opatów,9600.0
Opoczno,10047.0
Orłowa,10040.0
Osieczna,1730.0
Ostrołęka,15000.0
Ostroróg,1301.0
Ostrowiec (Świętokrzyski),29000.0
Ostróg,14156.0
Ostrów (Lubelski),5700.0
Ostrów Mazowiecka,18528.0
Ostrów Wielkopolski,31418.0
Oszmiana,8500.0
Oświęcim,13350.0
Ottynia,4777.0
Otwock,19332.0
Ozorków,16420.0
Pabianice,52000.0
Pakość,3926.0
Parczew,10159.0
Peczeniżyn,6980.0
Pelplin,4218.0
Piaseczno,8078.0
Pilzno,3762.0
Pińczów,7423.0
Pińsk,36700.0
Piotrków (Trybunalski),52875.0
Piwniczna (Piwniczna-Zdrój),4900.0
Pleszew,9994.0
