City;Population_1921;Population_1931;Population_1938
Kopanica;645;640;X_oba
Kopyczyńce;;;X
Koronowo;4689;5553;5560
Korzec;;;6503
Kostopol;;;11742
Kostrzyn;3077;3370;3706
Kosów Huculski;;;10300
Kosów Poleski (dziś Białoruś);;;3703
Kowal;4063;4482;5600
Kowalewo (Pomorskie);3207;3654;3692
Kowel;;;35000
Kozienice;6878;7793;8690
Kozowa;;;6455
Koło;11450;13771;14211
Kołomyja;;;40000
Końskie;8291;11102;11422
Kościan;7803;10275;12500
Kościerzyna;5849;7379;9499
Koźmin (dziś Koźmin Wielkopolski);4999;5450;5650
Krakowiec;;;2000
Kraków;183706;221260;259000
Krasnystaw;8943;10435;11680
Kraśnik;8289;11615;13284
Krobia;2285;2384;2900
Krosno;6287;12125;17738
Krośniewice;3509;3506;3565
Krotoszyn;11110;12969;14135
Kruszwica;3021;3515;5313
Krynica-Zdrój;2341;4626;6600
Krynki;5206;5789;6200
Krzemieniec;;;22470
Krzepice;4168;5881;6000
Krzeszowice;X_oba;X_oba;3500
Krzywiń;1874;1732;1905
Królewska Huta;X_oba;X_oba;X_oba
Książ (Wielkopolski);913;928;1800
Kulików (rejon żółkiewski);;;3553
Kutno;15976;23451;25353
Kórnik;2233;2379;2614
Kępno;6210;7182;7778
Kęty;5751;6767;7250
Kłecko;1685;1698;1800
Kłobuck;5222;8542;8686
Kłodawa;3901;4627;5509
Kuty;;;5424
Lachowicze;;;4737
Lanckorona;1001;1697;X_oba
Lesko;3806;3943;4019
Leszno;16506;19258;20751
Leżajsk;5063;5599;6250
Lida;;;26257
Lidzbark;3325;4032;7783
Limanowa;2143;2216;2587
Lipno;8467;10415;12018
Lubaczów;5303;6245;6712
Lubartów;6102;7638;8076
Lubawa;4635;5518;5791
Lubień (Kujawski);2120;2241;2400
Lublin;94412;112539;122000
Lubliniec;6400;8512;9091
Luboml;;;7800
Lubraniec;2196;2559;2800
Lwów;;;318144
Lwówek;2552;2542;2750
Maków Mazowiecki;6198;6645;7000
Maków Podhalański;3226;4111;4700
Margonin;1855;2135;2330
Miasteczko (Krajeńskie);1154;1218;1218
Miasteczko (Śląskie);2300;2408;2799
Miechów;5699;6360;6820
Miejska Górka;2545;2644;3008
Mielec;5599;7057;9640
Mielnica Podolska;;;4969
Mielnik (nad Bugiem);1091;1389;X_oba
Mieścisko;1317;1241;X_oba
Mikołajów (dziś Ukraina);;;3859
Mikołów;;;14030
Mikstat;;;1513
Mikulińce;;;3158
Międzychód;4017;5126;5309
Międzyrzec (nad Krzną);12622;16837;17983
Miłosław;2499;2452;2553
Mińsk Mazowiecki;10518;13015;14660
Mogielnica;5316;6423;7000
Mogilno;4171;5200;5809
Monasterzyska;;;8126
Mordy;3268;3287;3400
Mosina;1957;2924;5526
Mosty Wielkie;;;5000
Mołodeczno;;;6000
Mościska;;;4810
Mrocza;2016;2383;2670
Mszczonów;5014;5523;5450
Murowana Goślina;1595;2351;2850
Muszyna;2516;2979;3200
Mysłowice;20000;22943;24619
Myślenice;2869;3134;6277
Mława;17003;19584;19900
Nadwórna;;;10447
Nakło (nad Notecią);7427;10303;11000
Narew;963;1301;X_oba
Nasielsk;5030;6001;7365
Niemirów (dziś Ukraina);;;3194
Niepołomice;4071;4689;5335
Nieszawa;2381;2474;2904
Nieśwież;;;7600
Nisko;4749;5461;7182
Niżankowice (dziś Ukraina);;;
Nowa Wilejka;;;9263
Nowe;4011;4671;5131
Nowe Miasto (nad Pilicą);3761;3877;3913
Nowe Miasto nad Wartą;1044;1071;X_oba
Nowemiasto (Nowe Miasto Lubawskie);3721;4473;4958
Nowo-Święciany (Nowe Święciany);;;4119
Nowogród;1856;2350;2512
Nowogródek;;;11335
