City;Population
Warszawa;1178211
Łódź;605467
Lwów;316177
Poznań;246698
Kraków;221260
Wilno;196383
Katowice;127044
Częstochowa;117588
Bydgoszcz;117528
Lublin;112539
Sosnowiec;109454
Białystok;91335
Chorzów;80734
Radom;78073
Stanisławów (dziś Iwano-Frankiwsk);60256
Kielce;58397
Włocławek;56277
Kalisz;55215
Toruń;54280
Przemyśl;51379
Piotrków (Trybunalski);51294
Grudziądz;50405
Grodno;49332
Brześć nad Bugiem;48431
Będzin;47835
Pabianice;45614
Tarnów;45235
Borysław;41683
Równe;40788
Tomaszów Mazowiecki;38088
Siemianowice Śląskie;37888
Dąbrowa Górnicza;36987
Siedlce;36927
Tarnopol;35831
Łuck;35737
Kołomyja;33391
Płock;32777
Zawiercie;32713
Drohobycz;32622
Pińsk;31913
Inowrocław;30862
Stryj;30682
Nowy Sącz;30278
Gdynia;30210
Gniezno;29924
Świętochłowice;29717
Chełm;29222
Hajduki Wielkie;28385
Kowel;27653
Rzeszów;27499
Zgierz;26646
Ostrowiec (Świętokrzyski);25983
Żyrardów;25081
Łomża;25065
Włodzimierz (dziś Ukraina);24609
Zamość;24273
Pruszków;23703
Kutno;23451
Rybnik;23046
Radomsko;22980
Mysłowice;22943
Zduńska Wola;22904
Baranowicze;22893
Biała Krakowska (dziś część Bielska-Białej);22891
Tczew;22728
Bielsko (dziś część Bielska-Białej);22573
Jarosław (nad Sanem);22330
Ruda Śląska;22201
Sambor;22111
Suwałki;21957
Czeladź;21035
Skierniewice;20191
Krzemieniec;19997
Mława;19584
Ostrów Wielkopolski;19555
Lida;19490
Leszno;19258
Czortków;19215
Jaworzno;19055
Lipiny;17934
Chrzanów;17833
Cieszyn;17791
Zakopane;17703
Łowicz;17613
Ostrów Mazowiecka;17611
Biała Podlaska;17549
Międzyrzec (nad Krzną);16837
Kamień Koszyrski;16636
Słonim;16284
Tarnowskie Góry;15773
Grodzisk Mazowiecki;15678
Pułtusk;15487
Wołkowysk;15163
Otwock;14996
Ozorków;14979
Skarżysko-Kamienna;14320
Sanok;14262
Chojnice;14255
Łuków;13971
Ciechanów;13954
Koło;13771
Ostrołęka;13438
Hrubieszów;13359
Starogard (Gdański);13356
Złoczów;13265
Wieluń;13220
Wołomin;13114
Brzeziny;13045
Mińsk Mazowiecki;13015
Krotoszyn;12969
Ostróg;12955
Gródek Jagielloński;12942
Jędrzejów;12853
Dubno;12696
Wejherowo;12559
Chełmno;12531
Brody;12401
Horodenka;12303
Bochnia;12274
Ruda Pabianicka;12164
Augustów;12147
Sokal;12135
Kałusz;12131
Krosno;12125
Oświęcim;11949
Brzeżany;11721
Dawidgródek;11701
Kraśnik;11615
Aleksandrów (Łódzki);11554
Mikołów;11463
Rawa Ruska;11146
Końskie;11102
Chełmża;11098
Śniatyn;10915
Rawicz;10827
Sochaczew;10822
Wyszków;10772
Bolechów;10744
Jaworów;10690
Szydłowiec;10590
Łęczyca;10553
Sieradz;10537
Krasnystaw;10435
Tomaszów Lubelski;10433
Lipno;10415
Nowy Targ;10406
Płońsk;10393
Konin;10390
Żółkiew;10348
Nakło (nad Notecią);10303
Kościan;10275
Buczacz;10274
Zdołbunów;10228
Turka;10145
Jasło;10112
Kobryń;10101
Sierpc;10051
