District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,RazemR,RazemPR,Handel jarmarczny - hurtR,Handel jarmarczny - hurtPR,Handel jarmarczny - detalR,Handel jarmarczny - detalPR,Karty rejestracyjneR,Karty rejestracyjnePR
KATOWICKI,0.0,0.0,69.05827397455727,2.6560874605598945,8.853624868532982,0.8853624868532982,5.312174921119789,0.0,83.22407376421003,3.541449947413193,0.0,0.0,0.0,0.0,392.2155816760111,2.6560874605598945
LUBLINIECKI,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0
PSZCZYŃSKI,0.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0
RYBNICKI,0.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,25.0,3.0
ŚWIĘTOCHŁOWICKI,0.0,0.0,4.921812154998615,1.968724861999446,0.984362430999723,0.0,0.0,0.0,5.906174585998338,1.968724861999446,0.0,0.0,0.0,0.0,62.01483315298255,4.921812154998615
CHORZÓW,0.0,0.0,21.019913870444118,1.375187677440659,1.1620127004672942,0.11463751314670172,4.68782507888021,0.0,26.869751649791624,1.489825190587361,0.0,0.0,0.0,0.0,90.76958517100631,3.42210038444149
BORSZCZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.952918554735694,0.0
BRODZKI,0.0,0.0,6.036334987001468,0.0,5.012111662333822,0.0,0.0,0.0,11.048446649335292,0.0,0.0,0.0,0.012111662333822848,0.0,60.145339948005876,0.0
BRZEŻAŃSKI,0.0,0.0,0.036458779344213,0.0,0.9669369925589221,0.0,0.0,0.0,1.003395771903135,0.0,0.0,0.0,0.0,0.0,30.102652497031333,0.0
BUCZACKI,0.0,0.0,6.880770565070709,0.0,1.9659344471630598,0.0,0.0,0.0,8.84670501223377,0.0,0.0,0.0,0.0,0.0,21.625278918793658,0.0
CZORTKOWSKI,0.0,0.0,3.1410617343067657,0.0,2.0449817025256776,0.0,0.0,0.0,5.186043436832444,0.0,0.0,0.0,14.0,0.0,9.656499744778506,0.0
KAMIONECKI,0.0,0.0,0.10209922279952263,0.0,0.07557013750808769,0.0,0.0,0.0,0.17766936030761032,0.0,0.0,0.0,0.9841586823453302,0.0,4.571742033103675,0.0
PODHAJECKI,0.0,0.0,1.9487060175548996,0.0,0.0,0.0,0.0,0.0,1.9487060175548996,0.0,0.0,0.0,0.0,0.0,6.820471061442149,0.0
PRZEMYŚLAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
RADZIECHOWSKI,0.0,0.0,2.963665012998532,0.0,0.9878883376661772,0.0,0.0,0.0,3.951553350664709,0.0,0.0,0.0,0.9878883376661772,0.0,11.854660051994127,0.0
SKAŁACKI,0.0,0.0,0.0,0.9495375779912469,0.0,0.0,0.0,0.0,0.0,0.9495375779912469,0.0,0.0,0.0,0.0,11.394450935894962,0.0
TARNOPOLSKI,0.0,0.0,5.906507426441735,0.0,1.0174809118480337,0.0,0.0,0.0,6.923988338289769,0.0,0.0,0.0,0.0,0.0,47.29259473780034,0.0
