level,name,path,parent,is_leaf
3,Niemiecka,Spis Powszechny 1921/Narodowość/Niemiecka,Spis Powszechny 1921/Narodowość,True
3,Polska,Spis Powszechny 1921/Narodowość/Polska,Spis Powszechny 1921/Narodowość,True
3,Rusińska,Spis Powszechny 1921/Narodowość/Rusińska,Spis Powszechny 1921/Narodowość,True
3,Tutejsza,Spis Powszechny 1921/Narodowość/Tutejsza,Spis Powszechny 1921/Narodowość,True
3,Żydowska,Spis Powszechny 1921/Narodowość/Żydowska,Spis Powszechny 1921/Narodowość,True
3,% Ewangelickie,Spis Powszechny 1921/Wyznanie/% Ewangelickie,Spis Powszechny 1921/Wyznanie,True
3,% Grecko-katolickie,Spis Powszechny 1921/Wyznanie/% Grecko-katolickie,Spis Powszechny 1921/Wyznanie,True
3,% Inne,Spis Powszechny 1921/Wyznanie/% Inne,Spis Powszechny 1921/Wyznanie,True
3,% Mojżeszowe,Spis Powszechny 1921/Wyznanie/% Mojżeszowe,Spis Powszechny 1921/Wyznanie,True
3,% Pozostałe wyznania chrześcijańskie,Spis Powszechny 1921/Wyznanie/% Pozostałe wyznania chrześcijańskie,Spis Powszechny 1921/Wyznanie,True
3,% Prawosławne,Spis Powszechny 1921/Wyznanie/% Prawosławne,Spis Powszechny 1921/Wyznanie,True
3,% Rzymskokatolickie,Spis Powszechny 1921/Wyznanie/% Rzymskokatolickie,Spis Powszechny 1921/Wyznanie,True
3,Ewangelickie,Spis Powszechny 1921/Wyznanie/Ewangelickie,Spis Powszechny 1921/Wyznanie,True
3,Grecko-katolickie,Spis Powszechny 1921/Wyznanie/Grecko-katolickie,Spis Powszechny 1921/Wyznanie,True
3,Inne lub niewiadome,Spis Powszechny 1921/Wyznanie/Inne lub niewiadome,Spis Powszechny 1921/Wyznanie,True
3,Mojżeszowe,Spis Powszechny 1921/Wyznanie/Mojżeszowe,Spis Powszechny 1921/Wyznanie,True
3,Pozostałe wyznania chrześcijańskie,Spis Powszechny 1921/Wyznanie/Pozostałe wyznania chrześcijańskie,Spis Powszechny 1921/Wyznanie,True
3,Prawosławne,Spis Powszechny 1921/Wyznanie/Prawosławne,Spis Powszechny 1921/Wyznanie,True
3,Rzymskokatolickie,Spis Powszechny 1921/Wyznanie/Rzymskokatolickie,Spis Powszechny 1921/Wyznanie,True
3,A. Rolnictwo i leśnictwo,Spis Powszechny 1921/Zawód Główny/A. Rolnictwo i leśnictwo,Spis Powszechny 1921/Zawód Główny,True
3,B. Górnictwo i przemysł,Spis Powszechny 1921/Zawód Główny/B. Górnictwo i przemysł,Spis Powszechny 1921/Zawód Główny,True
3,C. Handel i ubezpieczenia,Spis Powszechny 1921/Zawód Główny/C. Handel i ubezpieczenia,Spis Powszechny 1921/Zawód Główny,True
3,D. Komunikacja i transport,Spis Powszechny 1921/Zawód Główny/D. Komunikacja i transport,Spis Powszechny 1921/Zawód Główny,True
3,"E. Służba publiczna, wolne zawody","Spis Powszechny 1921/Zawód Główny/E. Służba publiczna, wolne zawody",Spis Powszechny 1921/Zawód Główny,True
3,F. Armia,Spis Powszechny 1921/Zawód Główny/F. Armia,Spis Powszechny 1921/Zawód Główny,True
3,G. Służba domowa,Spis Powszechny 1921/Zawód Główny/G. Służba domowa,Spis Powszechny 1921/Zawód Główny,True
3,H. Bezrobotni,Spis Powszechny 1921/Zawód Główny/H. Bezrobotni,Spis Powszechny 1921/Zawód Główny,True
3,N. Bez bliższego określenia,Spis Powszechny 1921/Zawód Główny/N. Bez bliższego określenia,Spis Powszechny 1921/Zawód Główny,True
3,Razem,Spis Powszechny 1921/Zawód Główny/Razem,Spis Powszechny 1921/Zawód Główny,True
3,% Białoruski,Spis Powszechny 1931/Język ojczysty/% Białoruski,Spis Powszechny 1931/Język ojczysty,True
3,% Hebrajski,Spis Powszechny 1931/Język ojczysty/% Hebrajski,Spis Powszechny 1931/Język ojczysty,True
3,% Języki mniejszości razem (poza polskim),Spis Powszechny 1931/Język ojczysty/% Języki mniejszości razem (poza polskim),Spis Powszechny 1931/Język ojczysty,True
3,% Niemiecki,Spis Powszechny 1931/Język ojczysty/% Niemiecki,Spis Powszechny 1931/Język ojczysty,True
3,% Polski,Spis Powszechny 1931/Język ojczysty/% Polski,Spis Powszechny 1931/Język ojczysty,True
3,% Pozostałe,Spis Powszechny 1931/Język ojczysty/% Pozostałe,Spis Powszechny 1931/Język ojczysty,True
3,% Rosyjski,Spis Powszechny 1931/Język ojczysty/% Rosyjski,Spis Powszechny 1931/Język ojczysty,True
3,% Rusiński,Spis Powszechny 1931/Język ojczysty/% Rusiński,Spis Powszechny 1931/Język ojczysty,True
3,% Ukraiński,Spis Powszechny 1931/Język ojczysty/% Ukraiński,Spis Powszechny 1931/Język ojczysty,True
3,% Żydowski,Spis Powszechny 1931/Język ojczysty/% Żydowski,Spis Powszechny 1931/Język ojczysty,True
