District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
RAWICKI,19.47,16.33,19.6,17.5,15.46,0.0,27.67,4.94,0.0,13.0,9.33,3.44
SZAMOTULSKI,19.5,16.67,20.9,18.5,15.17,0.0,24.17,4.94,4.0,8.05,6.97,2.89
SZUBIŃSKI,19.8,16.8,20.29,17.78,15.89,0.0,24.54,4.48,3.15,6.89,6.2,3.07
ŚREDZKI,19.14,16.43,19.18,17.6,15.39,0.0,25.14,4.31,3.5,7.5,5.5,2.57
ŚREMSKI,19.86,16.85,20.85,18.85,15.79,0.0,21.67,4.34,2.8,7.5,6.84,2.26
WĄGROWIECKI,19.87,16.81,20.0,18.08,15.77,0.0,19.5,4.5,0.0,8.67,8.5,3.17
WOLSZTYŃSKI,19.52,16.48,18.4,17.22,15.76,0.0,25.5,6.7,0.0,9.5,8.24,3.53
WRZESIŃSKI,19.0,16.0,19.64,17.71,14.63,0.0,30.0,4.24,0.0,6.67,5.0,1.97
WYRZYSKI,19.29,16.4,20.17,18.07,14.62,0.0,24.0,4.26,3.5,6.67,6.5,3.16
ŻNIŃSKI,19.11,16.37,20.76,18.5,15.42,0.0,24.71,3.79,2.74,7.13,5.58,2.57
POZNAŃSKI,19.39,16.33,19.4,18.31,15.38,21.67,25.25,5.05,3.25,7.33,6.92,3.36
GNIEZNO (MIASTO),18.89,16.33,0.0,17.26,15.06,0.0,0.0,3.95,0.0,6.79,6.17,2.59
INOWROCŁAW (MIASTO),18.86,16.31,0.0,18.25,15.54,0.0,0.0,4.32,0.0,6.36,5.72,2.89
DOLIŃSKI,20.89,16.5,0.0,14.17,13.11,0.0,22.67,4.72,0.0,5.13,4.0,2.5
HORODEŃSKI,17.2,14.5,14.0,12.5,11.6,15.67,17.5,3.8,3.0,5.3,4.88,2.5
KAŁUSKI,18.56,15.78,14.5,13.33,12.13,17.5,0.0,4.71,0.0,5.6,4.67,2.83
KOŁOMYJSKI,17.85,14.92,14.25,12.57,10.93,0.0,19.0,3.94,3.0,5.42,4.68,2.78
