District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
LUBARTOWSKI,17.52,13.44,13.57,12.95,12.21,17.76,2260.0,2.5,2.5,4.72,3.89,2.16
LUBELSKI,17.38,13.31,14.75,13.4,13.31,14.67,18.25,2.68,2.5,4.13,3.33,1.71
ŁUKOWSKI,18.14,14.43,13.8,12.83,12.1,16.67,16.83,2.07,2.0,4.71,3.68,2.09
PUŁAWSKI,18.07,13.2,14.0,12.67,12.36,17.57,20.33,3.03,2.67,5.83,4.2,2.58
RADZYŃSKI,18.94,14.19,13.5,12.29,13.06,15.36,20.38,1.75,1.6,5.33,3.68,2.25
SIEDLECKI,18.44,14.63,14.71,13.83,13.39,0.0,18.22,2.04,1.78,4.27,3.43,2.06
SOKOŁOWSKI,18.63,14.5,14.63,14.25,13.21,0.0,14.75,2.04,1.68,6.14,4.14,2.07
TOMASZOWSKI,16.08,13.0,12.33,12.21,10.64,15.53,21.47,2.98,2.62,4.62,3.69,2.08
WĘGROWSKI,18.4,14.4,14.0,13.22,13.4,18.67,18.0,2.37,0.0,5.0,4.06,2.0
WŁODAWSKI,18.23,13.04,12.33,12.0,11.86,15.73,18.27,2.16,1.62,4.79,3.65,2.15
ZAMOJSKI,16.38,13.0,14.14,12.88,11.31,16.0,25.0,2.96,2.33,4.59,3.75,2.15
LUBLIN (MIASTO),17.38,13.31,0.0,13.4,13.31,0.0,0.0,2.68,0.0,4.13,3.33,1.71
BÓBRECKI,17.1,13.7,13.75,12.25,11.3,0.0,0.0,5.0,3.75,5.67,4.45,2.93
BRZOZOWSKI,19.91,14.82,0.0,13.55,12.5,0.0,20.0,3.36,0.0,5.36,4.44,2.37
DOBROMILSKI,19.0,16.0,0.0,14.33,13.67,0.0,0.0,4.2,3.5,6.17,5.5,4.13
DROHOBYCKI,21.86,16.71,0.0,14.8,13.57,0.0,0.0,4.69,0.0,7.57,5.88,3.5
GRÓDECKI,17.29,13.57,13.0,12.0,10.29,0.0,0.0,4.92,0.0,5.92,4.64,2.95
JAROSŁAWSKI,18.73,14.0,13.67,13.14,12.55,0.0,0.0,4.28,2.75,6.19,5.44,2.87
JAWOROWSKI,17.42,13.38,0.0,12.5,11.17,16.0,21.5,4.12,4.0,6.5,5.28,3.28
KOLBUSZOWSKI,19.13,13.67,13.33,12.83,11.93,13.5,17.0,3.33,0.0,6.27,4.79,2.75
KROŚNIEŃSKI,19.26,14.0,14.17,12.86,12.21,0.0,20.4,3.21,2.07,5.38,4.54,2.31
LESKI,20.25,16.21,0.0,14.6,13.21,0.0,27.5,5.27,0.0,5.5,4.36,3.1
LWOWSKI,18.33,15.5,13.33,11.2,11.83,17.5,0.0,4.92,0.0,5.83,4.5,2.92
LWÓW (MIASTO),18.33,15.5,0.0,11.2,11.83,0.0,0.0,4.92,0.0,5.83,4.5,2.92
ŁAŃCUCKI,19.24,13.5,14.5,12.88,12.41,16.43,20.0,4.04,3.75,5.68,4.3,2.63
MOŚCISKI,18.06,14.5,14.6,12.07,10.53,0.0,0.0,3.38,2.88,5.79,4.64,2.86
NIŻAŃSKI,19.63,13.5,0.0,12.38,12.0,15.33,25.0,4.39,0.0,6.92,5.14,3.07
PRZEMYSKI,18.95,14.38,14.88,12.94,12.05,0.0,22.55,4.08,2.92,6.47,5.31,3.02
PRZEWORSKI,18.0,13.0,13.0,11.91,11.73,16.0,21.5,4.18,3.0,5.25,4.6,2.69
RAWSKI (RAWA RUSKA),17.08,12.69,12.33,11.5,10.75,17.67,20.0,3.9,3.38,4.31,3.41,2.38
RUDECKI,17.36,14.0,13.25,12.33,10.67,0.0,18.67,4.22,3.33,5.5,4.22,2.75
RZESZOWSKI,19.47,14.88,14.0,12.83,13.38,16.5,23.33,3.89,2.5,6.31,5.07,3.17
SAMBORSKI,18.72,15.12,0.0,13.22,11.11,14.0,18.0,4.13,0.0,6.76,5.18,3.29
SANOCKI,19.09,14.92,15.67,14.27,13.58,0.0,26.33,4.23,0.0,6.0,5.0,2.42
SOKALSKI,16.61,12.72,12.75,11.82,11.17,14.13,17.25,3.04,2.5,4.54,3.6,2.13
TARNOBRZESKI,18.08,14.0,13.5,12.7,12.0,15.5,22.5,3.56,0.0,6.23,5.12,3.35
ŻÓŁKIEWSKI,16.8,13.13,13.0,11.64,10.36,16.57,16.5,4.2,2.5,5.62,4.08,2.69
LUBACZOWSKI,18.17,13.5,12.5,11.38,11.5,16.2,19.75,3.3,3.25,7.25,5.85,3.2
TURCZAŃSKI,18.72,17.7,0.0,14.0,13.63,0.0,0.0,5.53,0.0,5.5,4.2,2.33
BRZEZIŃSKI,19.71,14.05,15.4,14.23,12.78,17.0,24.67,2.95,0.0,6.5,5.35,2.66
KALISKI,19.62,15.15,17.38,15.14,13.67,0.0,27.5,3.1,2.5,7.4,6.5,2.67
KOLSKI,18.44,14.81,18.73,16.44,12.25,0.0,19.33,3.25,0.0,5.56,4.58,1.93
KONIŃSKI,18.87,15.52,19.5,17.25,14.09,20.0,23.67,3.26,2.33,5.7,5.29,2.47
ŁASKI,19.76,13.95,15.67,14.0,13.32,14.5,25.6,3.0,2.44,6.46,4.42,1.82
ŁĘCZYCKI,18.58,14.08,18.0,15.17,13.42,0.0,22.67,2.63,1.95,6.45,4.75,2.09
ŁÓDZKI,20.38,14.85,16.8,15.3,12.83,20.5,22.25,3.15,2.4,6.96,5.41,2.38
ŁÓDŹ (MIASTO),20.38,14.85,0.0,15.3,12.83,0.0,0.0,3.15,0.0,6.96,5.41,2.38
PIOTRKOWSKI,19.38,14.07,18.0,14.78,13.17,18.5,21.0,2.72,0.0,5.95,4.17,2.21
RADOMSZCZAŃSKI,20.17,13.71,16.0,13.44,13.64,0.0,21.0,2.57,0.0,4.84,4.09,2.14
SIERADZKI,19.5,14.69,18.13,13.91,12.63,19.0,22.0,2.93,2.25,5.93,4.73,2.28
TURECKI,18.94,14.74,17.57,15.38,12.17,15.0,22.0,3.04,0.0,7.56,5.0,2.51
WIELUŃSKI,20.21,15.37,17.67,15.79,14.11,18.5,22.5,3.04,0.0,6.54,5.17,2.37
POŁUDNIOWO-WARSZAWSKI,19.4,14.88,0.0,14.27,13.25,0.0,0.0,4.07,0.0,7.0,5.55,2.83
PÓŁNOCNO-WARSZAWSKI,19.4,14.88,0.0,14.27,13.25,0.0,0.0,4.07,0.0,7.0,5.55,2.83
PRASKO-WARSZAWSKI,19.4,14.88,0.0,14.27,13.25,0.0,0.0,4.07,0.0,7.0,5.55,2.83
ŚRÓDMIEJSKO-WARSZAWSKI,19.4,14.88,0.0,14.27,13.25,0.0,0.0,4.07,0.0,7.0,5.55,2.83
BARANOWICKI,16.13,11.31,14.6,13.69,10.73,15.13,16.8,2.91,1.97,4.42,3.34,1.66
BRASŁAWSKI,16.85,11.79,13.25,10.88,9.79,11.33,11.74,3.77,3.5,4.14,2.82,1.65
LIDZKI,18.0,11.05,0.0,10.94,10.32,13.25,14.56,3.76,0.0,5.53,4.06,2.4
NIEŚWIESKI,16.33,10.46,14.5,12.09,10.67,13.75,0.0,2.77,0.0,3.86,3.29,1.83
NOWOGRÓDZKI,16.23,10.25,0.0,11.75,10.38,11.86,16.83,3.64,0.0,4.42,3.15,1.74
SŁONIMSKI,16.75,12.43,13.4,12.5,11.92,14.0,15.4,3.13,2.9,3.93,2.74,1.72
