scenario,year,origin_district,dest_district,distance_value
fixed14,1938,AUGUSTOWSKI,BARANOWICKI,1569.2981888479726
fixed14,1938,AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),3175.3688340400668
fixed14,1938,AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),1591.726288835031
fixed14,1938,AUGUSTOWSKI,BIAŁOSTOCKI,894.482345790149
fixed14,1938,AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),1130.9045948095925
fixed14,1938,AUGUSTOWSKI,BIELSKO,3159.106880246245
fixed14,1938,AUGUSTOWSKI,BIŁGORAJSKI,2287.553127135819
fixed14,1938,AUGUSTOWSKI,BOCHEŃSKI,2969.8746363344367
fixed14,1938,AUGUSTOWSKI,BORSZCZOWSKI,3829.784537104836
fixed14,1938,AUGUSTOWSKI,BRASŁAWSKI,1935.1399637451368
fixed14,1938,AUGUSTOWSKI,BRODNICKI,2308.3674251028096
fixed14,1938,AUGUSTOWSKI,BRODZKI,2871.9074662571525
fixed14,1938,AUGUSTOWSKI,BRZESKI (BRZESKO),3129.122104533078
fixed14,1938,AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),1375.7890345236556
fixed14,1938,AUGUSTOWSKI,BRZEZIŃSKI,2099.742192978749
fixed14,1938,AUGUSTOWSKI,BRZEŻAŃSKI,3059.625809754231
fixed14,1938,AUGUSTOWSKI,BRZOZOWSKI,2969.206682833048
fixed14,1938,AUGUSTOWSKI,BUCZACKI,3422.8354355648685
fixed14,1938,AUGUSTOWSKI,BYDGOSKI,2654.452528941944
fixed14,1938,AUGUSTOWSKI,BÓBRECKI,3046.754134385629
fixed14,1938,AUGUSTOWSKI,BĘDZIŃSKI,2797.0374142035594
fixed14,1938,AUGUSTOWSKI,BŁOŃSKI,1737.7084151379815
fixed14,1938,AUGUSTOWSKI,CHEŁMIŃSKI,2654.6432608967734
fixed14,1938,AUGUSTOWSKI,CHEŁMSKI,1839.3763321546935
fixed14,1938,AUGUSTOWSKI,CHODZIESKI,2978.7436327270807
fixed14,1938,AUGUSTOWSKI,CHOJNICKI,3035.248350837576
fixed14,1938,AUGUSTOWSKI,CHORZÓW,2877.496472685614
fixed14,1938,AUGUSTOWSKI,CHRZANOWSKI,2915.796899220679
fixed14,1938,AUGUSTOWSKI,CIECHANOWSKI,1878.3421623926045
fixed14,1938,AUGUSTOWSKI,CIESZYŃSKI,3196.358281235991
fixed14,1938,AUGUSTOWSKI,CZARNKOWSKI,3270.2006260247645
fixed14,1938,AUGUSTOWSKI,CZORTKOWSKI,3465.3702780211333
fixed14,1938,AUGUSTOWSKI,CZĘSTOCHOWSKI,2574.585074709342
fixed14,1938,AUGUSTOWSKI,DOBROMILSKI,3177.894882672696
fixed14,1938,AUGUSTOWSKI,DOLIŃSKI,3147.5879752335472
fixed14,1938,AUGUSTOWSKI,DROHICKI,1975.3575610960368
fixed14,1938,AUGUSTOWSKI,DROHOBYCKI,3024.916683109404
fixed14,1938,AUGUSTOWSKI,DUBIEŃSKI,2770.1321106607925
fixed14,1938,AUGUSTOWSKI,DZIAŁDOWSKI,2244.609890594528
fixed14,1938,AUGUSTOWSKI,DZIŚNIEŃSKI,2060.6226069213208
fixed14,1938,AUGUSTOWSKI,DĄBROWSKI,2994.361649528916
fixed14,1938,AUGUSTOWSKI,GARWOLIŃSKI,1871.2723850486373
fixed14,1938,AUGUSTOWSKI,GNIEŹNIEŃSKI,2842.833880179436
fixed14,1938,AUGUSTOWSKI,GORLICKI,3206.083263198954
fixed14,1938,AUGUSTOWSKI,GOSTYNIŃSKI,2327.2402337581093
fixed14,1938,AUGUSTOWSKI,GOSTYŃSKI,2960.8380045094686
fixed14,1938,AUGUSTOWSKI,GRODZIEŃSKI,723.450721519243
fixed14,1938,AUGUSTOWSKI,GRUDZIĄDZKI,2508.389438391295
fixed14,1938,AUGUSTOWSKI,GRÓDECKI,2759.3636457905727
fixed14,1938,AUGUSTOWSKI,GRÓJECKI,1808.350572211876
fixed14,1938,AUGUSTOWSKI,HOROCHOWSKI,2603.577393528956
fixed14,1938,AUGUSTOWSKI,HORODEŃSKI,3679.4736676477114
fixed14,1938,AUGUSTOWSKI,HRUBIESZOWSKI,2289.141270442373
fixed14,1938,AUGUSTOWSKI,INOWROCŁAWSKI,2654.176363281974
fixed14,1938,AUGUSTOWSKI,IWACEWICKI,1697.9359994241538
fixed14,1938,AUGUSTOWSKI,IŁŻECKI,2571.782458424016
fixed14,1938,AUGUSTOWSKI,JANOWSKI,2297.1347140476646
fixed14,1938,AUGUSTOWSKI,JAROCIŃSKI,2835.9431630787776
fixed14,1938,AUGUSTOWSKI,JAROSŁAWSKI,2752.07579812924
fixed14,1938,AUGUSTOWSKI,JASIELSKI,3067.006721297692
fixed14,1938,AUGUSTOWSKI,JAWOROWSKI,2848.934034838697
fixed14,1938,AUGUSTOWSKI,JĘDRZEJOWSKI,2457.4846130296937
fixed14,1938,AUGUSTOWSKI,KALISKI,2697.0172910652445
fixed14,1938,AUGUSTOWSKI,KAMIONECKI,2550.0983323252863
fixed14,1938,AUGUSTOWSKI,KARTUSKI,3167.5202395120946
fixed14,1938,AUGUSTOWSKI,KATOWICE,2922.0410323341976
fixed14,1938,AUGUSTOWSKI,KAŁUSKI,3364.5824920158893
fixed14,1938,AUGUSTOWSKI,KIELECKI,2351.483025666469
fixed14,1938,AUGUSTOWSKI,KOBRYŃSKI,1660.334905430291
fixed14,1938,AUGUSTOWSKI,KOLBUSZOWSKI,2772.2395681787516
fixed14,1938,AUGUSTOWSKI,KOLSKI,2371.143771302078
fixed14,1938,AUGUSTOWSKI,KONECKI,2322.466209455458
fixed14,1938,AUGUSTOWSKI,KONIŃSKI,2549.9778175571455
fixed14,1938,AUGUSTOWSKI,KOPYCZYNIECKI,3456.415919961413
fixed14,1938,AUGUSTOWSKI,KOSOWSKI (KOSÓW HUCULSKI),3824.779799745187
fixed14,1938,AUGUSTOWSKI,KOSTOPOLSKI,2662.853623417919
fixed14,1938,AUGUSTOWSKI,KOSZYRSKI,2319.307427573015
fixed14,1938,AUGUSTOWSKI,KOWELSKI,2026.8405700253088
fixed14,1938,AUGUSTOWSKI,KOZIENICKI,2000.1775113445474
fixed14,1938,AUGUSTOWSKI,KOŁOMYJSKI,3351.165772852098
fixed14,1938,AUGUSTOWSKI,KOŚCIAŃSKI,3093.209272873704
fixed14,1938,AUGUSTOWSKI,KOŚCIERSKI,3036.825440031077
fixed14,1938,AUGUSTOWSKI,KRAKOWSKI,2853.2611118171235
fixed14,1938,AUGUSTOWSKI,KRAKÓW (MIASTO),2852.9689078007023
fixed14,1938,AUGUSTOWSKI,KRASNOSTAWSKI,2121.2446516313635
fixed14,1938,AUGUSTOWSKI,KROTOSZYŃSKI,2886.8471726900652
fixed14,1938,AUGUSTOWSKI,KROŚNIEŃSKI,3150.1384232317478
fixed14,1938,AUGUSTOWSKI,KRZEMIENIECKI,2983.0265263197152
fixed14,1938,AUGUSTOWSKI,KUTNOWSKI,2130.4598321983303
fixed14,1938,AUGUSTOWSKI,KĘPIŃSKI,2895.208118777223
fixed14,1938,AUGUSTOWSKI,LESKI,3532.6224304946304
fixed14,1938,AUGUSTOWSKI,LESZCZYŃSKI,3065.3562500650573
fixed14,1938,AUGUSTOWSKI,LIDZKI,1136.034265046468
fixed14,1938,AUGUSTOWSKI,LIMANOWSKI,3338.8378204387373
fixed14,1938,AUGUSTOWSKI,LIPNOWSKI,2226.7052501661897
fixed14,1938,AUGUSTOWSKI,LUBACZOWSKI,2629.3427996937303
fixed14,1938,AUGUSTOWSKI,LUBARTOWSKI,1936.0885757012113
fixed14,1938,AUGUSTOWSKI,LUBAWSKI,2299.767645848839
fixed14,1938,AUGUSTOWSKI,LUBELSKI,2062.6881670472335
fixed14,1938,AUGUSTOWSKI,LUBLINIECKI,3086.0738427171295
fixed14,1938,AUGUSTOWSKI,LUBOMELSKI,2177.188756887287
fixed14,1938,AUGUSTOWSKI,LWOWSKI,2679.6348907307483
fixed14,1938,AUGUSTOWSKI,LWÓW (MIASTO),2568.5510060984166
fixed14,1938,AUGUSTOWSKI,M. ST. WARSZAWA,1559.2455325885255
fixed14,1938,AUGUSTOWSKI,MAKOWSKI (MAKÓW MAZOWIECKI),2264.955773519521
fixed14,1938,AUGUSTOWSKI,MIECHOWSKI,2729.5686994022985
fixed14,1938,AUGUSTOWSKI,MIELECKI,2629.674793514812
fixed14,1938,AUGUSTOWSKI,MIĘDZYCHODZKI,3315.2943261827354
fixed14,1938,AUGUSTOWSKI,MIŃSKI,1613.5035596752664
fixed14,1938,AUGUSTOWSKI,MOGILEŃSKI,2719.317240020896
fixed14,1938,AUGUSTOWSKI,MORSKI,3247.9042371557803
fixed14,1938,AUGUSTOWSKI,MOŁODECZAŃSKI,1626.1824105806836
fixed14,1938,AUGUSTOWSKI,MOŚCISKI,3107.7459693984697
fixed14,1938,AUGUSTOWSKI,MYŚLENICKI,3395.000131355619
fixed14,1938,AUGUSTOWSKI,MŁAWSKI,2123.3571665519667
fixed14,1938,AUGUSTOWSKI,NADWÓRNIAŃSKI,3433.4881989667997
fixed14,1938,AUGUSTOWSKI,NIESZAWSKI,2437.912156830117
fixed14,1938,AUGUSTOWSKI,NIEŚWIESKI,1932.3244665707248
fixed14,1938,AUGUSTOWSKI,NIŻAŃSKI,2572.873845832531
fixed14,1938,AUGUSTOWSKI,NOWOGRÓDZKI,1320.2342837633716
fixed14,1938,AUGUSTOWSKI,NOWOSĄDECKI,3185.250405848185
fixed14,1938,AUGUSTOWSKI,NOWOTARSKI,3259.924261019427
fixed14,1938,AUGUSTOWSKI,NOWOTOMYSKI,3202.6755907793304
fixed14,1938,AUGUSTOWSKI,OBORNICKI,3070.5451707618736
fixed14,1938,AUGUSTOWSKI,OLKUSKI,2867.7145461005825
fixed14,1938,AUGUSTOWSKI,OPATOWSKI,2486.084457962718
fixed14,1938,AUGUSTOWSKI,OPOCZYŃSKI,2247.697088441693
fixed14,1938,AUGUSTOWSKI,OSTROWSKI (OSTRÓW MAZOWIECKA),1346.644812711655
fixed14,1938,AUGUSTOWSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),2709.5515412518325
fixed14,1938,AUGUSTOWSKI,OSTROŁĘCKI,1446.611630723007
fixed14,1938,AUGUSTOWSKI,OSZMIAŃSKI,1949.6046795812279
fixed14,1938,AUGUSTOWSKI,PIOTRKOWSKI,2277.626241561538
fixed14,1938,AUGUSTOWSKI,PIŃCZOWSKI,2789.5721265901666
fixed14,1938,AUGUSTOWSKI,PIŃSKI,2070.0680272640748
fixed14,1938,AUGUSTOWSKI,PODHAJECKI,3039.05488503317
fixed14,1938,AUGUSTOWSKI,POSTAWSKI,1913.352644313581
fixed14,1938,AUGUSTOWSKI,POZNAŃ (MIASTO),2904.4022591681305
fixed14,1938,AUGUSTOWSKI,POZNAŃSKI,2925.4270226998347
fixed14,1938,AUGUSTOWSKI,PRUŻAŃSKI,1718.3969511203618
fixed14,1938,AUGUSTOWSKI,PRZASNYCKI,1702.4626504347236
fixed14,1938,AUGUSTOWSKI,PRZEMYSKI,2852.595500282004
fixed14,1938,AUGUSTOWSKI,PRZEMYŚLAŃSKI,2869.5422521682913
fixed14,1938,AUGUSTOWSKI,PRZEWORSKI,2722.5342180737775
fixed14,1938,AUGUSTOWSKI,PSZCZYŃSKI,3016.2041364183165
fixed14,1938,AUGUSTOWSKI,PUŁAWSKI,2164.5536284249865
fixed14,1938,AUGUSTOWSKI,PUŁTUSKI,1951.1601096041447
fixed14,1938,AUGUSTOWSKI,PŁOCKI,2356.001874659209
fixed14,1938,AUGUSTOWSKI,PŁOŃSKI,1869.4343562082092
fixed14,1938,AUGUSTOWSKI,RADOMSKI,2055.4386959262815
fixed14,1938,AUGUSTOWSKI,RADOMSZCZAŃSKI,2374.2632348734783
