scenario,year,origin_district,dest_district,distance_value
baseline,1932,AUGUSTOWSKI,BARANOWICKI,194.6516040494035
baseline,1932,AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),431.54881586455645
baseline,1932,AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),200.4884928815308
baseline,1932,AUGUSTOWSKI,BIAŁOSTOCKI,100.51789165808249
baseline,1932,AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),129.62581908293083
baseline,1932,AUGUSTOWSKI,BIELSKO,433.3361313774278
baseline,1932,AUGUSTOWSKI,BIŁGORAJSKI,301.435230175741
baseline,1932,AUGUSTOWSKI,BOCHEŃSKI,419.0930393171762
baseline,1932,AUGUSTOWSKI,BORSZCZOWSKI,505.46886210082346
baseline,1932,AUGUSTOWSKI,BRASŁAWSKI,248.69254787507893
baseline,1932,AUGUSTOWSKI,BRODNICKI,323.67096085003806
baseline,1932,AUGUSTOWSKI,BRODZKI,393.3947089945708
baseline,1932,AUGUSTOWSKI,BRZESKI (BRZESKO),405.6507879027197
baseline,1932,AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),174.06882481674026
baseline,1932,AUGUSTOWSKI,BRZEZIŃSKI,281.41954424451023
baseline,1932,AUGUSTOWSKI,BRZEŻAŃSKI,411.4066593850165
baseline,1932,AUGUSTOWSKI,BRZOZOWSKI,392.5559990661094
baseline,1932,AUGUSTOWSKI,BUCZACKI,465.44498475989434
baseline,1932,AUGUSTOWSKI,BYDGOSKI,389.77445370867446
baseline,1932,AUGUSTOWSKI,BÓBRECKI,395.1981970725686
baseline,1932,AUGUSTOWSKI,BĘDZIŃSKI,411.09228377780056
baseline,1932,AUGUSTOWSKI,BŁOŃSKI,231.9451991934643
baseline,1932,AUGUSTOWSKI,CHEŁMIŃSKI,380.23616310900974
baseline,1932,AUGUSTOWSKI,CHEŁMSKI,241.25163593807918
baseline,1932,AUGUSTOWSKI,CHODZIESKI,432.6836716814446
baseline,1932,AUGUSTOWSKI,CHOJNICKI,412.72480434050544
baseline,1932,AUGUSTOWSKI,CHORZÓW,401.2050490940988
baseline,1932,AUGUSTOWSKI,CHRZANOWSKI,404.7571659073808
baseline,1932,AUGUSTOWSKI,CIECHANOWSKI,261.5530387928079
baseline,1932,AUGUSTOWSKI,CIESZYŃSKI,446.18418353266065
baseline,1932,AUGUSTOWSKI,CZARNKOWSKI,457.67150085620744
baseline,1932,AUGUSTOWSKI,CZORTKOWSKI,476.69746819042365
baseline,1932,AUGUSTOWSKI,CZĘSTOCHOWSKI,349.64333811270814
baseline,1932,AUGUSTOWSKI,DOBROMILSKI,422.3709249602087
baseline,1932,AUGUSTOWSKI,DOLIŃSKI,422.8862302613141
baseline,1932,AUGUSTOWSKI,DROHICKI,242.1407430294675
baseline,1932,AUGUSTOWSKI,DROHOBYCKI,412.3993175859415
baseline,1932,AUGUSTOWSKI,DUBIEŃSKI,367.1862212844448
baseline,1932,AUGUSTOWSKI,DZIAŁDOWSKI,299.9447570794162
baseline,1932,AUGUSTOWSKI,DZIŚNIEŃSKI,256.5711273635588
baseline,1932,AUGUSTOWSKI,DĄBROWSKI,407.46067955678114
baseline,1932,AUGUSTOWSKI,GARWOLIŃSKI,229.1240463430207
baseline,1932,AUGUSTOWSKI,GNIEŹNIEŃSKI,393.0054950249752
baseline,1932,AUGUSTOWSKI,GORLICKI,432.7606956623473
baseline,1932,AUGUSTOWSKI,GOSTYNIŃSKI,306.8959262022067
baseline,1932,AUGUSTOWSKI,GOSTYŃSKI,410.94193824658845
baseline,1932,AUGUSTOWSKI,GRODZIEŃSKI,60.931340654292654
baseline,1932,AUGUSTOWSKI,GRUDZIĄDZKI,352.29474270123615
baseline,1932,AUGUSTOWSKI,GRÓDECKI,371.07828573415907
baseline,1932,AUGUSTOWSKI,GRÓJECKI,252.37921750928191
baseline,1932,AUGUSTOWSKI,HOROCHOWSKI,330.8119840674779
baseline,1932,AUGUSTOWSKI,HORODEŃSKI,490.08532857783666
baseline,1932,AUGUSTOWSKI,HRUBIESZOWSKI,308.01547701484697
baseline,1932,AUGUSTOWSKI,INOWROCŁAWSKI,380.09566198799865
baseline,1932,AUGUSTOWSKI,IWACEWICKI,211.67736571131408
baseline,1932,AUGUSTOWSKI,IŁŻECKI,333.7459268928392
baseline,1932,AUGUSTOWSKI,JANOWSKI,299.958576604912
baseline,1932,AUGUSTOWSKI,JAROCIŃSKI,393.5192446284612
baseline,1932,AUGUSTOWSKI,JAROSŁAWSKI,372.93739379766083
baseline,1932,AUGUSTOWSKI,JASIELSKI,418.41588493515326
baseline,1932,AUGUSTOWSKI,JAWOROWSKI,384.9769181529169
baseline,1932,AUGUSTOWSKI,JĘDRZEJOWSKI,340.6305739796888
baseline,1932,AUGUSTOWSKI,KALISKI,369.8007859139429
baseline,1932,AUGUSTOWSKI,KAMIONECKI,336.77794822281965
baseline,1932,AUGUSTOWSKI,KARTUSKI,437.89878734182895
baseline,1932,AUGUSTOWSKI,KATOWICE,404.2711603985972
baseline,1932,AUGUSTOWSKI,KAŁUSKI,430.29787384215894
baseline,1932,AUGUSTOWSKI,KIELECKI,321.26877030427227
baseline,1932,AUGUSTOWSKI,KOBRYŃSKI,212.4628158564064
baseline,1932,AUGUSTOWSKI,KOLBUSZOWSKI,375.4265713353403
baseline,1932,AUGUSTOWSKI,KOLSKI,319.49676484284834
baseline,1932,AUGUSTOWSKI,KONECKI,316.96438392093347
baseline,1932,AUGUSTOWSKI,KONIŃSKI,340.89324180401684
baseline,1932,AUGUSTOWSKI,KOPYCZYNIECKI,469.3148896730421
baseline,1932,AUGUSTOWSKI,KOSOWSKI (KOSÓW HUCULSKI),488.27418344200623
baseline,1932,AUGUSTOWSKI,KOSTOPOLSKI,343.2291356875942
baseline,1932,AUGUSTOWSKI,KOSZYRSKI,302.5315429748821
baseline,1932,AUGUSTOWSKI,KOWELSKI,255.18278447039103
baseline,1932,AUGUSTOWSKI,KOZIENICKI,260.08699531843405
baseline,1932,AUGUSTOWSKI,KOŁOMYJSKI,460.34525450228637
baseline,1932,AUGUSTOWSKI,KOŚCIAŃSKI,430.0676349249038
baseline,1932,AUGUSTOWSKI,KOŚCIERSKI,421.670099745029
baseline,1932,AUGUSTOWSKI,KRAKOWSKI,429.6026447942151
baseline,1932,AUGUSTOWSKI,KRAKÓW (MIASTO),429.4104541257472
baseline,1932,AUGUSTOWSKI,KRASNOSTAWSKI,266.6551093523175
baseline,1932,AUGUSTOWSKI,KROTOSZYŃSKI,395.5478894462682
baseline,1932,AUGUSTOWSKI,KROŚNIEŃSKI,430.7109423384984
baseline,1932,AUGUSTOWSKI,KRZEMIENIECKI,386.95002485210364
baseline,1932,AUGUSTOWSKI,KUTNOWSKI,288.02067628986424
baseline,1932,AUGUSTOWSKI,KĘPIŃSKI,397.3596168457604
baseline,1932,AUGUSTOWSKI,LESKI,472.73324862458225
baseline,1932,AUGUSTOWSKI,LESZCZYŃSKI,425.1686707476972
baseline,1932,AUGUSTOWSKI,LIDZKI,131.74319795115488
baseline,1932,AUGUSTOWSKI,LIMANOWSKI,450.1217427439044
baseline,1932,AUGUSTOWSKI,LIPNOWSKI,312.1092024680398
baseline,1932,AUGUSTOWSKI,LUBACZOWSKI,352.67188696700794
baseline,1932,AUGUSTOWSKI,LUBARTOWSKI,256.3869140357937
baseline,1932,AUGUSTOWSKI,LUBAWSKI,321.6222591154352
baseline,1932,AUGUSTOWSKI,LUBELSKI,272.5372307073753
baseline,1932,AUGUSTOWSKI,LUBLINIECKI,423.43953407168294
baseline,1932,AUGUSTOWSKI,LUBOMELSKI,272.652314988321
baseline,1932,AUGUSTOWSKI,LWOWSKI,357.38430212523605
baseline,1932,AUGUSTOWSKI,LWÓW (MIASTO),352.44750128942536
baseline,1932,AUGUSTOWSKI,M. ST. WARSZAWA,210.87483875848548
baseline,1932,AUGUSTOWSKI,MAKOWSKI (MAKÓW MAZOWIECKI),303.3405837567576
baseline,1932,AUGUSTOWSKI,MIECHOWSKI,372.5572360391536
baseline,1932,AUGUSTOWSKI,MIELECKI,358.5482583811613
baseline,1932,AUGUSTOWSKI,MIĘDZYCHODZKI,453.79234300843564
baseline,1932,AUGUSTOWSKI,MIŃSKI,204.78188766886666
baseline,1932,AUGUSTOWSKI,MOGILEŃSKI,391.93907930973063
baseline,1932,AUGUSTOWSKI,MORSKI,464.5820941784136
baseline,1932,AUGUSTOWSKI,MOŁODECZAŃSKI,201.776968888204
baseline,1932,AUGUSTOWSKI,MOŚCISKI,405.2380065038458
baseline,1932,AUGUSTOWSKI,MYŚLENICKI,462.35812807859827
baseline,1932,AUGUSTOWSKI,MŁAWSKI,285.7552576403715
baseline,1932,AUGUSTOWSKI,NADWÓRNIAŃSKI,462.2241250713752
