scenario,year,origin_district,dest_district,distance_value
baseline,1926,AUGUSTOWSKI,BARANOWICKI,195.49470070238763
baseline,1926,AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),440.0416510396139
baseline,1926,AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),200.5785952738367
baseline,1926,AUGUSTOWSKI,BIAŁOSTOCKI,100.63485034839834
baseline,1926,AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),130.66544667829154
baseline,1926,AUGUSTOWSKI,BIELSKO,442.19951922244
baseline,1926,AUGUSTOWSKI,BIŁGORAJSKI,301.5468831176274
baseline,1926,AUGUSTOWSKI,BOCHEŃSKI,419.33320412223304
baseline,1926,AUGUSTOWSKI,BORSZCZOWSKI,505.6237475162474
baseline,1926,AUGUSTOWSKI,BRASŁAWSKI,248.8241480217159
baseline,1926,AUGUSTOWSKI,BRODNICKI,323.7932813700644
baseline,1926,AUGUSTOWSKI,BRODZKI,393.501855571044
baseline,1926,AUGUSTOWSKI,BRZESKI (BRZESKO),405.6073910968975
baseline,1926,AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),174.1474455954587
baseline,1926,AUGUSTOWSKI,BRZEZIŃSKI,300.70608050394014
baseline,1926,AUGUSTOWSKI,BRZEŻAŃSKI,411.50643355475955
baseline,1926,AUGUSTOWSKI,BRZOZOWSKI,392.6770825078642
baseline,1926,AUGUSTOWSKI,BUCZACKI,465.61723398771716
baseline,1926,AUGUSTOWSKI,BYDGOSKI,390.8699086681381
baseline,1926,AUGUSTOWSKI,BÓBRECKI,394.7208691451471
baseline,1926,AUGUSTOWSKI,BĘDZIŃSKI,422.0098729084432
baseline,1926,AUGUSTOWSKI,BŁOŃSKI,290.60196223662
baseline,1926,AUGUSTOWSKI,CHEŁMIŃSKI,380.36957637206035
baseline,1926,AUGUSTOWSKI,CHEŁMSKI,241.34043741773934
baseline,1926,AUGUSTOWSKI,CHODZIESKI,432.97323541553845
baseline,1926,AUGUSTOWSKI,CHOJNICKI,413.10510112616873
baseline,1926,AUGUSTOWSKI,CHORZÓW,412.39386252179446
baseline,1926,AUGUSTOWSKI,CHRZANOWSKI,412.0075431536321
baseline,1926,AUGUSTOWSKI,CIECHANOWSKI,261.65945106505944
baseline,1926,AUGUSTOWSKI,CIESZYŃSKI,457.49447837243
baseline,1926,AUGUSTOWSKI,CZARNKOWSKI,457.60970885419243
baseline,1926,AUGUSTOWSKI,CZORTKOWSKI,476.89275947093813
baseline,1926,AUGUSTOWSKI,CZĘSTOCHOWSKI,370.1081585783952
baseline,1926,AUGUSTOWSKI,DOBROMILSKI,421.7293567604621
baseline,1926,AUGUSTOWSKI,DOLIŃSKI,422.9402916003833
baseline,1926,AUGUSTOWSKI,DROHICKI,242.23903370831448
baseline,1926,AUGUSTOWSKI,DROHOBYCKI,412.47772633686196
baseline,1926,AUGUSTOWSKI,DUBIEŃSKI,367.3112465627859
baseline,1926,AUGUSTOWSKI,DZIAŁDOWSKI,300.1188967946088
baseline,1926,AUGUSTOWSKI,DZIŚNIEŃSKI,256.8034185137893
baseline,1926,AUGUSTOWSKI,DĄBROWSKI,407.568401154761
baseline,1926,AUGUSTOWSKI,GARWOLIŃSKI,229.24085410653464
baseline,1926,AUGUSTOWSKI,GNIEŹNIEŃSKI,391.33720267036364
baseline,1926,AUGUSTOWSKI,GORLICKI,432.86927550385633
baseline,1926,AUGUSTOWSKI,GOSTYNIŃSKI,307.0138441729216
baseline,1926,AUGUSTOWSKI,GOSTYŃSKI,411.9240530453464
baseline,1926,AUGUSTOWSKI,GRODZIEŃSKI,61.30954051774151
baseline,1926,AUGUSTOWSKI,GRUDZIĄDZKI,352.2498860525591
baseline,1926,AUGUSTOWSKI,GRÓDECKI,371.19015515287174
baseline,1926,AUGUSTOWSKI,GRÓJECKI,241.30887200032063
baseline,1926,AUGUSTOWSKI,HOROCHOWSKI,372.89311505376475
baseline,1926,AUGUSTOWSKI,HORODEŃSKI,490.2213220605009
