scenario,year,origin_district,dest_district,distance_value
baseline,1935,AUGUSTOWSKI,BARANOWICKI,171.02589155389822
baseline,1935,AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),422.25114303309675
baseline,1935,AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),195.7555071656137
baseline,1935,AUGUSTOWSKI,BIAŁOSTOCKI,95.7568698878213
baseline,1935,AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),124.86567562620887
baseline,1935,AUGUSTOWSKI,BIELSKO,423.89139676462844
baseline,1935,AUGUSTOWSKI,BIŁGORAJSKI,296.71146342274307
baseline,1935,AUGUSTOWSKI,BOCHEŃSKI,402.3352501396859
baseline,1935,AUGUSTOWSKI,BORSZCZOWSKI,500.06162857873255
baseline,1935,AUGUSTOWSKI,BRASŁAWSKI,248.4988682598689
baseline,1935,AUGUSTOWSKI,BRODNICKI,315.9370336913903
baseline,1935,AUGUSTOWSKI,BRODZKI,388.66693771775385
baseline,1935,AUGUSTOWSKI,BRZESKI (BRZESKO),400.528739567702
baseline,1935,AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),169.38587116960744
baseline,1935,AUGUSTOWSKI,BRZEZIŃSKI,270.5386089148763
baseline,1935,AUGUSTOWSKI,BRZEŻAŃSKI,406.6866760702302
baseline,1935,AUGUSTOWSKI,BRZOZOWSKI,387.89776804268394
baseline,1935,AUGUSTOWSKI,BUCZACKI,462.49978059773883
baseline,1935,AUGUSTOWSKI,BYDGOSKI,379.20203602092096
baseline,1935,AUGUSTOWSKI,BÓBRECKI,392.17351703983127
baseline,1935,AUGUSTOWSKI,BĘDZIŃSKI,391.9469198301669
baseline,1935,AUGUSTOWSKI,BŁOŃSKI,222.66005904514526
baseline,1935,AUGUSTOWSKI,CHEŁMIŃSKI,372.36674112109773
baseline,1935,AUGUSTOWSKI,CHEŁMSKI,236.54160310829283
baseline,1935,AUGUSTOWSKI,CHODZIESKI,415.79660692737184
baseline,1935,AUGUSTOWSKI,CHOJNICKI,404.8919115598802
baseline,1935,AUGUSTOWSKI,CHORZÓW,390.93247393137216
baseline,1935,AUGUSTOWSKI,CHRZANOWSKI,394.59667728899956
baseline,1935,AUGUSTOWSKI,CIECHANOWSKI,253.83222824561636
baseline,1935,AUGUSTOWSKI,CIESZYŃSKI,436.7993391190057
baseline,1935,AUGUSTOWSKI,CZARNKOWSKI,426.6622364078921
baseline,1935,AUGUSTOWSKI,CZORTKOWSKI,471.2621182143423
baseline,1935,AUGUSTOWSKI,CZĘSTOCHOWSKI,340.05345402574943
baseline,1935,AUGUSTOWSKI,DOBROMILSKI,417.63750741303545
baseline,1935,AUGUSTOWSKI,DOLIŃSKI,419.9425038589662
baseline,1935,AUGUSTOWSKI,DROHICKI,237.41626323573118
baseline,1935,AUGUSTOWSKI,DROHOBYCKI,409.55246289906216
baseline,1935,AUGUSTOWSKI,DUBIEŃSKI,362.41895181589086
baseline,1935,AUGUSTOWSKI,DZIAŁDOWSKI,292.3390882625547
baseline,1935,AUGUSTOWSKI,DZIŚNIEŃSKI,256.33480418887336
baseline,1935,AUGUSTOWSKI,DĄBROWSKI,402.73663588972596
baseline,1935,AUGUSTOWSKI,GARWOLIŃSKI,224.38575378715777
baseline,1935,AUGUSTOWSKI,GNIEŹNIEŃSKI,364.64680921439344
baseline,1935,AUGUSTOWSKI,GORLICKI,420.7018831053393
baseline,1935,AUGUSTOWSKI,GOSTYNIŃSKI,296.684590672465
baseline,1935,AUGUSTOWSKI,GOSTYŃSKI,401.5292524819268
baseline,1935,AUGUSTOWSKI,GRODZIEŃSKI,60.52441148617239
baseline,1935,AUGUSTOWSKI,GRUDZIĄDZKI,344.59720475317215
baseline,1935,AUGUSTOWSKI,GRÓDECKI,368.1221745085798
baseline,1935,AUGUSTOWSKI,GRÓJECKI,231.92461901480314
baseline,1935,AUGUSTOWSKI,HOROCHOWSKI,326.0468882767469
baseline,1935,AUGUSTOWSKI,HORODEŃSKI,487.1254838026563
baseline,1935,AUGUSTOWSKI,HRUBIESZOWSKI,303.3443181366109
baseline,1935,AUGUSTOWSKI,INOWROCŁAWSKI,349.9612427911594
baseline,1935,AUGUSTOWSKI,IWACEWICKI,211.42571052738714
baseline,1935,AUGUSTOWSKI,IŁŻECKI,320.68545769163404
baseline,1935,AUGUSTOWSKI,JANOWSKI,295.2152088061283
baseline,1935,AUGUSTOWSKI,JAROCIŃSKI,383.2595684403943
baseline,1935,AUGUSTOWSKI,JAROSŁAWSKI,368.2245303357733
baseline,1935,AUGUSTOWSKI,JASIELSKI,413.6807722509581
baseline,1935,AUGUSTOWSKI,JAWOROWSKI,382.03440020052767
baseline,1935,AUGUSTOWSKI,JĘDRZEJOWSKI,327.8497056441871
baseline,1935,AUGUSTOWSKI,KALISKI,359.9797169428834
baseline,1935,AUGUSTOWSKI,KAMIONECKI,332.0341418940026
baseline,1935,AUGUSTOWSKI,KARTUSKI,428.41539776328375
baseline,1935,AUGUSTOWSKI,KATOWICE,394.4386378890654
baseline,1935,AUGUSTOWSKI,KAŁUSKI,427.3963123356555
baseline,1935,AUGUSTOWSKI,KIELECKI,308.4569800310047
baseline,1935,AUGUSTOWSKI,KOBRYŃSKI,207.79888072799037
baseline,1935,AUGUSTOWSKI,KOLBUSZOWSKI,370.69621210405273
baseline,1935,AUGUSTOWSKI,KOLSKI,303.83073812372936
baseline,1935,AUGUSTOWSKI,KONECKI,304.17595986939483
baseline,1935,AUGUSTOWSKI,KONIŃSKI,330.63360695304476
baseline,1935,AUGUSTOWSKI,KOPYCZYNIECKI,463.9183328242455
baseline,1935,AUGUSTOWSKI,KOSOWSKI (KOSÓW HUCULSKI),485.0989851261629
baseline,1935,AUGUSTOWSKI,KOSTOPOLSKI,343.017156440399
baseline,1935,AUGUSTOWSKI,KOSZYRSKI,297.78034557299577
baseline,1935,AUGUSTOWSKI,KOWELSKI,250.47326581775235
baseline,1935,AUGUSTOWSKI,KOZIENICKI,255.35932550288757
baseline,1935,AUGUSTOWSKI,KOŁOMYJSKI,457.3710776399569
baseline,1935,AUGUSTOWSKI,KOŚCIAŃSKI,408.63998298898395
baseline,1935,AUGUSTOWSKI,KOŚCIERSKI,412.2372955687815
baseline,1935,AUGUSTOWSKI,KRAKOWSKI,383.18511101678376
baseline,1935,AUGUSTOWSKI,KRAKÓW (MIASTO),382.86730625127683
baseline,1935,AUGUSTOWSKI,KRASNOSTAWSKI,261.9237941896149
baseline,1935,AUGUSTOWSKI,KROTOSZYŃSKI,386.1810379865821
baseline,1935,AUGUSTOWSKI,KROŚNIEŃSKI,425.9475769326303
baseline,1935,AUGUSTOWSKI,KRZEMIENIECKI,382.21852219818527
