origin_district,dest_district,time_min
AUGUSTOWSKI,BARANOWICKI,1601.8398309554875
AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),3761.432151436961
AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),1826.7263031997052
AUGUSTOWSKI,BIAŁOSTOCKI,1008.5152071714971
AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),1293.004415358042
AUGUSTOWSKI,BIELSKO,3764.091128522232
AUGUSTOWSKI,BIŁGORAJSKI,4966.248593276657
AUGUSTOWSKI,BOCHEŃSKI,3829.2249735544347
AUGUSTOWSKI,BORSZCZOWSKI,4701.707567360277
AUGUSTOWSKI,BRASŁAWSKI,3008.209701617753
AUGUSTOWSKI,BRODNICKI,2771.426181527444
AUGUSTOWSKI,BRODZKI,3326.817974962676
AUGUSTOWSKI,BRZESKI (BRZESKO),4269.706171816982
AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),1577.0668217917018
AUGUSTOWSKI,BRZEZIŃSKI,2604.1598544385865
AUGUSTOWSKI,BRZEŻAŃSKI,4287.042084939055
AUGUSTOWSKI,BRZOZOWSKI,4720.171031650417
AUGUSTOWSKI,BUCZACKI,4492.699736464422
AUGUSTOWSKI,BYDGOSKI,3328.9708281475127
AUGUSTOWSKI,BÓBRECKI,4213.87655779477
AUGUSTOWSKI,BĘDZIŃSKI,3563.7949448382496
AUGUSTOWSKI,BŁOŃSKI,2522.5933022425966
AUGUSTOWSKI,CHEŁMIŃSKI,3258.6653242296297
AUGUSTOWSKI,CHEŁMSKI,2115.746754655447
AUGUSTOWSKI,CHODZIESKI,3671.2595185857986
AUGUSTOWSKI,CHOJNICKI,3618.895071835223
AUGUSTOWSKI,CHORZÓW,3461.901516288453
AUGUSTOWSKI,CHRZANOWSKI,3470.0346469988094
AUGUSTOWSKI,CIECHANOWSKI,2268.660445140398
AUGUSTOWSKI,CIESZYŃSKI,3833.574736384447
AUGUSTOWSKI,CZARNKOWSKI,3997.42785958639
AUGUSTOWSKI,CZORTKOWSKI,4315.29195759749
AUGUSTOWSKI,CZĘSTOCHOWSKI,3192.7109393604974
AUGUSTOWSKI,DOBROMILSKI,4431.386653134069
AUGUSTOWSKI,DOLIŃSKI,4354.161716764266
AUGUSTOWSKI,DROHICKI,2245.0678328972367
AUGUSTOWSKI,DROHOBYCKI,4223.299872425662
AUGUSTOWSKI,DUBIEŃSKI,3190.6032975146923
AUGUSTOWSKI,DZIAŁDOWSKI,2695.411672162104
AUGUSTOWSKI,DZIŚNIEŃSKI,2361.393654203274
AUGUSTOWSKI,DĄBROWSKI,4159.254352968008
AUGUSTOWSKI,GARWOLIŃSKI,2129.666283497706
AUGUSTOWSKI,GNIEŹNIEŃSKI,3483.024625199931
AUGUSTOWSKI,GORLICKI,4397.723918479376
AUGUSTOWSKI,GOSTYNIŃSKI,2873.5322765928254
AUGUSTOWSKI,GOSTYŃSKI,3484.27313733253
AUGUSTOWSKI,GRODZIEŃSKI,795.4490941802682
AUGUSTOWSKI,GRUDZIĄDZKI,3005.404147182661
AUGUSTOWSKI,GRÓDECKI,3913.0039121488153
AUGUSTOWSKI,GRÓJECKI,2306.7530495753836
AUGUSTOWSKI,HOROCHOWSKI,4391.274213456882
AUGUSTOWSKI,HORODEŃSKI,4773.561129882351
AUGUSTOWSKI,HRUBIESZOWSKI,2899.9142764143194
AUGUSTOWSKI,INOWROCŁAWSKI,3297.8574508232305
AUGUSTOWSKI,IWACEWICKI,1990.8151360615936
AUGUSTOWSKI,IŁŻECKI,3004.4841879820797
AUGUSTOWSKI,JANOWSKI,5049.530483382286
AUGUSTOWSKI,JAROCIŃSKI,3384.4202156339566
AUGUSTOWSKI,JAROSŁAWSKI,4376.6290713099115
AUGUSTOWSKI,JASIELSKI,4454.137240921349
AUGUSTOWSKI,JAWOROWSKI,4016.587680449125
AUGUSTOWSKI,JĘDRZEJOWSKI,2891.37896474062
AUGUSTOWSKI,KALISKI,3150.6662666075763
AUGUSTOWSKI,KAMIONECKI,3994.643266851635
AUGUSTOWSKI,KARTUSKI,3892.7352254787497
AUGUSTOWSKI,KATOWICE,3504.6356809561653
AUGUSTOWSKI,KAŁUSKI,4564.403065172269
AUGUSTOWSKI,KIELECKI,2769.5435383677377
AUGUSTOWSKI,KOBRYŃSKI,1890.0855620428429
AUGUSTOWSKI,KOLBUSZOWSKI,4713.298072412345
AUGUSTOWSKI,KOLSKI,3363.860224367206
AUGUSTOWSKI,KONECKI,2755.524433242764
AUGUSTOWSKI,KONIŃSKI,3897.8316612169406
AUGUSTOWSKI,KOPYCZYNIECKI,4283.070210472254
AUGUSTOWSKI,KOSOWSKI (KOSÓW HUCULSKI),5099.675388528616
AUGUSTOWSKI,KOSTOPOLSKI,3062.861344235132
AUGUSTOWSKI,KOSZYRSKI,3469.3292518463372
AUGUSTOWSKI,KOWELSKI,2306.4022600793382
AUGUSTOWSKI,KOZIENICKI,2331.9351624593096
AUGUSTOWSKI,KOŁOMYJSKI,4607.299930204207
AUGUSTOWSKI,KOŚCIAŃSKI,3695.549052910073
AUGUSTOWSKI,KOŚCIERSKI,3744.6609621738103
AUGUSTOWSKI,KRAKOWSKI,3752.526069165465
AUGUSTOWSKI,KRAKÓW (MIASTO),3757.990823356822
AUGUSTOWSKI,KRASNOSTAWSKI,2530.251565612837
AUGUSTOWSKI,KROTOSZYŃSKI,3400.6445384736057
AUGUSTOWSKI,KROŚNIEŃSKI,4553.1313212436135
AUGUSTOWSKI,KRZEMIENIECKI,3423.083945696814
AUGUSTOWSKI,KUTNOWSKI,2497.066680647691
AUGUSTOWSKI,KĘPIŃSKI,3390.7206535286227
AUGUSTOWSKI,LESKI,4848.566949152336
AUGUSTOWSKI,LESZCZYŃSKI,3604.037599203038
AUGUSTOWSKI,LIDZKI,1293.0671876988774
AUGUSTOWSKI,LIMANOWSKI,4156.549897549925
AUGUSTOWSKI,LIPNOWSKI,3131.54004331004
AUGUSTOWSKI,LUBACZOWSKI,4268.518469397969
AUGUSTOWSKI,LUBARTOWSKI,2233.115753319368
AUGUSTOWSKI,LUBAWSKI,2760.90840948616
AUGUSTOWSKI,LUBELSKI,2377.0334258816515
AUGUSTOWSKI,LUBLINIECKI,3823.3551331686344
AUGUSTOWSKI,LUBOMELSKI,2480.106022543042
AUGUSTOWSKI,LWOWSKI,3814.6228639474543
AUGUSTOWSKI,LWÓW (MIASTO),3703.2438629283715
AUGUSTOWSKI,M. ST. WARSZAWA,1856.2110878818116
AUGUSTOWSKI,MAKOWSKI (MAKÓW MAZOWIECKI),1984.7926140961636
AUGUSTOWSKI,MIECHOWSKI,3321.5128658847498
AUGUSTOWSKI,MIELECKI,4320.476644596874
AUGUSTOWSKI,MIĘDZYCHODZKI,4170.082849379964
AUGUSTOWSKI,MIŃSKI,1850.238902310002
AUGUSTOWSKI,MOGILEŃSKI,3378.116224322135
AUGUSTOWSKI,MORSKI,4190.206085572256
AUGUSTOWSKI,MOŁODECZAŃSKI,1872.1818461581397
AUGUSTOWSKI,MOŚCISKI,4349.797062826286
AUGUSTOWSKI,MYŚLENICKI,4121.085319530527
AUGUSTOWSKI,MŁAWSKI,2533.999442862827
AUGUSTOWSKI,NADWÓRNIAŃSKI,4687.45278999459
AUGUSTOWSKI,NIESZAWSKI,3033.9969074647847
AUGUSTOWSKI,NIEŚWIESKI,2324.7926379494843
AUGUSTOWSKI,NIŻAŃSKI,4835.863366114262
AUGUSTOWSKI,NOWOGRÓDZKI,1668.2064156089775
AUGUSTOWSKI,NOWOSĄDECKI,4222.779355074328
AUGUSTOWSKI,NOWOTARSKI,3970.6030844024212
AUGUSTOWSKI,NOWOTOMYSKI,4007.2408088950588
AUGUSTOWSKI,OBORNICKI,3871.2244336409726
AUGUSTOWSKI,OLKUSKI,3357.7105447903978
AUGUSTOWSKI,OPATOWSKI,2889.9712339168923
AUGUSTOWSKI,OPOCZYŃSKI,2806.336473509579
AUGUSTOWSKI,OSTROWSKI (OSTRÓW MAZOWIECKA),1538.4881231561847
AUGUSTOWSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),3191.7682329296413
AUGUSTOWSKI,OSTROŁĘCKI,1668.4220665424148
AUGUSTOWSKI,OSZMIAŃSKI,2217.5008998075527
AUGUSTOWSKI,PIOTRKOWSKI,2829.8889430529616
AUGUSTOWSKI,PIŃCZOWSKI,3381.5752801059575
AUGUSTOWSKI,PIŃSKI,2384.9639801772223
AUGUSTOWSKI,PODHAJECKI,4279.784356293936
AUGUSTOWSKI,POSTAWSKI,2183.193822486402
AUGUSTOWSKI,POZNAŃ (MIASTO),3697.012630547864
AUGUSTOWSKI,POZNAŃSKI,3725.1731934407294
AUGUSTOWSKI,PRUŻAŃSKI,2032.5702840551164
AUGUSTOWSKI,PRZASNYCKI,2923.2089583435736
AUGUSTOWSKI,PRZEMYSKI,4205.581946338854
AUGUSTOWSKI,PRZEMYŚLAŃSKI,4069.8794296639107
AUGUSTOWSKI,PRZEWORSKI,4477.572503680157
AUGUSTOWSKI,PSZCZYŃSKI,3585.304094917697
AUGUSTOWSKI,PUŁAWSKI,2426.5663137922625
AUGUSTOWSKI,PUŁTUSKI,2270.2080417224
AUGUSTOWSKI,PŁOCKI,2873.972883177752
AUGUSTOWSKI,PŁOŃSKI,2475.45325314495
AUGUSTOWSKI,RADOMSKI,2426.3817348547636
AUGUSTOWSKI,RADOMSZCZAŃSKI,2952.7510833764973
AUGUSTOWSKI,RADZIECHOWSKI,4317.244715508346
AUGUSTOWSKI,RADZYMIŃSKI,1639.2045301543817
AUGUSTOWSKI,RADZYŃSKI,2058.9600899801144
AUGUSTOWSKI,RAWICKI,3455.8298020381185
AUGUSTOWSKI,RAWSKI (RAWA MAZOWIECKA),3016.8816149855097
AUGUSTOWSKI,RAWSKI (RAWA RUSKA),4059.7334100076914
AUGUSTOWSKI,ROHATYŃSKI,4335.43912774765
AUGUSTOWSKI,ROPCZYCKI,4231.360292405965
AUGUSTOWSKI,RUDECKI,4128.813104009403
AUGUSTOWSKI,RYBNICKI,3680.493153698887
AUGUSTOWSKI,RYPIŃSKI,3093.20719764187
AUGUSTOWSKI,RZESZOWSKI,4459.13436672749
AUGUSTOWSKI,RÓWIEŃSKI,3037.7128189457753
AUGUSTOWSKI,SAMBORSKI,4091.7362380182626
AUGUSTOWSKI,SANDOMIERSKI,4718.572537261386
AUGUSTOWSKI,SANOCKI,4642.432872845621
AUGUSTOWSKI,SARNEŃSKI,2621.074169735086
AUGUSTOWSKI,SIEDLECKI,1800.3762323468854
AUGUSTOWSKI,SIERADZKI,2799.0681417937326
AUGUSTOWSKI,SIERPECKI,3212.192950757077
AUGUSTOWSKI,SKAŁACKI,4189.208556871118
AUGUSTOWSKI,SKIERNIEWICKI,2431.7585129715653
AUGUSTOWSKI,SOCHACZEWSKI,2226.1013718701906
AUGUSTOWSKI,SOKALSKI,4648.305292167452
AUGUSTOWSKI,SOKOŁOWSKI,1640.8224624760735
AUGUSTOWSKI,SOKÓLSKI,790.4221905665863
AUGUSTOWSKI,STANISŁAWOWSKI,4369.931844567853
AUGUSTOWSKI,STAROGARDZKI,3457.665118122829
AUGUSTOWSKI,STOLIŃSKI,2503.56078686531
AUGUSTOWSKI,STOPNICKI,4450.213155235651
AUGUSTOWSKI,STOŁPECKI,2078.0543475268173
AUGUSTOWSKI,STRYJSKI,4465.074527793272
AUGUSTOWSKI,SUWALSKI,453.5398691225615
AUGUSTOWSKI,SZAMOTULSKI,3959.8633263584206
