District,year,scenario,ma_total,ma_total_no_self,ma_domestic,ma_domestic_no_self,ma_domestic_inter,ma_domestic_self,ma_foreign
DĄBROWSKI,1924,fixed14,383799498.1099254,383798805.3273307,785.4899950965258,92.70740046629403,92.70740046629403,692.7825946302318,383798712.61993027
GARWOLIŃSKI,1924,fixed14,382862636.05351853,382862150.82453126,614.6866540923871,129.45766680468878,129.45766680468878,485.2289872876983,382862021.36686444
GNIEŹNIEŃSKI,1924,fixed14,466043798.31500477,466042035.689474,1999.9866796261886,237.36114885731573,237.36114885731573,1762.6255307688727,466041798.32832515
GORLICKI,1924,fixed14,378818015.5524075,378817183.3582832,918.8028364551517,86.60871221075314,86.60871221075314,832.1941242443986,378817096.749571
GOSTYNIŃSKI,1924,fixed14,410918511.3605841,410917260.81187683,1376.7606934273563,126.21198620991652,126.21198620991652,1250.5487072174399,410917134.59989065
GOSTYŃSKI,1924,fixed14,470605254.2441297,470603757.5024621,1685.0594509295133,188.31778332340534,188.31778332340534,1496.741667606108,470603569.1846788
GRODZIEŃSKI,1924,fixed14,337931928.62599117,337931660.2847569,298.6468677890857,30.305633554092932,30.305633554092932,268.3412342349928,337931629.97912335
GRUDZIĄDZKI,1924,fixed14,412276011.579169,412273919.3859506,2204.8603512470168,112.6671329341774,112.6671329341774,2092.1932183128392,412273806.7188177
GRÓDECKI,1924,fixed14,362535703.6722392,362534952.85722214,955.640589436087,204.82557236451453,204.82557236451453,750.8150170715725,362534748.03164977
GRÓJECKI,1924,fixed14,385526778.2650009,385525753.2996871,1402.6081542217698,377.64284041623273,377.64284041623273,1024.965313805537,385525375.65684664
HOROCHOWSKI,1924,fixed14,333687877.3965486,333687006.2477691,883.0198812533905,11.871101707669972,11.871101707669972,871.1487795457206,333686994.3766674
HORODEŃSKI,1924,fixed14,346060315.228,346059571.5889243,765.5352450745868,21.89616938602139,21.89616938602139,743.6390756885654,346059549.6927549
HRUBIESZOWSKI,1924,fixed14,356810854.18770885,356810206.63993907,714.8388715331821,67.29110178130057,67.29110178130057,647.5477697518816,356810139.3488373
INOWROCŁAWSKI,1924,fixed14,430937525.41967523,430935783.3433203,1849.6658307273658,107.58947582581531,107.58947582581531,1742.0763549015505,430935675.7538445
