Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
BIAŁOSTOCKIE;AUGUSTOWSKI;30 725;173 227;37 480;152 079;910 705;0
BIAŁOSTOCKIE;BIAŁOSTOCKI;35 228;362 994;38 960;142 142;1 140 186;0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);103 710;510 034;70 917;186 060;1 511 626;0
BIAŁOSTOCKIE;GRODZIEŃSKI;56 861;539 226;78 687;136 435;2 569 134;0
BIAŁOSTOCKIE;KOLNEŃSKI;46 487;344 831;24 047;64 210;1 427 779;0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);58 950;311 233;18 616;55 590;1 099 107;12 186
BIAŁOSTOCKIE;OSTROŁĘCKI;70 175;358 968;23 384;73 145;1 140 756;20 373
BIAŁOSTOCKIE;SOKÓLSKI;25 765;392 282;44 940;137 890;1 220 723;0
BIAŁOSTOCKIE;SUWALSKI;28 738;275 724;36 269;269 505;818 629;0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);59 462;260 162;29 881;91 662;1 052 737;0
BIAŁOSTOCKIE;WOŁKOWYSKI;42 327;540 900;84 919;131 141;2 230 286;0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;91 457;301 598;40 336;92 760;1 279 241;16 791
BIAŁOSTOCKIE;ŁOMŻYŃSKI;88 606;429 709;20 600;105 587;1 779 710;22 572
KIELECKIE;BĘDZIŃSKI;7 776;114 408;15 807;14 212;594 576;0
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;
KIELECKIE;CZĘSTOCHOWSKI;18 011;517 951;21 161;64 347;2 247 101;8 650
KIELECKIE;IŁŻECKI;69 423;435 227;146 125;206 978;1 707 216;28 284
KIELECKIE;JĘDRZEJOWSKI;217 572;346 885;110 267;119 555;1 861 755;0
KIELECKIE;KIELECKI;64 426;298 425;52 891;66 634;2 296 402;13 824
KIELECKIE;KONECKI;20 543;268 976;27 757;68 773;1 619 117;0
KIELECKIE;KOZIENICKI;48 973;488 500;111 820;141 312;1 749 574;69 506
KIELECKIE;MIECHOWSKI;363 997;349 671;166 511;216 933;2 024 242;180 832
KIELECKIE;OLKUSKI;70 633;296 695;81 703;92 149;1 621 692;0
KIELECKIE;OPATOWSKI;220 236;352 275;184 184;327 954;2 359 235;310 457
KIELECKIE;OPOCZYŃSKI;35 144;523 846;43 385;92 503;2 360 190;0
KIELECKIE;PIŃCZOWSKI;243 354;303 099;134 421;107 833;1 100 096;400 260
KIELECKIE;RADOMSKI;52 976;667 245;105 459;157 931;2 373 289;2 632
KIELECKIE;SANDOMIERSKI;156 752;212 787;120 822;131 942;1 428 777;265 987
KIELECKIE;SOSNOWIEC;;;;;;
KIELECKIE;STOPNICKI;147 631;331 801;92 254;108 012;1 850 564;26 341
KIELECKIE;WŁOSZCZOWSKI;107 834;280 445;31 070;73 391;1 530 245;0
KIELECKIE;ZAWIERCIAŃSKI;13 720;202 716;20 479;21 477;1 009 144;0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);16 139;83 142;6 846;74 783;488 839;0
KRAKOWSKIE;BOCHEŃSKI;87 326;114 578;32 276;66 096;653 957;0
KRAKOWSKIE;BRZESKI (BRZESKO);101 734;165 366;48 597;87 681;937 667;0
KRAKOWSKIE;CHRZANOWSKI;14 369;97 865;9 040;34 695;677 729;0
KRAKOWSKIE;DĄBROWSKI;80 851;106 831;30 236;51 420;600 672;13 738
KRAKOWSKIE;GORLICKI;78 455;99 461;47 295;101 270;695 268;0
KRAKOWSKIE;GRYBOWSKI;27 448;39 872;20 419;53 021;388 584;0
KRAKOWSKIE;JASIELSKI;67 544;81 800;32 822;59 490;597 393;4 320
KRAKOWSKIE;KRAKOWSKI;108 162;171 129;25 559;87 048;712 627;23 328
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;
KRAKOWSKIE;LIMANOWSKI;45 724;54 491;28 380;70 707;585 117;0
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);22 374;62 095;35 215;103 405;629 132;0
