Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;145 644 744;210 658 896;328 431 031;498 505 835;690 416 768;448 306 733;326 812 255;346 780 600;268 101 046;226 912 785;239 958 431;164 089 145;189 217 655;293 887 960;189 194 677
KIELECKIE;227 589 098;307 595 324;437 118 029;758 551 369;981 626 378;652 667 663;517 010 932;516 630 178;392 736 332;304 801 790;315 208 759;289 431 753;282 589 158;435 530 650;305 458 844
KRAKOWSKIE;139 812 417;197 471 253;248 565 360;374 418 419;542 275 120;335 514 598;293 095 230;298 568 262;224 101 973;169 670 239;140 275 926;190 322 099;159 086 197;270 855 385;200 387 995
LUBELSKIE;211 445 848;363 094 656;514 093 903;819 539 432;1 083 289 458;715 757 618;530 468 069;505 297 324;417 709 402;352 025 978;364 623 781;290 763 253;318 975 626;530 063 018;348 257 121
LWOWSKIE;194 205 856;252 337 652;350 385 797;509 434 393;762 451 929;462 179 928;400 215 934;388 877 733;297 843 614;240 355 329;227 413 844;251 805 883;248 681 511;407 331 981;248 107 013
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;90 822 245;146 263 014;214 983 637;279 315 958;490 760 532;302 227 198;201 925 042;227 318 404;175 041 339;114 928 590;146 830 711;102 564 980;115 517 162;214 545 556;115 696 065
POLESKIE;134 866 803;157 948 972;207 094 726;271 242 439;510 732 321;370 780 617;256 101 995;267 122 069;215 476 088;142 313 142;174 455 842;137 017 344;126 978 137;257 789 249;119 171 737
POMORSKIE;146 016 752;216 884 681;266 496 764;469 455 862;580 386 586;416 901 476;347 696 444;285 611 367;204 315 084;169 017 974;216 789 898;146 547 515;163 092 880;249 335 462;332 913 082
POZNAŃSKIE;313 829 564;514 612 635;727 875 160;1 139 605 847;1 429 930 650;1 055 809 266;859 267 078;657 042 259;497 107 074;399 083 805;513 229 035;293 864 912;422 682 292;612 446 703;473 676 805
STANISŁAWOWSKIE;74 445 026;126 182 861;170 753 064;238 125 831;356 245 868;226 449 385;225 156 113;189 639 929;145 133 210;95 563 496;126 304 968;121 414 035;109 820 199;182 031 557;115 907 524
TARNOPOLSKIE;92 617 844;170 145 195;238 573 204;387 161 611;488 086 212;309 081 296;268 848 867;255 131 334;179 047 829;161 049 867;179 778 124;170 522 549;176 876 905;298 343 915;182 590 294
WARSZAWSKIE;233 376 503;375 501 621;484 948 546;830 456 612;1 097 692 414;768 369 877;618 146 909;523 483 751;404 698 419;375 662 793;410 075 370;276 704 248;338 702 528;533 396 670;332 408 908
WOŁYŃSKIE;152 183 864;243 953 013;321 320 067;487 214 978;670 051 022;466 974 995;343 538 105;371 467 128;289 775 713;234 033 112;278 650 731;215 462 180;241 165 671;444 252 455;247 078 825
ZIEMIA WILEŃSKA;147 696 772;145 845 939;232 228 483;263 519 662;427 678 058;315 979 726;193 456 054;224 940 196;148 766 216;94 061 596;139 073 080;91 637 512;95 627 254;184 610 573;94 674 398
ŁÓDZKIE;185 266 603;263 304 689;352 583 980;561 611 621;878 952 453;558 225 633;456 527 549;376 417 676;288 900 018;257 098 855;289 966 801;214 077 727;247 835 160;408 817 943;184 533 378
ŚLĄSKIE;52 098 158;73 110 844;79 480 389;133 750 565;214 495 074;116 171 488;109 524 953;100 921 514;81 538 875;50 020 920;69 536 629;58 976 374;54 481 262;87 991 945;63 082 495
