Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;162 285 621;167 474 830;169 556 106;205 526 227;220 522 788;238 242 396;205 065 015;134 306 899;92 067 376;95 113 517;103 047 002;112 424 662;135 620 737;153 344 693;170 499 188
KIELECKIE;354 373 032;471 538 830;484 401 438;684 438 873;740 774 396;829 713 314;730 428 158;684 728 459;785 593 471;492 484 589;513 480 968;537 173 865;620 127 213;742 403 610;839 090 106
KRAKOWSKIE;304 552 704;352 858 350;374 611 536;464 583 836;548 226 842;578 660 496;478 616 722;371 738 236;275 358 681;257 923 809;267 370 235;264 950 797;301 487 365;352 193 973;391 752 068
LUBELSKIE;211 416 660;240 382 379;268 338 971;329 883 242;352 175 660;356 450 368;285 977 203;188 836 175;141 664 734;170 063 967;174 019 949;177 642 837;199 984 045;253 193 025;281 421 641
LWOWSKIE;218 425 380;236 854 929;217 101 164;328 528 927;362 615 465;391 079 350;333 710 134;224 513 392;198 467 308;181 098 027;190 753 301;185 666 587;214 303 584;242 923 548;269 656 675
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;36 699 748;38 117 994;40 589 936;53 983 388;59 010 750;60 030 725;48 310 411;34 592 194;18 146 028;22 248 667;19 934 154;22 780 124;24 450 610;31 439 694;35 010 216
POLESKIE;56 162 075;58 705 374;62 307 171;81 157 715;87 360 033;94 917 755;81 989 568;33 309 290;28 425 405;33 769 990;30 085 157;35 156 513;39 232 606;46 001 181;51 245 647
POMORSKIE;127 132 110;159 744 070;154 726 146;198 273 977;219 812 608;229 809 439;187 916 914;120 992 003;88 451 726;94 596 442;109 160 618;110 145 321;121 254 001;182 308 122;202 753 137
POZNAŃSKIE;412 963 938;384 827 091;449 400 128;516 308 610;615 726 759;613 472 716;474 073 818;323 352 218;233 795 256;241 383 015;247 122 972;259 692 542;289 823 040;372 086 674;413 201 528
STANISŁAWOWSKIE;74 636 059;80 280 647;72 261 815;110 951 580;122 826 315;139 215 801;124 340 040;74 857 273;51 194 551;49 804 296;55 286 391;62 594 017;59 867 657;71 126 824;78 913 751
TARNOPOLSKIE;33 649 138;37 779 840;38 617 192;51 767 054;55 075 339;59 027 328;50 467 464;36 572 025;29 524 203;30 165 285;30 615 356;41 253 562;47 263 969;57 354 430;63 528 722
WARSZAWSKIE;1 116 842 285;1 296 411 781;1 435 953 424;1 751 632 697;2 020 524 962;2 066 022 243;1 666 486 168;1 179 922 578;879 609 413;944 922 654;977 003 058;1 027 040 841;1 198 699 417;1 335 579 869;1 479 754 848
WOŁYŃSKIE;73 976 465;80 776 052;84 750 274;110 257 932;125 968 126;126 616 615;100 740 985;69 461 579;48 127 693;54 875 765;62 804 544;69 319 279;80 680 305;99 174 290;110 404 912
ZIEMIA WILEŃSKA;54 211 685;56 725 067;60 103 642;81 148 908;84 916 719;87 159 922;70 859 253;46 169 516;39 281 815;40 761 594;43 499 248;46 240 902;54 001 570;66 398 305;73 803 152
ŁÓDZKIE;625 177 714;611 356 458;698 348 622;1 060 170 638;1 246 644 488;1 425 680 190;1 273 052 133;979 887 274;696 052 481;664 877 844;695 992 861;707 273 173;780 773 488;866 643 357;958 849 012
ŚLĄSKIE;613 671 262;732 514 405;776 531 454;1 151 480 717;1 316 054 727;1 337 102 400;1 047 220 947;737 866 999;422 858 497;409 255 656;457 023 562;463 996 538;513 995 262;687 044 894;761 201 674
