Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
LUBELSKIE;BIŁGORAJSKI;116951;93736;23215;722;11045;6235;1112;1237;822;389;582;1071
LUBELSKIE;CHEŁMSKI;162340;113579;48761;828;22158;10192;5336;2372;1631;885;1330;4029
LUBELSKIE;GARWOLIŃSKI;159942;118083;41859;1291;21670;7921;3539;1647;1343;515;775;3158
LUBELSKIE;HRUBIESZOWSKI;129957;96544;33413;1123;16132;7876;1851;1668;1054;484;1080;2145
LUBELSKIE;JANOWSKI;152718;118338;34380;1174;17531;7527;1708;1630;1121;526;998;2165
LUBELSKIE;KRASNOSTAWSKI;134159;107942;26217;904;12663;6261;1202;1566;1033;459;772;1357
LUBELSKIE;LUBARTOWSKI;107991;87291;20700;582;10267;4888;951;1201;852;346;551;1062
LUBELSKIE;LUBELSKI;163502;130987;32515;1088;16875;6491;2741;1127;1171;476;1100;1446
LUBELSKIE;LUBLIN (MIASTO);112285;1750;110535;459;45677;22347;11742;7775;3232;3143;3967;12193
LUBELSKIE;PUŁAWSKI;172267;116140;56127;1256;25792;10218;5748;1924;1997;1011;1410;6771
LUBELSKIE;RADZYŃSKI;99089;71547;27542;977;15665;4712;1571;1187;794;391;659;1586
LUBELSKIE;SIEDLECKI;151411;97546;53865;1041;23250;9124;6988;3239;1757;1024;1189;6253
LUBELSKIE;SOKOŁOWSKI;83949;65498;18451;495;10009;3332;929;1026;679;319;408;1254
LUBELSKIE;TOMASZOWSKI;121124;94489;26635;841;12042;7297;1164;1529;925;372;909;1556
LUBELSKIE;WĘGROWSKI;88788;67336;21452;781;12769;2786;1408;987;750;311;409;1251
LUBELSKIE;WŁODAWSKI;113566;85231;28335;794;14536;6700;1512;1208;926;480;642;1537
LUBELSKIE;ZAMOJSKI;149548;101710;47838;1446;23629;8833;3366;2587;1462;877;1784;3854
LUBELSKIE;ŁUKOWSKI;129083;99406;29677;809;15289;5825;2438;1387;1052;462;627;1788
LWOWSKIE;BRZOZOWSKI;;;;;;;;;;;;
LWOWSKIE;BÓBRECKI;;;;;;;;;;;;
LWOWSKIE;DOBROMILSKI;;;;;;;;;;;;
LWOWSKIE;DROHOBYCKI;;;;;;;;;;;;
LWOWSKIE;GRÓDECKI;;;;;;;;;;;;
LWOWSKIE;JAROSŁAWSKI;;;;;;;;;;;;
LWOWSKIE;JAWOROWSKI;;;;;;;;;;;;
LWOWSKIE;KOLBUSZOWSKI;;;;;;;;;;;;
LWOWSKIE;KROŚNIEŃSKI;;;;;;;;;;;;
LWOWSKIE;LESKI;;;;;;;;;;;;
LWOWSKIE;LUBACZOWSKI;;;;;;;;;;;;
LWOWSKIE;LWOWSKI;;;;;;;;;;;;
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;;;;
LWOWSKIE;MOŚCISKI;;;;;;;;;;;;
LWOWSKIE;NIŻAŃSKI;;;;;;;;;;;;
LWOWSKIE;PRZEMYSKI;;;;;;;;;;;;
LWOWSKIE;PRZEWORSKI;;;;;;;;;;;;
LWOWSKIE;RAWSKI (RAWA RUSKA);;;;;;;;;;;;
LWOWSKIE;RUDECKI;;;;;;;;;;;;
LWOWSKIE;RZESZOWSKI;;;;;;;;;;;;
LWOWSKIE;SAMBORSKI;;;;;;;;;;;;
LWOWSKIE;SANOCKI;;;;;;;;;;;;
LWOWSKIE;SOKALSKI;;;;;;;;;;;;
LWOWSKIE;TARNOBRZESKI;;;;;;;;;;;;
LWOWSKIE;TURCZAŃSKI;;;;;;;;;;;;
LWOWSKIE;ŁAŃCUCKI;;;;;;;;;;;;
LWOWSKIE;ŻÓŁKIEWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;11171898;4671;1167227;4648;499695;235034;104622;71037;42755;45978;60236;102222
NOWOGRÓDZKIE;BARANOWICKI;161038;124406;36632;1242;13286;6767;4632;2449;1138;834;1472;4812
NOWOGRÓDZKIE;BRASŁAWSKI;143161;125239;17922;918;7190;2977;1284;2509;632;308;773;1331
NOWOGRÓDZKIE;LIDZKI;183485;145833;37652;835;16651;6078;4238;2248;1160;777;1402;4263
NOWOGRÓDZKIE;NIEŚWIESKI;114464;94746;19718;911;6909;3667;981;3053;792;453;998;1954
NOWOGRÓDZKIE;NOWOGRÓDZKI;149536;127505;22031;830;8196;4309;1287;3094;862;512;1121;1820
NOWOGRÓDZKIE;STOŁPECKI;99389;82444;16945;787;6650;2689;1744;2298;618;292;684;1183
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);107203;92906;14297;1138;6461;2378;1132;970;548;233;634;803
NOWOGRÓDZKIE;SŁONIMSKI;126510;101808;24702;1043;10884;3946;1298;2153;807;468;916;3187
NOWOGRÓDZKIE;WOŁOŻYŃSKI;115522;101504;14018;738;5554;2118;763;2850;504;230;643;618
