Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
LUBELSKIE;ZAMOJSKI;23169.0;43625.0;27836.0;614.0;127.0
LUBELSKIE;ŁUKOWSKI;19047.0;43710.0;61493.0;6769.0;173.0
LWOWSKIE;BRZOZOWSKI;7333.0;33474.0;6059.0;297.0;1262.0
LWOWSKIE;BÓBRECKI;11998.0;28066.0;9108.0;246.0;611.0
LWOWSKIE;DOBROMILSKI;8196.0;32382.0;3681.0;652.0;1430.0
LWOWSKIE;DROHOBYCKI;16626.0;45747.0;9154.0;5689.0;1587.0
LWOWSKIE;GRÓDECKI;11407.0;25367.0;6685.0;455.0;83.0
LWOWSKIE;JAROSŁAWSKI;20688.0;49897.0;13085.0;509.0;523.0
LWOWSKIE;JAWOROWSKI;13683.0;29884.0;8432.0;1589.0;54.0
LWOWSKIE;KOLBUSZOWSKI;8252.0;33496.0;5370.0;81.0;94.0
LWOWSKIE;KROŚNIEŃSKI;9075.0;43111.0;8289.0;2504.0;1468.0
LWOWSKIE;LESKI;11623.0;50943.0;6819.0;10076.0;1941.0
LWOWSKIE;LUBACZOWSKI;13057.0;28738.0;13461.0;4854.0;55.0
LWOWSKIE;LWOWSKI;19584.0;44670.0;8703.0;173.0;234.0
LWOWSKIE;LWÓW (MIASTO);2230.0;2419.0;570.0;14.0;260.0
LWOWSKIE;MOŚCISKI;12701.0;29771.0;5812.0;490.0;121.0
LWOWSKIE;NIŻAŃSKI;7592.0;24646.0;10680.0;288.0;112.0
LWOWSKIE;PRZEMYSKI;14712.0;42300.0;6515.0;392.0;591.0
LWOWSKIE;PRZEWORSKI;7056.0;23052.0;5330.0;202.0;410.0
LWOWSKIE;RAWSKI (RAWA RUSKA);16318.0;36561.0;20608.0;6106.0;112.0
LWOWSKIE;RUDECKI;11933.0;24697.0;6670.0;27.0;18.0
LWOWSKIE;RZESZOWSKI;15596.0;70844.0;18631.0;285.0;1362.0
LWOWSKIE;SAMBORSKI;17486.0;44972.0;9549.0;978.0;421.0
LWOWSKIE;SANOCKI;12902.0;42985.0;5154.0;6576.0;3387.0
LWOWSKIE;SOKALSKI;22288.0;31313.0;30559.0;26347.0;107.0
LWOWSKIE;TARNOBRZESKI;10333.0;29718.0;14348.0;282.0;205.0
LWOWSKIE;TURCZAŃSKI;12339.0;50265.0;7028.0;21368.0;2403.0
LWOWSKIE;ŁAŃCUCKI;12243.0;40007.0;12141.0;600.0;455.0
LWOWSKIE;ŻÓŁKIEWSKI;14881.0;30574.0;17054.0;890.0;60.0
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;
NOWOGRÓDZKIE;BARANOWICKI;24321.0;57816.0;45323.0;29399.0;434.0
NOWOGRÓDZKIE;LIDZKI;32836.0;83354.0;69437.0;83861.0;109.0
