Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
LWOWSKIE;GRÓDECKI;85007;67317;17690;719;6700;3270;2828;1028;481;288;617;1759
LWOWSKIE;JAROSŁAWSKI;148028;111841;36187;705;12633;7351;2991;2223;1092;651;1946;6595
LWOWSKIE;JAWOROWSKI;86762;75752;11010;250;4046;2627;344;991;551;172;492;1537
LWOWSKIE;KOLBUSZOWSKI;69565;59894;9671;355;3518;2950;229;707;433;179;338;962
LWOWSKIE;KROŚNIEŃSKI;113387;84981;28406;317;14926;4515;1226;1579;813;764;1265;3001
LWOWSKIE;LESKI;111575;92725;18850;612;7806;4336;1239;1451;520;210;890;1786
LWOWSKIE;LUBACZOWSKI;87266;72057;15209;648;6220;3640;851;889;633;273;468;1587
LWOWSKIE;LWOWSKI;142800;104889;37911;902;16638;4380;6555;2004;946;636;1123;4727
LWOWSKIE;LWÓW (MIASTO);312231;3372;308859;10421;93649;64153;31379;20689;12825;11444;21521;52157
LWOWSKIE;MOŚCISKI;89460;74978;14482;290;4597;3315;2625;911;362;168;596;1618
LWOWSKIE;NIŻAŃSKI;64233;51377;12856;585;5566;2341;783;798;377;192;422;1792
LWOWSKIE;PRZEMYSKI;162544;92805;69739;776;22275;12651;7710;4215;1927;1576;3642;14967
LWOWSKIE;PRZEWORSKI;61388;47312;14076;175;6747;2373;1509;709;463;174;523;1403
LWOWSKIE;RAWSKI (RAWA RUSKA);122072;98313;23759;539;8809;5883;2470;1478;752;337;740;2751
LWOWSKIE;RUDECKI;79170;68167;11003;319;3924;3356;554;901;454;144;470;881
LWOWSKIE;RZESZOWSKI;185106;135003;50103;461;16057;11285;6011;3163;1610;870;2744;7902
LWOWSKIE;SAMBORSKI;133814;101289;32525;276;10395;5974;4354;2687;1112;539;1615;5573
LWOWSKIE;SANOCKI;114195;84893;29302;399;11432;5750;2970;1998;866;503;1390;3994
LWOWSKIE;SOKALSKI;109111;81974;27137;871;11513;6287;1320;1792;963;366;905;3120
LWOWSKIE;TARNOBRZESKI;73297;55424;17873;514;6313;3898;2490;1065;611;321;672;1989
LWOWSKIE;TURCZAŃSKI;114457;100692;13765;239;6094;2598;925;1341;425;180;587;1376
LWOWSKIE;ŁAŃCUCKI;97679;78934;18745;640;7288;4062;1180;1176;726;236;833;2604
LWOWSKIE;ŻÓŁKIEWSKI;95507;76173;19334;553;8508;3749;1001;1606;607;283;823;2204
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;;;;;;;;;;;;
