Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR;R;PR
Kielecka;BĘDZIŃSKI;20.0;0.0;6.0;0.0;16.0;0.0;40.0;1.0;53.0;3.0;59.0;5.0;127.0;15.0;1635.0;172.0;1956.0;196.0
Warszawa Okręgowa;BŁOŃSKI;4.0;0.0;0.0;0.0;1.0;0.0;20.0;0.0;17.0;1.0;20.0;3.0;44.0;7.0;604.0;32.0;710.0;43.0
Pomorska;CHEŁMIŃSKI;1.0;0.0;1.0;0.0;1.0;0.0;4.0;0.0;3.0;0.0;15.0;5.0;23.0;4.0;255.0;36.0;303.0;45.0
Lubelska;CHEŁMSKI;1.0;0.0;0.0;0.0;1.0;0.0;9.0;1.0;19.0;3.0;34.0;1.0;42.0;3.0;630.0;44.0;736.0;52.0
Wielkopolska;CHODZIESKI;0.0;0.0;1.0;0.0;1.0;0.0;6.0;0.0;14.0;0.0;23.0;1.0;25.0;1.0;414.0;18.0;484.0;20.0
Pomorska;CHOJNICKI;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;15.0;2.0;39.0;2.0;50.0;6.0;422.0;18.0;534.0;28.0
Krakowska;CHRZANOWSKI;6.0;0.0;4.0;0.0;9.0;0.0;20.0;1.0;23.0;1.0;23.0;1.0;51.0;2.0;838.0;40.0;974.0;45.0
Warszawa Okręgowa;CIECHANOWSKI;3.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;4.0;0.0;10.0;1.0;20.0;0.0;340.0;28.0;382.0;29.0
Śląska;CIESZYŃSKI;0.0;0.0;3.0;0.0;2.0;0.0;27.0;6.0;36.0;1.0;37.0;5.0;102.0;5.0;750.0;36.0;957.0;53.0
Wielkopolska;CZARNKOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;12.0;0.0;22.0;2.0;24.0;3.0;303.0;20.0;369.0;25.0
Lwowska;CZORTKOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;8.0;0.0;30.0;1.0;278.0;14.0;321.0;15.0
Kielecka;CZĘSTOCHOWSKI;8.0;0.0;1.0;0.0;7.0;0.0;48.0;2.0;74.0;4.0;66.0;5.0;185.0;17.0;1300.0;119.0;1689.0;147.0
Lwowska;DOBROMILSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;8.0;0.0;12.0;2.0;21.0;0.0;169.0;3.0;213.0;5.0
