District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
GRODZIEŃSKI;5.0;0.0;232.0;35.0;1786.0;190.0;677.0;123.0;3.0;2.0;78.0;48.0
GRODZISKI;3.0;0.0;64.0;1.0;386.0;18.0;231.0;48.0;4.0;1.0;19.0;1.0
GRUDZIĄDZ (MIASTO);4.0;0.0;240.0;7.0;609.0;61.0;226.0;40.0;8.0;1.0;20.0;5.0
GRUDZIĄDZKI;0.0;0.0;38.0;1.0;221.0;14.0;118.0;11.0;0.0;0.0;10.0;0.0
GRYBOWSKI;0.0;0.0;27.0;0.0;310.0;21.0;275.0;17.0;0.0;0.0;15.0;0.0
GRÓDECKI;0.0;0.0;9.0;5.0;373.0;32.0;366.0;36.0;0.0;0.0;13.0;2.0
GRÓJECKI;2.0;0.0;65.0;5.0;960.0;46.0;1080.0;107.0;0.0;1.0;1.0;0.0
HOROCHOWSKI;0.0;0.0;54.0;4.0;772.0;45.0;479.0;121.0;1.0;1.0;2.0;1.0
HORODEŃSKI;0.0;0.0;20.0;0.0;522.0;27.0;521.0;19.0;1.0;0.0;0.0;0.0
HRUBIESZOWSKI;1.0;0.0;55.0;1.0;811.0;46.0;818.0;127.0;3.0;1.0;4.0;0.0
INOWROCŁAW (MIASTO);;;;;;;;;;;;
INOWROCŁAWSKI;8.0;1.0;238.0;7.0;686.0;68.0;285.0;97.0;10.0;3.0;12.0;2.0
IŁŻECKI;0.0;0.0;54.0;6.0;638.0;50.0;667.0;96.0;1.0;0.0;29.0;4.0
JANOWSKI;0.0;0.0;60.0;3.0;852.0;47.0;726.0;101.0;2.0;0.0;29.0;6.0
JAROCIŃSKI;1.0;0.0;76.0;2.0;398.0;13.0;243.0;17.0;2.0;1.0;14.0;1.0
JAROSŁAWSKI;1.0;0.0;41.0;8.0;371.0;31.0;1083.0;53.0;1.0;0.0;21.0;0.0
JASIELSKI;0.0;0.0;32.0;0.0;471.0;6.0;637.0;36.0;0.0;0.0;6.0;0.0
